@relation dataset

@attribute mcg real
@attribute gvh real
@attribute alm real
@attribute mit real
@attribute erl real
@attribute pox real
@attribute vac real
@attribute nuc real
@attribute class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}


@data
?,0.58,0.21,0.13,?,0.0,0.51,?,?
?,0.44,?,?,?,0.0,0.55,?,?
?,0.63,?,?,?,?,?,?,2
0.5,?,0.59,0.3,?,0.0,?,0.35,?
?,?,?,0.41,0.5,?,?,0.32,?
?,?,0.62,?,0.5,0.0,0.51,?,?
0.46,?,?,0.22,?,?,?,?,?
?,?,0.56,?,?,0.0,?,?,?
0.33,0.43,?,?,?,0.0,0.52,?,?
?,?,?,?,?,?,0.5,0.28,?
?,?,?,?,?,?,0.43,?,?
?,?,0.52,?,0.5,?,?,?,?
?,?,?,?,?,0.0,0.58,0.22,?
?,?,?,?,0.5,?,?,0.22,?
0.64,?,?,0.27,0.5,?,?,0.22,?
0.36,0.58,0.35,?,?,?,?,0.22,?
0.36,?,?,?,0.5,?,0.49,?,5
?,?,0.5,?,0.5,0.0,?,0.22,0
0.48,0.23,?,0.27,?,?,0.48,?,?
?,?,?,0.24,0.5,?,?,?,?
0.44,?,0.36,?,0.5,0.0,?,0.22,5
?,?,0.54,0.18,?,0.0,?,0.22,?
?,0.56,?,0.18,0.5,0.0,0.5,?,?
0.65,?,?,?,0.5,?,0.6,0.22,0
?,?,0.48,0.23,0.5,0.0,0.55,0.22,?
?,?,0.5,0.46,?,0.5,?,0.27,8
0.44,0.52,0.41,?,?,0.0,0.51,0.22,?
?,?,0.57,0.19,?,?,0.48,?,?
0.4,?,?,0.47,?,?,?,?,7
?,0.51,?,?,0.5,?,?,1.0,?
0.45,0.45,0.5,?,?,?,?,0.22,?
?,0.67,0.56,0.41,?,0.0,?,0.22,?
?,?,0.57,?,0.5,0.0,?,0.22,6
?,?,?,0.22,?,?,0.26,0.22,?
?,0.41,0.66,?,0.5,?,?,?,?
?,?,?,0.28,0.5,?,0.51,?,?
?,?,0.55,0.46,?,?,0.52,?,?
0.67,0.62,0.54,?,?,0.0,0.53,0.22,?
?,0.6,?,0.43,?,0.0,?,0.31,6
?,?,0.34,0.31,0.5,?,0.54,?,5
?,0.62,0.54,?,?,?,?,0.22,?
0.4,?,0.53,?,?,0.0,0.52,0.27,7
?,0.71,?,0.53,?,?,?,0.22,?
?,?,?,?,?,?,?,?,?
?,?,?,0.47,?,?,?,?,?
0.5,0.64,?,0.15,?,?,?,0.22,?
?,0.62,?,?,?,?,?,?,?
?,?,0.57,?,?,?,?,?,0
?,0.51,?,0.42,0.5,?,0.54,?,?
0.35,0.58,?,0.16,?,0.0,0.51,0.22,7
0.34,0.54,?,0.21,?,0.0,?,0.31,?
0.39,0.58,?,0.26,0.5,?,?,?,5
?,?,0.5,?,?,?,?,0.22,?
?,?,?,0.15,0.5,?,0.5,?,?
?,?,0.64,0.3,?,?,?,?,?
?,0.47,?,?,?,?,?,?,?
0.58,?,?,0.47,0.5,?,?,?,?
?,0.6,0.57,?,?,?,?,?,?
?,?,?,?,0.5,?,?,0.22,7
?,0.57,0.53,0.16,0.5,0.0,?,?,0
0.28,0.37,?,?,0.5,?,?,0.55,7
?,?,?,0.14,0.5,?,?,?,?
?,0.55,?,?,0.5,?,0.54,0.29,?
?,0.36,?,?,?,?,0.53,?,?
0.51,?,0.5,?,?,?,?,?,?
0.58,?,?,?,?,?,?,?,7
0.44,?,0.53,0.14,?,?,?,0.44,?
?,0.39,?,0.34,0.5,?,0.48,0.4,?
?,0.43,0.51,?,?,?,?,0.33,0
?,0.68,?,?,?,?,?,0.28,?
?,?,?,?,0.5,0.0,?,0.22,?
?,0.43,0.56,?,0.5,?,?,0.22,?
?,?,?,0.65,?,?,?,0.36,7
?,?,0.53,?,?,?,?,?,?
?,0.59,?,?,0.5,?,?,?,?
0.4,0.42,0.71,?,?,0.0,?,?,0
0.4,0.42,?,0.21,0.5,0.0,?,?,?
0.54,0.49,?,0.2,?,?,?,0.22,0
0.42,0.51,0.5,0.12,?,0.0,?,?,?
?,0.51,?,0.18,0.5,?,?,0.25,7
?,0.45,?,0.11,?,?,0.56,?,?
0.42,0.42,?,?,?,?,0.49,?,5
?,0.5,?,?,0.5,0.0,?,0.22,?
?,0.42,?,?,?,?,0.49,0.47,?
0.26,0.44,0.3,0.11,0.5,?,?,0.47,?
?,?,?,?,?,0.0,?,0.32,7
0.48,0.61,?,?,?,?,0.47,0.22,0
0.66,0.45,?,?,?,?,?,?,0
0.21,?,0.55,0.11,?,0.0,0.5,?,0
0.38,0.68,0.44,0.45,?,0.0,?,0.22,?
?,0.38,0.48,?,?,?,0.53,?,8
0.31,?,0.56,0.33,?,?,?,?,?
0.49,0.31,0.49,0.35,?,?,?,0.29,?
?,0.37,?,?,0.5,?,?,0.22,?
0.39,0.4,0.53,0.67,?,?,?,0.22,0
?,0.34,0.69,0.18,?,0.0,0.52,?,?
?,0.43,?,?,?,0.0,0.47,?,?
0.54,?,?,?,0.5,?,0.48,?,?
?,0.57,?,?,?,0.0,?,?,0
?,?,?,0.23,?,0.0,?,0.22,?
?,0.55,0.52,?,?,0.0,0.52,0.22,?
0.32,?,0.5,0.15,?,?,0.53,0.22,0
0.32,0.42,?,0.24,?,?,?,?,?
0.59,0.5,?,?,?,0.0,?,?,?
0.37,0.42,?,0.11,0.5,0.0,?,?,?
?,?,?,?,?,0.0,0.49,?,?
?,0.72,?,0.33,?,0.0,?,?,6
0.44,?,0.6,?,?,0.0,?,?,0
0.52,?,?,0.54,?,?,?,0.27,6
?,0.56,?,0.58,?,?,?,?,?
0.52,?,0.54,?,?,?,0.45,?,6
0.58,?,?,?,0.5,?,?,?,6
?,0.62,?,0.29,0.5,0.0,?,0.28,?
?,?,0.37,?,?,?,0.57,?,?
?,0.43,?,?,?,0.0,0.48,?,?
?,?,0.44,0.37,?,?,?,?,?
0.42,0.31,0.62,?,?,?,0.4,0.22,?
?,0.46,?,0.45,?,0.0,0.52,?,?
0.42,?,0.41,0.65,?,?,0.46,0.26,6
0.59,?,?,0.22,0.5,?,?,?,?
0.52,?,?,?,?,0.0,?,0.22,6
?,0.52,0.6,0.51,0.5,?,0.48,0.22,?
?,?,0.43,?,?,?,?,?,6
?,?,?,0.5,0.5,0.0,?,?,?
?,?,0.56,0.7,0.5,0.0,0.5,?,6
?,?,0.44,?,?,?,0.44,0.22,6
0.55,?,?,?,?,0.0,0.5,?,?
?,?,?,0.29,0.5,0.0,?,?,6
0.53,?,?,0.28,?,?,0.48,?,0
?,0.66,?,0.21,?,?,?,?,?
?,0.4,?,?,?,0.0,?,0.22,?
?,?,?,?,?,0.0,?,0.22,?
0.47,?,?,?,?,?,0.56,?,?
0.73,?,?,0.3,?,?,?,?,3
0.78,0.74,0.58,0.25,?,0.0,?,0.22,?
?,?,0.54,?,?,0.0,?,0.4,9
0.47,0.54,?,0.14,?,?,0.5,0.22,5
?,?,0.48,0.17,?,0.0,?,?,?
?,?,?,?,0.5,0.0,?,?,0
?,0.41,?,?,?,0.0,?,0.22,?
?,?,?,?,0.5,?,?,?,7
?,?,?,?,?,?,?,?,7
?,0.36,?,?,?,?,?,?,?
?,?,0.38,?,?,0.0,?,?,?
?,?,?,0.19,0.5,?,?,0.22,?
?,?,0.53,0.17,?,0.0,0.51,?,?
0.31,?,0.54,0.52,0.5,?,0.5,0.34,?
?,0.37,?,0.14,0.5,?,?,?,?
0.82,0.78,0.49,0.23,0.5,?,0.46,?,?
?,?,0.54,?,0.5,0.0,?,?,2
?,0.51,?,0.15,0.5,?,?,?,?
0.38,?,0.75,?,?,0.0,?,0.22,?
0.38,0.51,0.75,?,?,?,0.55,0.22,?
?,?,0.51,?,0.5,?,0.52,0.22,?
0.46,?,?,?,?,0.0,0.59,0.22,?
?,0.56,?,?,0.5,?,0.47,0.22,?
?,0.53,?,?,0.5,0.0,?,0.22,?
0.42,?,?,?,0.5,?,?,0.22,?
0.45,?,0.57,?,0.5,?,0.52,?,0
0.2,0.26,0.52,0.14,?,?,0.53,?,0
?,?,?,?,0.5,0.0,?,0.22,0
?,?,0.45,?,?,?,?,0.41,?
0.27,0.39,0.66,?,?,?,0.44,?,?
?,0.42,?,0.3,?,?,?,0.22,?
?,0.42,?,?,0.5,0.0,0.53,?,?
?,0.53,0.52,?,?,0.83,?,0.22,?
?,?,?,0.21,0.5,0.0,?,?,?
?,?,?,0.12,0.5,0.0,0.41,?,?
?,?,?,?,0.5,?,?,?,?
?,?,0.38,?,?,0.0,?,0.25,?
?,?,?,?,0.5,?,?,0.31,?
?,0.4,?,?,?,0.0,0.47,0.37,7
?,?,0.5,?,?,?,?,?,?
0.23,0.2,?,0.2,?,?,?,?,?
0.55,?,?,0.22,0.5,?,0.5,0.37,?
?,?,0.49,0.16,?,?,?,0.22,?
?,?,?,?,?,?,?,?,?
?,?,?,?,?,0.0,?,0.22,?
?,0.56,?,?,0.5,?,?,?,?
?,?,0.54,?,0.5,?,0.41,?,?
0.47,0.65,?,?,0.5,?,0.53,0.36,?
?,0.39,0.54,?,0.5,?,?,0.22,7
0.5,?,0.52,?,?,0.0,?,?,7
?,?,?,?,0.5,0.0,0.55,?,?
?,?,0.41,?,?,0.0,0.52,0.22,?
0.46,0.35,?,?,0.5,0.0,?,?,?
0.46,0.43,?,?,?,?,?,0.63,7
?,?,?,0.16,0.5,0.0,?,0.47,?
?,?,?,?,?,0.0,?,0.22,0
?,0.3,0.59,?,0.5,?,?,?,?
0.37,?,0.46,?,?,0.0,0.47,0.22,?
?,0.58,?,?,0.5,?,?,0.22,4
?,0.45,0.53,?,0.5,?,?,?,?
?,?,0.5,0.21,?,?,?,0.3,0
0.35,0.39,0.57,0.11,?,0.0,?,?,?
?,?,?,?,?,?,?,?,5
0.78,0.7,0.32,0.23,?,0.0,0.53,?,?
0.55,?,0.53,?,0.5,?,?,?,0
?,?,0.54,0.32,0.5,0.0,0.57,?,0
0.45,?,0.53,0.32,?,0.0,?,?,?
?,?,?,?,?,0.0,0.53,0.22,?
0.52,0.75,?,0.14,?,0.0,0.46,?,?
0.71,?,0.39,?,0.5,?,?,?,?
0.58,0.6,?,0.12,?,?,?,?,5
0.54,?,0.49,0.34,?,0.0,0.52,?,?
0.57,?,?,0.16,0.5,?,0.52,0.22,4
?,?,?,?,?,?,0.56,?,0
?,?,?,?,?,0.0,0.54,0.22,?
0.55,?,0.45,?,?,?,0.54,?,?
?,0.61,?,?,?,0.0,0.51,?,?
?,?,0.38,?,0.5,0.0,0.52,?,5
0.36,?,?,0.19,?,?,?,0.22,5
?,?,0.55,0.12,?,?,0.52,0.22,?
?,0.38,?,0.19,?,?,0.51,?,?
0.62,?,0.46,?,0.5,?,?,0.22,?
?,?,?,?,0.5,0.0,?,0.22,5
?,0.55,0.41,?,0.5,?,0.46,0.22,?
0.55,0.46,?,0.31,?,0.0,0.58,0.48,?
0.35,?,?,0.13,?,0.0,0.52,0.43,7
?,?,?,?,?,?,0.54,?,?
?,?,?,0.37,0.5,?,0.48,0.22,?
0.35,?,?,0.15,?,0.0,?,0.35,?
?,?,?,0.14,?,?,?,?,?
?,0.61,?,?,0.5,?,0.5,?,0
?,?,?,?,?,?,?,?,0
0.25,0.4,0.51,0.18,?,0.0,?,?,?
0.56,0.62,0.53,?,0.5,?,0.57,?,?
0.58,?,?,?,?,0.0,?,?,?
?,0.59,0.53,?,?,?,0.49,?,0
0.46,?,0.33,0.17,0.5,?,0.55,?,5
0.54,0.55,0.42,?,?,?,0.48,0.22,?
?,?,?,?,?,?,?,?,5
0.33,?,0.49,0.08,0.5,?,?,?,7
0.81,0.82,?,?,0.5,0.0,?,0.22,?
?,0.6,?,0.13,0.5,?,?,?,?
?,?,0.44,0.21,0.5,?,0.55,?,?
0.35,?,?,0.17,0.5,0.0,0.52,0.22,?
0.74,?,0.47,0.25,?,0.0,0.57,?,?
0.54,?,?,0.19,0.5,0.0,0.59,?,7
0.42,0.52,?,0.17,?,0.0,?,?,?
0.91,?,0.34,?,?,?,?,0.31,3
0.81,0.9,0.39,?,?,?,?,0.22,?
?,?,0.56,0.14,?,?,?,?,0
?,?,0.58,?,?,0.0,?,?,0
?,?,?,0.52,?,?,?,?,?
?,?,0.32,?,?,?,0.56,0.22,?
0.69,0.6,?,?,?,0.0,0.55,?,0
?,?,?,0.3,?,0.0,0.53,?,?
0.84,0.66,?,0.78,?,?,0.49,0.5,?
?,0.58,0.54,?,?,0.0,?,0.22,?
?,?,?,0.27,0.5,?,?,0.22,7
?,?,?,0.32,?,0.0,?,0.34,?
?,0.35,0.42,0.21,?,?,?,?,?
0.62,?,?,?,?,?,?,0.29,0
?,0.59,?,0.16,?,?,0.24,?,7
?,?,?,?,?,?,0.51,?,?
0.44,?,?,?,0.5,?,0.46,?,?
?,?,?,?,?,?,0.47,?,0
0.6,?,0.49,?,?,?,?,?,?
?,0.46,?,?,0.5,?,?,?,?
?,?,0.57,?,0.5,?,?,?,?
?,?,0.43,0.33,0.5,0.0,?,?,3
0.23,?,?,0.22,0.5,0.0,?,0.27,7
0.45,0.42,?,?,0.5,?,0.5,?,0
?,?,0.46,0.15,?,?,?,?,?
0.42,0.39,?,0.13,?,?,0.5,0.27,0
0.32,?,?,?,?,?,?,?,?
0.59,?,?,?,?,0.0,?,?,0
0.41,?,0.41,0.11,?,?,?,?,0
?,0.33,0.5,0.12,?,0.0,0.51,?,0
0.45,?,?,?,?,0.0,?,0.22,?
?,?,?,0.14,?,0.0,?,?,7
0.31,0.31,?,0.18,?,?,?,?,?
?,?,0.47,?,0.5,0.0,0.49,0.28,?
0.54,?,?,0.18,?,?,0.45,?,?
?,?,?,?,0.5,?,?,?,?
?,0.51,?,0.15,?,?,?,0.26,?
?,?,?,0.18,?,?,?,?,?
0.91,?,0.57,?,?,?,?,0.22,4
?,0.47,?,?,?,?,?,?,?
0.59,?,0.52,?,0.5,?,0.55,?,?
?,?,?,?,0.5,?,?,?,?
?,0.31,?,?,?,0.0,?,0.22,5
?,?,?,0.12,0.5,?,?,?,?
?,?,?,?,?,?,?,0.25,?
0.49,?,?,0.16,?,?,0.53,?,0
?,0.39,0.49,0.18,0.5,0.0,?,?,?
0.44,?,?,?,?,?,0.52,0.22,?
?,0.54,0.58,0.16,0.5,?,?,0.36,?
?,0.42,?,?,?,?,?,?,?
?,?,?,0.16,?,?,0.47,0.33,?
?,?,?,?,0.5,0.0,0.48,?,?
0.74,?,?,?,?,?,0.55,0.31,?
?,?,0.38,0.15,0.5,?,?,?,4
0.3,?,?,0.11,?,0.0,0.46,?,0
0.44,0.51,?,?,?,?,0.52,?,?
?,?,?,?,?,0.0,?,?,?
0.55,0.41,?,?,?,?,?,0.22,?
?,0.34,0.52,0.17,?,0.0,?,?,7
?,?,0.5,?,0.5,0.0,?,0.5,?
?,?,0.56,0.1,?,0.0,0.46,0.25,?
?,?,?,?,?,?,?,0.25,?
0.58,?,?,?,?,?,?,?,0
?,?,0.51,0.26,0.5,?,0.51,0.37,0
?,0.6,0.53,0.29,?,0.0,0.47,?,?
?,0.5,0.49,0.42,?,0.0,?,?,6
?,?,?,?,?,?,?,0.22,?
0.6,0.48,?,?,0.5,?,?,0.63,?
?,?,?,0.17,?,?,?,?,?
?,?,?,0.11,0.5,0.0,?,?,7
?,?,0.63,0.39,?,?,0.59,0.4,7
?,0.38,?,?,0.5,0.0,?,?,0
0.46,?,?,?,?,0.0,0.52,?,?
0.43,?,?,?,?,?,?,?,7
0.57,?,0.5,0.58,?,?,?,?,?
?,?,0.47,?,?,?,?,0.26,0
0.35,?,?,?,?,?,0.42,?,0
0.47,?,0.53,0.62,?,0.0,0.46,0.22,?
?,?,?,0.15,?,?,?,?,0
0.46,0.45,?,?,0.5,?,?,?,0
?,?,0.62,?,?,?,?,?,7
?,?,0.58,0.24,?,0.0,0.44,?,7
?,?,?,0.24,0.5,?,0.44,0.18,?
0.39,0.39,?,?,?,0.0,?,0.16,?
?,?,?,?,0.5,?,?,0.16,?
0.48,?,0.38,0.29,?,0.0,0.53,?,5
?,?,?,?,0.5,0.0,0.52,?,?
?,0.57,0.45,0.21,?,?,?,?,7
?,?,0.56,?,0.5,0.0,?,?,?
?,?,0.3,?,?,0.0,?,0.27,5
?,0.68,?,0.42,0.5,?,?,0.27,5
0.37,?,?,0.35,?,?,0.47,?,?
?,?,0.58,0.22,0.5,0.0,?,?,?
0.49,0.37,?,?,0.5,?,0.51,?,?
0.51,?,0.58,?,?,0.0,?,?,?
?,?,0.53,?,?,?,0.49,0.37,7
?,0.68,?,?,?,?,?,?,?
0.5,?,0.49,?,0.5,0.0,0.55,?,?
0.33,?,?,?,?,?,?,0.22,?
?,0.85,0.3,0.31,?,0.0,?,?,3
?,?,?,?,?,0.0,?,?,7
?,?,?,0.16,?,0.0,?,?,0
?,?,0.61,?,0.5,?,0.52,?,?
?,?,?,0.29,0.5,0.0,?,?,?
0.66,?,0.52,0.17,0.5,?,?,?,0
?,0.41,0.58,?,?,0.0,0.57,?,0
?,0.62,?,?,0.5,0.0,?,?,5
?,?,?,0.64,?,?,0.54,?,?
?,0.46,?,0.75,?,0.0,?,0.26,6
0.61,?,0.49,?,0.5,?,?,?,0
?,?,?,?,0.5,?,?,?,?
?,0.53,?,?,?,?,0.5,?,?
0.32,0.34,?,0.17,0.5,?,0.52,0.32,?
?,0.34,0.61,0.18,?,0.0,?,?,7
?,0.68,0.49,0.59,?,?,0.54,?,?
?,0.3,?,?,0.5,0.0,0.54,0.22,?
0.41,?,0.5,?,?,0.0,?,0.22,0
?,0.5,0.34,?,?,0.0,0.51,0.22,?
0.49,?,?,?,0.5,?,?,?,?
0.34,?,0.3,0.23,0.5,?,0.51,0.22,?
0.43,?,0.3,0.18,?,0.0,?,?,5
0.43,?,0.37,0.12,?,?,?,0.22,5
0.45,0.57,0.3,0.17,?,0.0,?,?,?
?,0.57,?,0.17,0.5,?,?,?,5
?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,0.48,?,?
0.53,0.56,?,0.46,0.5,?,?,0.22,?
?,?,?,?,0.5,?,?,?,?
?,?,?,?,?,?,?,?,0
?,0.52,?,0.5,?,?,0.51,?,?
0.55,?,?,0.46,0.5,0.0,0.52,?,?
?,?,0.52,?,0.5,?,?,?,?
?,?,?,?,0.5,0.0,0.49,?,?
0.45,?,?,?,0.5,0.0,?,0.25,?
0.57,0.61,0.55,0.67,?,0.0,?,?,?
?,?,?,?,?,0.0,0.52,?,7
?,?,?,?,0.5,?,0.51,?,?
?,?,0.47,?,0.5,?,0.5,?,6
0.47,0.63,0.66,?,?,0.0,?,?,?
?,?,0.43,0.18,?,0.0,0.48,0.25,0
?,?,0.59,0.14,0.5,?,0.51,0.26,?
0.45,?,0.59,0.18,0.5,?,0.44,0.45,7
0.43,0.51,?,?,0.5,?,?,0.22,0
?,?,?,0.13,?,0.0,?,0.3,?
0.4,0.45,?,?,?,0.0,?,0.26,5
0.89,0.81,?,?,0.5,?,?,0.63,3
?,?,?,?,?,0.0,?,?,6
?,0.57,?,0.14,?,?,?,?,?
?,?,0.32,?,?,0.0,?,?,?
?,?,?,?,?,0.0,?,0.32,?
?,?,?,?,0.5,?,?,0.27,7
?,0.46,?,?,?,?,?,?,?
?,?,0.43,0.27,?,0.0,?,?,?
?,0.45,0.49,0.3,?,?,0.47,?,7
?,?,0.5,?,?,?,?,0.22,?
?,?,0.34,?,0.5,?,?,?,?
0.4,?,?,0.13,?,0.0,?,?,5
?,0.73,?,0.37,?,?,?,?,?
?,?,?,?,?,?,?,?,4
0.65,?,?,0.3,0.5,0.0,?,?,5
?,?,0.35,?,?,0.0,0.54,?,?
?,?,?,?,0.5,?,?,0.22,?
0.23,0.34,?,?,?,0.0,?,0.27,7
?,?,0.33,0.38,?,0.0,?,?,?
0.34,0.31,0.6,?,0.5,0.0,0.5,0.3,?
?,?,0.47,?,0.5,0.0,?,?,?
?,0.63,0.34,0.41,0.5,?,?,?,3
0.7,?,?,0.36,?,?,?,?,?
?,?,0.54,0.52,0.5,?,?,?,?
0.53,?,0.54,0.56,0.5,?,0.49,?,?
0.84,0.63,?,0.23,?,?,?,?,?
?,0.77,?,?,0.5,0.0,?,?,?
?,?,?,?,0.5,?,0.48,?,?
0.36,0.35,?,?,?,0.0,0.44,0.31,?
?,0.49,0.48,0.16,0.5,?,0.51,?,7
?,?,?,?,?,?,?,0.22,?
0.38,?,?,1.0,?,0.0,0.5,?,?
?,?,0.56,?,0.5,0.0,?,0.27,?
0.84,0.87,?,0.54,0.5,0.0,0.28,0.22,3
0.27,?,?,0.18,?,?,?,0.22,0
?,?,?,?,?,?,0.55,?,?
0.86,?,0.5,?,?,?,?,?,?
?,?,?,?,?,?,0.51,0.22,?
0.87,?,?,0.36,0.5,?,?,?,?
?,?,0.54,?,?,0.0,0.5,?,0
?,?,0.54,?,?,?,?,?,7
?,0.6,0.42,?,0.5,0.0,?,?,4
?,0.74,?,?,?,?,?,?,?
0.58,?,?,?,?,?,?,0.3,?
0.94,?,?,?,?,?,0.54,0.22,4
?,?,?,0.18,0.5,?,?,0.22,?
?,?,?,?,0.5,0.0,0.49,0.26,5
?,0.48,?,?,0.5,?,?,?,?
0.42,0.32,0.48,0.16,?,?,?,?,?
?,?,0.51,?,0.5,?,?,0.33,7
0.48,?,0.52,?,0.5,?,?,?,6
0.83,?,0.52,0.2,?,0.0,0.48,?,?
?,?,0.46,?,?,?,?,?,4
0.51,0.43,?,?,0.5,?,?,?,?
?,?,?,?,0.5,0.0,?,?,?
0.44,?,0.44,0.13,?,?,?,?,?
?,0.62,0.54,?,?,?,?,?,6
?,?,?,?,?,?,0.49,?,?
?,?,?,?,?,0.0,?,0.31,?
?,?,0.47,?,?,?,?,0.22,?
?,0.48,?,0.47,?,?,?,?,?
?,0.14,?,0.21,?,?,0.5,0.25,5
0.5,0.45,0.48,?,?,?,0.5,0.26,?
?,?,0.43,?,0.5,0.0,0.54,?,?
?,?,?,?,0.5,0.0,?,?,?
?,0.49,?,0.57,?,?,?,?,7
?,0.64,0.56,?,?,?,?,0.33,7
0.46,0.32,0.58,0.17,0.5,0.0,?,?,?
?,0.48,0.47,?,?,?,?,?,?
0.49,?,0.65,0.18,?,0.0,0.46,0.43,7
?,0.34,?,0.19,0.5,?,0.57,0.22,0
0.39,0.37,?,0.23,?,?,0.53,0.26,?
0.39,0.37,?,?,?,0.0,?,0.27,0
?,?,?,?,0.5,?,?,?,?
?,?,?,?,?,0.0,?,?,5
?,0.38,?,?,0.5,0.0,?,0.27,?
?,?,?,?,0.5,0.0,0.5,?,?
0.5,?,0.54,0.66,0.5,?,?,?,6
?,0.54,?,?,?,0.0,?,?,?
?,?,?,0.28,?,?,?,0.22,6
0.41,0.41,0.51,0.19,0.5,0.0,?,0.22,?
0.81,?,0.52,0.41,0.5,?,?,?,?
?,?,0.52,?,?,?,?,0.52,?
?,?,?,0.12,0.5,?,?,0.25,?
0.26,?,?,?,?,?,0.48,?,?
?,0.51,0.51,?,?,0.0,0.49,?,7
0.58,?,0.5,0.41,?,?,0.57,?,?
0.62,?,0.47,?,?,?,0.53,?,?
?,?,?,0.19,?,?,?,0.22,?
0.4,?,?,?,?,?,?,0.22,6
?,0.47,?,?,0.5,0.0,?,?,?
?,?,?,?,0.5,0.0,0.51,?,?
