@relation dataset

@attribute mcg real
@attribute gvh real
@attribute lip real
@attribute aac real
@attribute alm1 real
@attribute alm2 real
@attribute class {0, 1, 2, 3, 4, 5, 6, 7}


@data
?,0.3,0.48,0.48,0.26,0.36,?
?,0.42,?,?,?,0.35,?
0.41,?,0.48,0.51,?,0.51,0
?,?,0.48,0.43,0.27,0.37,0
0.29,0.41,0.48,?,0.38,?,0
0.34,?,0.48,?,0.35,0.44,?
0.41,0.43,?,?,0.31,0.41,0
?,0.47,0.48,0.41,?,0.34,?
0.34,0.55,?,0.58,0.31,0.41,0
0.36,?,?,0.43,?,0.53,?
0.4,0.46,0.48,0.52,0.49,0.56,0
?,0.49,0.48,?,0.46,0.53,0
0.52,0.44,?,0.37,0.36,0.42,0
?,?,?,0.27,0.23,0.34,0
0.53,0.42,?,0.16,?,?,0
0.34,?,?,?,0.35,0.44,0
?,0.42,0.48,0.37,?,0.27,0
0.41,?,0.48,0.5,?,?,0
?,?,?,?,?,?,0
0.31,0.47,0.48,0.29,0.28,0.39,?
0.64,0.76,?,?,0.35,0.38,0
0.35,?,0.48,0.3,?,?,0
0.57,?,0.48,0.37,?,?,?
0.65,?,0.48,0.34,?,?,0
0.51,?,?,0.58,?,0.41,?
?,0.4,?,0.63,0.25,0.35,?
0.24,0.57,0.48,0.63,?,0.43,?
?,0.26,0.48,0.54,0.16,0.28,?
?,?,?,0.53,0.18,0.29,?
0.24,0.34,0.48,0.38,0.3,?,0
0.26,0.5,0.48,?,?,?,0
0.44,?,0.48,0.39,0.38,0.4,?
0.43,0.32,?,?,?,0.52,0
0.49,0.43,0.48,0.49,0.3,?,0
0.47,?,0.48,0.56,0.2,?,0
?,0.33,0.48,0.6,0.06,?,0
0.34,?,?,0.51,0.49,0.56,?
0.35,0.34,?,?,0.3,?,?
?,0.3,0.48,0.43,0.29,0.39,?
0.38,?,0.48,?,0.2,0.31,0
0.41,?,0.48,0.58,?,0.31,0
0.34,0.42,0.48,?,?,0.43,0
0.51,?,?,?,0.14,0.26,?
0.25,0.51,0.48,0.37,?,?,0
0.29,0.28,?,0.5,0.42,?,0
0.25,?,?,0.39,0.32,0.42,0
0.24,0.41,?,0.49,0.23,0.34,0
?,?,0.48,?,0.3,0.39,0
?,?,0.48,0.41,?,?,?
?,?,0.48,?,0.35,?,?
0.34,0.51,?,?,?,?,?
0.28,?,0.48,0.45,?,?,0
?,0.46,?,?,0.35,0.44,0
?,?,?,0.43,0.26,?,0
?,?,0.48,?,?,0.47,0
?,?,0.48,?,?,?,?
0.39,?,0.48,?,0.34,0.43,0
0.3,0.44,0.48,0.49,?,0.33,0
0.27,0.3,?,0.71,0.28,0.39,0
0.17,?,0.48,?,0.37,0.46,0
?,?,?,0.53,?,?,0
0.3,?,0.48,0.43,?,?,?
?,?,?,0.36,0.26,0.37,?
0.4,0.41,?,0.55,?,0.33,?
?,0.34,0.48,?,0.29,?,?
?,?,?,0.44,0.52,0.59,?
0.27,0.42,?,0.37,0.38,0.43,?
0.16,?,?,0.54,?,?,?
0.06,0.61,0.48,?,?,?,1
0.44,0.52,0.48,0.43,?,0.54,1
?,?,0.48,0.51,?,0.84,?
0.23,0.48,?,0.59,?,0.89,1
0.34,0.49,0.48,?,?,?,1
0.43,?,0.48,?,?,?,?
0.46,0.61,0.48,?,0.86,?,1
?,0.35,?,0.51,?,?,1
0.52,0.39,?,0.65,?,?,1
0.29,?,?,0.71,0.65,0.69,1
0.55,0.47,?,0.57,0.78,0.8,1
?,?,0.48,?,0.58,?,?
?,0.5,?,?,0.82,?,1
?,0.36,0.48,?,?,?,?
0.84,?,0.48,0.48,0.71,?,?
0.48,0.45,0.48,0.6,?,0.8,1
?,0.49,0.48,0.4,?,0.88,?
0.48,?,0.48,0.51,0.9,0.88,1
?,?,0.48,?,0.92,?,1
0.72,0.46,?,?,?,0.7,1
?,?,0.48,?,0.71,0.75,1
0.33,0.56,0.48,0.33,0.78,0.8,1
0.64,0.58,?,0.48,0.78,0.73,1
?,0.57,0.48,0.56,?,?,1
0.47,?,?,0.52,0.76,?,?
0.63,0.5,?,0.59,?,0.86,?
0.49,?,?,?,0.79,0.81,1
0.31,0.5,?,?,0.84,0.85,?
0.74,?,0.48,?,0.88,0.89,?
0.33,?,0.48,?,?,?,?
0.45,?,0.48,0.61,0.74,?,?
0.71,0.4,0.48,0.71,?,0.74,1
0.5,0.37,0.48,0.66,0.64,?,?
0.66,?,0.48,?,?,0.66,1
0.6,?,0.48,?,0.67,0.71,1
0.83,?,?,?,0.71,?,1
0.34,0.51,0.48,?,?,?,?
0.63,0.54,?,?,0.79,0.81,1
?,?,0.48,0.56,?,0.83,1
0.6,0.5,?,0.54,0.77,0.8,?
?,0.51,?,0.33,0.39,0.48,?
?,0.7,0.48,0.66,?,0.69,?
?,0.46,?,?,0.78,0.81,?
0.89,?,0.48,0.51,?,0.76,1
0.7,0.46,?,?,0.78,0.73,1
?,?,?,0.63,0.7,?,1
0.61,?,0.48,0.54,0.67,0.52,?
0.33,?,0.48,0.46,0.65,0.69,1
0.63,0.65,?,0.66,0.67,?,?
?,?,0.48,0.53,?,?,?
0.34,0.67,0.48,?,0.76,0.79,1
?,0.34,0.48,?,0.87,0.81,1
?,0.56,0.48,?,0.8,0.82,1
?,0.4,?,?,0.62,0.67,1
0.5,?,?,0.71,0.61,0.66,1
?,0.46,?,0.45,0.81,0.83,1
?,0.47,?,0.39,?,0.79,1
?,?,0.48,0.57,0.7,0.74,1
?,0.47,?,0.51,0.69,?,?
?,?,?,0.52,0.72,?,1
0.35,0.51,0.48,0.61,?,0.74,?
?,?,0.48,?,0.79,0.82,1
0.61,?,0.48,0.46,0.87,0.88,1
?,0.49,?,0.52,0.77,?,?
?,?,0.48,0.58,?,?,1
?,?,0.48,?,0.94,?,?
0.68,?,?,0.71,?,0.78,?
?,0.39,0.48,0.57,0.76,0.79,1
?,?,?,0.62,0.76,0.79,1
0.46,0.59,?,0.36,0.76,?,1
0.36,0.45,0.48,0.38,0.79,0.17,?
?,0.51,0.48,?,?,?,1
0.1,0.49,0.48,?,?,?,1
?,?,0.48,?,?,?,?
?,0.47,0.48,?,0.8,?,1
?,0.75,0.48,?,0.73,?,1
0.71,0.52,0.48,?,1.0,0.99,1
0.85,0.53,?,0.53,0.52,0.35,3
?,0.49,0.48,0.54,?,?,3
0.75,0.55,1.0,?,0.47,0.3,?
?,?,1.0,?,?,0.84,?
0.72,?,0.48,?,0.77,0.79,4
0.79,0.41,?,?,?,0.83,4
0.83,?,?,0.65,0.76,0.79,4
0.69,0.43,?,?,0.74,0.77,4
0.79,0.36,0.48,?,?,0.7,4
?,?,?,0.57,?,0.79,?
?,0.37,?,0.64,0.7,0.74,?
0.59,0.29,0.48,?,0.75,0.77,4
0.67,?,?,?,0.64,?,?
?,0.48,0.48,?,?,?,4
0.64,?,?,?,?,0.76,?
0.76,0.71,?,0.5,?,0.75,4
0.84,0.49,?,?,?,0.74,4
0.77,0.55,0.48,0.51,0.78,0.74,?
?,0.44,?,?,0.67,0.68,4
?,?,0.48,0.59,?,?,4
0.63,?,?,0.48,0.77,0.8,4
?,0.42,0.48,0.58,0.79,0.81,?
0.86,?,?,0.59,0.89,?,4
?,0.53,?,?,?,?,4
0.87,0.49,0.48,?,0.76,0.79,?
?,0.46,0.48,?,?,0.77,?
0.76,?,0.48,0.5,?,0.62,4
?,0.53,0.48,?,?,?,4
0.64,0.45,?,0.67,?,0.66,?
0.81,0.52,0.48,?,0.78,0.8,?
0.73,0.26,0.48,0.57,?,0.78,4
?,0.61,1.0,?,0.71,0.74,4
?,?,0.48,?,0.73,0.75,4
0.84,0.54,?,0.75,?,?,4
0.63,0.51,0.48,0.64,?,0.76,4
?,0.55,0.48,?,?,0.83,?
?,?,0.48,?,?,0.68,?
0.57,0.38,0.48,0.06,?,?,?
0.78,?,0.48,0.45,0.73,?,4
0.78,0.68,0.48,?,?,0.29,5
0.63,?,0.48,0.65,?,0.28,5
0.67,0.88,0.48,?,0.5,0.25,5
?,0.75,0.48,?,0.33,0.33,?
0.67,0.84,?,0.74,0.54,?,5
0.74,0.9,0.48,0.57,0.53,0.29,5
?,?,0.48,0.86,0.58,?,?
0.75,0.76,0.48,?,?,0.3,?
0.77,?,0.48,?,?,0.2,5
0.74,?,0.48,0.75,0.54,0.15,5
0.68,0.76,0.48,?,?,?,?
0.56,?,?,0.77,?,?,?
?,0.51,0.48,0.66,?,?,5
?,0.81,?,0.72,0.38,?,5
?,?,?,?,0.33,0.26,?
?,0.76,1.0,0.77,?,?,5
?,0.59,0.48,?,0.39,?,5
0.63,?,?,?,?,0.28,?
?,0.71,?,0.68,0.43,?,5
0.68,0.63,0.48,0.73,?,0.3,?
?,?,1.0,0.37,0.54,?,6
?,?,1.0,?,0.56,0.36,6
0.71,?,?,0.52,0.59,0.3,6
0.67,0.55,?,0.66,?,?,6
0.68,0.49,?,?,?,0.28,?
0.74,0.49,?,?,0.54,0.36,7
0.7,0.61,?,0.56,0.52,0.43,?
0.66,0.86,0.48,0.34,?,0.36,7
0.73,?,0.48,0.58,?,0.31,7
0.65,?,?,0.47,?,0.51,7
0.72,0.86,0.48,0.17,0.55,0.21,?
0.67,?,0.48,0.46,0.45,0.33,?
0.67,0.81,?,0.54,0.49,0.23,?
0.67,0.61,0.48,0.51,0.37,0.38,7
?,1.0,0.48,?,?,?,7
?,0.59,?,?,0.47,?,?
?,?,0.48,0.4,?,?,7
0.66,0.74,?,0.31,?,0.43,7
0.67,0.81,?,?,0.42,0.25,7
?,0.72,?,0.49,0.42,?,7
?,?,?,0.38,0.65,0.56,7
?,0.39,0.48,?,?,?,7
0.7,?,?,0.47,0.51,0.47,?
0.63,0.57,0.48,0.49,0.7,?,7
0.74,0.82,?,0.49,0.49,0.41,7
?,0.86,?,0.39,0.47,?,7
0.63,0.83,0.48,0.4,?,0.19,?
0.63,0.71,0.48,0.6,?,0.39,7
?,0.86,0.48,0.4,?,?,?
0.68,0.78,0.48,?,0.44,?,7
0.64,?,?,?,0.45,0.4,7
?,?,?,?,?,0.42,7
0.75,?,?,0.35,0.52,0.33,7
0.63,0.65,?,?,0.44,0.35,7
0.69,0.67,0.48,?,0.39,?,?
?,0.71,0.48,0.42,0.84,0.85,7
0.69,0.8,0.48,0.46,0.57,?,?
0.64,?,0.48,0.41,?,?,7
?,0.8,?,0.46,0.31,0.29,7
0.66,0.71,0.48,?,0.5,0.35,?
?,0.59,0.48,0.46,?,0.52,?
?,0.67,?,0.49,?,0.34,?
0.64,0.78,?,?,0.36,?,7
?,?,0.48,0.47,0.49,0.54,7
?,0.73,?,?,0.39,0.39,?
0.64,?,0.48,0.37,0.39,0.44,7
?,0.39,0.48,?,0.4,0.48,7
0.62,0.83,0.48,?,0.36,?,7
?,?,0.48,0.43,0.37,0.3,7
?,0.66,0.48,0.41,0.5,0.25,?
0.69,0.65,?,?,0.48,0.41,?
?,0.59,0.48,?,?,?,?
0.74,?,0.48,?,?,0.3,7
?,0.57,0.48,?,?,?,7
?,0.6,0.48,0.44,0.39,0.38,7
0.59,0.61,?,0.42,0.42,0.37,7
0.74,0.74,?,0.31,0.53,0.52,?
