@relation dataset

@attribute mcg real
@attribute gvh real
@attribute lip real
@attribute chg real
@attribute aac real
@attribute alm1 real
@attribute alm2 real
@attribute class {cp, im, imL, imS, imU, om, omL, pp}


@data
0.31,0.44,?,?,0.5,?,0.82,im
0.61,?,0.48,0.5,?,0.87,0.88,im
0.48,0.49,?,0.5,0.52,?,?,im
?,?,0.48,?,?,?,0.68,im
0.31,0.36,0.48,0.5,?,?,0.94,?
0.68,?,?,?,0.71,0.75,0.78,?
0.69,0.39,0.48,0.5,?,0.76,0.79,im
0.52,0.54,0.48,?,0.62,?,?,im
0.46,?,0.48,0.5,0.36,?,0.23,im
0.36,?,0.48,0.5,0.38,0.79,0.17,?
0.0,?,0.48,?,0.35,0.67,0.44,?
0.1,0.49,?,0.5,0.41,0.67,0.21,?
?,?,?,0.5,0.42,0.61,0.34,im
?,0.47,?,?,0.0,0.8,0.32,?
0.63,0.75,0.48,0.5,0.64,0.73,?,?
?,?,0.48,0.5,0.64,?,?,?
0.85,0.53,0.48,0.5,0.53,0.52,?,imS
0.63,0.49,0.48,?,0.54,?,0.79,imS
0.75,0.55,1.0,?,0.4,0.47,0.3,?
0.7,0.39,?,?,0.51,0.82,0.84,?
0.72,?,0.48,0.5,?,?,?,imU
?,?,?,?,0.66,?,0.83,imU
?,?,0.48,?,0.65,?,0.79,?
0.69,?,0.48,0.5,0.59,?,0.77,?
?,0.36,?,0.5,0.46,?,?,imU
0.78,0.33,0.48,0.5,0.57,0.77,?,imU
0.75,?,0.48,?,0.64,0.7,?,imU
?,?,0.48,0.5,?,?,0.77,?
?,0.37,?,?,0.54,?,?,?
?,?,?,?,0.54,?,?,imU
0.64,0.46,0.48,0.5,?,0.73,0.76,?
?,0.71,0.48,0.5,?,0.71,0.75,?
0.84,0.49,?,?,0.55,0.78,0.74,imU
?,?,0.48,?,?,?,?,?
0.81,?,?,?,0.42,0.67,0.68,imU
0.58,0.6,0.48,0.5,?,?,0.76,?
?,0.42,0.48,0.5,0.48,?,?,?
0.62,?,0.48,?,?,?,0.81,imU
0.86,0.39,?,0.5,0.59,0.89,0.9,?
?,0.53,?,?,?,?,0.88,imU
0.87,0.49,0.48,0.5,?,?,0.79,?
?,?,0.48,?,0.62,0.74,0.77,?
?,?,0.48,0.5,?,0.59,?,imU
?,?,?,0.5,0.7,0.86,?,?
0.64,0.45,0.48,0.5,0.67,0.61,0.66,?
0.81,0.52,0.48,0.5,0.57,0.78,0.8,imU
?,0.26,?,0.5,0.57,0.75,?,?
?,?,1.0,0.5,0.56,0.71,0.74,imU
0.88,?,0.48,?,0.52,?,?,imU
?,0.54,0.48,0.5,0.75,0.92,0.7,imU
0.63,0.51,0.48,0.5,0.64,?,?,imU
?,?,0.48,0.5,?,?,0.83,?
?,0.54,?,0.5,?,0.66,0.68,imU
?,0.38,0.48,0.5,0.06,?,?,imU
0.78,?,0.48,?,0.45,?,0.68,imU
?,0.68,0.48,0.5,?,0.4,0.29,om
?,0.69,0.48,?,0.65,?,0.28,om
?,0.88,0.48,?,?,0.5,0.25,?
0.61,0.75,?,?,0.51,0.33,0.33,om
0.67,0.84,?,0.5,0.74,?,0.37,om
0.74,?,0.48,0.5,0.57,0.53,0.29,om
?,0.84,0.48,0.5,0.86,0.58,?,?
0.75,?,?,0.5,?,?,?,?
?,0.57,0.48,0.5,0.88,0.53,0.2,?
0.74,?,?,?,0.75,?,0.15,om
0.68,0.76,?,0.5,0.84,?,0.27,?
0.56,?,?,?,0.77,0.36,?,om
?,0.51,0.48,0.5,?,0.54,0.33,?
?,0.81,0.48,0.5,0.72,0.38,0.38,?
0.64,?,0.48,?,?,?,?,om
0.6,?,?,?,0.77,?,?,?
?,?,0.48,0.5,0.77,?,?,?
?,?,0.48,0.5,0.79,0.45,?,?
0.71,0.71,0.48,0.5,0.68,0.43,?,om
0.68,?,0.48,0.5,0.73,0.4,0.3,om
?,0.57,1.0,0.5,0.37,?,?,?
0.66,?,1.0,0.5,0.54,0.56,0.36,?
?,0.46,?,0.5,0.52,0.59,0.3,omL
0.67,0.55,?,0.5,?,0.58,0.16,omL
?,?,1.0,?,?,0.55,0.28,?
?,0.49,?,0.5,?,?,?,pp
0.7,0.61,?,0.5,0.56,0.52,0.43,?
0.66,0.86,0.48,?,0.34,0.41,0.36,pp
?,0.78,?,0.5,0.58,0.51,?,?
?,0.57,?,?,0.47,0.47,?,?
?,?,0.48,?,0.17,0.55,0.21,pp
0.67,?,0.48,0.5,?,0.45,0.33,?
?,0.81,0.48,0.5,0.54,0.49,0.23,pp
0.67,0.61,?,?,0.51,0.37,0.38,pp
0.63,?,?,0.5,0.35,0.51,0.49,pp
0.57,0.59,?,?,0.39,?,0.33,pp
?,0.71,0.48,0.5,0.4,?,0.39,?
0.66,0.74,?,?,?,?,0.43,pp
?,?,0.48,0.5,0.25,0.42,?,pp
?,?,0.48,0.5,0.49,?,0.19,pp
0.68,0.82,0.48,?,0.38,?,0.56,pp
?,0.39,0.48,?,0.53,0.28,?,?
?,0.64,0.48,0.5,0.47,?,0.47,?
0.63,0.57,0.48,?,?,0.7,?,pp
?,?,?,?,?,0.49,0.41,pp
0.63,0.86,0.48,0.5,?,0.47,?,pp
?,0.83,0.48,?,0.4,?,0.19,?
0.63,0.71,?,?,0.6,?,0.39,pp
0.71,?,0.48,?,?,?,0.32,?
0.68,0.78,?,?,0.43,?,0.42,pp
?,0.84,0.48,0.5,?,0.45,?,pp
?,?,0.48,?,0.5,0.57,0.42,?
0.75,0.84,0.48,0.5,?,0.52,?,pp
?,?,0.48,0.5,?,?,?,pp
?,?,0.48,0.5,?,0.39,0.24,pp
0.7,?,0.48,0.5,0.42,0.84,0.85,?
0.69,0.8,?,0.5,0.46,0.57,0.26,pp
?,?,?,?,0.41,?,?,pp
?,?,?,0.5,0.46,0.31,?,pp
?,0.71,?,0.5,?,0.5,0.35,?
0.69,0.59,?,?,?,0.44,0.52,pp
0.68,0.67,0.48,0.5,0.49,0.4,?,pp
?,0.78,?,0.5,?,?,0.38,pp
?,0.78,?,0.5,?,?,0.54,?
?,?,?,0.5,?,0.39,?,?
0.64,0.81,?,?,0.37,?,0.44,?
0.29,0.39,0.48,0.5,0.52,?,?,pp
0.62,0.83,0.48,0.5,0.46,?,?,?
0.56,?,0.48,?,0.43,?,0.3,?
?,?,0.48,?,?,0.5,0.25,pp
?,0.65,0.48,?,0.63,0.48,0.41,?
?,0.59,?,0.5,0.52,?,?,pp
0.74,0.56,0.48,?,0.47,0.68,0.3,pp
0.71,?,0.48,0.5,0.48,0.35,0.32,?
?,0.6,?,?,0.44,0.39,?,?
?,0.61,?,0.5,0.42,?,?,pp
0.74,?,0.48,0.5,0.31,0.53,?,pp
