@relation dataset

@attribute mcg real
@attribute gvh real
@attribute lip real
@attribute aac real
@attribute alm1 real
@attribute alm2 real
@attribute class {0, 1, 2, 3, 4, 5, 6, 7}


@data
?,?,0.48,?,?,?,0
?,?,0.48,0.58,?,0.41,?
0.38,0.4,?,0.63,0.25,0.35,0
0.24,?,0.48,0.63,0.34,0.43,?
?,0.26,?,0.54,?,?,?
0.33,?,0.48,0.53,0.18,?,0
?,?,0.48,?,?,0.4,0
0.26,0.5,0.48,0.44,0.32,?,0
0.44,?,0.48,?,0.38,0.4,0
?,0.32,0.48,0.33,0.45,?,?
0.49,?,0.48,?,0.3,?,0
?,0.28,0.48,?,0.2,0.25,?
?,0.33,0.48,0.6,0.06,?,?
0.34,0.35,?,0.51,0.49,0.56,?
?,?,?,0.46,0.3,?,?
0.38,0.3,0.48,0.43,0.29,0.39,0
0.38,?,0.48,?,0.2,0.31,0
0.41,0.51,?,0.58,?,0.31,0
0.34,0.42,0.48,?,?,0.43,?
0.51,0.49,0.48,0.53,0.14,?,?
0.25,?,0.48,?,?,0.5,0
?,0.28,0.48,0.5,0.42,0.5,0
?,0.26,0.48,?,?,0.42,?
?,0.41,?,?,0.23,?,?
?,?,?,?,0.3,0.39,0
?,0.31,?,?,0.29,?,?
0.61,0.36,0.48,?,0.35,?,0
0.34,?,?,0.44,0.37,?,0
0.28,0.33,?,0.45,0.22,0.33,?
0.4,?,?,?,0.35,?,?
?,?,?,0.43,?,?,?
?,?,0.48,0.42,0.39,0.47,?
?,0.38,?,?,0.48,0.55,?
?,0.31,?,0.38,0.34,0.43,?
?,?,0.48,?,?,0.33,?
?,0.3,0.48,0.71,?,?,0
0.17,0.52,?,0.49,?,?,0
?,0.42,?,?,?,?,?
?,?,0.48,0.43,0.18,?,0
0.26,?,0.48,0.36,0.26,?,?
0.4,?,?,0.55,0.22,?,?
0.22,0.34,?,?,0.29,0.39,?
?,0.35,0.48,0.44,?,0.59,0
0.27,?,0.48,0.37,0.38,?,0
?,0.43,0.48,?,?,?,0
0.06,0.61,?,?,?,?,?
?,0.52,0.48,?,?,0.54,?
0.63,0.47,0.48,0.51,?,0.84,?
0.23,?,0.48,?,?,?,1
0.34,0.49,0.48,0.58,?,?,1
0.43,?,?,0.58,?,0.78,1
0.46,?,0.48,?,0.86,?,1
?,?,0.48,0.51,?,0.79,1
0.52,0.39,?,0.65,0.71,?,1
0.29,?,?,0.71,0.65,?,1
0.55,0.47,0.48,0.57,0.78,?,1
?,0.67,?,?,0.58,0.63,?
0.4,0.5,0.48,0.65,0.82,?,1
0.73,0.36,0.48,?,0.91,0.92,1
0.84,0.44,0.48,?,0.71,?,1
0.48,0.45,0.48,0.6,0.78,?,1
0.54,0.49,0.48,?,0.87,0.88,1
0.48,?,0.48,0.51,0.9,0.88,1
?,0.66,0.48,?,?,?,?
0.72,0.46,?,0.51,0.66,0.7,?
0.47,0.55,?,0.58,?,?,1
0.33,?,0.48,0.33,?,0.8,1
0.64,0.58,?,0.48,0.78,0.73,1
0.54,?,?,0.56,0.81,?,1
?,0.59,?,?,?,0.79,?
?,0.5,0.48,?,?,0.86,1
?,0.42,0.48,0.53,?,0.81,1
?,0.5,0.48,0.57,0.84,?,?
?,?,0.48,0.55,0.88,0.89,1
0.33,0.45,0.48,?,?,?,1
0.45,0.4,0.48,?,?,0.77,1
0.71,?,0.48,0.71,?,?,1
0.5,0.37,0.48,0.66,?,?,?
0.66,0.53,?,0.59,0.66,?,1
?,0.61,?,0.54,0.67,0.71,?
?,0.37,0.48,?,0.71,0.74,?
?,0.51,0.48,0.67,0.9,?,1
0.63,0.54,?,0.65,0.79,0.81,1
0.7,0.4,?,0.56,0.86,0.83,?
?,0.5,1.0,0.54,0.77,?,1
?,?,?,?,?,?,1
?,?,0.48,?,0.65,0.69,1
0.2,0.46,?,?,0.78,0.81,?
?,0.55,0.48,0.51,0.72,0.76,1
0.7,?,?,?,0.78,?,1
0.12,?,0.48,0.63,0.7,?,1
0.61,0.52,0.48,0.54,?,0.52,?
0.33,?,?,?,?,0.69,1
0.63,0.65,?,0.66,?,?,?
0.41,0.51,0.48,0.53,?,0.78,?
?,?,0.48,?,0.76,0.79,1
?,?,0.48,0.56,0.87,0.81,?
0.59,0.56,?,0.55,0.8,0.82,1
?,0.4,?,?,0.62,?,1
0.5,0.57,0.48,0.71,0.61,0.66,?
0.6,?,0.48,0.45,0.81,0.83,1
0.37,0.47,0.48,?,0.76,0.79,?
?,0.55,?,0.57,0.7,0.74,1
?,0.47,0.48,0.51,0.69,0.72,1
?,0.41,0.48,0.52,0.72,0.75,?
0.35,0.51,0.48,0.61,0.71,0.74,1
?,0.44,?,0.5,0.79,0.82,1
?,0.66,0.48,?,0.87,0.88,1
0.48,?,0.48,0.52,0.77,0.71,1
?,0.5,0.48,0.58,0.72,0.68,1
?,0.36,0.48,0.58,0.94,0.94,?
0.68,0.51,0.48,?,?,?,?
0.69,0.39,?,0.57,0.76,?,?
?,0.54,0.48,0.62,0.76,?,1
?,0.59,0.48,0.36,?,0.23,1
?,0.45,?,0.38,?,0.17,?
?,0.51,0.48,0.35,?,0.44,1
0.1,0.49,0.48,0.41,?,0.21,?
0.3,0.51,0.48,0.42,?,0.34,?
?,0.47,?,?,?,0.32,1
0.63,0.75,?,0.64,?,0.66,1
?,0.52,?,?,1.0,?,1
0.85,0.53,0.48,?,0.52,0.35,?
?,?,0.48,0.54,0.76,?,?
0.75,0.55,1.0,?,0.47,0.3,2
0.7,0.39,1.0,?,?,?,?
?,?,0.48,?,?,?,?
0.79,?,0.48,?,?,0.83,?
0.83,0.48,0.48,0.65,?,?,?
0.69,?,?,?,?,0.77,4
?,?,?,0.46,0.82,?,4
0.78,0.33,?,?,0.77,0.79,?
0.75,?,0.48,?,?,0.74,?
?,0.29,0.48,0.64,0.75,0.77,?
0.67,?,0.48,0.54,?,0.68,4
0.66,0.48,0.48,0.54,0.7,0.74,4
0.64,?,0.48,0.48,0.73,0.76,4
0.76,?,0.48,?,?,?,?
?,0.49,?,?,0.78,?,4
?,?,?,0.51,0.78,0.74,4
0.81,0.44,0.48,?,0.67,0.68,?
?,?,0.48,0.59,0.73,?,4
0.63,0.42,?,0.48,0.77,0.8,4
?,?,0.48,0.58,0.79,?,?
0.86,0.39,0.48,0.59,?,0.9,4
0.81,?,?,0.57,?,0.88,4
0.87,?,?,?,0.76,0.79,?
?,0.46,?,?,?,?,4
?,?,0.48,0.5,?,0.62,4
0.7,?,0.48,0.7,0.86,?,4
?,?,0.48,0.67,?,?,?
?,?,0.48,0.57,0.78,?,4
?,0.26,0.48,?,0.75,0.78,?
?,?,1.0,?,0.71,0.74,4
0.88,0.42,?,?,?,?,4
?,?,0.48,0.75,0.92,0.7,4
?,?,?,?,?,0.76,4
?,0.55,0.48,0.63,?,?,4
?,?,0.48,0.5,0.66,0.68,4
?,0.38,0.48,?,0.49,?,4
0.78,0.44,?,?,0.73,?,?
0.78,0.68,?,?,0.4,0.29,?
?,0.69,?,?,0.41,?,5
?,?,?,0.73,?,0.25,5
?,?,0.48,0.51,0.33,?,5
?,?,?,0.74,?,0.37,5
0.74,0.9,?,0.57,0.53,0.29,5
?,?,0.48,0.86,0.58,?,?
0.75,0.76,?,0.83,?,?,5
0.77,0.57,?,0.88,?,?,?
0.74,0.78,0.48,0.75,?,?,?
?,0.76,0.48,0.84,0.45,?,5
?,0.68,?,?,0.36,0.45,?
0.65,0.51,0.48,0.66,0.54,?,?
0.52,0.81,0.48,?,?,?,5
?,0.57,?,0.7,?,?,?
0.6,0.76,1.0,0.77,0.59,0.52,5
0.69,0.59,0.48,0.77,0.39,?,5
0.63,0.49,?,?,?,?,5
0.71,0.71,?,0.68,0.43,0.36,5
0.68,0.63,0.48,?,0.4,0.3,?
0.77,0.57,1.0,0.37,0.54,?,6
0.66,0.49,1.0,?,0.56,?,6
?,?,1.0,0.52,0.59,0.3,6
?,?,1.0,?,0.58,0.16,?
0.68,?,1.0,?,0.55,0.28,6
0.74,?,?,?,0.54,0.36,?
0.7,0.61,?,0.56,0.52,0.43,?
0.66,0.86,0.48,0.34,0.41,0.36,7
?,0.78,0.48,?,0.51,0.31,7
0.65,0.57,0.48,0.47,?,0.51,7
?,0.86,?,0.17,?,?,7
0.67,?,0.48,?,0.45,0.33,?
0.67,?,0.48,0.54,?,0.23,?
0.67,0.61,0.48,?,0.37,0.38,7
?,1.0,0.48,0.35,?,0.49,?
0.57,0.59,?,0.39,?,?,?
0.71,?,?,0.4,0.54,0.39,7
0.66,?,0.48,?,0.38,0.43,?
?,?,?,0.25,?,?,7
0.64,0.72,?,0.49,0.42,?,7
0.68,0.82,0.48,0.38,0.65,0.56,7
0.32,?,0.48,?,0.28,0.38,7
?,?,0.48,?,0.51,?,7
0.63,0.57,0.48,0.49,0.7,0.2,7
?,?,?,0.49,0.49,?,?
0.63,0.86,?,0.39,0.47,0.34,7
0.63,?,?,0.4,?,0.19,7
0.63,?,0.48,?,?,?,7
0.71,0.86,0.48,0.4,0.54,?,7
?,0.78,0.48,?,0.44,0.42,7
?,0.84,0.48,0.37,?,?,?
?,?,?,?,?,0.42,?
0.75,0.84,?,0.35,0.52,0.33,?
?,?,?,0.39,0.44,0.35,7
0.69,?,?,0.3,0.39,?,?
0.7,?,?,0.42,?,?,7
0.69,0.8,?,?,?,0.26,?
0.64,0.66,?,0.41,0.39,0.2,7
?,0.8,0.48,?,?,0.29,7
?,0.71,0.48,0.41,0.5,0.35,?
?,0.59,0.48,?,?,?,?
0.68,0.67,?,0.49,0.4,?,?
0.64,0.78,0.48,?,0.36,0.38,7
0.62,?,0.48,0.47,?,0.54,7
0.76,?,0.48,?,?,?,7
0.64,0.81,?,?,0.39,?,7
?,?,0.48,0.52,0.4,?,7
?,0.83,0.48,?,0.36,?,7
0.56,?,0.48,0.43,0.37,0.3,7
0.69,0.66,?,?,?,?,?
0.69,0.65,?,?,0.48,?,7
?,0.59,0.48,0.52,0.49,?,7
0.74,0.56,0.48,0.47,0.68,?,?
0.71,?,?,0.48,?,?,7
0.61,?,?,0.44,0.39,?,?
0.59,0.61,?,0.42,0.42,0.37,?
0.74,?,0.48,0.31,0.53,?,7
