@relation dataset

@attribute V1 real
@attribute V2 real
@attribute V3 real
@attribute V4 real
@attribute V5 real
@attribute V6 real
@attribute V7 real
@attribute V8 real
@attribute V9 real
@attribute V10 real
@attribute V11 real
@attribute V12 real
@attribute V13 real
@attribute V14 real
@attribute V15 real
@attribute V16 real
@attribute V17 real
@attribute V18 real
@attribute V19 real
@attribute V20 real
@attribute V21 real
@attribute V22 real
@attribute V23 real
@attribute V24 real
@attribute V25 real
@attribute V26 real
@attribute V27 real
@attribute V28 real
@attribute V29 real
@attribute V30 real
@attribute V31 real
@attribute V32 real
@attribute V33 real
@attribute V34 real
@attribute V35 real
@attribute V36 real
@attribute V37 real
@attribute V38 real
@attribute V39 real
@attribute V40 real
@attribute V41 real
@attribute class {1, 2}


@data
5.04,?,0.0,?,?,0.0,2.0,?,0.0,?,3.0,-1.29,3.483,1.258,?,?,?,?,0.0,1.0,0.0,1.199,1.0,?,0.0,?,2.323,0.005,0.0,30.959,1.711,0.0,1.0,2.0,1.0,?,?,1.0,?,?,?,?
?,?,0.0,?,?,0.0,2.0,52.9,0.0,?,?,-0.302,?,0.629,?,?,1.018,1.098,0.0,0.0,0.0,?,?,0.0,0.0,?,2.333,?,0.0,10.717,1.207,0.0,1.0,0.0,?,3.767,2.5,0.0,?,0.0,0.0,?
3.618,?,0.0,?,0.0,0.0,0.0,?,2.0,0.0,?,0.0,2.333,1.522,7.853,0.0,?,?,0.0,0.0,0.0,?,0.0,?,0.0,0.0,1.732,?,0.0,0.0,?,0.0,0.0,?,0.0,?,1.7,0.0,?,0.0,0.0,?
?,?,?,0.0,0.0,?,?,?,3.0,?,0.0,?,?,?,8.755,0.0,0.959,?,?,?,?,?,?,?,?,0.0,?,?,0.0,0.0,?,0.0,?,0.0,0.0,?,1.722,0.0,6.77,0.0,0.0,?
?,2.3391,0.0,?,0.0,0.0,0.0,30.0,2.0,?,?,0.0,2.511,?,8.16,?,?,1.145,?,0.0,0.0,?,?,0.0,?,0.0,1.802,?,0.0,0.0,?,?,0.0,?,0.0,?,?,?,?,?,0.0,?
?,2.5951,0.0,0.0,0.0,0.0,?,31.0,?,0.0,0.0,?,2.908,?,?,?,0.96,1.143,0.0,0.0,0.0,1.202,?,?,0.0,0.0,1.902,?,0.0,?,3.685,0.0,0.0,0.0,0.0,2.924,1.611,?,?,0.0,?,2
3.942,2.7719,?,?,0.0,0.0,?,31.6,?,0.0,0.0,?,?,2.777,9.207,0.0,?,?,?,?,?,?,0.0,0.0,?,0.0,1.95,?,0.0,0.0,5.294,0.0,?,0.0,0.0,3.542,?,?,8.127,?,1.0,2
3.966,2.852,?,?,0.0,?,?,32.0,2.0,0.0,?,0.0,?,3.146,9.522,0.0,?,?,?,?,0.0,?,0.0,?,?,0.0,1.97,0.0,1.0,0.0,?,0.0,0.0,?,?,?,?,0.0,11.578,?,1.0,?
?,2.3761,0.0,?,?,?,?,?,?,0.0,?,0.0,2.532,?,?,0.0,0.969,?,0.0,?,0.0,?,0.0,0.0,0.0,?,1.802,-0.195,0.0,0.0,?,?,0.0,1.0,2.0,2.858,2.0,1.0,?,?,?,?
4.0,2.6264,0.0,0.0,0.0,?,?,?,?,0.0,?,0.0,2.167,0.811,?,0.0,0.972,1.166,0.0,?,0.0,1.182,0.0,0.0,0.0,0.0,1.732,?,0.0,0.0,1.0,?,0.0,0.0,0.0,2.991,?,?,6.579,?,?,2
?,1.1521,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,1.549,0.0,?,0.0,1.016,1.173,0.0,?,0.0,?,?,0.0,0.0,?,?,-1.099,?,?,1.0,?,0.0,0.0,1.0,2.279,?,?,?,?,0.0,2
?,2.4062,?,0.0,0.0,0.0,0.0,?,2.0,1.0,?,?,2.555,?,?,1.0,?,?,0.0,?,?,1.134,0.0,?,0.0,0.0,?,-0.205,0.0,?,2.488,0.0,?,0.0,1.0,2.874,?,0.0,?,?,0.0,?
4.0,?,?,?,0.0,?,?,30.0,1.0,?,0.0,0.0,2.273,1.0,?,0.0,0.998,1.146,?,0.0,?,?,?,0.0,0.0,?,2.17,?,0.0,0.0,?,?,0.0,0.0,?,3.302,2.083,?,7.174,0.0,0.0,?
3.414,2.2525,0.0,?,0.0,?,?,?,2.0,?,0.0,0.0,2.243,1.0,7.408,?,?,?,?,0.0,?,0.98,?,?,?,0.0,1.618,?,?,0.0,1.707,0.0,0.0,0.0,2.0,2.817,?,?,6.32,?,0.0,2
4.17,2.8042,0.0,0.0,?,0.0,0.0,23.1,2.0,2.0,?,0.0,2.449,?,8.597,?,1.015,1.16,0.0,?,0.0,1.044,0.0,?,0.0,?,?,0.391,0.0,?,1.542,0.0,0.0,0.0,2.0,?,3.367,0.0,6.782,0.0,?,?
?,2.9558,0.0,?,0.0,?,0.0,25.0,2.0,?,?,?,2.608,1.459,?,2.0,1.005,1.156,?,0.0,?,?,0.0,?,?,?,?,?,0.0,0.0,?,?,?,0.0,2.0,3.083,?,0.0,6.914,?,?,2
3.414,?,0.0,?,0.0,0.0,?,37.5,1.0,1.0,0.0,?,?,?,?,1.0,?,1.13,?,0.0,?,1.215,?,0.0,0.0,?,?,-0.66,?,?,1.707,0.0,?,0.0,?,?,?,0.0,?,0.0,?,2
?,3.0057,0.0,0.0,?,0.0,0.0,?,1.0,2.0,0.0,0.0,2.608,?,?,?,?,?,?,0.0,0.0,?,0.0,0.0,0.0,0.0,?,-0.236,?,0.0,2.052,?,?,?,?,3.087,2.722,0.0,6.989,?,0.0,2
3.848,2.8521,0.0,0.0,0.0,?,?,27.3,?,?,0.0,0.0,2.858,2.0,8.584,1.0,?,?,0.0,?,?,1.117,0.0,0.0,0.0,?,1.879,?,?,?,3.284,0.0,0.0,0.0,?,2.997,2.375,0.0,7.074,0.0,0.0,2
?,?,0.0,0.0,?,?,?,30.0,1.0,?,?,?,2.263,?,7.408,1.0,?,?,?,0.0,?,?,0.0,0.0,?,0.0,1.618,-0.589,?,9.174,1.707,0.0,0.0,?,0.0,?,3.125,0.0,6.735,?,?,2
?,3.6458,0.0,?,0.0,?,0.0,?,3.0,1.0,?,?,?,2.187,9.562,1.0,?,?,?,0.0,0.0,?,?,0.0,?,0.0,?,0.013,?,?,?,0.0,0.0,0.0,?,?,2.303,0.0,8.029,0.0,?,?
?,?,?,?,0.0,0.0,0.0,31.3,3.0,?,?,0.259,2.634,0.918,9.184,2.0,0.984,1.143,?,?,?,1.206,?,?,0.0,0.0,?,?,?,10.144,?,?,0.0,0.0,0.0,3.375,?,0.0,7.403,?,?,?
4.0,?,0.0,?,0.0,0.0,0.0,30.0,?,?,?,0.167,?,0.811,8.318,?,?,1.146,0.0,0.0,?,1.195,?,?,0.0,?,1.732,?,?,?,1.0,0.0,0.0,0.0,?,3.261,3.167,0.0,7.097,?,?,?
4.694,3.646,0.0,0.0,0.0,0.0,?,30.0,?,?,0.0,-0.671,2.917,1.406,?,4.0,?,1.146,?,?,0.0,?,0.0,0.0,0.0,0.0,2.101,?,?,?,?,?,?,?,?,?,2.875,0.0,7.595,0.0,0.0,2
4.236,2.9879,0.0,0.0,0.0,0.0,0.0,?,0.0,?,0.0,-0.653,?,3.574,?,?,0.972,?,0.0,0.0,?,?,0.0,0.0,?,0.0,1.996,?,0.0,?,10.108,0.0,0.0,0.0,1.0,3.329,?,0.0,?,0.0,?,2
4.17,3.4453,0.0,?,0.0,?,0.0,?,1.0,?,0.0,?,2.512,?,?,?,1.028,?,?,?,0.0,1.112,?,?,?,0.0,1.848,0.425,?,9.59,?,0.0,0.0,0.0,?,3.337,?,?,7.294,?,0.0,2
4.214,?,?,0.0,?,?,?,28.6,?,2.0,0.0,-0.211,2.662,1.459,8.755,?,1.014,?,?,?,?,?,?,0.0,0.0,0.0,1.902,?,0.0,9.822,?,?,0.0,0.0,?,?,?,?,7.382,0.0,?,?
?,3.7074,0.0,?,0.0,?,0.0,?,?,2.0,?,?,?,1.459,8.755,1.0,1.025,?,0.0,0.0,0.0,?,0.0,?,0.0,0.0,?,-0.263,?,?,2.052,?,0.0,0.0,0.0,3.38,?,?,7.543,?,?,?
4.233,3.4039,0.0,0.0,0.0,?,?,27.8,1.0,?,?,?,?,1.906,9.011,1.0,?,1.15,0.0,0.0,0.0,1.119,0.0,0.0,?,?,?,?,?,10.041,?,?,?,?,0.0,3.349,2.833,?,7.61,0.0,?,2
4.334,3.6943,?,?,?,?,?,?,?,2.0,0.0,-0.241,?,1.557,8.944,?,?,1.139,?,0.0,0.0,?,0.0,?,0.0,0.0,1.97,?,?,?,2.195,0.0,0.0,0.0,?,?,?,?,?,0.0,0.0,?
4.372,?,0.0,?,0.0,?,?,?,?,2.0,?,?,?,2.246,?,3.0,0.993,1.139,0.0,0.0,0.0,?,0.0,?,0.0,?,2.024,?,0.0,?,3.412,0.0,0.0,?,0.0,3.394,2.517,?,7.788,0.0,0.0,2
?,4.5881,0.0,0.0,0.0,?,0.0,30.8,?,3.0,?,-0.209,?,1.907,10.633,?,0.989,1.144,0.0,?,?,?,0.0,0.0,0.0,0.0,?,?,0.0,11.278,3.598,0.0,?,0.0,?,3.503,2.461,0.0,?,?,?,2
4.446,?,?,0.0,?,0.0,0.0,?,?,4.0,0.0,-0.796,3.192,1.922,?,?,1.036,1.146,?,?,0.0,1.116,?,0.0,?,?,2.061,?,?,20.804,3.132,0.0,?,?,0.0,3.431,3.133,?,8.008,?,0.0,2
?,3.5866,0.0,?,?,?,?,?,2.0,?,?,-0.328,?,?,?,?,?,1.142,?,?,0.0,1.164,?,0.0,0.0,?,2.08,0.0,0.0,22.47,?,?,?,?,?,?,?,?,8.325,0.0,0.0,?
?,?,0.0,?,?,?,0.0,32.5,?,?,?,-0.117,?,3.427,10.56,10.0,0.981,1.14,?,?,?,?,?,0.0,?,0.0,?,0.0,?,?,?,?,?,0.0,0.0,3.393,2.086,?,8.693,0.0,?,2
?,?,?,?,0.0,0.0,?,?,?,?,?,-0.076,?,?,?,?,0.975,1.138,0.0,0.0,?,?,0.0,?,?,?,?,0.0,0.0,10.914,8.395,0.0,?,0.0,?,?,?,?,8.298,0.0,?,?
4.562,?,?,0.0,?,0.0,0.0,?,1.0,?,?,-0.759,?,0.918,?,4.0,?,?,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,2.0,?,0.0,?,?,0.0,?,?,?,?,3.556,?,?,?,0.0,?
4.629,4.0061,?,0.0,0.0,0.0,?,33.3,?,?,0.0,?,?,?,?,?,1.013,?,0.0,?,?,1.189,?,0.0,?,?,?,?,0.0,10.19,1.776,?,?,?,?,3.523,2.976,?,7.747,0.0,?,?
4.655,?,?,?,?,0.0,0.0,?,1.0,?,0.0,?,?,?,?,?,?,?,?,0.0,?,?,1.0,0.0,?,?,2.256,?,0.0,?,?,?,?,0.0,0.0,3.542,?,?,?,?,?,?
4.644,3.9071,0.0,0.0,?,?,0.0,?,2.0,?,0.0,?,?,?,9.467,?,1.021,1.142,0.0,0.0,?,?,0.0,0.0,0.0,?,2.084,?,?,?,2.732,?,?,0.0,1.0,?,3.093,?,?,?,0.0,?
?,?,0.0,0.0,?,?,0.0,?,?,5.0,?,-0.189,3.707,2.587,10.202,10.0,?,?,?,?,?,?,?,0.0,?,?,?,0.0,?,21.879,6.086,?,0.0,?,0.0,?,2.775,0.0,?,?,0.0,?
?,4.1984,0.0,?,0.0,?,0.0,33.3,?,?,0.0,-1.073,?,?,?,?,1.025,?,?,?,?,?,?,0.0,?,?,2.085,-0.008,0.0,?,3.737,?,?,?,0.0,?,?,?,8.196,?,?,?
4.562,?,?,0.0,0.0,?,?,25.0,?,?,0.0,-1.21,?,?,?,?,?,1.142,0.0,0.0,?,?,0.0,?,0.0,?,?,?,?,9.435,1.521,0.0,0.0,0.0,1.0,?,?,0.0,?,?,?,2
?,3.3847,?,0.0,?,0.0,0.0,30.8,1.0,2.0,?,-0.947,3.713,2.9,?,?,?,1.145,0.0,?,0.0,1.187,?,0.0,0.0,?,?,?,?,10.57,?,?,0.0,2.0,?,?,2.167,1.0,?,?,?,2
?,3.8787,?,?,?,?,0.0,?,?,?,1.0,?,3.125,?,9.666,4.0,?,?,?,0.0,?,1.078,0.0,?,?,0.0,?,?,?,19.617,2.428,?,?,?,4.0,3.483,4.019,?,?,0.0,?,2
?,?,0.0,0.0,?,0.0,0.0,?,0.0,3.0,?,-1.426,2.612,0.971,8.597,0.0,?,?,?,0.0,0.0,1.095,0.0,?,0.0,?,1.848,?,?,?,?,?,?,0.0,?,?,4.733,?,?,?,?,?
?,?,?,0.0,?,?,0.0,?,0.0,2.0,?,-1.072,2.774,1.459,8.755,?,?,1.148,0.0,?,0.0,?,?,?,?,0.0,?,-0.277,?,9.377,?,?,?,?,?,?,?,1.0,?,?,?,2
?,3.5794,0.0,0.0,?,0.0,?,?,1.0,?,3.0,?,?,3.189,10.627,?,?,?,0.0,?,?,?,0.0,0.0,0.0,0.0,?,0.0,?,22.35,?,?,?,?,?,?,2.306,2.0,8.611,?,?,2
4.17,?,?,?,0.0,?,0.0,26.7,3.0,?,?,?,?,?,?,?,?,?,0.0,?,0.0,1.12,0.0,?,0.0,0.0,?,?,?,0.0,?,0.0,?,?,?,3.0,?,?,6.683,?,?,?
?,?,0.0,0.0,?,?,?,?,?,?,?,?,3.227,?,10.165,3.0,1.002,?,0.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.0,0.0,?,2.538,0.0,?,0.0,0.0,2
?,3.0034,?,?,0.0,?,?,42.1,?,?,0.0,?,3.093,1.187,?,2.0,0.987,1.12,?,?,0.0,?,?,?,?,?,?,?,?,0.0,1.487,0.0,1.0,?,1.0,3.639,2.315,?,?,0.0,0.0,?
4.607,2.9443,?,?,?,0.0,2.0,?,1.0,?,?,?,3.093,1.187,?,?,?,?,?,?,?,1.242,?,?,0.0,0.0,?,-0.024,?,?,1.544,0.0,?,0.0,?,?,2.315,?,8.009,?,0.0,?
?,?,?,0.0,0.0,?,?,?,?,1.0,0.0,0.0,3.1,0.881,?,3.0,0.987,?,?,?,0.0,?,1.0,?,?,0.0,2.246,?,?,0.0,1.06,?,?,0.0,?,3.71,2.333,?,?,?,?,2
?,?,0.0,0.0,?,?,2.0,?,?,?,0.0,?,?,1.261,?,?,1.004,?,?,?,?,?,1.0,?,?,?,?,?,?,?,1.436,0.0,?,0.0,?,3.677,?,?,8.114,?,0.0,?
4.543,?,0.0,?,?,?,1.0,?,?,?,?,?,3.309,?,?,3.0,?,1.119,0.0,?,0.0,?,?,?,?,?,2.166,?,?,?,2.905,0.0,?,0.0,?,3.573,2.485,?,?,?,?,?
?,?,?,?,?,?,1.0,?,?,1.0,0.0,?,?,?,?,?,?,?,?,0.0,?,?,?,?,?,0.0,?,0.014,0.0,0.0,2.593,?,?,?,?,?,2.317,0.0,8.061,0.0,?,2
4.607,?,0.0,0.0,?,?,?,46.7,?,2.0,0.0,0.0,?,1.187,9.631,?,1.02,?,?,0.0,0.0,?,?,?,?,0.0,?,-0.026,0.0,10.036,?,0.0,?,0.0,?,?,?,?,?,0.0,?,?
4.863,3.3599,?,0.0,0.0,?,3.0,?,?,?,?,0.0,3.335,?,9.967,6.0,?,?,?,0.0,0.0,1.216,1.0,?,?,?,?,-0.008,?,?,?,?,?,?,?,3.743,?,0.0,8.33,?,0.0,?
4.923,3.2457,?,?,?,0.0,?,?,1.0,2.0,?,?,3.239,?,9.911,?,?,?,?,?,?,1.248,1.0,0.0,0.0,?,?,0.014,0.0,10.422,?,0.0,?,?,1.0,3.73,2.8,?,8.28,0.0,0.0,?
5.068,?,0.0,0.0,?,?,?,41.7,0.0,?,?,?,?,?,?,10.0,?,1.121,0.0,0.0,?,?,1.0,?,0.0,0.0,?,?,0.0,?,2.147,0.0,?,0.0,0.0,3.793,?,0.0,?,?,?,2
5.074,3.092,0.0,0.0,?,?,?,38.1,?,?,0.0,-0.98,3.869,?,?,?,?,1.129,0.0,?,?,?,1.0,?,?,?,?,?,0.0,?,?,?,?,?,?,?,2.467,?,?,2.0,0.0,2
4.914,?,0.0,0.0,?,?,?,41.7,?,?,?,-0.952,3.571,?,10.236,10.0,1.03,?,?,0.0,?,1.202,1.0,?,0.0,?,?,?,0.0,22.204,2.465,?,?,0.0,0.0,3.764,?,0.0,?,2.0,?,?
5.047,?,?,0.0,?,?,3.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.0,0.0,0.0,0.0,?,?,0.0,?,1.75,?,?,?,?,?,3.321,?,?,2.0,0.0,2
4.793,2.1244,?,?,?,0.0,?,?,?,2.0,?,?,?,0.5,?,?,?,1.104,?,?,?,1.28,2.0,0.0,?,?,?,?,0.0,?,3.928,?,0.0,0.0,?,?,?,0.0,8.7,?,0.0,2
?,?,?,?,?,?,2.0,?,0.0,?,0.0,-0.986,3.261,?,9.882,6.0,?,1.117,0.0,0.0,?,?,?,0.0,?,?,2.236,?,0.0,?,?,?,?,0.0,?,?,?,0.0,?,0.0,?,?
?,3.4571,?,?,?,0.0,?,?,?,4.0,?,?,?,?,10.388,8.0,1.061,?,0.0,?,?,?,?,?,0.0,?,?,-0.008,0.0,20.836,?,0.0,2.0,?,?,?,3.477,?,?,?,0.0,?
?,?,0.0,?,0.0,?,?,38.5,?,?,0.0,3.12,?,1.185,?,0.0,?,?,?,0.0,0.0,1.274,1.0,?,0.0,0.0,?,0.012,?,?,?,?,?,?,?,3.521,?,?,?,?,?,?
4.414,?,?,?,0.0,?,?,31.6,?,?,0.0,0.0,2.755,0.802,?,2.0,0.98,1.142,?,?,?,1.149,?,0.0,0.0,0.0,?,?,0.0,?,0.975,?,0.0,0.0,1.0,?,2.119,?,?,0.0,0.0,?
4.821,?,?,0.0,?,?,?,33.3,2.0,2.0,0.0,-0.135,?,?,9.928,?,0.99,?,?,?,?,?,?,?,?,?,?,?,?,10.635,2.209,?,0.0,?,?,?,?,?,7.93,?,?,2
5.331,?,1.0,0.0,0.0,?,?,?,0.0,?,?,?,?,?,10.867,15.0,?,?,0.0,0.0,0.0,1.3,?,0.0,0.0,?,?,0.0,0.0,?,2.694,0.0,?,0.0,0.0,4.44,?,?,?,?,0.0,?
?,3.0422,?,?,?,0.0,2.0,?,?,1.0,?,?,?,?,?,?,0.992,?,0.0,0.0,?,1.299,1.0,0.0,?,?,2.194,?,0.0,?,?,?,?,?,0.0,?,?,0.0,?,?,?,?
5.814,2.4937,0.0,?,0.0,?,?,37.0,?,1.0,?,?,3.256,0.845,10.926,?,0.978,?,?,0.0,?,1.254,?,?,0.0,?,2.62,?,?,11.573,?,1.0,?,0.0,?,3.756,?,0.0,?,?,0.0,?
?,2.2966,0.0,?,0.0,?,?,38.5,3.0,0.0,0.0,?,3.144,0.853,?,?,0.964,?,0.0,?,0.0,?,?,0.0,?,?,2.554,?,?,?,?,?,?,?,?,3.676,1.658,?,?,?,0.0,?
5.814,?,?,?,?,2.0,?,?,?,?,?,0.0,3.227,0.845,?,?,?,1.136,0.0,?,0.0,1.223,3.0,0.0,?,?,2.62,?,?,?,?,?,?,0.0,?,?,1.97,?,?,?,?,?
?,?,?,?,?,?,0.0,40.0,0.0,?,?,?,?,0.959,9.464,1.0,1.042,?,0.0,?,?,?,1.0,?,?,?,?,0.145,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?
4.923,2.7291,?,0.0,?,?,?,?,?,2.0,?,-0.199,?,?,10.037,5.0,1.019,1.104,0.0,0.0,0.0,1.266,3.0,?,?,?,?,?,0.0,10.843,1.057,0.0,0.0,?,?,?,?,0.0,8.33,?,?,?
?,?,?,?,?,?,0.0,45.5,?,?,?,?,?,1.203,9.209,1.0,?,?,?,?,0.0,1.296,?,?,0.0,?,2.152,-0.085,0.0,?,?,?,0.0,0.0,0.0,?,?,?,?,?,0.0,?
?,?,?,0.0,?,?,?,?,1.0,2.0,?,?,?,1.203,9.209,?,1.004,?,0.0,0.0,?,1.141,1.0,?,0.0,0.0,2.152,?,?,0.0,?,?,0.0,?,?,3.238,?,0.0,?,?,?,2
?,2.8025,?,?,?,?,2.0,?,0.0,?,?,?,?,?,10.226,6.0,?,?,?,?,?,?,3.0,?,?,?,2.424,0.004,?,?,?,0.0,0.0,?,1.0,?,?,1.0,8.508,?,?,?
?,2.7156,?,0.0,?,0.0,0.0,?,?,1.0,?,0.292,?,0.917,9.502,?,0.998,?,0.0,?,0.0,?,?,?,?,?,2.214,?,?,?,?,?,?,?,?,?,2.452,?,7.624,?,0.0,2
4.802,?,0.0,0.0,1.0,0.0,?,50.0,?,0.0,?,0.0,?,?,9.805,?,?,?,?,0.0,?,1.359,?,0.0,0.0,1.0,?,?,?,?,?,?,?,?,1.0,?,?,?,?,0.0,?,?
?,?,?,0.0,?,0.0,?,23.1,?,?,?,0.0,3.108,0.917,?,?,?,1.138,?,?,?,1.188,?,?,?,0.0,2.256,?,?,?,0.939,0.0,?,0.0,0.0,4.681,3.274,?,?,0.0,?,?
?,2.731,?,?,6.0,0.0,0.0,?,3.0,3.0,?,0.0,?,?,?,0.0,?,?,?,?,?,?,?,?,0.0,0.0,?,?,?,0.0,?,0.0,?,?,3.0,?,2.5,?,?,?,?,?
4.829,?,1.0,0.0,?,?,2.0,39.3,?,3.0,2.0,-0.664,?,?,10.281,?,?,?,0.0,?,?,1.227,1.0,?,0.0,?,?,?,?,?,3.31,?,?,?,?,?,2.736,?,?,?,?,?
?,?,2.0,?,?,?,0.0,?,?,?,7.0,?,?,?,11.509,?,?,1.155,?,0.0,?,1.154,?,0.0,0.0,?,?,?,0.0,35.388,5.533,?,0.0,?,?,4.61,3.182,4.0,?,0.0,?,?
?,?,?,0.0,?,?,?,?,0.0,2.0,?,-0.959,?,?,9.972,2.0,?,1.13,0.0,0.0,0.0,1.218,?,0.0,0.0,0.0,?,?,?,?,2.815,?,?,?,?,3.585,?,?,?,0.0,0.0,2
4.659,?,?,?,?,?,0.0,?,?,?,?,?,3.714,2.128,10.094,?,?,?,0.0,?,?,1.174,0.0,?,?,0.0,?,-0.002,?,?,4.56,?,0.0,4.0,6.0,4.061,?,2.0,?,?,?,?
?,2.8897,?,?,?,?,?,32.3,?,?,0.0,0.0,3.699,?,?,0.0,0.961,?,0.0,?,0.0,1.209,0.0,?,0.0,0.0,1.978,0.0,?,?,8.122,?,?,?,0.0,?,?,0.0,?,?,?,2
4.17,2.607,0.0,0.0,?,?,?,25.0,?,?,2.0,?,?,0.971,?,?,0.97,?,?,?,?,1.133,0.0,0.0,?,0.0,1.848,0.322,?,?,1.542,0.0,?,1.0,?,?,2.167,1.0,6.635,0.0,?,2
3.0,?,0.0,?,0.0,?,?,?,?,?,?,0.0,1.883,0.918,?,?,?,1.174,?,?,0.0,1.126,?,?,0.0,?,?,?,?,?,?,?,?,?,1.0,?,?,?,?,0.0,0.0,?
3.618,2.3911,0.0,?,?,?,0.0,25.0,?,?,0.0,?,?,1.522,7.853,?,?,?,?,?,?,1.129,?,0.0,?,?,1.732,?,0.0,?,?,?,0.0,2.0,1.0,2.848,?,?,?,0.0,0.0,2
3.0,?,0.0,?,?,?,0.0,22.2,?,?,0.0,?,?,?,6.594,0.0,?,?,0.0,?,?,?,?,0.0,0.0,0.0,?,?,?,0.0,?,?,?,?,?,?,3.167,?,?,?,0.0,2
4.0,2.5101,?,0.0,0.0,?,0.0,25.0,?,?,?,0.0,2.199,?,?,?,0.988,?,0.0,?,0.0,?,?,?,0.0,0.0,1.732,-0.552,0.0,?,?,0.0,?,0.0,?,2.97,2.833,0.0,?,0.0,0.0,2
?,?,?,0.0,?,?,0.0,?,?,1.0,0.0,?,2.946,?,9.202,?,0.973,?,?,?,?,?,0.0,?,?,0.0,2.042,?,?,?,?,0.0,?,?,?,?,2.093,0.0,?,0.0,0.0,2
?,?,0.0,?,0.0,?,?,?,?,?,0.0,?,2.938,2.281,?,?,0.973,?,?,?,?,1.161,?,?,?,0.0,?,?,?,?,?,0.0,?,?,?,2.936,2.056,?,7.087,?,0.0,?
3.95,?,?,0.0,?,?,0.0,?,2.0,?,?,0.0,3.364,2.807,9.296,?,?,1.143,?,?,?,1.18,?,?,?,0.0,1.956,-0.002,0.0,?,?,0.0,0.0,?,1.0,?,?,0.0,7.552,?,?,?
5.391,?,?,0.0,?,0.0,?,26.7,8.0,?,?,0.0,3.838,1.735,10.648,?,?,?,0.0,?,?,1.532,?,0.0,0.0,?,2.358,?,?,?,?,?,?,?,?,?,?,?,9.921,0.0,?,?
?,2.477,?,?,?,?,?,?,?,2.0,?,0.0,2.597,1.585,8.16,?,1.005,1.156,0.0,?,?,?,0.0,?,0.0,0.0,1.802,?,0.0,0.0,?,0.0,?,?,?,?,3.0,?,?,0.0,?,?
