@relation dataset

@attribute RI real
@attribute Na real
@attribute Mg real
@attribute Al real
@attribute Si real
@attribute K real
@attribute Ca real
@attribute Ba real
@attribute Fe real
@attribute Type {'build wind float', 'build wind non-float', 'vehic wind float', 'vehic wind non-float', containers, tableware, headlamps}


@data
1.51754,?,3.74,?,72.99,0.59,8.03,0.0,0.0,'build wind float'
1.51711,?,?,?,?,0.61,8.11,?,?,'build wind non-float'
?,13.73,?,?,71.76,0.17,?,?,?,'build wind float'
?,13.09,3.52,?,?,0.68,?,0.0,0.09,?
1.51784,12.68,3.67,1.16,?,?,8.7,0.0,0.0,'build wind float'
?,13.89,?,?,71.81,?,?,0.11,0.0,?
?,13.81,3.58,?,?,0.12,?,?,0.0,?
?,12.86,?,?,73.88,0.97,10.17,0.0,0.0,?
1.51631,?,?,1.57,?,?,?,0.0,0.0,'build wind non-float'
?,12.93,?,?,?,0.58,8.55,?,?,?
?,?,?,?,?,?,7.88,?,0.0,'build wind non-float'
1.52081,13.78,?,?,?,0.49,?,?,?,?
?,?,3.67,1.74,?,?,7.36,?,?,'build wind non-float'
1.51813,13.43,3.98,1.18,?,?,?,0.0,?,?
1.51131,13.69,?,?,72.81,1.76,?,1.19,0.0,headlamps
?,14.17,3.81,0.78,?,?,9.69,?,?,?
?,13.7,?,?,?,?,?,0.0,?,'build wind non-float'
?,13.33,3.85,?,72.78,?,?,?,?,'build wind non-float'
?,?,?,1.28,72.64,0.52,?,?,?,'vehic wind float'
?,?,?,?,73.02,?,8.59,?,?,?
?,15.15,?,?,?,?,8.34,0.63,?,headlamps
?,12.73,?,?,72.69,?,?,?,0.0,?
?,?,3.75,0.29,72.02,0.03,?,0.0,?,?
?,?,?,1.32,?,?,?,?,?,?
1.52664,11.23,?,?,?,0.0,?,?,?,'build wind non-float'
?,?,?,0.88,?,?,?,?,0.11,?
?,?,0.0,?,73.28,?,?,0.64,?,?
?,?,0.0,?,?,6.21,6.93,0.0,?,?
1.52739,?,?,?,?,?,?,0.0,0.0,?
?,?,?,?,?,0.11,9.57,?,?,?
?,12.84,3.5,1.14,?,0.56,8.55,?,?,'build wind float'
?,12.85,?,?,?,0.62,?,?,?,'build wind non-float'
1.51646,?,?,1.25,?,?,?,0.0,?,?
1.51609,15.01,0.0,?,73.05,?,8.83,0.53,0.0,?
1.51667,?,?,?,?,0.56,8.6,?,?,'build wind non-float'
?,?,3.41,?,73.26,0.07,8.39,?,?,?
1.52667,?,3.7,?,71.57,?,?,?,?,?
?,14.39,?,?,?,1.41,6.47,?,?,headlamps
1.51918,14.04,?,1.37,72.08,?,?,0.0,0.0,'build wind float'
?,13.88,?,1.79,73.1,?,?,0.76,?,?
?,?,?,?,?,0.15,9.15,?,?,?
?,12.87,?,?,?,?,?,0.0,0.0,'build wind float'
1.52151,11.03,?,1.56,?,?,?,0.0,?,?
?,14.56,0.0,0.56,?,0.0,?,?,0.0,tableware
?,?,?,?,?,?,?,?,?,?
1.51645,?,?,?,72.65,?,?,?,?,?
?,?,3.36,1.63,71.94,0.57,?,0.0,0.09,?
?,?,?,1.0,?,?,?,?,0.08,'build wind non-float'
1.51783,?,?,?,72.95,?,8.75,?,?,?
1.51711,14.23,?,?,73.36,0.0,8.62,1.67,?,?
?,12.78,?,?,?,0.59,8.7,0.0,0.0,'build wind float'
1.51808,?,?,?,72.84,0.55,?,?,?,?
?,?,?,1.38,?,?,?,?,0.1,'vehic wind float'
?,13.38,?,?,72.25,?,?,0.0,0.0,?
1.519,13.49,3.48,?,?,?,?,?,0.0,?
?,?,?,?,?,0.51,?,?,?,?
1.51905,14.0,2.39,?,?,?,?,?,0.0,?
1.51531,?,?,?,73.1,0.04,?,?,?,headlamps
?,?,0.0,2.09,72.74,?,10.88,?,0.0,?
?,?,?,1.06,72.34,?,?,?,?,?
?,13.02,3.58,?,73.12,?,?,?,0.0,?
1.51593,13.25,?,?,73.17,?,?,?,?,?
1.5164,?,?,1.87,?,0.63,8.08,0.0,?,'build wind non-float'
1.51663,?,3.54,1.62,?,?,?,0.0,?,?
1.5169,13.33,?,?,?,?,?,?,?,'build wind non-float'
1.51869,?,?,?,?,?,8.83,?,?,'build wind float'
1.51776,?,?,1.52,?,?,?,?,0.0,?
?,?,?,?,72.97,?,?,0.09,?,'build wind float'
?,?,?,?,72.26,?,?,0.0,0.0,?
1.5172,?,?,1.15,?,?,8.43,?,?,'build wind float'
?,14.2,?,2.79,?,?,?,?,0.09,?
?,13.53,3.55,?,?,?,?,0.0,0.0,?
1.51761,12.81,?,1.23,73.24,0.58,8.39,0.0,?,?
?,13.42,?,?,72.69,0.59,?,?,?,?
1.51592,?,3.52,2.12,72.66,0.69,7.97,0.0,0.0,?
?,?,?,?,72.88,0.37,?,?,0.14,?
1.51689,?,?,?,?,0.73,8.54,0.0,0.0,'build wind non-float'
?,?,2.19,1.66,?,0.0,9.32,0.0,?,?
