@relation dataset

@attribute RI real
@attribute Na real
@attribute Mg real
@attribute Al real
@attribute Si real
@attribute K real
@attribute Ca real
@attribute Ba real
@attribute Fe real
@attribute Type {0, 1, 2, 3, 4, 5, 6}


@data
?,?,2.9,?,71.15,?,10.79,0.0,0.0,?
1.52725,?,3.15,0.66,?,?,11.64,0.0,0.0,?
1.52119,12.97,0.33,?,73.39,?,11.27,?,0.28,4
1.51748,12.86,3.56,?,?,0.54,8.38,?,?,0
?,11.95,?,?,?,?,8.93,0.0,?,6
?,?,0.0,2.88,?,?,9.18,?,0.0,6
1.52101,?,4.49,?,71.78,?,8.75,0.0,?,?
?,12.61,3.59,1.31,73.29,0.58,8.5,?,0.0,?
1.51596,?,3.56,1.54,?,0.72,7.9,0.0,?,?
?,12.79,3.52,?,?,0.66,?,0.0,0.0,1
?,14.36,?,2.02,73.42,0.0,?,?,0.0,6
?,?,3.56,?,?,?,?,?,0.14,?
1.52369,?,?,?,?,0.32,?,0.0,?,4
?,13.15,?,1.05,?,0.57,?,?,?,0
?,13.48,3.74,?,72.99,?,?,0.0,0.0,0
1.51711,?,3.62,1.57,?,0.61,8.11,?,?,?
?,?,?,0.72,71.76,0.17,?,?,0.0,0
1.51594,13.09,3.52,1.55,72.87,?,?,0.0,?,1
?,?,3.67,?,73.11,?,?,0.0,0.0,?
?,13.89,?,?,71.81,?,?,0.11,0.0,0
?,?,3.58,1.32,?,?,?,?,?,0
1.51666,12.86,?,?,73.88,0.97,?,?,?,4
1.51631,13.34,?,?,?,0.61,7.89,?,?,1
1.51872,?,3.66,?,?,0.58,?,?,0.12,1
?,?,?,?,72.06,?,?,?,?,?
1.52081,?,?,1.43,71.99,0.49,9.85,0.0,0.17,?
?,14.86,?,?,71.87,?,?,?,0.12,?
1.51813,?,?,1.18,72.49,0.58,?,?,0.0,?
?,?,3.2,1.81,72.81,1.76,?,1.19,?,?
?,?,?,0.78,?,?,?,?,?,?
?,13.7,?,?,?,0.19,?,?,?,1
1.51811,13.33,?,1.25,?,0.52,8.12,0.0,0.0,?
?,?,3.39,?,?,?,?,0.0,0.0,2
?,12.81,?,?,?,0.62,8.59,?,?,?
1.51508,?,?,2.25,73.5,?,?,?,?,6
1.51915,?,1.85,?,?,0.6,?,0.0,0.0,?
1.51966,?,3.75,0.29,72.02,?,9.0,?,0.0,0
?,13.25,?,?,72.4,?,8.42,?,?,1
?,?,?,0.77,?,?,?,?,0.0,1
1.52172,13.51,?,?,71.79,0.23,?,0.0,?,?
1.51602,14.85,0.0,2.38,73.28,?,?,?,?,6
?,13.0,?,?,70.7,6.21,?,?,0.0,4
?,11.02,?,0.75,73.08,?,?,0.0,0.0,1
?,14.21,3.82,0.47,?,0.11,9.57,0.0,?,?
?,12.84,3.5,?,?,0.56,?,0.0,?,0
?,?,?,1.24,?,0.62,?,?,0.35,?
1.51646,?,3.55,1.25,?,0.68,8.1,0.0,?,1
1.51609,15.01,?,2.51,73.05,?,?,0.53,?,?
?,?,?,1.26,72.75,?,?,0.0,0.0,?
?,13.12,?,?,73.26,0.07,?,0.0,0.19,?
?,13.99,3.7,0.71,71.57,0.02,?,0.0,?,?
?,?,0.0,?,?,?,6.47,2.88,0.0,?
?,14.04,3.58,1.37,72.08,?,8.3,0.0,0.0,0
1.51613,13.88,1.78,1.79,73.1,0.0,?,?,?,?
?,?,3.85,?,71.36,?,9.15,0.0,0.0,?
?,?,?,1.29,?,0.6,8.43,0.0,?,?
1.52151,?,?,1.56,73.44,0.58,?,0.0,?,4
1.51969,?,0.0,?,?,0.0,?,?,?,5
?,13.01,?,1.48,?,0.6,8.12,?,?,1
?,13.4,3.49,?,?,?,?,0.0,0.1,1
1.51796,?,?,?,?,?,8.81,?,0.09,?
1.52222,?,?,?,72.67,?,?,0.0,?,1
?,12.69,3.54,?,?,0.57,?,0.0,0.0,?
1.51711,?,0.0,?,73.36,?,8.62,1.67,?,6
?,12.78,3.62,?,?,0.59,?,?,?,0
?,?,2.87,?,?,0.55,?,0.0,0.0,0
?,?,?,1.38,72.7,0.56,8.44,0.0,0.1,2
1.52043,?,?,1.4,72.25,?,?,0.0,0.0,?
?,13.49,?,1.35,?,0.55,?,?,?,0
?,13.21,2.81,?,72.98,?,9.02,0.0,?,?
1.51905,14.0,2.39,?,?,?,9.57,?,0.0,5
?,14.38,0.0,2.66,?,?,?,?,?,?
?,14.15,0.0,2.09,72.74,0.0,10.88,?,0.0,5
1.51841,?,3.62,1.06,?,?,?,?,?,?
?,?,3.58,1.51,?,0.69,7.96,0.0,?,?
?,?,3.45,?,73.17,?,?,?,?,?
?,12.55,?,?,?,0.63,8.08,?,?,1
1.51663,?,?,?,72.96,?,8.03,0.0,0.21,1
?,13.33,3.54,1.61,?,?,?,?,0.0,1
?,13.19,3.37,1.18,72.72,?,?,?,?,0
1.51776,13.53,?,?,72.04,0.58,?,?,?,2
?,12.85,?,?,72.97,?,?,?,0.22,?
?,?,3.43,1.43,?,0.51,?,0.0,?,?
?,13.38,3.5,1.15,72.85,?,8.43,?,0.0,?
?,?,?,?,?,0.04,?,?,0.09,6
1.51618,?,3.55,1.54,?,0.39,7.78,?,?,0
1.51761,12.81,?,1.23,73.24,?,8.39,0.0,?,0
?,?,?,1.22,72.69,?,8.32,0.0,?,?
1.51592,12.86,3.52,?,?,?,?,?,0.0,?
1.51613,13.92,3.52,?,?,?,?,0.0,0.14,1
1.51689,?,?,1.71,73.21,0.73,?,?,?,?
1.51852,14.09,?,?,72.67,0.0,9.32,0.0,?,?
