@relation dataset

@attribute alcohol real
@attribute malic_acid real
@attribute ash real
@attribute alcalinity_of_ash real
@attribute magnesium real
@attribute total_phenols real
@attribute flavanoids real
@attribute nonflavanoid_phenols real
@attribute proanthocyanins real
@attribute color_intensity real
@attribute hue real
@attribute od280_od315_of_diluted_wines real
@attribute proline real


@data
?,1.73,1.98,20.5,85.0,2.2,?,0.32,1.48,2.94,?,3.57,672.0
?,?,2.27,?,?,1.68,1.84,0.66,1.42,?,0.86,3.3,?
?,?,?,?,80.0,1.65,2.03,?,1.63,3.4,?,3.17,510.0
?,?,2.28,22.5,?,?,1.76,0.48,1.63,3.3,?,2.42,488.0
12.22,1.29,?,?,92.0,2.36,?,?,?,2.7,0.86,3.02,312.0
11.61,?,?,20.0,?,2.74,?,0.29,2.49,2.65,0.96,3.26,680.0
11.46,?,?,?,107.0,3.18,?,?,?,2.9,0.75,2.81,?
12.52,2.43,?,21.0,?,2.55,?,?,?,?,?,2.78,325.0
?,?,?,?,103.0,?,2.03,0.6,1.05,3.8,?,2.5,?
?,0.74,2.5,21.0,88.0,2.48,2.01,?,?,3.08,1.1,2.31,434.0
12.08,1.39,2.5,22.5,84.0,2.56,2.29,0.43,?,2.9,0.93,?,385.0
?,?,?,?,?,2.46,?,?,?,?,?,2.87,407.0
11.82,?,1.99,20.8,?,1.98,?,0.3,1.53,1.95,?,?,495.0
12.42,1.61,2.19,22.5,?,?,2.09,?,1.61,2.06,1.06,2.96,345.0
?,3.43,?,16.0,80.0,1.63,1.25,?,?,3.4,0.7,?,?
?,3.43,?,19.0,87.0,2.0,1.64,0.37,?,1.28,0.93,3.05,564.0
11.45,2.4,2.42,?,96.0,?,2.79,?,1.83,3.25,?,3.39,?
11.56,2.05,3.23,?,119.0,3.18,?,0.47,1.87,?,?,3.69,465.0
12.42,4.43,2.73,?,?,2.2,2.13,?,1.71,2.08,0.92,?,365.0
?,5.8,2.13,21.5,?,?,2.65,?,2.01,2.6,?,?,380.0
?,4.31,?,?,?,2.86,?,?,?,2.8,0.75,?,?
12.07,2.16,2.17,?,85.0,2.6,2.65,?,1.35,?,?,3.28,378.0
?,1.53,2.29,21.5,86.0,2.74,?,0.39,?,3.94,0.69,?,?
?,2.13,?,28.5,92.0,2.13,2.24,0.58,?,?,0.97,?,466.0
12.37,1.63,2.3,24.5,88.0,?,?,0.4,?,?,?,2.78,?
?,?,2.38,?,80.0,2.1,?,0.42,1.35,2.6,?,2.57,580.0
12.86,?,2.32,18.0,122.0,?,1.25,0.21,0.94,4.1,0.76,?,?
12.88,?,?,?,104.0,1.3,1.22,?,?,?,?,?,?
?,2.31,?,24.0,98.0,1.15,1.09,?,0.83,5.7,?,1.36,560.0
?,3.55,2.36,?,106.0,?,?,?,0.84,5.0,0.78,?,?
?,?,?,17.5,85.0,2.0,?,?,1.25,5.45,?,1.51,?
12.6,?,2.2,18.5,94.0,1.62,0.66,0.63,0.94,?,?,?,?
?,?,2.54,21.0,?,1.38,?,0.53,?,?,?,1.27,?
?,5.51,2.64,?,96.0,?,?,0.63,?,?,0.82,1.69,515.0
13.49,3.59,?,19.5,88.0,?,?,0.58,0.88,?,0.81,?,580.0
12.84,2.96,2.61,?,101.0,?,0.6,0.53,0.81,4.92,0.89,2.15,590.0
?,?,2.7,?,96.0,1.54,?,0.53,?,4.6,0.77,2.31,600.0
13.36,2.56,2.35,?,?,1.4,0.5,?,0.64,5.6,0.7,2.47,780.0
13.52,3.17,2.72,23.5,?,1.55,0.52,0.5,0.55,?,0.89,?,520.0
?,4.95,?,?,92.0,?,0.8,0.47,?,?,0.91,2.05,550.0
12.25,3.88,2.2,18.5,?,1.38,?,0.29,1.14,8.21,?,?,855.0
?,3.57,2.15,21.0,?,?,0.55,?,1.3,4.0,0.6,1.68,?
13.88,?,?,20.0,80.0,?,?,0.4,?,4.9,0.58,1.33,415.0
12.87,4.61,?,?,86.0,1.7,?,0.47,0.86,7.65,?,1.86,?
?,?,2.38,21.5,92.0,?,0.76,0.45,1.25,?,?,?,?
?,3.9,2.36,21.5,113.0,?,?,0.34,1.14,9.4,0.57,1.33,550.0
?,3.12,2.62,24.0,?,1.4,1.57,0.22,1.25,8.6,0.59,1.3,500.0
12.79,?,?,22.0,112.0,1.48,?,0.24,?,10.8,0.48,?,?
13.11,?,?,25.5,116.0,?,1.28,0.26,1.56,?,?,1.33,?
13.23,3.3,2.28,18.5,98.0,?,0.83,0.61,?,?,?,1.51,675.0
12.58,1.29,2.1,20.0,103.0,?,0.58,0.53,1.4,7.6,0.58,?,?
13.17,5.19,2.32,22.0,93.0,1.74,0.63,?,?,?,0.6,?,725.0
?,4.12,?,19.5,?,?,0.83,0.48,?,9.01,0.57,1.64,480.0
12.45,3.03,?,?,?,1.9,0.58,?,1.14,7.5,?,1.73,?
14.34,1.68,2.7,25.0,?,?,?,0.53,2.7,?,0.57,1.96,660.0
13.48,?,?,22.5,?,?,1.1,0.52,2.29,?,0.57,1.78,620.0
12.36,3.83,?,21.0,?,?,0.92,0.5,?,?,?,1.58,520.0
13.69,3.26,?,?,?,1.83,0.56,0.5,?,5.88,?,?,680.0
12.85,?,?,?,106.0,1.65,0.6,?,?,5.58,?,?,?
?,?,?,18.5,106.0,1.39,0.7,?,0.94,5.28,?,?,675.0
13.78,2.76,2.3,?,?,?,0.68,0.41,?,9.58,?,1.68,615.0
13.73,?,2.26,?,88.0,?,0.47,?,1.15,?,0.78,?,?
13.45,?,?,23.0,111.0,1.7,0.92,0.43,?,10.68,0.85,?,695.0
12.82,3.37,?,19.5,?,1.48,0.66,?,?,10.26,0.72,?,685.0
?,2.58,2.69,24.5,105.0,1.55,0.84,?,?,8.66,?,1.8,?
13.4,?,2.86,?,112.0,?,0.96,0.27,1.11,8.5,?,1.92,630.0
12.2,3.03,?,19.0,96.0,?,?,?,0.73,?,?,1.83,510.0
12.77,2.39,?,?,86.0,?,?,0.48,0.64,9.899999,0.57,1.63,?
14.16,2.51,2.48,20.0,91.0,?,?,0.44,1.24,?,?,1.71,?
13.71,5.65,?,20.5,?,1.68,0.61,0.52,?,?,?,?,?
13.4,?,2.48,23.0,102.0,?,?,?,1.41,?,0.7,1.56,750.0
?,?,2.26,?,?,1.59,?,0.43,?,10.2,?,?,835.0
13.17,2.59,?,20.0,120.0,1.65,?,0.53,1.46,9.3,?,1.62,?
14.13,4.1,?,24.5,?,?,0.76,?,1.35,9.2,0.61,1.6,560.0
