@relation dataset

@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real


@data
?,?,-110.03,?,?,?,?,?,?,-186.27
-71.48,?,?,-95.21,?,-122.39,-160.98,?,?,?
?,?,-136.84,-112.44,?,?,-300.14,-252.75,-417.08,?
-73.04,?,-141.43,?,?,-183.1,?,-261.66,?,?
?,?,?,-119.61,-221.81,-187.0,?,-266.76,-436.02,?
?,-65.68,-146.01,-121.49,?,?,-319.61,?,-439.91,-376.66
?,-67.91,?,?,-225.73,-191.28,?,-274.53,-447.74,?
?,-14.21,?,?,?,-32.39,?,-40.72,-40.63,-49.87
-12.44,-15.44,-21.13,-25.53,-30.45,?,?,-45.11,?,?
?,?,-24.0,-28.29,?,?,-40.96,-49.43,-49.91,-60.11
?,?,?,?,-36.56,?,?,?,?,?
-16.67,?,?,-32.58,-39.62,?,?,?,?,-67.68
?,-55.46,-44.41,?,-56.36,-72.43,?,-80.33,?,-91.76
-34.99,-54.77,?,-62.89,?,-72.68,-65.75,?,-76.75,-89.86
?,?,?,?,-54.89,-71.23,-64.63,-79.05,-74.92,-88.07
-35.85,-53.94,-45.24,-62.31,?,?,-63.43,-77.51,-73.38,?
?,-53.42,-45.3,?,-53.81,?,-62.3,-76.12,?,?
-31.86,?,-45.81,-61.16,?,-76.42,-76.12,?,?,-104.97
-32.66,?,-46.52,?,?,?,-77.12,?,-93.95,?
-33.08,-48.11,-47.17,-62.03,-61.91,?,?,-89.64,?,?
?,?,?,-62.04,-60.93,?,?,?,-91.04,?
-33.97,-47.36,-47.83,?,?,?,-75.2,?,?,-99.85
-26.8,?,-36.76,?,?,?,-51.52,?,-60.38,-67.51
?,-34.7,?,?,-43.29,-51.95,-50.28,-58.17,?,?
?,-34.16,-36.67,-45.47,?,?,?,?,-56.0,-63.28
-25.41,?,?,?,?,-49.57,?,?,-54.33,-61.54
?,?,?,-44.76,?,?,?,-54.13,?,-60.11
?,?,?,?,-58.24,?,-76.97,-90.61,-99.22,?
-28.79,?,-43.33,-56.89,-59.68,-73.88,?,?,?,-114.64
-29.59,-42.61,?,?,-60.44,?,?,?,-101.48,-115.36
-29.98,-42.7,?,?,?,?,?,-94.5,?,-114.82
?,?,-45.26,-57.19,?,-75.36,?,?,-100.5,?
-11.98,?,?,-17.28,-33.13,-28.45,?,?,?,?
?,-11.33,-22.33,-19.95,-39.82,-33.64,?,?,?,-58.96
-12.58,-11.74,?,-23.34,?,?,-65.95,-53.46,-84.53,?
?,-12.82,-30.56,-26.18,-52.3,?,-73.81,?,-94.41,-74.4
-15.73,-13.87,?,?,?,?,-80.37,-63.49,-102.94,?
?,-38.66,-83.58,?,?,-76.8,-133.77,?,-171.05,-124.15
-59.68,-40.01,-84.75,?,-109.91,-77.28,?,?,?,-118.7
?,-40.73,-85.19,-59.47,?,-76.43,-127.51,?,-155.54,-114.76
-60.41,-41.2,-84.73,-59.31,-106.46,-75.39,?,?,-151.56,-112.58
-60.87,?,?,?,-105.32,?,-122.59,?,-146.99,-109.52
-59.41,-61.86,-91.65,?,?,?,-165.68,?,-207.16,-153.44
-61.16,-62.92,?,?,-133.11,?,?,?,-210.85,?
?,?,-94.15,-82.45,-133.24,-107.15,?,-126.55,?,?
?,-62.78,-94.46,-82.39,?,?,?,?,-195.49,?
?,?,-95.09,-81.53,-128.23,-102.05,?,?,?,-140.79
?,-35.02,-66.13,-50.43,?,?,-101.74,-76.53,-117.67,-88.63
-44.67,?,-66.62,-50.84,?,-63.94,-97.11,-73.35,?,?
-44.5,?,-66.6,-50.98,?,?,?,?,?,-80.45
?,-34.97,?,-50.93,?,-59.27,?,?,?,-77.06
-44.8,-35.17,?,?,?,-58.26,?,?,-98.14,?
-52.22,-41.67,?,?,?,-83.42,-149.62,?,?,?
?,?,-77.43,?,?,?,?,-119.56,?,?
?,-43.04,?,?,?,-87.5,-157.68,-121.95,?,-161.6
?,-42.61,-78.67,-60.59,-114.31,-88.44,?,?,?,-161.37
-54.47,?,?,?,?,-89.26,?,?,?,-157.18
-9.4,?,?,?,?,-27.35,-48.61,?,-63.62,-53.14
-13.18,?,?,?,?,?,-56.74,?,?,?
-18.61,?,?,-28.72,-49.32,?,?,-57.89,?,-73.99
?,-19.81,-38.18,?,-56.27,?,?,?,-92.61,?
?,-22.36,?,?,-60.47,-53.86,-80.67,?,-101.14,?
?,-56.17,?,?,?,-125.19,-203.85,?,-263.8,-218.03
?,-59.26,?,?,?,?,?,-169.59,?,?
-57.09,-60.88,?,?,?,-127.88,-210.05,?,?,?
?,?,?,?,-157.94,-128.49,?,?,?,-221.0
?,?,?,-93.26,?,?,-214.45,?,?,-219.58
-62.12,-65.95,?,-109.16,?,?,?,?,?,-269.96
?,?,?,-109.51,?,-157.52,-228.82,?,-292.81,-272.04
?,-69.71,?,?,?,?,?,-213.05,-296.68,-271.47
-81.01,?,-126.52,?,-183.94,-159.84,?,?,?,?
-86.34,-71.04,?,-112.33,?,-160.74,-229.94,?,?,-266.83
?,?,-105.31,-86.28,-148.3,?,-180.36,-137.76,-219.73,-164.51
?,-56.68,?,-85.74,?,-114.04,-182.08,-133.1,?,-159.49
?,-57.25,?,?,?,-109.68,-178.98,?,-211.37,?
-69.99,?,?,-86.03,?,-106.5,?,?,-213.69,?
?,?,-110.79,-86.69,?,?,-183.04,-126.16,-210.51,?
?,-56.09,-88.23,?,?,?,-173.71,?,-231.3,?
-56.14,?,?,?,?,-135.36,-178.79,-183.93,?,?
-57.71,?,-92.83,-93.91,-134.83,?,?,-187.16,-243.12,?
?,-58.92,-94.31,?,?,?,-184.7,?,-246.15,-252.8
?,-59.26,?,-95.51,-137.28,?,?,?,-248.98,?
