@relation dataset

@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real


@data
-11.23,-14.21,-18.71,-22.65,?,-32.39,-35.28,?,?,?
?,?,?,?,-30.45,-36.22,-36.85,-45.11,?,?
?,-16.72,-24.0,-28.29,-33.91,?,?,-49.43,?,-60.11
-15.05,-17.98,-26.42,-30.65,?,?,?,?,-53.89,-64.35
?,?,-28.69,?,?,?,-47.16,-55.65,-57.2,?
-35.68,?,-44.41,-62.35,?,-72.43,-66.26,?,?,-91.76
-34.99,-54.77,?,-62.89,-56.03,?,-65.75,-80.24,?,-89.86
-35.99,-54.37,?,?,-54.89,-71.23,-64.63,-79.05,-74.92,?
?,-53.94,?,?,-53.55,-69.54,?,-77.51,?,-86.43
?,?,-45.3,-62.02,?,?,?,-76.12,-72.33,?
?,?,?,-61.16,?,-76.42,?,?,-94.11,?
-32.66,-47.88,?,?,-62.06,-77.14,-77.12,-90.14,?,?
?,?,-47.17,-62.03,-61.91,?,?,-89.64,?,-103.93
?,-47.89,-47.07,?,?,?,-75.37,?,-91.04,?
?,?,?,?,?,-72.88,?,?,?,-99.85
?,?,-36.76,?,?,-53.48,?,?,-60.38,-67.51
-25.81,-34.7,?,?,-43.29,-51.95,?,-58.17,?,?
?,?,-36.67,?,-42.21,-50.9,?,?,?,-63.28
?,?,-36.3,-45.23,?,?,?,-55.73,-54.33,?
?,?,?,-44.76,?,-48.17,-48.57,-54.13,-54.94,?
-27.45,-40.42,?,?,?,?,?,-90.61,-99.22,?
?,?,-43.33,-56.89,-59.68,?,-78.96,?,-101.14,?
?,?,?,?,?,-74.61,-80.18,?,-101.48,-115.36
-29.98,?,?,?,?,-75.15,?,?,?,?
?,-42.82,?,?,?,-75.36,-80.85,-93.97,?,?
?,?,-19.12,?,-33.13,-28.45,?,?,?,?
-12.15,-11.33,-22.33,-19.95,-39.82,-33.64,-56.9,?,-73.32,-58.96
?,?,-26.67,-23.34,-46.48,?,-65.95,-53.46,?,-67.21
?,-12.82,?,-26.18,?,-42.98,-73.81,?,-94.41,-74.4
-15.73,?,-34.54,?,?,?,?,-63.49,?,-80.25
-58.41,-38.66,-83.58,-57.33,-110.24,?,-133.77,?,-171.05,-124.15
?,?,?,?,-109.91,?,-130.65,-94.69,?,-118.7
?,?,-85.19,?,?,?,-127.51,-92.88,-155.54,?
-60.41,-41.2,-84.73,?,-106.46,?,-124.62,-90.88,-151.56,-112.58
?,-39.88,?,-57.58,?,?,?,?,-146.99,-109.52
?,?,?,?,?,-105.51,-165.68,-126.3,?,-153.44
-61.16,-62.92,-93.55,-82.39,?,-107.27,-168.62,?,?,-157.01
?,?,-94.15,?,-133.24,?,?,?,?,-152.81
-61.94,?,?,?,-131.54,?,?,-123.08,?,?
-62.34,?,-95.09,-81.53,?,-102.05,?,?,-187.95,-140.79
?,?,?,?,?,-68.0,-101.74,?,?,?
-44.67,?,?,-50.84,-84.41,?,?,?,?,-83.98
-44.5,?,?,?,?,-61.24,-93.34,-70.67,-106.18,?
-44.34,-34.97,-66.58,?,?,?,?,-68.18,-101.46,?
-44.8,?,-66.2,?,-76.8,-58.26,-87.09,-65.55,-98.14,?
-52.22,?,-75.74,?,?,?,?,-114.96,-197.35,?
-54.15,?,-77.43,?,?,-86.16,?,?,-205.77,-159.3
?,?,?,-60.05,-113.36,-87.5,-157.68,?,-207.96,?
-54.54,?,-78.67,?,?,-88.44,-158.35,?,?,-161.37
?,?,-79.15,-60.58,?,?,?,-122.95,?,-157.18
-9.4,-7.95,-21.44,-17.46,?,-27.35,-48.61,?,?,?
?,-12.01,?,?,-41.48,-34.6,-56.74,-48.68,-73.45,-63.17
-18.61,-16.29,?,-28.72,?,?,-65.87,?,-84.45,-73.99
-21.88,?,?,-33.77,?,?,?,?,?,-83.37
-24.84,-22.36,-42.61,?,-60.47,-53.86,-80.67,-72.62,?,?
?,-56.17,-94.77,?,-144.2,-125.19,-203.85,-167.42,-263.8,?
?,?,?,-89.2,-149.15,?,?,?,-269.29,?
?,?,?,?,-153.09,?,?,?,-274.14,?
?,-61.76,?,?,?,-128.49,?,?,-274.14,-221.0
?,?,?,?,?,?,?,?,?,?
?,-65.95,-111.79,-109.16,-171.12,-155.86,?,?,?,-269.96
?,?,-116.27,?,-173.44,-157.52,?,?,-292.81,-272.04
-80.61,?,-119.26,?,?,-158.87,-231.08,?,?,?
?,-70.72,?,-110.98,?,?,-230.44,?,-294.04,-269.0
-86.34,?,-129.71,?,-182.08,?,?,-211.24,-294.2,-266.83
-60.65,-56.38,?,?,-148.3,?,?,-137.76,-219.73,-164.51
?,?,-104.33,?,-147.54,-114.04,?,-133.1,?,?
-66.37,-57.25,?,?,?,?,?,?,-211.37,-155.89
-69.99,-57.49,?,-86.03,?,?,?,-127.54,-213.69,?
-69.99,-58.49,?,-86.69,?,-104.72,-183.04,?,-210.51,?
-54.35,?,?,-90.54,?,?,?,?,-231.3,-239.19
?,-57.35,-90.74,?,?,?,?,-183.93,-239.06,?
?,?,?,-93.91,-134.83,?,-182.33,-187.16,-243.12,?
?,-58.92,?,?,?,-138.96,-184.7,-189.32,?,?
?,?,-94.97,?,-137.28,?,-186.98,?,-248.98,-255.23
