@relation dataset

@attribute V1 real
@attribute V2 real
@attribute V3 real
@attribute V4 real
@attribute V5 real
@attribute V6 real
@attribute V7 real
@attribute V8 real
@attribute V9 real
@attribute V10 real
@attribute V11 real
@attribute V12 real
@attribute V13 real
@attribute V14 real
@attribute V15 real
@attribute V16 real
@attribute V17 real
@attribute V18 real
@attribute V19 real
@attribute V20 real
@attribute V21 real
@attribute V22 real
@attribute V23 real
@attribute V24 real
@attribute V25 real
@attribute V26 real
@attribute V27 real
@attribute V28 real
@attribute V29 real
@attribute V30 real
@attribute V31 real
@attribute V32 real
@attribute V33 real
@attribute V34 real
@attribute V35 real
@attribute V36 real
@attribute V37 real
@attribute V38 real
@attribute V39 real
@attribute V40 real
@attribute V41 real
@attribute class {1, 2}


@data
5.04,?,?,?,1.0,0.0,2.0,41.2,0.0,?,?,-1.29,3.483,1.258,?,8.0,?,?,0.0,?,0.0,?,?,?,0.0,?,2.323,0.005,?,?,1.711,0.0,1.0,?,1.0,3.888,?,1.0,8.706,0.0,?,?
4.91,2.7414,?,?,0.0,0.0,?,?,0.0,2.0,0.0,-0.302,3.364,?,10.06,5.0,?,1.098,0.0,0.0,0.0,1.279,3.0,0.0,0.0,?,2.333,0.004,0.0,10.717,1.207,0.0,1.0,?,0.0,3.767,2.5,0.0,?,?,0.0,?
3.618,2.1906,0.0,0.0,0.0,?,0.0,29.4,2.0,?,?,0.0,2.333,?,7.853,?,0.959,?,?,?,0.0,1.178,?,?,?,?,?,0.294,?,?,2.094,0.0,0.0,?,?,2.794,1.7,0.0,6.333,?,0.0,2
?,2.6272,?,0.0,?,?,0.0,30.0,3.0,0.0,?,0.0,2.523,?,8.755,0.0,0.959,1.145,0.0,0.0,?,?,?,?,0.0,0.0,?,-0.181,0.0,0.0,2.052,?,0.0,?,0.0,2.998,?,0.0,6.77,?,0.0,2
3.732,2.3391,0.0,?,?,0.0,0.0,30.0,?,?,0.0,0.0,2.511,1.585,?,0.0,0.959,1.145,0.0,0.0,?,1.196,?,0.0,0.0,0.0,?,-0.181,?,?,2.488,?,0.0,?,0.0,2.846,1.667,0.0,6.557,0.0,?,?
3.879,?,0.0,?,0.0,?,0.0,?,?,0.0,?,?,2.908,2.281,?,?,0.96,?,0.0,0.0,0.0,1.202,0.0,0.0,?,0.0,1.902,0.036,?,?,3.685,0.0,0.0,?,0.0,?,1.611,0.0,?,?,?,2
3.942,?,?,?,?,?,?,?,2.0,?,?,0.0,?,?,9.207,?,0.969,1.141,0.0,0.0,0.0,1.22,0.0,0.0,?,0.0,1.95,0.003,?,?,5.294,0.0,?,?,0.0,3.542,1.739,0.0,?,?,?,?
?,?,?,0.0,0.0,0.0,?,32.0,?,0.0,0.0,?,?,3.146,9.522,?,0.965,1.138,?,0.0,0.0,1.243,0.0,1.0,0.0,0.0,1.97,?,1.0,0.0,6.909,0.0,0.0,0.0,0.0,?,1.603,0.0,?,0.0,1.0,?
3.732,?,?,0.0,?,?,0.0,?,?,0.0,?,0.0,?,1.585,8.16,0.0,0.969,?,?,?,0.0,?,0.0,0.0,0.0,0.0,1.802,-0.195,?,?,2.488,0.0,?,1.0,?,?,2.0,?,6.599,0.0,?,2
?,2.6264,0.0,?,0.0,?,0.0,23.1,0.0,?,0.0,0.0,?,?,?,?,0.972,1.166,0.0,?,?,1.182,0.0,?,?,0.0,?,-0.522,0.0,0.0,?,0.0,?,0.0,?,?,2.0,?,6.579,0.0,?,2
2.0,?,0.0,0.0,0.0,0.0,0.0,?,1.0,1.0,?,0.0,1.549,0.0,?,0.0,?,1.173,0.0,0.0,?,0.93,?,0.0,?,?,1.0,-1.099,?,?,?,0.0,?,?,1.0,2.279,4.0,0.0,?,0.0,?,2
3.732,?,0.0,?,0.0,?,0.0,27.8,?,?,?,?,2.555,1.585,?,?,?,1.15,0.0,0.0,?,?,0.0,?,0.0,?,?,-0.205,0.0,?,?,?,0.0,?,?,2.874,?,?,6.649,?,?,2
?,2.3699,0.0,?,0.0,0.0,0.0,30.0,1.0,1.0,0.0,?,2.273,1.0,?,0.0,0.998,1.146,?,?,0.0,?,1.0,0.0,0.0,0.0,2.17,0.34,?,?,1.0,?,?,0.0,?,?,2.083,0.0,?,0.0,0.0,?
3.414,?,0.0,0.0,?,0.0,0.0,?,?,2.0,0.0,0.0,2.243,1.0,7.408,0.0,1.031,?,0.0,0.0,?,0.98,?,?,?,?,1.618,-0.642,0.0,0.0,?,0.0,0.0,?,2.0,2.817,3.75,?,6.32,?,0.0,2
?,?,?,0.0,0.0,?,0.0,?,2.0,2.0,0.0,0.0,2.449,?,8.597,?,1.015,1.16,0.0,0.0,0.0,?,0.0,?,0.0,?,?,0.391,0.0,?,1.542,?,0.0,0.0,2.0,3.047,3.367,0.0,?,0.0,?,?
?,2.9558,0.0,0.0,?,0.0,0.0,25.0,2.0,?,?,0.0,?,1.459,8.815,2.0,1.005,1.156,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,?,-0.229,?,0.0,1.745,0.0,0.0,0.0,2.0,?,3.056,0.0,?,0.0,?,2
?,2.6294,0.0,?,0.0,0.0,0.0,37.5,?,1.0,0.0,0.0,?,1.0,?,1.0,1.012,?,?,0.0,0.0,?,0.0,0.0,?,0.0,1.618,?,0.0,0.0,1.707,?,?,0.0,?,3.188,?,0.0,7.035,0.0,0.0,?
?,?,0.0,0.0,0.0,0.0,?,25.0,?,2.0,0.0,0.0,2.608,1.459,8.755,1.0,1.005,1.156,0.0,0.0,0.0,?,?,0.0,0.0,?,1.902,-0.236,0.0,0.0,2.052,?,0.0,0.0,1.0,3.087,?,0.0,?,?,?,?
?,2.8521,?,?,0.0,0.0,0.0,?,?,?,?,?,2.858,?,8.584,?,0.993,?,?,0.0,0.0,1.117,0.0,0.0,0.0,0.0,?,?,0.0,0.0,3.284,0.0,?,?,1.0,2.997,2.375,0.0,?,0.0,0.0,?
3.414,2.3729,?,?,0.0,0.0,?,30.0,1.0,1.0,0.0,0.0,?,1.0,7.408,1.0,?,1.146,?,0.0,?,1.142,?,0.0,0.0,0.0,?,-0.589,?,9.174,1.707,?,0.0,0.0,0.0,3.038,3.125,0.0,6.735,?,0.0,?
?,3.6458,0.0,0.0,?,?,0.0,37.0,3.0,1.0,?,2.487,3.233,2.187,9.562,1.0,0.978,1.131,?,0.0,0.0,1.259,?,0.0,0.0,?,?,0.013,?,?,?,?,0.0,0.0,?,3.39,?,?,8.029,0.0,?,?
4.562,3.3225,?,0.0,0.0,0.0,?,31.3,?,?,?,0.259,?,?,?,2.0,?,1.143,0.0,0.0,0.0,?,0.0,0.0,?,0.0,?,?,0.0,10.144,?,0.0,?,?,0.0,?,2.667,0.0,7.403,?,?,2
4.0,?,?,0.0,0.0,0.0,0.0,30.0,2.0,1.0,0.0,0.167,2.279,0.811,?,0.0,?,?,0.0,0.0,0.0,1.195,?,0.0,?,0.0,1.732,-0.596,0.0,9.444,?,?,0.0,0.0,0.0,3.261,?,0.0,?,?,0.0,?
?,3.646,0.0,0.0,0.0,?,0.0,?,2.0,?,?,?,?,1.406,9.425,4.0,0.998,1.146,0.0,0.0,?,1.14,0.0,0.0,0.0,0.0,?,-0.077,?,?,1.631,?,0.0,0.0,1.0,?,2.875,0.0,?,?,0.0,?
?,2.9879,?,?,0.0,0.0,0.0,?,0.0,2.0,0.0,-0.653,3.974,3.574,10.082,2.0,?,1.138,0.0,0.0,0.0,1.205,0.0,?,?,0.0,?,0.0,0.0,?,10.108,?,0.0,0.0,?,?,1.987,?,8.414,?,?,2
4.17,3.4453,?,?,?,?,0.0,27.3,?,2.0,?,-0.245,?,0.971,?,?,1.028,1.151,0.0,0.0,0.0,1.112,?,?,?,0.0,?,0.425,0.0,9.59,?,0.0,?,0.0,0.0,?,3.233,?,7.294,?,?,2
4.214,?,?,?,?,0.0,0.0,28.6,?,?,?,?,2.662,?,8.755,?,1.014,1.149,0.0,0.0,0.0,1.138,?,?,0.0,?,?,?,0.0,?,2.052,?,0.0,0.0,0.0,?,2.944,0.0,7.382,0.0,0.0,?
?,?,?,?,0.0,?,0.0,33.3,1.0,2.0,0.0,?,2.713,1.459,?,1.0,?,?,0.0,?,0.0,1.186,0.0,?,0.0,0.0,1.902,?,0.0,9.75,?,0.0,0.0,?,0.0,?,3.194,?,7.543,0.0,0.0,2
4.233,3.4039,0.0,?,0.0,?,0.0,27.8,1.0,?,0.0,?,2.938,?,?,?,1.022,1.15,0.0,?,0.0,?,0.0,?,?,0.0,?,?,?,10.041,?,0.0,0.0,0.0,0.0,?,2.833,?,?,?,0.0,2
?,3.6943,0.0,0.0,?,?,?,?,?,2.0,0.0,-0.241,2.838,?,8.944,3.0,1.013,1.139,0.0,0.0,?,1.164,0.0,0.0,0.0,0.0,1.97,0.149,?,?,?,0.0,0.0,0.0,?,3.39,2.952,0.0,7.596,0.0,0.0,2
?,?,0.0,0.0,0.0,0.0,0.0,33.3,?,2.0,0.0,-0.177,3.139,?,9.253,3.0,0.993,1.139,0.0,0.0,0.0,1.186,0.0,0.0,?,0.0,2.024,-0.025,0.0,10.624,3.412,0.0,0.0,0.0,0.0,3.394,?,0.0,?,?,0.0,?
5.392,4.5881,0.0,0.0,0.0,1.0,0.0,?,?,3.0,?,?,3.517,1.907,10.633,13.0,0.989,1.144,0.0,0.0,0.0,1.169,0.0,0.0,0.0,0.0,2.314,0.001,0.0,11.278,3.598,?,?,0.0,1.0,3.503,?,?,?,?,0.0,?
4.446,?,?,0.0,0.0,?,0.0,30.0,?,4.0,0.0,?,?,1.922,?,6.0,1.036,1.146,0.0,0.0,0.0,1.116,?,0.0,0.0,0.0,2.061,-0.028,0.0,20.804,3.132,0.0,0.0,?,?,3.431,3.133,?,8.008,0.0,0.0,?
?,?,?,?,0.0,0.0,0.0,31.8,?,?,0.0,-0.328,3.699,?,?,8.0,?,1.142,0.0,?,?,?,?,?,?,0.0,2.08,?,?,?,6.131,?,0.0,?,0.0,3.393,2.407,0.0,?,0.0,0.0,?
4.527,3.7942,0.0,?,0.0,?,0.0,32.5,?,?,?,?,?,3.427,10.56,10.0,?,?,?,?,?,1.184,0.0,0.0,?,0.0,?,0.0,?,?,9.594,?,0.0,?,?,3.393,2.086,?,?,0.0,0.0,?
?,3.1269,0.0,?,?,?,?,?,?,2.0,?,-0.076,?,3.309,?,?,?,?,0.0,0.0,?,?,0.0,?,?,0.0,2.019,?,?,10.914,8.395,?,0.0,0.0,?,3.358,1.96,?,8.298,0.0,0.0,2
?,3.8122,0.0,0.0,0.0,?,0.0,33.3,?,?,0.0,?,2.723,0.918,?,4.0,1.025,?,0.0,?,0.0,?,0.0,?,0.0,?,?,-0.258,0.0,?,?,?,0.0,?,1.0,3.511,?,0.0,?,?,?,?
?,4.0061,?,0.0,0.0,?,0.0,?,?,?,?,?,2.847,?,?,5.0,?,1.139,?,0.0,0.0,1.189,0.0,?,0.0,?,?,0.149,?,?,?,0.0,?,?,?,?,?,0.0,7.747,0.0,0.0,2
?,2.409,?,0.0,?,?,?,?,1.0,?,0.0,0.094,3.204,2.182,?,?,1.02,?,0.0,0.0,0.0,1.157,?,?,?,?,2.256,?,?,10.698,2.989,0.0,0.0,?,0.0,3.542,?,?,?,?,?,?
4.644,?,0.0,?,?,0.0,?,?,?,?,?,-0.104,3.082,1.837,?,?,?,?,0.0,0.0,?,1.149,?,?,?,?,2.084,0.049,?,?,2.732,0.0,0.0,0.0,?,3.525,3.093,0.0,7.886,0.0,?,2
4.646,?,?,0.0,0.0,?,?,34.3,2.0,5.0,?,-0.189,3.707,?,10.202,10.0,?,1.137,?,0.0,?,?,?,?,0.0,?,?,0.0,0.0,21.879,6.086,0.0,0.0,0.0,0.0,?,?,0.0,?,0.0,0.0,?
4.468,?,?,0.0,?,?,?,33.3,?,4.0,?,?,3.37,?,9.651,?,?,?,0.0,?,0.0,1.158,?,?,0.0,0.0,2.085,-0.008,0.0,?,?,?,?,?,0.0,?,2.944,0.0,8.196,?,?,?
4.562,?,?,0.0,?,0.0,?,25.0,1.0,2.0,?,?,3.184,?,9.184,0.0,?,?,0.0,0.0,?,?,?,0.0,?,0.0,2.0,-0.271,0.0,?,1.521,?,?,?,?,3.976,4.037,0.0,8.593,?,?,2
?,3.3847,0.0,?,1.0,0.0,?,30.8,?,?,1.0,-0.947,?,2.9,10.416,?,?,1.145,0.0,?,0.0,?,0.0,?,0.0,0.0,?,?,0.0,?,?,?,0.0,?,0.0,?,?,?,?,?,0.0,?
4.691,3.8787,0.0,0.0,?,0.0,?,?,?,4.0,?,-2.498,3.125,?,?,?,1.066,?,0.0,0.0,0.0,1.078,?,0.0,?,?,2.117,0.052,?,19.617,?,?,?,?,?,?,4.019,?,?,0.0,?,2
?,3.6206,0.0,?,0.0,?,0.0,28.6,?,3.0,?,?,?,0.971,8.597,0.0,1.124,?,?,?,?,1.095,?,?,0.0,?,?,?,?,?,1.542,0.0,0.0,0.0,?,?,?,0.0,7.521,0.0,0.0,2
?,3.3376,0.0,?,?,?,0.0,33.3,0.0,?,1.0,?,?,1.459,?,?,?,?,?,0.0,?,?,?,?,0.0,?,?,-0.277,0.0,9.377,2.052,?,?,?,?,?,?,?,?,0.0,0.0,?
5.206,?,?,0.0,1.0,0.0,0.0,?,?,3.0,3.0,-0.919,3.965,?,10.627,?,?,1.147,?,?,?,1.18,?,?,?,?,2.22,?,?,22.35,?,0.0,0.0,?,?,3.473,?,2.0,8.611,0.0,0.0,2
?,?,0.0,?,?,0.0,?,26.7,3.0,?,?,?,2.4,?,8.597,2.0,0.983,1.152,0.0,?,0.0,1.12,0.0,0.0,?,?,1.848,0.342,?,0.0,1.542,0.0,?,0.0,?,3.0,?,0.0,6.683,?,0.0,?
?,3.9016,0.0,0.0,0.0,?,0.0,?,3.0,?,?,-0.239,3.227,?,10.165,?,1.002,?,?,?,?,1.146,?,0.0,?,0.0,?,?,0.0,10.355,?,0.0,0.0,?,?,?,2.538,0.0,?,0.0,0.0,2
?,3.0034,?,0.0,0.0,?,?,42.1,1.0,1.0,?,0.0,3.093,1.187,?,2.0,0.987,?,0.0,0.0,0.0,?,?,0.0,0.0,0.0,2.2,?,?,?,?,0.0,1.0,?,?,?,2.315,?,8.009,?,0.0,2
4.607,?,0.0,?,?,0.0,2.0,42.1,?,1.0,0.0,?,?,1.187,9.631,?,0.987,1.12,0.0,0.0,?,?,1.0,?,?,0.0,?,?,?,0.0,?,?,1.0,?,1.0,3.635,2.315,?,8.009,?,0.0,?
4.807,3.2486,?,0.0,0.0,0.0,3.0,?,?,?,?,0.0,3.1,0.881,?,?,0.987,1.12,?,?,0.0,1.272,1.0,0.0,0.0,?,?,?,0.0,0.0,1.06,0.0,1.0,?,1.0,3.71,?,?,8.114,0.0,0.0,2
4.828,?,0.0,0.0,?,?,?,?,?,?,0.0,?,3.203,1.261,9.749,4.0,1.004,1.125,?,?,?,?,1.0,0.0,?,0.0,2.247,0.014,0.0,?,1.436,0.0,2.0,0.0,0.0,3.677,2.233,?,8.114,?,0.0,2
?,?,?,?,?,0.0,1.0,42.9,?,?,?,-0.242,?,?,9.722,?,?,1.119,0.0,0.0,?,1.241,1.0,0.0,?,0.0,2.166,?,0.0,?,2.905,0.0,?,?,?,3.573,?,?,8.245,?,?,?
4.521,?,0.0,?,?,?,?,45.0,?,?,?,0.0,3.203,?,9.466,1.0,?,1.114,0.0,0.0,?,?,?,0.0,0.0,0.0,2.154,?,0.0,0.0,2.593,?,0.0,?,1.0,?,2.317,0.0,?,0.0,?,2
?,3.1116,?,?,0.0,0.0,?,46.7,?,?,0.0,0.0,?,?,?,?,1.02,1.111,?,0.0,?,?,?,0.0,?,?,2.194,?,?,?,?,0.0,?,0.0,?,?,2.926,?,8.143,0.0,0.0,?
?,?,?,0.0,0.0,0.0,?,?,?,3.0,0.0,0.0,?,?,?,?,1.027,1.12,?,?,0.0,1.216,?,?,0.0,0.0,?,?,?,?,1.568,?,2.0,?,?,3.743,?,?,8.33,?,?,?
4.923,?,0.0,0.0,?,?,?,44.4,1.0,2.0,0.0,-0.863,?,?,?,?,1.011,?,?,0.0,0.0,1.248,?,?,?,0.0,2.267,0.014,0.0,?,1.563,?,?,0.0,1.0,3.73,2.8,?,?,0.0,0.0,2
?,3.3983,0.0,0.0,0.0,?,?,41.7,0.0,?,0.0,?,3.571,?,10.257,?,?,?,0.0,?,0.0,1.202,1.0,0.0,0.0,0.0,2.343,?,0.0,22.449,?,0.0,0.0,?,0.0,?,?,0.0,8.593,?,0.0,?
?,?,?,?,0.0,?,2.0,?,?,?,?,?,3.869,2.066,?,?,1.001,?,0.0,?,?,1.215,?,?,?,0.0,?,?,?,23.965,3.873,?,0.0,0.0,?,?,?,0.0,8.789,2.0,?,2
4.914,?,?,0.0,0.0,0.0,?,41.7,0.0,?,0.0,?,?,1.59,?,10.0,1.03,?,?,0.0,?,?,?,0.0,0.0,?,2.307,?,0.0,?,2.465,0.0,?,?,?,3.764,?,0.0,8.591,2.0,0.0,2
5.047,2.7377,0.0,0.0,0.0,0.0,?,50.0,?,?,0.0,-2.685,?,1.06,10.531,?,?,?,?,?,0.0,1.211,?,?,0.0,0.0,?,-0.001,0.0,?,?,0.0,?,?,1.0,3.906,3.321,?,?,2.0,0.0,?
?,2.1244,?,?,?,0.0,?,50.0,0.0,2.0,?,-0.288,3.699,0.5,10.239,?,?,1.104,0.0,?,0.0,?,?,0.0,?,0.0,?,0.0,?,11.596,?,0.0,?,?,?,?,2.313,?,?,?,?,2
4.77,?,0.0,0.0,0.0,?,?,?,0.0,?,?,?,3.261,?,9.882,?,1.04,1.117,?,0.0,?,1.207,1.0,?,0.0,?,2.236,0.015,?,?,?,?,?,?,2.0,?,3.2,0.0,8.3,0.0,?,?
5.313,3.4571,1.0,?,0.0,?,2.0,?,0.0,4.0,0.0,?,?,?,10.388,?,?,1.118,0.0,0.0,0.0,?,?,0.0,0.0,0.0,?,-0.008,0.0,?,1.833,?,2.0,?,?,4.735,?,0.0,9.513,?,0.0,2
?,?,0.0,?,0.0,?,0.0,?,?,0.0,?,3.12,?,?,9.882,?,?,1.128,?,0.0,0.0,1.274,1.0,0.0,?,?,?,?,?,?,1.74,?,0.0,?,0.0,3.521,?,0.0,?,0.0,0.0,2
?,?,?,0.0,?,0.0,?,?,?,1.0,?,0.0,2.755,0.802,9.183,?,0.98,?,0.0,?,?,1.149,?,?,?,?,?,-0.066,?,0.0,?,?,0.0,0.0,1.0,?,2.119,0.0,7.119,?,?,?
4.821,2.5866,?,0.0,?,?,?,?,?,?,?,-0.135,?,?,9.928,?,0.99,1.139,?,?,?,?,?,0.0,0.0,0.0,?,-0.007,0.0,?,?,?,0.0,?,?,3.434,2.258,?,7.93,?,0.0,?
?,2.1747,1.0,?,0.0,?,?,?,?,?,?,0.0,4.133,0.393,?,?,1.009,1.102,?,0.0,0.0,?,3.0,?,?,0.0,?,0.0,0.0,?,?,0.0,?,?,0.0,4.44,2.318,?,9.576,0.0,0.0,2
?,3.0422,?,0.0,0.0,?,?,?,?,?,?,?,?,?,?,2.0,?,?,0.0,?,0.0,?,?,0.0,0.0,0.0,?,-0.025,0.0,10.118,1.544,0.0,?,0.0,?,3.651,?,0.0,8.116,0.0,?,?
5.814,2.4937,0.0,?,?,?,0.0,?,3.0,1.0,?,?,3.256,?,10.926,4.0,0.978,1.131,0.0,0.0,0.0,1.254,?,?,0.0,?,?,0.003,0.0,?,?,?,0.0,0.0,?,?,2.091,0.0,8.196,0.0,?,2
?,2.2966,0.0,?,0.0,1.0,0.0,?,3.0,0.0,?,?,3.144,?,?,0.0,?,1.128,0.0,0.0,0.0,1.267,?,?,?,0.0,?,?,?,?,0.986,?,?,?,0.0,3.676,?,0.0,8.065,0.0,?,2
?,?,0.0,0.0,?,2.0,?,?,3.0,1.0,0.0,?,3.227,?,?,?,0.975,?,?,0.0,0.0,?,3.0,?,?,?,2.62,0.003,?,?,?,?,0.0,?,1.0,?,1.97,0.0,8.05,?,?,2
4.732,?,0.0,?,0.0,?,0.0,40.0,0.0,?,0.0,0.417,2.767,0.959,9.464,1.0,1.042,?,0.0,0.0,0.0,1.208,1.0,?,?,0.0,2.236,?,?,9.827,1.138,0.0,0.0,0.0,?,?,?,0.0,?,0.0,?,?
4.923,2.7291,?,0.0,?,?,2.0,50.0,0.0,?,?,?,?,0.664,?,5.0,1.019,?,0.0,0.0,0.0,?,?,0.0,0.0,0.0,2.376,-0.008,?,?,?,?,?,0.0,0.0,3.783,2.5,0.0,?,1.0,?,2
4.414,3.2274,?,0.0,0.0,?,?,45.5,?,?,?,0.0,2.935,?,9.209,?,1.038,?,0.0,?,0.0,1.296,?,?,?,?,2.152,-0.085,?,?,?,0.0,?,?,?,?,?,?,8.002,?,0.0,2
?,?,0.0,0.0,0.0,0.0,?,29.4,?,?,?,0.0,?,?,?,?,1.004,?,?,?,0.0,?,?,0.0,0.0,0.0,2.152,-0.074,?,0.0,1.496,0.0,?,?,1.0,?,?,0.0,?,0.0,?,2
4.982,2.8025,?,?,2.0,?,2.0,?,?,2.0,2.0,-0.601,3.38,0.762,?,?,?,1.109,?,0.0,0.0,1.261,?,?,0.0,0.0,?,?,?,21.888,?,?,?,?,?,?,?,?,8.508,?,?,2
?,2.7156,0.0,0.0,0.0,?,0.0,31.3,0.0,?,0.0,?,?,?,?,3.0,?,1.148,0.0,0.0,0.0,?,1.0,0.0,?,?,?,?,0.0,10.5,?,0.0,0.0,?,0.0,3.482,2.452,1.0,?,?,?,?
?,?,?,0.0,?,?,2.0,50.0,?,?,?,?,3.174,?,?,?,?,?,?,?,?,1.359,?,0.0,?,?,2.323,0.013,?,?,0.95,0.0,0.0,?,1.0,?,?,1.0,?,?,?,?
?,3.2947,?,?,?,?,0.0,23.1,0.0,?,0.0,0.0,?,0.917,9.968,4.0,?,?,0.0,?,?,1.188,1.0,?,0.0,?,2.256,?,?,20.417,0.939,?,0.0,?,0.0,?,?,?,?,?,?,?
4.826,?,0.0,?,6.0,?,0.0,?,?,?,?,?,?,?,10.121,?,1.007,1.163,0.0,0.0,0.0,1.12,1.0,0.0,?,0.0,?,?,?,0.0,1.916,?,0.0,?,3.0,?,2.5,3.0,8.023,0.0,0.0,?
?,2.9046,1.0,?,1.0,?,2.0,39.3,?,?,2.0,?,?,1.875,?,?,?,1.127,?,0.0,0.0,?,1.0,?,0.0,0.0,?,?,0.0,?,3.31,0.0,?,3.0,?,3.74,?,?,?,1.0,1.0,?
5.439,?,2.0,?,?,0.0,?,?,0.0,11.0,7.0,-0.945,?,?,?,?,1.055,?,0.0,?,?,?,?,?,?,?,2.466,0.0,?,35.388,5.533,?,?,4.0,?,4.61,?,?,?,0.0,?,2
?,2.6454,?,?,?,?,1.0,39.1,0.0,?,?,-0.959,3.394,?,9.972,?,1.008,?,?,?,?,?,?,?,0.0,0.0,?,0.004,0.0,10.379,?,0.0,0.0,?,3.0,3.585,2.764,?,?,?,?,2
?,3.7176,?,?,0.0,?,?,23.1,?,?,0.0,?,3.714,?,10.094,4.0,?,1.144,0.0,?,?,1.174,0.0,0.0,0.0,?,?,-0.002,0.0,?,?,?,?,?,?,?,3.333,2.0,?,?,?,?
3.975,2.8897,0.0,?,0.0,?,?,?,2.0,?,?,0.0,?,3.322,?,?,?,?,0.0,?,0.0,1.209,0.0,0.0,0.0,0.0,1.978,0.0,?,0.0,8.122,0.0,?,?,?,2.994,1.55,?,7.896,0.0,0.0,2
4.17,?,?,?,0.0,0.0,?,?,3.0,0.0,?,0.0,2.373,0.971,?,?,?,1.161,0.0,?,0.0,?,0.0,0.0,0.0,?,?,?,0.0,0.0,1.542,0.0,0.0,1.0,2.0,?,?,1.0,?,0.0,0.0,2
?,1.8227,?,?,?,?,0.0,20.0,0.0,?,0.0,?,?,0.918,?,?,?,?,?,0.0,?,1.126,0.0,?,?,?,?,?,?,0.0,1.333,?,?,?,?,?,2.167,1.0,5.834,?,?,2
?,2.3911,?,?,0.0,?,0.0,25.0,?,?,0.0,?,2.359,?,7.853,0.0,?,?,?,0.0,?,?,?,?,?,?,?,0.33,?,?,?,?,0.0,2.0,1.0,2.848,?,?,?,?,?,2
3.0,?,?,0.0,?,?,0.0,22.2,2.0,?,0.0,?,?,?,6.594,0.0,?,?,?,0.0,?,?,0.0,?,?,0.0,1.414,?,?,0.0,1.333,?,?,?,?,2.651,?,?,5.86,0.0,0.0,2
