@relation dataset

@attribute attribute_0 real
@attribute attribute_1 real
@attribute attribute_2 real
@attribute attribute_3 real
@attribute attribute_4 real
@attribute attribute_5 real
@attribute attribute_6 real
@attribute attribute_7 real
@attribute attribute_8 real
@attribute attribute_9 real
@attribute attribute_10 real
@attribute attribute_11 real
@attribute attribute_12 {1, 2}


@data
6.4,?,?,2.9,0.038,19.0,102.0,0.9912,3.17,?,11.0,7.0,2
6.8,0.26,0.42,1.7,0.049,?,?,0.993,3.47,0.48,?,8.0,?
?,?,0.14,1.5,0.074,25.0,168.0,?,?,?,9.3,5.0,?
6.6,?,0.41,?,0.052,16.0,142.0,?,3.42,?,10.0,6.0,2
7.0,0.25,?,9.0,0.046,?,245.0,0.9955,?,?,10.4,?,?
6.9,?,?,?,0.052,35.0,146.0,?,?,?,?,?,?
?,0.28,?,8.7,?,?,141.0,?,?,?,10.5,6.0,?
7.4,?,0.48,?,?,17.0,?,?,3.19,0.49,?,?,2
7.2,0.32,?,?,0.033,?,?,?,?,0.71,?,?,2
8.5,0.24,0.39,?,?,?,142.0,?,3.2,0.53,10.0,?,2
?,0.14,0.34,?,0.042,7.0,?,?,3.47,0.4,10.2,6.0,?
7.4,0.25,0.36,2.05,?,31.0,100.0,?,3.19,0.44,?,?,2
6.2,0.12,0.34,?,0.045,?,117.0,0.9939,3.42,0.51,9.0,6.0,?
?,?,0.2,?,0.044,22.0,179.0,0.9962,3.37,0.37,?,5.0,2
?,?,0.43,?,?,21.0,?,?,3.19,?,?,5.0,2
6.5,0.39,?,?,0.051,?,149.0,0.9934,?,0.35,?,5.0,?
7.0,?,0.32,?,0.053,38.0,138.0,?,?,?,11.2,?,2
7.3,?,?,17.95,?,45.0,?,0.9999,?,?,?,?,2
7.3,0.24,?,17.95,?,?,?,?,?,?,?,5.0,?
6.7,0.23,?,?,?,?,158.0,0.9937,3.11,?,9.4,6.0,2
6.7,0.24,0.39,?,?,?,157.0,?,?,?,?,6.0,?
7.0,0.31,?,7.4,0.069,28.0,?,?,?,?,?,6.0,?
?,0.24,?,1.4,?,33.0,?,0.9934,3.22,0.56,9.5,?,2
?,?,0.26,?,?,33.0,154.0,0.9934,?,?,9.5,6.0,2
7.4,0.18,?,?,0.058,38.0,?,0.9931,?,0.53,10.0,?,2
?,0.45,?,?,0.063,?,?,?,3.27,0.52,9.8,?,2
6.2,0.46,?,4.4,0.066,62.0,207.0,0.9939,?,?,?,?,?
7.0,0.31,?,7.4,?,28.0,160.0,?,3.13,0.46,?,6.0,2
6.9,?,0.35,?,?,?,150.0,0.995,3.36,?,?,?,2
?,?,0.31,?,0.062,31.0,?,0.9917,3.35,0.44,?,?,?
6.6,?,0.29,1.1,0.068,39.0,124.0,?,?,?,11.0,7.0,2
?,?,0.33,?,?,?,82.0,?,3.32,0.46,?,7.0,2
?,?,?,?,?,39.0,108.0,0.9911,?,0.35,?,6.0,2
6.8,0.2,0.59,?,0.147,?,?,0.993,?,?,?,?,2
?,?,0.35,?,?,?,191.0,0.9908,?,?,11.0,?,2
?,?,?,11.9,?,37.0,213.0,?,3.09,?,9.6,6.0,?
?,?,?,?,0.048,?,?,?,?,?,?,?,2
?,0.38,?,4.6,0.044,?,?,?,3.11,0.38,?,?,?
?,0.2,?,?,?,?,?,?,3.36,?,?,?,?
?,0.22,?,4.9,?,?,?,?,?,?,8.6,6.0,?
6.0,0.19,0.26,?,0.048,50.0,147.0,?,?,?,8.9,6.0,?
7.0,?,?,?,0.035,?,151.0,?,3.02,?,10.5,?,2
6.6,?,?,?,0.044,?,78.0,0.9931,?,?,10.2,?,2
7.2,?,0.27,1.4,?,31.0,?,0.9927,?,0.46,10.3,6.0,2
?,0.35,?,1.2,0.064,?,120.0,?,?,?,9.1,5.0,2
?,?,0.24,?,0.04,27.0,124.0,?,?,?,12.6,7.0,2
?,?,0.13,?,0.041,?,174.0,?,3.14,?,?,?,?
6.7,?,?,?,?,30.0,96.0,?,?,?,?,8.0,?
?,0.24,?,?,0.05,21.0,105.0,0.9962,3.13,0.35,?,5.0,2
?,?,0.43,?,?,?,244.0,?,3.1,0.51,9.0,6.0,?
?,0.3,?,4.6,0.061,?,?,0.9958,3.32,0.6,?,5.0,2
6.0,0.27,0.28,?,?,31.0,201.0,?,3.69,?,?,5.0,?
8.6,0.23,0.46,?,?,?,?,?,?,?,?,?,?
?,?,0.31,2.1,?,30.0,?,0.9926,3.33,?,10.7,8.0,2
?,0.24,?,?,0.05,21.0,?,0.9962,3.13,0.35,9.5,?,2
7.1,?,0.36,?,?,?,?,0.9898,3.26,0.37,12.7,7.0,2
7.0,?,0.34,?,0.042,20.0,?,0.9912,?,0.65,?,?,?
?,?,0.3,8.8,0.064,26.0,103.0,0.9961,2.94,0.56,9.3,?,2
6.7,0.54,0.28,?,0.06,?,105.0,0.9949,?,0.37,9.0,5.0,?
?,0.22,0.31,?,?,?,114.0,0.9929,?,0.77,?,6.0,?
7.1,0.2,?,?,0.05,?,?,?,?,?,?,?,2
7.1,0.34,0.2,?,?,?,?,0.9946,?,?,10.0,5.0,?
?,0.22,0.3,?,?,42.0,207.0,0.9966,3.33,0.46,?,?,?
?,0.43,?,?,?,?,155.0,?,3.11,0.45,?,5.0,?
?,0.44,0.62,?,0.044,52.0,152.0,0.9975,3.12,?,?,6.0,2
?,?,?,11.0,0.044,?,?,?,3.09,0.44,8.7,6.0,?
6.8,?,0.31,13.3,?,?,202.0,?,?,0.48,?,6.0,?
7.1,0.43,?,?,?,?,?,?,3.11,0.45,?,?,2
7.1,?,0.62,11.8,0.044,52.0,?,?,3.12,0.46,8.7,6.0,?
7.2,?,0.63,11.0,?,?,156.0,0.9974,?,0.44,?,6.0,2
?,?,0.43,7.5,0.049,?,?,?,?,0.47,?,5.0,?
6.9,?,0.33,1.7,0.035,?,136.0,0.99,?,0.4,12.6,7.0,?
6.9,0.21,?,1.8,0.034,?,136.0,0.9899,?,0.41,?,?,?
7.5,?,0.32,1.7,0.04,?,148.0,0.9916,3.21,0.44,11.5,7.0,?
7.1,?,?,?,0.044,?,240.0,0.9969,3.04,?,?,6.0,?
?,?,?,?,0.046,?,164.0,?,3.14,?,?,?,2
8.6,0.265,0.36,?,0.034,?,?,0.9913,?,?,?,?,?
?,0.36,0.46,?,?,4.0,?,?,2.89,0.3,?,4.0,2
6.0,0.34,?,15.9,0.046,?,?,0.9979,3.14,?,?,?,?
?,?,?,?,0.06,52.0,192.0,0.9975,3.0,?,9.1,5.0,2
7.1,?,0.32,?,?,?,?,0.9962,?,?,?,5.0,2
?,?,?,12.1,0.05,?,?,0.997,3.34,0.39,9.4,?,?
?,?,0.4,?,0.059,44.0,170.0,1.0,2.99,?,9.0,?,?
?,?,?,?,0.06,?,?,0.9975,?,0.44,9.1,5.0,?
?,0.13,?,14.4,?,?,109.0,0.9974,?,0.35,?,6.0,?
?,?,?,?,0.054,?,?,?,?,?,?,?,2
?,0.23,0.35,?,?,?,171.0,0.999,3.16,?,9.1,?,?
?,0.23,?,16.5,0.04,60.0,171.0,0.999,3.16,?,9.1,?,?
?,?,0.28,1.3,0.051,37.0,?,0.9927,3.27,0.6,?,?,2
?,0.17,?,8.5,0.082,?,?,?,?,0.39,?,6.0,2
?,0.27,0.46,?,?,?,?,1.0,3.04,0.52,?,?,?
7.2,?,?,13.3,?,?,195.0,0.9982,3.01,?,?,?,2
?,0.41,?,?,?,?,150.0,0.9968,3.22,0.51,?,?,2
?,0.41,0.34,?,0.049,?,150.0,?,?,?,9.1,?,?
5.5,?,?,1.5,?,8.0,103.0,?,?,0.4,9.7,?,2
?,0.31,?,3.3,0.041,25.0,143.0,0.9914,?,?,?,?,?
7.0,?,?,1.7,?,16.0,85.0,0.9911,3.19,0.42,?,6.0,2
?,?,?,?,0.056,?,195.0,?,3.01,0.47,?,5.0,2
?,0.32,?,?,0.06,?,196.0,0.9982,3.04,0.5,9.2,?,?
5.9,?,?,?,0.046,21.0,87.0,?,3.22,?,10.2,?,?
7.8,?,?,?,0.054,42.0,138.0,?,?,0.54,8.8,5.0,2
7.4,?,0.31,?,0.059,31.0,?,0.9952,?,0.34,?,?,2
6.9,0.19,0.28,5.0,?,?,?,0.9952,?,?,9.1,6.0,?
?,?,?,?,?,?,?,?,?,?,9.8,6.0,?
6.7,0.19,?,1.1,0.026,?,?,?,3.27,?,11.0,6.0,2
7.4,?,?,7.0,?,29.0,126.0,0.994,3.14,0.42,?,?,2
6.5,?,?,?,0.038,?,?,0.9958,3.45,?,9.7,?,?
?,0.3,?,2.8,0.044,?,179.0,0.9924,?,0.57,?,?,?
6.1,0.3,0.56,2.7,0.046,?,?,?,3.31,?,?,6.0,2
5.7,?,?,10.4,0.02,?,?,0.994,?,0.37,10.6,?,?
?,0.24,0.32,7.6,0.038,?,?,?,?,0.54,9.7,?,?
?,?,?,13.1,?,59.0,241.0,0.9979,?,?,9.0,5.0,?
?,?,0.27,15.8,0.035,?,?,?,?,0.51,9.2,5.0,2
?,0.27,?,?,?,55.0,203.0,?,3.19,0.52,8.9,?,2
?,?,0.31,15.7,?,?,179.0,0.9979,?,0.56,9.6,5.0,?
8.2,?,?,?,0.027,36.0,121.0,?,?,?,?,6.0,?
?,?,0.67,?,0.045,49.0,155.0,0.9975,3.16,0.44,8.7,5.0,?
?,?,?,?,0.035,?,96.0,0.9917,3.15,?,?,7.0,?
8.1,0.28,?,1.9,?,?,79.0,?,?,0.52,?,6.0,2
6.3,?,0.34,?,0.045,20.0,?,0.9927,3.3,?,10.2,5.0,2
7.1,0.37,?,10.5,?,?,155.0,0.9975,3.16,?,?,5.0,?
7.9,0.21,0.4,1.2,0.039,38.0,?,0.992,?,0.54,?,6.0,2
?,?,0.41,4.3,?,?,?,?,?,0.53,?,?,2
?,?,0.4,2.0,0.037,19.0,?,?,3.12,0.54,?,6.0,?
?,0.255,?,1.1,?,37.0,?,?,?,0.39,?,?,2
?,?,0.27,?,0.044,?,?,?,?,0.37,10.1,?,2
6.4,?,0.14,?,?,15.0,?,0.9951,3.38,?,?,4.0,2
?,?,0.33,4.6,0.034,?,80.0,?,3.38,?,?,7.0,2
6.9,?,?,?,?,23.0,116.0,?,2.99,0.38,9.4,?,2
7.9,0.22,?,8.0,0.043,46.0,152.0,?,3.12,?,11.5,?,2
7.6,0.18,0.46,10.2,0.055,58.0,135.0,0.9968,?,0.43,9.9,6.0,?
6.9,?,0.3,4.1,0.054,?,?,?,?,?,?,6.0,2
?,?,?,1.2,?,?,97.0,?,3.14,0.45,?,?,?
8.2,0.23,?,?,0.049,12.0,76.0,0.9966,3.06,?,?,6.0,2
7.4,?,0.42,?,0.066,?,?,0.9979,2.89,0.42,?,?,2
?,0.24,0.42,14.0,?,48.0,198.0,0.9979,2.89,0.42,?,?,?
?,?,0.24,1.5,0.036,38.0,?,?,?,?,12.4,7.0,2
5.2,0.44,?,1.4,?,43.0,119.0,?,3.36,?,?,8.0,2
?,?,?,?,?,43.0,?,?,3.36,?,12.1,?,2
6.1,0.32,0.24,1.5,0.036,?,124.0,0.9898,3.29,0.42,12.4,?,?
?,0.22,0.56,14.5,0.055,27.0,159.0,?,?,0.4,?,5.0,2
?,?,?,?,0.049,14.0,85.0,?,3.28,?,?,5.0,2
7.4,?,?,14.0,?,48.0,198.0,?,2.89,0.42,?,6.0,?
6.7,0.24,?,13.1,?,?,?,?,?,0.5,9.5,?,2
?,0.23,?,13.0,0.051,?,?,?,?,0.49,9.8,?,2
8.4,?,0.46,8.7,?,?,197.0,?,3.14,0.59,9.6,?,?
6.7,?,?,?,0.034,?,98.0,0.9896,3.08,?,12.6,7.0,2
?,?,?,?,0.055,20.0,?,?,3.08,0.54,?,?,?
9.8,0.42,?,?,?,?,?,0.9958,?,0.29,?,5.0,?
?,0.3,0.46,?,?,29.0,133.0,0.9906,?,?,12.7,?,2
7.9,?,0.45,?,0.045,?,96.0,0.9917,3.13,?,?,?,2
7.6,0.48,0.37,0.8,?,4.0,?,?,3.03,0.39,11.4,4.0,2
?,0.22,0.43,4.55,?,31.0,?,?,3.35,0.33,11.5,?,?
7.5,?,0.31,?,0.051,33.0,173.0,?,3.09,?,10.2,?,?
?,?,?,?,0.04,50.0,?,?,3.11,?,?,6.0,2
?,0.32,0.47,?,0.044,?,?,?,3.03,?,12.6,?,?
5.9,?,0.3,12.9,?,?,?,0.9972,3.28,?,?,?,?
?,?,0.07,1.2,0.06,?,108.0,?,?,?,8.7,4.0,?
6.4,?,0.32,5.5,0.049,41.0,176.0,0.995,?,0.68,?,?,?
6.4,0.33,?,5.5,?,42.0,?,?,3.19,0.66,?,6.0,?
?,0.34,?,?,?,61.0,?,?,?,?,9.2,5.0,?
?,0.28,0.4,22.0,0.048,48.0,?,1.001,2.93,0.5,?,?,2
6.9,?,?,?,0.05,64.0,?,0.9979,?,0.58,?,?,2
6.8,?,?,11.9,0.043,64.0,226.0,0.997,3.02,0.63,9.3,?,?
?,0.29,?,11.9,?,66.0,?,0.9972,?,?,9.3,5.0,?
?,?,0.41,9.4,?,49.0,166.0,?,?,?,?,6.0,?
5.9,0.3,0.23,?,0.038,42.0,?,0.9924,3.15,?,11.0,5.0,?
6.8,0.53,0.35,3.8,?,26.0,?,0.9906,3.26,?,?,8.0,?
?,?,0.28,?,?,54.0,?,0.9962,?,0.54,?,4.0,2
6.6,?,0.28,?,0.052,55.0,211.0,?,3.09,0.55,8.9,6.0,?
6.8,?,?,?,?,48.0,?,1.001,2.93,?,?,?,?
6.8,?,0.36,?,0.045,28.0,?,?,3.02,?,?,6.0,2
?,?,0.34,?,0.055,?,?,0.9942,3.36,?,9.6,?,2
6.4,0.29,0.44,?,?,?,?,?,3.02,0.41,?,?,?
?,?,?,3.5,?,?,?,0.9942,?,0.39,?,6.0,2
?,0.29,0.44,?,?,?,?,0.9942,3.01,?,9.1,5.0,2
6.8,?,0.24,7.8,0.052,54.0,214.0,0.9961,3.13,0.47,8.9,?,?
?,0.32,?,?,?,52.0,204.0,0.998,?,0.49,?,?,2
?,?,?,?,?,54.0,214.0,0.9961,?,?,8.9,5.0,?
6.8,0.27,0.26,?,?,55.0,196.0,?,3.15,0.5,9.3,?,2
?,0.32,0.24,13.1,?,?,204.0,?,3.1,?,8.8,?,?
?,?,?,13.2,?,53.0,236.0,0.9973,3.2,0.5,?,5.0,?
?,0.26,0.34,?,?,?,134.0,0.9949,?,0.53,12.0,?,?
5.8,?,0.35,2.3,0.053,?,?,?,?,?,?,4.0,2
6.4,?,0.5,?,?,45.0,?,0.9972,3.15,?,8.8,?,?
?,0.16,?,8.3,0.045,?,126.0,0.9958,3.21,?,9.2,?,2
10.2,?,?,6.2,0.049,?,124.0,?,?,0.51,?,4.0,?
6.8,0.57,0.29,?,?,?,77.0,?,?,0.74,?,5.0,?
?,?,?,?,0.048,23.0,?,?,3.22,0.77,?,6.0,2
?,?,?,9.7,0.032,?,68.0,0.994,?,0.34,10.5,?,2
?,0.18,0.38,1.4,0.038,35.0,111.0,0.9918,?,?,?,?,2
7.0,0.16,?,?,?,38.0,?,0.9958,3.21,?,?,5.0,2
?,?,0.29,5.3,?,?,122.0,0.9944,3.44,0.37,?,6.0,2
6.2,?,?,1.4,0.03,?,?,0.9912,3.3,0.44,?,7.0,2
5.8,?,?,9.2,?,55.0,152.0,0.9961,?,0.38,?,5.0,?
?,0.27,?,7.0,0.036,45.0,?,?,?,?,11.0,?,?
5.8,0.26,0.24,9.2,0.044,?,?,0.9961,3.31,?,?,?,?
5.7,0.28,?,?,?,?,167.0,?,?,0.44,9.4,5.0,2
?,0.23,?,?,0.036,?,?,?,3.04,?,11.0,?,2
?,0.27,?,?,?,?,164.0,0.9939,3.03,0.33,11.0,5.0,2
?,?,?,9.5,?,?,172.0,0.9971,3.0,0.55,9.1,6.0,?
?,0.25,?,?,0.03,?,105.0,?,3.3,?,?,?,2
?,?,?,0.8,0.043,?,144.0,0.9936,3.42,?,?,6.0,?
6.3,0.495,0.22,?,?,?,140.0,0.9929,?,?,?,?,?
7.1,?,?,?,?,39.0,?,?,3.32,0.39,?,?,2
?,?,0.32,?,0.048,?,200.0,0.9938,?,?,?,6.0,?
7.1,0.25,0.32,?,0.041,?,?,?,3.17,?,9.1,?,2
6.4,0.17,?,?,?,?,?,?,3.5,?,9.7,6.0,?
?,?,?,17.8,?,?,?,0.9998,?,?,?,?,?
6.8,?,?,9.7,0.062,?,142.0,0.9972,?,?,?,?,?
8.3,?,?,?,?,?,?,?,3.34,0.51,?,6.0,?
?,?,0.39,7.8,?,?,208.0,0.9976,3.31,?,9.5,6.0,2
?,?,?,14.3,0.058,?,?,?,3.09,0.44,9.0,6.0,?
?,?,0.38,14.3,?,?,?,?,?,?,9.0,?,2
?,?,?,?,?,55.0,?,?,?,0.44,9.0,?,2
7.2,0.23,0.38,14.3,?,55.0,194.0,0.9979,?,?,9.0,?,2
?,?,?,13.2,?,?,221.0,0.9972,3.27,0.5,9.6,?,?
?,?,0.59,1.4,0.037,40.0,120.0,0.9918,3.34,?,11.1,?,?
6.2,0.25,0.21,15.55,?,28.0,?,0.9982,?,0.64,9.6,6.0,?
7.3,?,?,13.7,0.05,?,197.0,?,3.2,?,8.7,5.0,?
7.7,0.31,0.26,?,0.031,23.0,?,0.9944,?,0.5,10.4,?,2
7.1,?,?,2.4,?,?,100.0,0.9903,?,?,11.4,?,2
?,?,?,2.7,0.047,?,218.5,0.9934,3.3,0.58,9.7,6.0,2
?,0.4,0.56,?,0.043,?,142.0,0.9975,?,0.46,8.7,5.0,2
?,0.18,0.36,2.0,?,?,249.5,?,?,0.79,11.3,?,?
?,0.21,0.27,?,?,26.0,139.0,?,?,?,12.6,7.0,?
5.8,0.2,?,1.4,0.031,?,77.0,0.9905,3.25,0.36,10.9,?,?
5.6,0.19,?,?,?,?,76.0,?,?,0.37,?,7.0,?
6.1,0.41,?,?,?,?,?,0.996,3.38,?,?,5.0,?
?,?,?,4.6,?,40.0,199.0,?,3.72,?,?,4.0,?
?,?,?,16.2,?,?,197.0,0.998,3.02,?,9.8,?,2
?,?,0.56,?,0.043,40.0,142.0,?,3.14,?,8.7,?,2
?,?,?,?,?,?,?,?,?,0.43,11.7,?,?
5.8,0.24,0.39,?,?,37.0,?,?,3.21,?,?,?,2
?,?,0.39,1.1,?,?,?,0.9935,?,0.58,?,?,?
6.3,0.35,?,5.7,0.035,8.0,?,?,?,0.41,11.0,7.0,2
6.3,?,?,?,?,8.0,?,0.9927,?,?,?,?,2
6.4,0.23,?,?,0.032,23.0,118.0,0.9912,?,?,?,?,2
?,0.36,?,0.9,?,3.0,?,0.9904,3.28,?,?,4.0,2
6.9,?,?,5.4,0.048,36.0,108.0,?,3.32,?,10.2,?,?
?,?,0.4,?,?,36.0,?,0.9996,?,0.47,?,?,?
6.9,?,?,8.2,0.036,15.0,?,0.9944,?,0.33,10.2,5.0,2
7.2,0.29,0.4,?,0.045,?,?,?,3.08,0.59,?,6.0,?
6.2,0.24,?,?,0.038,?,167.0,0.9912,?,0.48,?,6.0,?
?,0.29,?,19.45,0.043,?,156.0,0.9996,2.93,0.47,?,?,2
?,0.32,?,8.3,?,32.0,?,0.9965,3.25,0.51,9.2,6.0,?
?,0.58,?,6.9,?,34.0,149.0,0.9944,?,0.57,?,?,?
5.3,0.585,?,7.1,0.044,34.0,?,?,3.34,?,9.7,6.0,?
5.4,?,?,7.0,0.045,36.0,147.0,0.9944,3.34,0.57,?,6.0,2
?,?,0.26,?,?,?,180.0,0.9965,3.25,?,9.2,?,?
?,?,0.07,?,?,?,?,0.9944,?,?,9.7,5.0,2
?,?,?,?,0.051,?,?,?,?,0.38,9.3,5.0,?
6.6,?,?,5.1,0.057,?,123.0,0.9949,?,?,?,?,2
?,?,?,?,0.046,59.0,?,?,3.05,?,9.5,?,?
?,?,0.41,?,?,?,169.0,0.9954,?,0.57,9.8,?,2
6.7,0.2,?,?,0.044,50.0,?,0.9954,3.14,0.58,9.8,6.0,?
7.7,0.26,?,1.1,0.042,9.0,60.0,?,2.89,?,10.6,5.0,2
?,0.32,0.34,?,0.044,14.0,?,0.9919,3.05,?,10.6,4.0,?
?,0.3,0.49,?,0.036,?,?,0.9916,?,?,12.4,7.0,2
?,?,0.36,?,?,22.0,112.0,0.99,3.19,0.38,?,8.0,?
?,0.31,0.58,?,0.039,?,?,0.9909,?,?,?,?,2
?,?,?,5.1,0.047,46.0,?,?,?,?,10.5,?,?
6.7,0.34,?,?,?,51.0,?,?,?,?,?,?,2
?,0.35,?,?,?,?,198.0,?,?,0.49,8.8,?,2
7.3,0.32,?,7.2,0.056,?,?,0.9961,3.08,?,8.8,5.0,2
?,?,0.33,?,?,?,190.0,0.9978,?,?,?,6.0,2
7.2,0.23,0.39,14.2,0.058,49.0,?,0.9979,2.98,?,?,?,?
?,?,?,?,?,?,192.0,?,2.98,0.48,?,?,?
?,?,?,14.2,?,49.0,192.0,0.9979,?,?,9.0,?,?
?,?,?,?,?,49.0,?,0.9979,2.98,?,?,7.0,2
?,?,?,5.8,?,53.0,?,0.9945,3.52,?,?,6.0,2
?,0.28,0.42,?,?,53.0,?,1.0,2.96,?,?,?,2
6.2,0.28,0.22,?,0.041,26.0,?,?,?,0.64,9.8,7.0,2
9.1,0.59,?,?,?,34.0,182.0,0.9968,3.23,0.38,8.5,3.0,2
6.3,0.33,0.27,1.2,?,34.0,175.0,?,3.37,?,9.4,6.0,2
8.3,?,0.7,?,?,?,?,?,3.09,?,9.4,?,?
7.2,0.19,0.46,3.8,?,82.0,187.0,0.9932,?,0.6,11.2,?,?
7.5,?,0.44,?,0.046,65.0,?,?,?,0.45,10.0,6.0,2
6.7,0.17,0.5,?,?,?,122.0,0.9923,?,?,?,?,2
?,?,?,1.6,0.063,36.0,87.0,?,?,0.67,?,6.0,?
?,?,0.35,0.9,?,12.0,?,?,?,0.38,?,?,?
?,0.41,?,?,?,36.0,87.0,?,3.27,0.67,?,6.0,2
6.0,0.29,0.21,?,?,42.0,?,0.9914,3.32,?,?,6.0,?
?,0.41,0.24,?,0.057,?,163.0,?,?,0.41,9.9,6.0,?
7.3,?,?,?,?,?,?,?,3.2,?,?,6.0,2
7.2,0.43,0.24,6.7,0.058,?,?,0.995,3.2,0.41,?,5.0,2
?,0.4,0.24,6.7,0.058,?,?,?,3.2,?,9.9,?,?
?,?,?,4.9,0.036,30.0,?,?,?,0.42,?,?,?
?,0.31,?,4.8,0.037,?,?,0.9928,?,?,10.4,6.0,?
6.1,?,?,?,0.035,?,100.0,0.9917,3.4,0.71,11.5,7.0,2
?,?,?,8.3,0.032,35.0,164.0,0.9918,?,0.51,?,?,?
?,?,?,3.7,0.042,?,?,0.9954,3.36,0.45,10.0,6.0,2
5.7,0.36,?,?,0.038,?,?,?,?,?,10.0,?,?
?,?,?,?,0.04,50.0,?,?,?,?,?,?,2
?,?,0.6,1.1,0.132,42.0,?,?,?,0.44,?,?,?
?,0.25,?,?,?,?,134.0,?,3.21,0.38,10.6,6.0,?
?,0.24,?,?,?,?,?,0.9938,3.19,0.37,?,5.0,?
5.9,0.3,0.47,?,0.03,19.0,?,0.9933,?,?,?,7.0,2
6.1,?,?,3.3,0.04,?,?,?,?,?,10.1,?,2
?,?,0.24,1.1,?,15.0,65.0,?,3.61,?,?,?,?
6.6,?,0.35,?,?,?,?,?,3.19,0.37,?,5.0,2
6.8,0.25,?,?,?,34.0,?,?,3.21,?,10.6,?,?
?,0.28,0.44,9.3,?,?,?,?,3.16,?,?,6.0,?
8.3,0.41,0.51,?,?,11.0,207.0,?,3.02,?,11.4,5.0,?
?,?,0.31,?,?,131.0,?,?,?,0.59,10.5,5.0,2
7.9,0.26,0.41,15.15,?,?,?,?,2.96,0.6,?,6.0,2
?,0.34,?,?,?,?,143.0,?,?,?,?,?,?
?,0.28,?,?,?,?,195.0,?,?,?,?,6.0,2
?,?,?,?,0.036,?,?,?,3.17,?,10.4,5.0,2
?,0.32,0.35,4.8,?,34.0,?,?,?,?,12.5,8.0,?
6.8,?,0.34,?,?,?,135.0,?,3.2,0.39,?,5.0,?
?,?,?,1.8,0.033,?,91.0,?,3.28,0.4,?,?,?
?,0.28,0.34,9.9,0.038,30.0,?,0.9954,?,0.44,?,5.0,?
5.6,?,?,?,0.031,12.0,80.0,?,?,0.38,?,?,?
6.3,0.23,0.3,?,?,?,91.0,?,?,?,11.8,?,2
6.3,?,?,1.5,?,15.0,105.0,0.991,3.32,0.42,?,6.0,?
5.8,?,0.27,?,?,55.0,170.0,0.9972,3.28,0.42,?,6.0,?
?,0.26,0.4,1.3,?,?,?,0.9945,3.45,?,10.4,?,2
?,0.18,?,?,0.049,?,?,0.9934,?,?,10.2,7.0,?
7.4,0.2,0.43,?,?,27.0,153.0,0.9964,?,?,9.0,7.0,2
?,0.24,0.36,?,?,?,129.0,?,?,0.54,10.0,?,2
?,?,0.42,?,?,30.0,140.0,?,?,?,9.1,?,?
?,0.31,?,?,0.053,?,?,?,?,?,10.0,5.0,?
?,?,0.47,3.0,?,47.0,?,?,3.29,?,10.0,?,?
7.1,0.145,0.33,4.6,0.05,?,131.0,?,3.28,0.4,?,6.0,2
?,?,0.1,?,0.031,?,?,0.9906,?,?,11.2,?,2
?,0.19,?,?,0.056,75.0,155.0,0.9995,?,0.44,?,?,?
?,0.18,?,?,0.052,38.0,118.0,0.998,?,?,10.0,6.0,?
7.6,?,0.45,?,0.054,56.0,?,?,3.15,?,?,5.0,2
6.3,?,?,2.1,?,?,?,0.9914,?,0.74,?,7.0,2
?,0.33,0.4,6.85,0.038,?,138.0,?,?,?,?,?,2
5.5,?,0.3,2.5,0.071,27.0,128.0,0.9924,3.14,?,?,6.0,2
7.3,0.33,0.4,6.85,0.038,?,?,?,?,?,?,?,2
