@relation dataset

@attribute fixedacidity real
@attribute volatileacidity real
@attribute citricacid real
@attribute residualsugar real
@attribute chlorides real
@attribute freesulfurdioxide real
@attribute totalsulfurdioxide real
@attribute density real
@attribute ph real
@attribute sulphates real
@attribute alcohol real
@attribute quality real


@data
7.4,0.25,?,13.5,?,52.0,192.0,0.9975,3.0,0.44,?,?
?,0.12,0.32,9.6,0.054,64.0,162.0,0.9962,3.4,0.41,?,5.0
6.0,0.21,?,12.1,?,55.0,?,?,3.34,0.39,?,?
7.5,0.305,?,18.9,0.059,44.0,170.0,?,2.99,0.46,9.0,5.0
7.4,?,0.37,13.5,0.06,52.0,192.0,0.9975,3.0,0.44,9.1,5.0
?,0.13,?,14.4,0.051,34.0,109.0,?,3.2,?,9.2,6.0
7.1,0.12,0.32,9.6,?,64.0,162.0,0.9962,3.4,?,?,5.0
?,0.23,0.35,?,0.04,60.0,?,?,3.16,?,?,6.0
?,?,0.35,?,?,60.0,171.0,0.999,3.16,0.59,9.1,?
6.9,0.33,?,?,?,37.0,187.0,?,?,?,10.3,5.0
?,?,0.54,8.5,?,64.0,163.0,0.9959,2.89,?,?,6.0
?,0.27,0.46,18.75,0.052,?,255.0,?,3.04,0.52,8.9,5.0
7.2,0.31,0.5,13.3,0.056,?,?,?,?,0.47,9.2,?
6.7,?,0.34,9.2,?,29.0,150.0,0.9968,3.22,0.51,?,5.0
6.7,0.41,0.34,9.2,0.049,?,?,0.9968,3.22,0.51,9.1,?
5.5,?,0.0,?,0.065,8.0,?,?,?,0.4,?,4.0
?,?,0.24,?,?,?,?,?,3.31,0.44,11.3,6.0
7.0,0.14,?,1.7,?,16.0,85.0,0.9911,3.19,0.42,11.8,6.0
?,0.31,0.5,?,?,68.0,195.0,0.9982,3.01,0.47,?,5.0
7.3,0.32,0.48,?,?,?,196.0,0.9982,3.04,0.5,?,5.0
5.9,?,0.04,5.7,0.046,21.0,?,?,3.22,0.51,10.2,?
7.8,0.24,0.32,12.2,?,42.0,?,?,3.01,0.54,?,5.0
?,?,0.31,6.85,0.059,31.0,?,?,?,?,?,?
?,0.19,0.28,5.0,?,14.0,146.0,?,3.29,0.36,9.1,?
?,0.13,0.47,?,0.092,40.0,158.0,?,3.21,0.36,9.8,?
?,?,0.36,1.1,?,63.0,?,?,3.27,0.48,?,6.0
7.4,?,?,7.0,?,29.0,126.0,0.994,3.14,0.42,?,?
?,?,?,7.6,0.038,?,203.0,0.9958,?,0.54,9.7,7.0
6.1,0.3,?,2.8,?,47.0,179.0,0.9924,3.3,0.57,10.9,7.0
6.1,?,?,?,?,?,?,0.9924,?,0.57,10.9,6.0
5.7,0.26,0.25,10.4,?,?,57.0,0.994,?,0.37,10.6,5.0
?,?,0.32,?,?,?,203.0,0.9958,?,0.54,9.7,7.0
?,0.425,0.4,13.1,?,59.0,?,?,?,0.57,9.0,5.0
?,?,?,?,?,?,188.0,?,?,0.51,9.2,5.0
6.8,?,?,?,0.034,55.0,?,?,?,0.52,?,5.0
6.7,0.27,0.31,?,0.036,44.0,?,?,3.26,0.56,?,5.0
8.2,0.23,0.4,1.2,0.027,?,?,?,?,0.38,?,6.0
?,0.37,0.67,?,?,49.0,155.0,0.9975,3.16,?,8.7,?
?,?,0.36,1.9,0.035,?,96.0,0.9917,3.15,0.54,10.8,?
8.1,?,0.39,1.9,0.029,18.0,?,?,3.23,0.52,11.8,6.0
6.3,0.31,0.34,2.2,?,20.0,77.0,?,?,0.43,10.2,5.0
7.1,0.37,?,10.5,?,?,?,0.9975,?,0.44,8.7,?
7.9,0.21,0.4,?,0.039,38.0,107.0,0.992,?,0.54,10.8,6.0
8.5,?,0.41,?,?,24.0,?,?,?,0.53,?,6.0
8.1,?,?,2.0,0.037,?,87.0,?,3.12,0.54,11.2,6.0
6.3,?,0.37,?,?,37.0,?,0.9905,3.0,?,?,?
?,?,0.27,?,?,53.0,?,0.9918,?,0.37,10.1,?
?,0.595,?,?,0.058,?,97.0,0.9951,?,0.36,?,4.0
6.3,?,0.33,?,?,?,?,0.9917,?,0.58,12.0,7.0
6.9,?,?,4.1,?,23.0,?,?,2.99,0.38,9.4,6.0
7.9,0.22,?,8.0,0.043,46.0,?,?,?,0.32,11.5,7.0
7.6,0.18,0.46,10.2,?,58.0,135.0,0.9968,?,0.43,9.9,?
?,0.25,0.3,4.1,?,?,116.0,0.994,2.99,?,9.4,6.0
7.2,?,0.41,1.2,?,41.0,?,0.9919,3.14,?,10.4,5.0
?,0.23,0.4,?,0.049,12.0,76.0,0.9966,3.06,0.84,9.7,?
7.4,?,0.42,14.0,0.066,48.0,?,?,?,0.42,?,?
7.4,?,0.42,?,?,48.0,?,0.9979,?,0.42,8.9,?
6.1,0.32,0.24,1.5,0.036,38.0,?,0.9898,3.29,0.42,12.4,7.0
?,0.44,?,1.4,0.036,?,119.0,?,?,0.33,12.1,?
5.2,?,0.04,?,0.036,43.0,119.0,0.9894,3.36,0.33,?,8.0
6.1,?,?,?,0.036,38.0,124.0,0.9898,3.29,0.42,?,?
6.4,?,0.56,14.5,?,27.0,159.0,0.998,?,0.4,?,5.0
?,?,?,4.8,0.049,14.0,?,?,?,?,10.6,5.0
7.4,?,?,14.0,?,?,?,0.9979,2.89,?,8.9,?
6.7,?,?,13.1,?,64.0,?,0.997,3.15,0.5,9.5,?
7.0,0.23,?,13.0,0.051,?,?,0.9972,?,0.49,?,5.0
?,0.27,?,8.7,?,39.0,?,?,?,0.59,?,6.0
6.7,?,?,2.4,?,25.0,98.0,?,?,?,12.6,7.0
?,0.29,0.31,?,?,20.0,151.0,?,?,?,?,?
9.8,0.42,0.48,9.85,?,?,?,?,?,0.29,10.0,5.0
?,0.3,?,1.5,0.066,?,133.0,0.9906,?,0.54,12.7,6.0
?,?,0.45,1.5,?,17.0,96.0,0.9917,?,0.39,?,6.0
7.6,0.48,0.37,?,?,4.0,100.0,0.9902,?,0.39,?,?
?,?,?,?,?,?,130.0,0.9918,?,0.33,11.5,7.0
7.5,0.27,0.31,?,0.051,33.0,?,0.999,3.09,?,?,5.0
6.9,0.23,?,?,0.04,50.0,?,?,?,0.27,11.4,6.0
7.2,0.32,0.47,5.1,0.044,?,65.0,?,?,?,?,4.0
?,?,0.3,?,?,57.0,170.0,0.9972,?,?,9.4,?
?,0.67,0.07,?,0.06,9.0,108.0,?,3.11,0.35,?,4.0
?,?,0.32,5.5,0.049,?,176.0,0.995,3.19,0.68,?,6.0
?,0.33,?,?,?,42.0,173.0,0.9951,?,?,?,6.0
7.1,?,0.15,1.2,0.053,61.0,183.0,0.9936,?,0.43,?,5.0
?,0.28,0.4,?,?,48.0,?,1.001,2.93,0.5,8.7,?
6.9,0.27,0.4,14.0,?,64.0,227.0,?,?,0.58,9.6,?
?,0.26,0.56,11.9,0.043,64.0,226.0,0.997,3.02,?,9.3,5.0
6.8,?,0.56,11.9,?,?,230.0,?,?,0.63,9.3,?
6.7,0.24,0.41,9.4,?,?,166.0,?,3.12,0.61,9.9,6.0
5.9,0.3,0.23,4.2,?,?,119.0,0.9924,3.15,?,?,5.0
?,?,0.35,3.8,0.034,?,?,?,3.26,?,?,?
6.5,0.28,0.28,8.5,0.047,?,210.0,0.9962,?,0.54,?,4.0
6.6,0.28,?,?,0.052,55.0,211.0,0.9962,3.09,0.55,?,6.0
?,0.28,0.4,?,0.048,?,167.0,1.001,?,0.5,8.7,5.0
?,0.28,?,?,0.045,?,123.0,0.9928,?,0.37,11.4,6.0
6.6,?,0.34,5.1,?,34.0,125.0,0.9942,3.36,0.42,?,?
6.4,?,0.44,3.6,0.2,75.0,?,?,3.02,?,9.1,5.0
6.4,?,0.45,?,0.197,76.0,?,0.9942,?,0.39,?,?
6.4,?,?,3.6,?,75.0,183.0,?,?,?,?,5.0
6.8,0.26,0.24,?,0.052,54.0,214.0,0.9961,3.13,?,?,5.0
7.1,?,0.24,13.1,0.05,52.0,204.0,?,?,0.49,8.8,?
6.8,?,0.24,7.8,?,54.0,214.0,0.9961,?,0.47,?,5.0
6.8,0.27,?,16.1,0.049,55.0,196.0,?,?,?,?,5.0
7.1,0.32,0.24,13.1,?,?,204.0,0.998,?,?,8.8,5.0
?,?,?,?,0.05,53.0,?,0.9973,?,0.5,?,?
6.8,0.26,?,13.9,0.034,39.0,134.0,?,3.33,?,12.0,?
5.8,0.28,0.35,?,0.053,?,114.0,0.9924,?,?,?,?
?,0.21,0.5,11.6,0.042,45.0,153.0,0.9972,?,?,8.8,?
7.0,0.16,0.32,?,?,?,126.0,0.9958,3.21,0.34,?,?
?,0.44,0.88,6.2,?,20.0,124.0,?,?,0.51,?,?
6.8,?,0.29,2.2,0.04,15.0,77.0,?,3.32,0.74,10.2,5.0
6.1,0.4,?,0.9,?,23.0,170.0,0.993,3.22,0.77,?,?
5.6,?,?,?,0.032,12.0,?,0.994,3.31,?,?,?
6.8,?,0.38,1.4,0.038,?,111.0,0.9918,3.32,?,11.2,?
7.0,0.16,0.32,?,0.045,38.0,126.0,0.9958,3.21,0.34,9.2,5.0
?,0.13,0.29,?,0.051,31.0,?,0.9944,3.44,0.37,?,6.0
?,?,0.25,1.4,0.03,?,?,0.9912,?,?,11.1,7.0
5.8,?,?,9.2,0.044,?,152.0,0.9961,3.31,0.38,?,5.0
7.5,?,?,7.0,?,45.0,?,?,3.03,?,11.0,5.0
5.8,0.26,0.24,9.2,0.044,55.0,?,?,3.31,?,9.4,5.0
5.7,?,?,?,0.044,60.0,167.0,0.9989,3.31,?,?,5.0
7.5,0.23,0.36,7.0,?,?,161.0,0.9938,3.04,0.32,11.0,5.0
7.5,?,?,7.0,?,45.0,164.0,?,3.03,0.33,11.0,?
7.2,0.685,0.21,9.5,0.07,?,?,0.9971,3.0,0.55,?,6.0
6.2,0.25,0.25,1.4,?,?,105.0,0.9912,3.3,?,?,?
6.5,0.19,0.3,0.8,0.043,?,?,0.9936,?,?,9.1,6.0
6.3,0.495,0.22,?,0.046,?,?,0.9929,3.39,0.54,10.4,?
7.1,?,0.41,17.8,0.046,39.0,145.0,0.9998,?,?,?,?
6.4,?,?,2.4,?,41.0,200.0,?,?,0.5,9.7,6.0
7.1,0.25,0.32,?,?,?,272.0,0.9969,?,0.52,?,6.0
?,0.17,0.32,2.4,?,41.0,?,?,?,0.5,?,6.0
7.1,?,?,17.8,0.046,39.0,145.0,0.9998,?,?,?,5.0
?,?,0.08,?,0.062,?,142.0,0.9972,3.37,?,8.9,?
8.3,?,0.4,7.8,0.041,?,?,?,3.34,0.51,9.6,?
8.2,?,0.39,7.8,?,?,208.0,0.9976,3.31,?,9.5,6.0
7.2,0.23,?,14.3,?,?,194.0,0.9979,?,0.44,9.0,6.0
?,?,0.38,14.3,0.058,?,?,0.9979,?,?,9.0,?
7.2,0.23,0.38,?,?,?,?,0.9979,3.09,0.44,9.0,?
?,?,0.38,?,?,55.0,194.0,0.9979,3.09,0.44,?,6.0
?,?,?,13.2,0.044,54.0,?,?,3.27,?,?,?
7.0,0.26,0.59,1.4,?,40.0,?,?,?,?,11.1,7.0
?,0.25,0.21,15.55,?,28.0,159.0,0.9982,?,0.64,9.6,?
7.3,?,?,?,?,49.0,?,?,?,0.46,?,5.0
7.7,0.31,?,7.8,?,?,?,0.9944,3.13,?,10.4,5.0
7.1,?,?,2.4,0.026,23.0,100.0,0.9903,?,0.38,11.4,7.0
6.8,?,0.34,2.7,0.047,64.5,218.5,0.9934,?,?,?,6.0
?,0.4,0.56,?,0.043,?,142.0,?,?,0.46,8.7,?
6.1,0.18,?,2.0,0.038,20.0,?,0.9923,?,?,11.3,6.0
6.8,?,?,2.1,0.03,26.0,?,0.99,3.16,?,12.6,7.0
5.8,0.2,?,?,0.031,12.0,?,?,?,?,?,7.0
?,?,0.26,1.4,0.03,12.0,?,?,3.25,?,10.9,7.0
6.1,?,0.14,10.4,0.037,?,119.0,0.996,3.38,?,10.0,?
?,?,0.28,?,0.053,40.0,199.0,0.9964,3.72,?,10.0,4.0
8.5,?,0.21,?,0.074,41.0,?,0.998,3.02,0.5,9.8,?
6.9,0.4,?,11.2,0.043,40.0,?,?,?,0.46,8.7,?
5.8,0.24,?,3.5,?,5.0,?,0.9913,3.53,0.43,?,?
?,0.24,0.39,?,0.054,37.0,?,0.9932,?,0.52,9.3,?
6.7,?,?,1.1,?,45.0,?,0.9935,3.32,0.58,9.6,8.0
?,0.35,0.3,5.7,0.035,8.0,97.0,0.9927,?,?,?,7.0
?,0.35,0.3,?,0.035,8.0,?,0.9927,?,0.41,?,?
6.4,0.23,?,1.8,?,23.0,?,0.9912,3.32,?,11.8,?
5.8,?,0.38,?,0.037,?,?,0.9904,3.28,0.34,11.4,?
6.9,0.115,0.35,5.4,0.048,?,?,0.9939,3.32,?,10.2,6.0
6.9,?,0.4,?,0.043,36.0,?,0.9996,2.93,?,?,?
?,?,?,?,0.036,15.0,?,?,?,0.33,10.2,?
7.2,?,0.4,13.6,0.045,66.0,231.0,0.9977,?,0.59,?,6.0
6.2,0.24,0.35,?,?,22.0,167.0,0.9912,?,?,?,?
?,?,0.4,19.45,?,36.0,156.0,0.9996,?,0.47,8.9,5.0
?,?,?,8.3,0.053,32.0,?,?,3.25,?,?,6.0
?,0.58,0.07,6.9,?,34.0,?,0.9944,?,?,9.7,5.0
?,0.585,?,?,0.044,34.0,145.0,?,3.34,0.57,9.7,6.0
5.4,?,0.07,?,0.045,36.0,147.0,0.9944,?,0.57,?,6.0
6.9,0.32,?,8.3,0.053,32.0,180.0,?,3.25,0.51,?,6.0
?,?,0.07,7.0,?,?,147.0,0.9944,3.33,?,9.7,5.0
5.8,0.25,0.26,13.1,0.051,?,148.0,0.9972,?,0.38,9.3,?
?,?,0.3,5.1,0.057,?,?,?,3.24,?,?,?
7.0,0.29,?,?,?,59.0,234.0,?,3.05,0.61,9.5,5.0
6.6,0.19,?,?,?,?,169.0,0.9954,3.14,?,9.8,?
6.7,0.2,0.41,?,0.044,?,166.0,0.9954,?,?,?,6.0
7.7,?,?,?,?,9.0,60.0,0.9915,?,?,?,?
?,?,?,1.2,?,?,67.0,0.9919,3.05,0.47,?,4.0
7.0,0.3,?,4.7,0.036,17.0,?,?,?,0.68,12.4,7.0
?,?,0.36,2.8,?,22.0,?,0.99,3.19,0.38,?,?
6.1,?,0.58,5.0,?,36.0,?,0.9909,3.3,0.6,12.3,8.0
6.8,?,0.37,?,?,46.0,201.0,?,3.08,?,?,4.0
6.7,?,0.3,15.6,?,51.0,196.0,?,?,0.49,9.3,?
7.1,0.35,?,15.4,?,?,198.0,?,3.12,0.49,8.8,5.0
7.3,0.32,0.25,7.2,0.056,47.0,180.0,0.9961,3.08,0.47,?,5.0
6.5,?,?,15.7,0.053,51.0,190.0,0.9978,?,?,9.7,6.0
7.2,?,0.39,14.2,?,49.0,192.0,0.9979,?,?,?,?
7.2,?,0.39,?,0.058,49.0,192.0,?,2.98,0.48,?,7.0
?,0.23,0.39,14.2,0.058,49.0,192.0,0.9979,2.98,?,?,7.0
7.2,0.23,?,14.2,?,?,192.0,?,2.98,?,9.0,?
5.9,0.15,0.31,5.8,0.041,?,?,0.9945,?,0.46,10.5,?
7.4,0.28,?,19.8,0.066,53.0,195.0,?,2.96,0.44,?,5.0
6.2,?,?,?,?,?,?,0.9957,3.44,0.64,9.8,7.0
9.1,0.59,0.38,1.6,?,?,182.0,0.9968,3.23,0.38,?,?
6.3,0.33,?,1.2,0.046,34.0,?,0.9934,3.37,?,9.4,6.0
8.3,?,?,?,?,33.0,?,0.9976,?,0.57,9.4,?
7.2,?,0.46,3.8,0.041,82.0,?,?,3.19,0.6,11.2,?
7.5,0.17,0.44,11.3,0.046,65.0,146.0,0.997,3.17,0.45,?,?
?,0.17,?,2.1,?,?,122.0,?,3.15,?,?,?
?,0.41,0.0,?,?,36.0,87.0,?,?,?,10.8,?
?,0.2,0.35,0.9,0.05,12.0,74.0,?,3.13,0.38,10.5,6.0
6.1,0.41,0.0,?,?,36.0,87.0,?,3.27,?,10.8,6.0
6.0,0.29,0.21,1.3,?,?,?,?,3.32,0.43,?,?
?,0.41,?,?,?,41.0,?,?,3.2,0.41,9.9,6.0
7.3,0.41,?,?,?,41.0,?,?,?,?,?,6.0
?,0.43,?,6.7,0.058,40.0,163.0,0.995,3.2,0.41,9.9,5.0
7.3,0.4,0.24,6.7,0.058,?,?,0.995,?,?,9.9,?
6.2,0.33,?,4.9,0.036,?,134.0,0.9927,3.2,0.42,10.4,7.0
6.2,?,0.26,4.8,0.037,36.0,148.0,0.9928,3.21,?,10.4,6.0
?,0.36,?,?,0.035,?,?,0.9917,3.4,0.71,?,?
?,?,0.14,?,?,?,?,?,?,?,12.5,8.0
7.8,0.25,0.41,?,0.042,37.0,149.0,0.9954,3.36,?,10.0,6.0
5.7,0.36,0.21,6.7,0.038,51.0,166.0,?,3.29,0.63,10.0,6.0
?,?,?,?,0.04,50.0,?,?,3.29,0.62,?,?
?,0.28,?,?,0.132,?,127.0,?,?,0.44,?,?
6.8,0.25,?,4.7,?,34.0,134.0,?,3.21,?,10.6,6.0
?,0.24,0.35,7.7,0.031,36.0,135.0,0.9938,3.19,0.37,10.5,?
5.9,0.3,?,7.85,?,?,?,?,3.52,0.43,11.5,7.0
?,0.125,?,3.3,0.04,10.0,?,?,?,?,?,?
6.0,?,?,?,?,15.0,65.0,0.9927,3.61,?,10.3,7.0
?,?,?,7.7,0.031,36.0,?,0.9938,3.19,?,?,?
?,?,?,?,0.031,?,134.0,0.9927,3.21,0.38,10.6,6.0
?,0.28,?,?,0.031,?,?,0.9946,3.16,0.36,10.4,?
8.3,?,0.51,?,?,11.0,?,?,?,0.55,11.4,?
7.5,0.27,?,?,0.057,?,313.0,0.9946,?,0.59,10.5,5.0
7.9,0.26,0.41,15.15,?,38.0,?,?,?,?,10.0,6.0
?,?,0.23,?,?,?,?,0.9944,3.19,?,10.0,6.0
6.5,?,?,15.4,?,55.0,?,0.9978,?,0.5,9.6,?
7.2,?,0.41,1.3,?,33.0,85.0,0.992,3.17,0.51,?,?
6.4,0.32,0.35,?,?,34.0,101.0,0.9912,3.36,0.6,12.5,8.0
6.8,0.24,?,?,?,37.0,?,0.9927,?,0.39,10.6,5.0
6.3,0.23,0.3,?,0.033,?,91.0,0.9906,?,0.4,11.8,6.0
6.5,0.28,0.34,9.9,?,30.0,?,0.9954,3.11,0.44,9.8,5.0
5.6,0.26,0.26,5.7,?,12.0,?,?,3.25,?,10.8,5.0
?,0.23,0.3,?,0.033,16.0,?,?,?,?,11.8,6.0
?,0.23,0.33,1.5,0.036,?,?,0.991,3.32,0.42,11.2,?
?,?,?,?,0.045,?,170.0,0.9972,3.28,?,?,6.0
5.9,?,0.4,1.3,0.047,12.0,?,?,3.45,?,10.4,5.0
6.6,?,0.35,1.5,0.049,?,141.0,0.9934,3.43,?,10.2,7.0
7.4,0.2,0.43,?,?,27.0,?,0.9964,3.19,0.55,?,?
8.0,0.24,?,1.5,0.047,17.0,?,0.9948,3.2,0.54,?,6.0
6.4,?,0.42,?,0.044,30.0,?,0.9962,3.18,0.47,?,6.0
5.4,?,0.47,?,0.053,46.0,?,?,?,?,10.0,5.0
?,0.29,0.47,3.0,0.052,47.0,145.0,0.993,3.29,?,10.0,6.0
7.1,0.145,0.33,?,0.05,?,?,0.9942,?,0.4,?,6.0
5.6,?,0.1,1.3,0.031,20.0,68.0,0.9906,3.36,?,11.2,?
6.7,0.19,?,15.6,?,75.0,155.0,0.9995,3.2,0.44,?,?
7.8,?,0.46,?,0.052,38.0,118.0,?,3.15,0.5,10.0,?
?,0.17,?,?,0.054,56.0,?,?,3.15,0.47,10.0,?
6.3,?,0.36,2.1,0.044,47.0,?,?,?,?,11.4,7.0
