@relation dataset

@attribute COMPACTNESS real
@attribute CIRCULARITY real
@attribute DISTANCE_CIRCULARITY real
@attribute RADIUS_RATIO real
@attribute PR_AXIS_ASPECT_RATIO real
@attribute MAX_LENGTH_ASPECT_RATIO real
@attribute SCATTER_RATIO real
@attribute ELONGATEDNESS real
@attribute PR_AXIS_RECTANGULARITY real
@attribute MAX_LENGTH_RECTANGULARITY real
@attribute SCALED_VARIANCE_MAJOR real
@attribute SCALED_VARIANCE_MINOR real
@attribute SCALED_RADIUS_OF_GYRATION real
@attribute SKEWNESS_ABOUT_MAJOR real
@attribute SKEWNESS_ABOUT_MINOR real
@attribute KURTOSIS_ABOUT_MAJOR real
@attribute KURTOSIS_ABOUT_MINOR real
@attribute HOLLOWS_RATIO real
@attribute class {opel, saab, bus, van}


@data
?,45.0,?,193.0,64.0,6.0,192.0,?,?,146.0,?,570.0,163.0,?,6.0,?,195.0,?,?
80.0,38.0,?,129.0,?,?,?,46.0,?,130.0,?,314.0,158.0,83.0,9.0,20.0,?,185.0,?
?,?,85.0,160.0,?,?,?,?,19.0,?,173.0,?,?,?,?,?,185.0,196.0,?
88.0,?,?,?,58.0,?,?,47.0,18.0,?,165.0,?,?,?,10.0,11.0,?,?,?
93.0,35.0,?,154.0,59.0,6.0,?,46.0,?,?,162.0,304.0,?,?,?,?,197.0,?,opel
?,48.0,?,?,?,?,208.0,32.0,24.0,154.0,?,641.0,?,?,?,?,?,202.0,opel
?,?,?,177.0,?,?,?,40.0,?,129.0,?,?,?,63.0,?,25.0,?,?,opel
?,46.0,90.0,172.0,67.0,?,157.0,43.0,20.0,150.0,170.0,?,184.0,?,17.0,?,192.0,?,?
?,?,?,?,52.0,7.0,?,44.0,19.0,147.0,174.0,340.0,?,82.0,2.0,2.0,180.0,185.0,bus
90.0,?,86.0,306.0,126.0,?,153.0,44.0,19.0,?,272.0,?,?,118.0,?,15.0,?,194.0,van
106.0,?,?,?,54.0,?,216.0,31.0,24.0,171.0,?,691.0,218.0,74.0,1.0,?,187.0,?,saab
?,?,68.0,?,73.0,?,?,44.0,?,146.0,173.0,?,?,75.0,?,?,183.0,189.0,bus
95.0,48.0,104.0,214.0,67.0,9.0,205.0,?,23.0,?,?,?,202.0,74.0,5.0,?,186.0,193.0,opel
?,?,?,105.0,52.0,5.0,119.0,?,?,?,135.0,?,?,?,?,16.0,?,?,?
?,49.0,?,137.0,54.0,?,158.0,?,?,162.0,?,366.0,?,?,?,5.0,183.0,194.0,?
93.0,37.0,76.0,183.0,63.0,8.0,?,40.0,?,134.0,191.0,405.0,?,67.0,4.0,7.0,192.0,197.0,saab
?,54.0,106.0,?,65.0,?,213.0,?,?,167.0,223.0,675.0,232.0,?,?,?,?,202.0,saab
?,?,82.0,145.0,58.0,11.0,?,43.0,?,?,?,?,189.0,77.0,?,4.0,?,?,van
?,?,70.0,133.0,?,?,130.0,51.0,18.0,146.0,159.0,253.0,156.0,70.0,1.0,?,190.0,194.0,?
?,42.0,?,122.0,54.0,6.0,?,46.0,?,?,?,317.0,174.0,88.0,?,?,?,182.0,bus
?,47.0,?,147.0,?,11.0,156.0,44.0,?,?,?,?,188.0,76.0,?,13.0,?,?,?
91.0,?,79.0,176.0,59.0,9.0,?,?,20.0,?,184.0,404.0,?,62.0,0.0,?,?,208.0,saab
78.0,?,63.0,?,51.0,?,142.0,47.0,19.0,130.0,?,?,146.0,77.0,?,4.0,181.0,?,saab
92.0,?,?,174.0,66.0,?,?,?,19.0,?,181.0,?,?,?,?,?,189.0,?,?
?,?,101.0,?,70.0,9.0,210.0,31.0,24.0,168.0,236.0,?,?,72.0,?,6.0,188.0,197.0,?
101.0,?,?,175.0,?,?,149.0,?,?,139.0,?,341.0,165.0,?,?,11.0,202.0,209.0,bus
?,?,?,185.0,53.0,6.0,257.0,?,?,168.0,?,?,?,83.0,?,?,?,184.0,?
94.0,?,66.0,?,61.0,?,133.0,50.0,?,135.0,154.0,?,119.0,62.0,?,3.0,201.0,?,van
?,?,?,195.0,63.0,?,185.0,36.0,22.0,?,?,512.0,165.0,?,4.0,?,?,?,saab
?,?,?,?,55.0,?,157.0,44.0,20.0,160.0,?,?,?,74.0,5.0,?,?,?,van
?,?,103.0,221.0,66.0,?,?,?,24.0,?,222.0,?,212.0,66.0,?,1.0,?,?,?
85.0,?,?,119.0,52.0,?,?,?,18.0,?,?,241.0,142.0,75.0,8.0,8.0,?,?,?
?,50.0,?,212.0,63.0,?,?,34.0,?,161.0,214.0,567.0,?,?,?,?,?,204.0,?
?,38.0,63.0,135.0,59.0,5.0,130.0,52.0,18.0,?,145.0,247.0,139.0,?,13.0,?,183.0,187.0,?
?,40.0,70.0,120.0,?,8.0,?,50.0,18.0,141.0,162.0,?,?,80.0,10.0,?,183.0,183.0,?
83.0,42.0,66.0,?,?,?,150.0,45.0,19.0,?,174.0,?,?,?,4.0,2.0,?,188.0,bus
?,?,?,?,69.0,7.0,184.0,?,22.0,145.0,?,?,?,72.0,0.0,?,?,197.0,bus
?,?,?,143.0,56.0,7.0,146.0,46.0,?,?,?,?,156.0,?,?,5.0,184.0,?,opel
?,43.0,68.0,?,?,?,?,46.0,?,?,?,323.0,?,83.0,6.0,18.0,?,?,bus
?,55.0,?,219.0,?,?,?,?,25.0,178.0,231.0,748.0,?,74.0,?,?,187.0,?,?
?,44.0,78.0,164.0,?,?,142.0,?,?,?,?,305.0,?,70.0,?,?,?,?,van
?,?,?,?,74.0,7.0,190.0,?,?,154.0,?,?,209.0,74.0,?,7.0,?,?,?
96.0,?,98.0,?,54.0,10.0,?,?,?,?,226.0,683.0,221.0,?,3.0,?,?,?,?
97.0,?,?,227.0,?,?,224.0,30.0,?,186.0,225.0,?,218.0,70.0,10.0,25.0,186.0,?,?
92.0,?,?,?,?,?,?,37.0,21.0,?,?,?,151.0,?,?,?,192.0,?,opel
?,37.0,?,?,?,6.0,?,55.0,?,?,?,?,147.0,?,1.0,15.0,?,184.0,opel
89.0,42.0,?,?,61.0,11.0,?,44.0,19.0,145.0,?,?,?,?,11.0,?,?,199.0,van
?,?,103.0,?,?,?,?,?,?,162.0,?,?,210.0,?,5.0,5.0,191.0,198.0,?
?,39.0,83.0,170.0,60.0,8.0,172.0,38.0,?,?,197.0,?,152.0,?,0.0,?,?,194.0,saab
?,?,62.0,?,?,7.0,150.0,?,19.0,?,165.0,330.0,?,?,?,?,180.0,?,saab
?,?,94.0,?,?,5.0,208.0,31.0,?,?,?,?,218.0,?,?,?,193.0,191.0,?
89.0,?,?,?,?,?,?,?,?,147.0,?,?,?,?,?,?,179.0,182.0,bus
87.0,?,?,?,66.0,6.0,151.0,44.0,19.0,?,?,343.0,?,73.0,2.0,?,?,?,bus
?,?,92.0,?,65.0,?,209.0,?,?,?,232.0,671.0,?,78.0,?,11.0,191.0,?,bus
94.0,?,68.0,127.0,?,7.0,?,52.0,?,132.0,?,242.0,116.0,?,?,2.0,?,?,van
79.0,40.0,80.0,?,?,?,147.0,?,19.0,?,172.0,?,144.0,?,8.0,30.0,181.0,?,?
?,?,76.0,188.0,76.0,?,150.0,44.0,19.0,?,?,?,?,?,?,8.0,193.0,?,?
?,58.0,?,?,?,6.0,261.0,26.0,?,?,?,998.0,257.0,83.0,9.0,?,?,182.0,?
?,?,?,141.0,58.0,?,?,45.0,?,145.0,172.0,330.0,?,72.0,?,18.0,?,?,?
?,37.0,?,?,54.0,5.0,119.0,56.0,?,132.0,?,?,?,72.0,2.0,8.0,186.0,190.0,?
91.0,?,84.0,?,75.0,?,171.0,38.0,?,?,?,446.0,?,69.0,?,12.0,196.0,201.0,?
?,?,?,?,55.0,?,125.0,?,18.0,125.0,142.0,229.0,?,?,8.0,?,?,184.0,?
?,?,107.0,222.0,?,?,?,31.0,?,?,232.0,?,?,71.0,3.0,?,?,199.0,?
94.0,?,84.0,?,55.0,?,?,?,20.0,130.0,196.0,?,155.0,69.0,9.0,?,190.0,195.0,?
?,?,100.0,191.0,59.0,9.0,?,?,23.0,?,?,583.0,234.0,70.0,?,10.0,191.0,198.0,?
?,48.0,87.0,?,?,?,157.0,43.0,?,?,179.0,363.0,?,75.0,?,15.0,?,195.0,?
?,45.0,?,154.0,?,?,?,46.0,?,144.0,?,?,?,73.0,?,?,?,188.0,?
97.0,50.0,108.0,211.0,?,10.0,214.0,31.0,?,?,?,683.0,?,?,?,29.0,?,197.0,?
?,42.0,?,?,62.0,6.0,?,?,19.0,?,?,?,170.0,74.0,?,?,?,?,saab
86.0,43.0,?,?,?,7.0,150.0,44.0,19.0,?,?,?,?,75.0,?,9.0,188.0,192.0,bus
95.0,?,105.0,?,68.0,?,201.0,?,23.0,148.0,223.0,?,201.0,?,5.0,?,?,202.0,opel
?,?,65.0,124.0,56.0,6.0,149.0,46.0,?,?,?,?,171.0,?,4.0,12.0,179.0,?,bus
?,45.0,66.0,252.0,126.0,?,148.0,45.0,?,144.0,237.0,326.0,?,?,1.0,1.0,181.0,?,?
95.0,?,?,174.0,66.0,?,?,44.0,?,?,168.0,?,?,?,11.0,5.0,?,?,van
?,42.0,?,?,?,7.0,128.0,?,?,?,154.0,246.0,159.0,?,?,?,192.0,196.0,?
?,?,60.0,130.0,?,5.0,114.0,?,17.0,?,?,194.0,?,72.0,14.0,5.0,?,?,van
102.0,?,83.0,198.0,?,5.0,?,?,22.0,146.0,225.0,?,?,79.0,0.0,?,193.0,191.0,bus
108.0,53.0,?,202.0,64.0,10.0,?,30.0,?,168.0,?,?,214.0,?,11.0,?,?,199.0,?
99.0,46.0,105.0,?,?,?,197.0,34.0,?,?,?,575.0,?,65.0,0.0,33.0,194.0,?,?
85.0,39.0,77.0,?,59.0,8.0,150.0,45.0,?,?,?,331.0,?,73.0,0.0,16.0,184.0,?,?
?,?,?,?,59.0,?,?,45.0,?,?,?,329.0,?,?,7.0,12.0,?,?,?
?,48.0,79.0,199.0,?,?,?,?,22.0,?,202.0,524.0,171.0,74.0,5.0,8.0,195.0,195.0,bus
?,?,?,159.0,?,?,144.0,?,19.0,?,168.0,?,?,70.0,?,5.0,190.0,?,?
?,48.0,83.0,162.0,64.0,?,156.0,43.0,19.0,?,?,357.0,187.0,?,?,14.0,185.0,196.0,?
77.0,38.0,?,144.0,59.0,6.0,147.0,46.0,?,132.0,?,?,?,?,?,20.0,181.0,?,?
?,?,?,121.0,?,5.0,?,?,17.0,122.0,?,?,138.0,?,?,?,?,?,?
?,43.0,?,?,?,10.0,?,44.0,?,?,?,?,165.0,75.0,?,?,184.0,196.0,?
95.0,47.0,88.0,?,64.0,?,159.0,43.0,?,?,?,?,185.0,?,12.0,?,?,?,?
100.0,45.0,?,209.0,?,8.0,?,32.0,23.0,?,231.0,611.0,?,?,?,?,189.0,195.0,?
109.0,53.0,109.0,221.0,69.0,?,?,31.0,?,?,?,?,?,?,13.0,28.0,188.0,201.0,saab
85.0,?,64.0,128.0,56.0,?,150.0,?,19.0,144.0,?,324.0,173.0,82.0,9.0,14.0,180.0,?,?
93.0,49.0,79.0,?,65.0,?,?,37.0,21.0,?,?,?,?,?,5.0,10.0,?,?,bus
?,?,?,119.0,?,?,?,50.0,18.0,?,151.0,266.0,?,?,?,14.0,184.0,185.0,saab
90.0,?,78.0,142.0,59.0,11.0,?,?,?,160.0,?,?,?,76.0,10.0,?,?,192.0,?
?,?,?,?,?,?,?,45.0,19.0,140.0,165.0,319.0,?,64.0,9.0,?,199.0,206.0,van
90.0,?,?,?,?,6.0,121.0,56.0,?,127.0,?,216.0,?,68.0,?,?,?,?,saab
85.0,?,?,?,?,8.0,143.0,46.0,?,?,?,?,?,72.0,2.0,3.0,?,196.0,?
?,46.0,80.0,143.0,?,?,?,43.0,?,156.0,?,366.0,?,?,17.0,?,185.0,193.0,?
?,42.0,?,?,?,7.0,147.0,45.0,19.0,143.0,176.0,?,153.0,?,2.0,?,186.0,189.0,bus
85.0,41.0,66.0,155.0,?,22.0,149.0,45.0,19.0,?,173.0,?,155.0,?,?,?,?,?,?
?,?,88.0,?,?,?,?,43.0,?,?,173.0,365.0,157.0,?,8.0,?,?,?,?
100.0,48.0,95.0,209.0,68.0,7.0,199.0,?,?,?,?,605.0,?,?,?,?,?,?,?
?,46.0,104.0,184.0,?,?,?,?,23.0,147.0,?,?,?,?,13.0,?,?,197.0,?
?,?,?,?,60.0,7.0,150.0,45.0,?,?,174.0,?,131.0,66.0,?,?,196.0,203.0,saab
97.0,42.0,?,?,59.0,9.0,?,?,?,?,208.0,511.0,168.0,67.0,?,41.0,194.0,206.0,?
98.0,39.0,?,?,49.0,7.0,134.0,?,18.0,142.0,?,?,134.0,?,?,1.0,186.0,186.0,?
?,54.0,100.0,?,?,?,?,?,24.0,?,219.0,669.0,201.0,76.0,12.0,?,187.0,?,?
?,47.0,83.0,322.0,133.0,48.0,158.0,?,20.0,?,229.0,?,?,97.0,?,?,184.0,?,van
86.0,?,75.0,136.0,?,?,161.0,43.0,20.0,163.0,170.0,?,185.0,75.0,3.0,?,?,?,?
87.0,42.0,64.0,150.0,?,10.0,?,50.0,?,142.0,157.0,?,?,?,7.0,1.0,193.0,?,?
88.0,?,63.0,?,58.0,?,?,?,?,130.0,141.0,230.0,145.0,?,14.0,?,184.0,188.0,saab
91.0,?,?,?,?,?,148.0,44.0,19.0,?,171.0,331.0,?,?,?,?,?,?,van
?,37.0,?,171.0,58.0,9.0,157.0,42.0,?,132.0,172.0,373.0,115.0,?,?,18.0,?,?,?
81.0,?,?,125.0,55.0,8.0,?,46.0,19.0,145.0,166.0,?,172.0,?,7.0,7.0,?,182.0,?
106.0,49.0,107.0,194.0,57.0,?,?,?,?,?,224.0,?,172.0,?,?,39.0,192.0,?,?
80.0,?,68.0,?,54.0,8.0,150.0,?,?,145.0,?,?,176.0,?,?,?,?,?,bus
95.0,?,80.0,?,62.0,?,164.0,40.0,20.0,145.0,?,?,178.0,?,11.0,18.0,199.0,204.0,?
?,54.0,?,218.0,64.0,?,?,?,25.0,?,221.0,?,?,67.0,?,?,?,200.0,opel
?,46.0,85.0,?,?,?,163.0,42.0,?,163.0,176.0,?,?,?,18.0,?,189.0,?,van
?,?,?,?,67.0,7.0,149.0,44.0,?,?,?,?,?,?,4.0,17.0,?,200.0,bus
?,?,?,172.0,?,8.0,?,?,19.0,?,?,?,?,61.0,?,?,?,209.0,?
93.0,36.0,64.0,165.0,?,?,136.0,49.0,18.0,?,?,?,127.0,67.0,2.0,?,193.0,204.0,?
?,50.0,96.0,211.0,65.0,?,?,35.0,?,?,?,?,?,65.0,3.0,?,195.0,206.0,saab
?,44.0,?,?,74.0,?,184.0,35.0,?,?,?,525.0,154.0,73.0,4.0,22.0,196.0,?,bus
93.0,35.0,?,172.0,?,7.0,?,44.0,?,124.0,169.0,?,?,?,?,?,203.0,?,opel
106.0,?,?,?,64.0,?,208.0,32.0,?,158.0,224.0,645.0,?,68.0,1.0,?,190.0,202.0,?
89.0,40.0,?,?,64.0,?,?,?,19.0,?,168.0,311.0,?,71.0,8.0,7.0,?,?,?
110.0,?,103.0,?,?,5.0,250.0,26.0,?,?,?,928.0,239.0,?,?,6.0,?,?,bus
85.0,36.0,?,?,55.0,?,?,?,19.0,?,168.0,321.0,134.0,64.0,10.0,24.0,?,203.0,?
93.0,?,?,?,56.0,?,127.0,53.0,18.0,?,?,?,152.0,?,?,?,189.0,190.0,van
87.0,39.0,74.0,?,?,6.0,?,?,?,136.0,174.0,?,140.0,70.0,?,33.0,?,196.0,saab
?,?,75.0,154.0,?,?,?,44.0,19.0,146.0,?,335.0,?,66.0,16.0,?,193.0,?,opel
?,38.0,53.0,?,?,5.0,133.0,?,?,128.0,152.0,259.0,146.0,87.0,?,?,177.0,183.0,?
?,52.0,101.0,218.0,64.0,?,?,?,?,164.0,219.0,?,192.0,?,17.0,?,?,206.0,opel
98.0,39.0,?,?,?,?,?,?,20.0,?,184.0,?,131.0,?,8.0,19.0,197.0,?,?
?,?,72.0,?,59.0,5.0,132.0,?,?,?,159.0,260.0,150.0,?,?,?,191.0,?,?
?,?,104.0,?,59.0,10.0,?,?,?,172.0,223.0,?,217.0,?,?,26.0,186.0,195.0,opel
103.0,?,91.0,179.0,?,?,?,?,25.0,170.0,220.0,707.0,?,?,1.0,32.0,186.0,?,?
?,?,?,165.0,57.0,8.0,?,43.0,?,?,169.0,?,124.0,60.0,4.0,19.0,?,?,?
110.0,?,?,191.0,?,?,213.0,31.0,24.0,162.0,?,674.0,190.0,?,?,?,191.0,?,saab
82.0,?,68.0,139.0,64.0,6.0,?,46.0,?,?,?,320.0,184.0,80.0,?,?,181.0,?,bus
?,38.0,?,125.0,?,8.0,130.0,?,?,139.0,157.0,243.0,?,?,?,?,186.0,?,?
?,?,103.0,?,60.0,?,?,31.0,24.0,160.0,?,661.0,187.0,?,7.0,3.0,190.0,200.0,opel
106.0,54.0,?,?,?,?,247.0,27.0,?,?,266.0,?,?,?,?,11.0,?,?,bus
?,45.0,?,166.0,67.0,?,145.0,46.0,?,147.0,164.0,?,?,66.0,11.0,?,?,202.0,?
96.0,49.0,98.0,187.0,59.0,?,?,31.0,24.0,152.0,228.0,?,?,?,8.0,28.0,188.0,?,?
?,48.0,84.0,?,63.0,11.0,?,44.0,20.0,?,171.0,?,188.0,73.0,8.0,?,?,?,?
88.0,40.0,?,?,?,6.0,158.0,?,?,134.0,185.0,?,?,?,?,11.0,193.0,197.0,?
84.0,39.0,90.0,180.0,60.0,7.0,177.0,37.0,21.0,131.0,209.0,469.0,?,?,?,?,?,?,?
?,?,72.0,160.0,?,?,?,46.0,?,?,166.0,312.0,?,?,?,1.0,?,?,bus
93.0,?,73.0,174.0,?,?,151.0,?,?,?,?,347.0,?,68.0,1.0,?,196.0,?,bus
?,?,70.0,?,?,6.0,?,?,?,?,?,273.0,?,?,?,?,186.0,187.0,van
102.0,?,106.0,221.0,?,?,?,32.0,24.0,?,228.0,?,238.0,?,0.0,26.0,?,?,?
78.0,36.0,?,?,56.0,?,123.0,55.0,17.0,124.0,?,?,121.0,?,3.0,16.0,178.0,185.0,?
?,?,66.0,169.0,66.0,7.0,?,44.0,?,140.0,?,325.0,?,67.0,?,0.0,?,?,bus
84.0,35.0,?,?,57.0,?,?,59.0,17.0,?,?,196.0,?,76.0,10.0,?,183.0,190.0,saab
103.0,?,106.0,?,66.0,10.0,203.0,33.0,?,?,217.0,?,210.0,?,?,?,191.0,?,?
100.0,?,75.0,205.0,71.0,?,176.0,36.0,21.0,?,?,479.0,?,72.0,?,?,?,197.0,bus
91.0,42.0,81.0,?,?,?,?,?,20.0,137.0,?,?,156.0,68.0,?,23.0,198.0,204.0,?
?,?,76.0,166.0,60.0,?,157.0,?,?,?,?,?,?,69.0,?,10.0,?,?,?
?,51.0,105.0,212.0,68.0,10.0,?,32.0,24.0,162.0,222.0,?,?,73.0,?,?,186.0,195.0,opel
90.0,?,78.0,179.0,?,8.0,?,?,19.0,126.0,?,367.0,?,?,?,?,?,198.0,opel
97.0,?,94.0,?,?,9.0,?,36.0,21.0,?,200.0,?,189.0,?,?,11.0,?,203.0,opel
87.0,?,?,162.0,68.0,10.0,?,?,?,?,?,317.0,?,?,0.0,13.0,?,?,?
93.0,43.0,76.0,149.0,?,?,149.0,44.0,19.0,?,172.0,?,?,69.0,14.0,?,189.0,?,?
107.0,55.0,?,?,59.0,?,?,?,26.0,168.0,?,?,?,?,?,1.0,?,?,bus
92.0,37.0,?,?,60.0,?,158.0,?,20.0,?,?,373.0,?,?,9.0,21.0,?,196.0,?
86.0,?,?,?,?,7.0,152.0,44.0,?,142.0,177.0,340.0,?,?,?,?,?,185.0,?
?,56.0,104.0,?,71.0,11.0,219.0,?,?,?,226.0,?,217.0,71.0,19.0,?,?,196.0,?
82.0,?,72.0,150.0,64.0,?,?,44.0,?,144.0,?,?,?,80.0,?,?,183.0,187.0,bus
?,?,?,130.0,?,?,?,44.0,?,?,?,342.0,191.0,81.0,?,14.0,?,186.0,?
82.0,44.0,?,136.0,61.0,?,?,46.0,19.0,?,?,317.0,?,81.0,6.0,?,181.0,?,?
93.0,?,85.0,163.0,66.0,11.0,?,44.0,20.0,158.0,172.0,?,178.0,74.0,?,15.0,183.0,?,?
?,36.0,?,171.0,60.0,?,?,42.0,19.0,128.0,?,?,123.0,61.0,6.0,21.0,197.0,204.0,?
?,?,103.0,171.0,50.0,11.0,221.0,?,25.0,172.0,227.0,?,201.0,?,15.0,?,?,?,?
103.0,55.0,?,?,?,11.0,?,?,24.0,?,?,?,?,?,?,?,187.0,194.0,?
89.0,40.0,?,?,58.0,?,?,?,?,?,146.0,?,150.0,63.0,?,?,199.0,?,?
?,?,?,149.0,62.0,9.0,147.0,45.0,?,152.0,171.0,325.0,?,72.0,0.0,?,188.0,?,van
92.0,46.0,?,?,64.0,?,?,?,?,149.0,?,?,?,?,2.0,?,?,198.0,opel
?,42.0,64.0,121.0,?,7.0,149.0,?,?,?,?,323.0,?,85.0,1.0,6.0,179.0,?,bus
?,46.0,?,149.0,65.0,8.0,149.0,45.0,19.0,?,170.0,331.0,185.0,?,?,?,?,?,?
?,?,?,168.0,?,?,214.0,31.0,24.0,?,219.0,681.0,224.0,74.0,?,?,185.0,?,opel
94.0,?,?,194.0,62.0,9.0,172.0,?,?,?,?,?,?,?,?,23.0,?,?,opel
?,?,69.0,150.0,63.0,8.0,?,48.0,18.0,134.0,?,284.0,124.0,71.0,?,6.0,189.0,?,?
?,41.0,71.0,169.0,68.0,7.0,150.0,44.0,?,?,?,?,157.0,?,3.0,?,?,197.0,bus
104.0,?,89.0,168.0,?,?,?,31.0,24.0,153.0,238.0,?,198.0,78.0,?,?,190.0,?,?
?,?,72.0,141.0,?,?,138.0,?,18.0,?,?,?,?,72.0,1.0,?,187.0,?,?
?,39.0,86.0,?,?,?,?,?,?,?,?,?,?,74.0,?,22.0,?,?,?
?,44.0,?,150.0,59.0,5.0,?,?,19.0,?,?,344.0,177.0,77.0,8.0,2.0,183.0,187.0,saab
104.0,57.0,103.0,?,?,?,?,?,?,?,?,708.0,219.0,73.0,?,3.0,?,?,?
83.0,?,?,?,61.0,?,147.0,45.0,19.0,?,?,?,?,74.0,1.0,?,?,191.0,?
85.0,?,?,126.0,?,6.0,?,58.0,17.0,?,?,?,?,64.0,17.0,7.0,197.0,202.0,van
99.0,55.0,101.0,?,62.0,?,?,?,?,?,225.0,722.0,213.0,?,?,?,186.0,196.0,?
?,44.0,?,139.0,?,11.0,157.0,43.0,20.0,155.0,176.0,?,175.0,76.0,5.0,?,?,?,van
?,50.0,?,197.0,67.0,6.0,186.0,?,?,?,?,?,?,?,?,?,197.0,198.0,bus
?,?,?,139.0,?,6.0,153.0,44.0,19.0,146.0,?,347.0,?,81.0,?,?,?,?,bus
86.0,?,?,133.0,56.0,?,?,49.0,?,136.0,155.0,274.0,?,74.0,5.0,?,183.0,?,?
?,?,?,?,63.0,?,?,46.0,?,?,?,309.0,134.0,67.0,?,?,?,203.0,?
?,?,?,?,?,11.0,218.0,?,24.0,169.0,221.0,704.0,?,71.0,?,?,?,197.0,saab
94.0,?,66.0,?,62.0,9.0,131.0,?,?,127.0,159.0,?,115.0,?,?,?,196.0,?,van
?,?,106.0,?,68.0,10.0,?,?,24.0,166.0,?,?,218.0,69.0,?,?,189.0,?,saab
86.0,41.0,64.0,?,?,?,?,?,19.0,?,165.0,333.0,?,?,?,8.0,?,185.0,saab
85.0,35.0,47.0,110.0,55.0,?,?,?,17.0,?,136.0,?,?,89.0,5.0,9.0,180.0,184.0,van
?,?,40.0,115.0,?,?,?,?,17.0,?,?,?,?,?,12.0,21.0,?,183.0,saab
