@relation dataset

@attribute COMPACTNESS real
@attribute CIRCULARITY real
@attribute DISTANCE_CIRCULARITY real
@attribute RADIUS_RATIO real
@attribute PR_AXIS_ASPECT_RATIO real
@attribute MAX_LENGTH_ASPECT_RATIO real
@attribute SCATTER_RATIO real
@attribute ELONGATEDNESS real
@attribute PR_AXIS_RECTANGULARITY real
@attribute MAX_LENGTH_RECTANGULARITY real
@attribute SCALED_VARIANCE_MAJOR real
@attribute SCALED_VARIANCE_MINOR real
@attribute SCALED_RADIUS_OF_GYRATION real
@attribute SKEWNESS_ABOUT_MAJOR real
@attribute SKEWNESS_ABOUT_MINOR real
@attribute KURTOSIS_ABOUT_MAJOR real
@attribute KURTOSIS_ABOUT_MINOR real
@attribute HOLLOWS_RATIO real
@attribute class {opel, saab, bus, van}


@data
90.0,48.0,?,?,?,?,?,43.0,?,160.0,173.0,370.0,?,?,?,11.0,?,?,?
92.0,?,?,?,?,?,?,45.0,?,140.0,165.0,?,137.0,?,9.0,0.0,?,?,van
?,36.0,?,?,?,6.0,121.0,56.0,17.0,?,137.0,?,132.0,?,22.0,?,190.0,?,?
85.0,?,?,?,63.0,?,?,46.0,?,147.0,171.0,307.0,?,72.0,?,3.0,?,?,van
90.0,?,?,?,?,?,159.0,43.0,?,?,?,?,186.0,?,17.0,?,?,?,van
89.0,?,70.0,?,62.0,7.0,?,45.0,19.0,?,?,323.0,153.0,?,2.0,?,?,?,?
85.0,41.0,?,?,?,22.0,?,45.0,?,?,173.0,330.0,?,75.0,?,?,184.0,?,bus
?,?,88.0,173.0,?,?,157.0,?,?,?,?,?,?,67.0,?,?,192.0,200.0,?
100.0,?,?,209.0,68.0,7.0,?,?,23.0,150.0,216.0,605.0,?,?,7.0,11.0,192.0,?,?
100.0,46.0,104.0,?,?,9.0,?,?,?,?,?,578.0,?,73.0,?,?,?,?,?
?,36.0,?,?,?,?,150.0,?,?,128.0,?,?,?,?,?,32.0,?,203.0,?
?,?,101.0,?,?,?,?,?,?,?,?,?,?,67.0,7.0,?,?,?,?
?,?,?,?,?,?,134.0,51.0,?,142.0,?,?,134.0,?,?,?,186.0,186.0,van
?,54.0,100.0,?,?,10.0,213.0,?,?,173.0,219.0,?,?,76.0,?,?,187.0,?,opel
?,?,?,322.0,?,?,?,?,?,163.0,?,?,?,97.0,0.0,?,184.0,?,?
?,48.0,75.0,?,?,10.0,?,?,?,?,?,371.0,185.0,?,3.0,?,?,?,?
?,42.0,?,150.0,?,?,133.0,?,?,142.0,?,264.0,?,?,?,?,193.0,?,?
?,?,?,?,?,?,?,?,?,130.0,?,?,?,?,?,?,184.0,?,?
91.0,?,?,?,?,8.0,?,?,?,?,171.0,331.0,?,70.0,3.0,?,189.0,?,van
?,37.0,?,171.0,?,?,?,?,20.0,?,?,?,?,60.0,3.0,?,?,209.0,?
?,42.0,63.0,?,55.0,8.0,149.0,?,19.0,145.0,166.0,?,?,86.0,7.0,?,179.0,?,bus
?,?,107.0,?,57.0,11.0,214.0,?,?,161.0,?,?,?,67.0,?,?,?,206.0,?
80.0,?,?,?,?,?,?,?,19.0,?,?,329.0,?,85.0,4.0,?,?,?,?
?,45.0,?,186.0,?,?,164.0,40.0,?,145.0,188.0,?,?,?,?,18.0,199.0,204.0,?
?,54.0,107.0,?,64.0,?,?,?,?,?,?,?,?,?,0.0,?,189.0,?,?
100.0,?,?,?,64.0,11.0,163.0,?,?,?,?,387.0,170.0,?,?,0.0,189.0,?,van
?,40.0,76.0,171.0,?,?,?,44.0,?,?,169.0,?,?,?,?,?,192.0,?,?
90.0,?,72.0,?,?,8.0,154.0,42.0,19.0,144.0,174.0,360.0,?,?,?,?,?,209.0,?
93.0,?,?,?,?,?,136.0,49.0,18.0,?,?,?,?,67.0,?,?,193.0,?,van
?,?,?,?,?,?,187.0,35.0,?,?,207.0,?,195.0,?,3.0,?,195.0,?,?
94.0,?,?,?,74.0,6.0,?,35.0,?,145.0,?,?,154.0,?,?,?,196.0,?,?
93.0,35.0,72.0,?,62.0,7.0,149.0,?,19.0,?,?,?,?,?,5.0,?,203.0,210.0,?
106.0,49.0,?,?,?,?,208.0,?,24.0,158.0,?,645.0,?,?,?,?,190.0,?,saab
?,?,?,154.0,?,?,?,?,19.0,?,168.0,?,149.0,?,?,?,?,?,van
110.0,56.0,103.0,223.0,?,5.0,?,?,27.0,169.0,280.0,?,239.0,?,?,?,?,183.0,?
85.0,?,?,?,?,?,?,?,19.0,?,?,?,?,?,?,?,?,?,opel
93.0,?,?,?,56.0,?,127.0,53.0,18.0,?,?,?,?,?,?,?,189.0,?,?
?,?,?,152.0,?,6.0,151.0,?,?,136.0,?,?,140.0,?,?,?,187.0,?,?
91.0,45.0,75.0,?,?,?,150.0,44.0,?,?,?,?,?,66.0,16.0,?,193.0,?,opel
82.0,38.0,?,125.0,?,?,?,?,18.0,?,152.0,259.0,146.0,87.0,?,?,177.0,183.0,?
?,?,101.0,?,64.0,11.0,202.0,?,23.0,164.0,?,?,192.0,65.0,?,?,?,206.0,opel
98.0,?,81.0,?,?,?,?,?,?,?,184.0,?,?,62.0,?,?,197.0,205.0,?
?,?,72.0,?,?,?,?,50.0,18.0,?,?,?,?,68.0,?,?,?,?,?
98.0,54.0,104.0,186.0,?,10.0,?,32.0,?,172.0,?,?,217.0,?,1.0,26.0,186.0,195.0,?
103.0,54.0,?,?,57.0,?,?,31.0,?,170.0,220.0,707.0,198.0,72.0,?,32.0,?,198.0,?
92.0,36.0,78.0,?,57.0,?,153.0,43.0,19.0,?,169.0,?,124.0,?,?,?,?,211.0,?
?,?,104.0,191.0,?,?,213.0,?,?,162.0,?,?,190.0,?,?,?,?,?,?
82.0,45.0,68.0,?,64.0,6.0,?,46.0,19.0,143.0,169.0,?,184.0,80.0,?,1.0,181.0,184.0,bus
?,38.0,?,?,?,?,?,53.0,18.0,139.0,157.0,?,132.0,74.0,?,13.0,?,?,van
?,51.0,?,?,?,?,211.0,31.0,?,?,?,661.0,?,?,?,3.0,190.0,200.0,opel
106.0,?,?,?,?,4.0,?,27.0,27.0,166.0,?,?,?,85.0,?,?,?,?,?
94.0,?,81.0,?,67.0,?,145.0,?,?,147.0,?,?,?,?,?,14.0,?,?,van
96.0,?,98.0,?,59.0,?,213.0,?,24.0,?,228.0,?,?,?,8.0,28.0,?,?,?
?,?,?,150.0,63.0,?,156.0,44.0,?,?,?,?,?,?,8.0,?,185.0,195.0,?
88.0,40.0,?,186.0,73.0,?,?,?,20.0,?,?,?,148.0,73.0,1.0,11.0,?,197.0,?
?,39.0,90.0,?,?,?,177.0,?,?,131.0,?,?,?,71.0,4.0,?,190.0,198.0,?
?,?,72.0,?,?,7.0,?,?,?,147.0,166.0,312.0,?,?,?,1.0,191.0,?,bus
?,37.0,73.0,?,?,7.0,?,43.0,19.0,?,175.0,?,?,?,1.0,?,?,?,?
89.0,44.0,70.0,?,?,6.0,?,?,?,146.0,168.0,273.0,?,?,10.0,?,?,187.0,?
102.0,?,106.0,?,?,?,?,32.0,24.0,164.0,?,638.0,?,71.0,0.0,?,?,200.0,?
?,36.0,?,?,?,6.0,?,55.0,?,?,141.0,221.0,?,78.0,3.0,?,?,?,opel
?,42.0,?,?,66.0,7.0,?,?,19.0,?,169.0,325.0,?,?,4.0,?,?,?,bus
?,35.0,?,122.0,?,4.0,?,59.0,?,?,135.0,?,128.0,?,?,27.0,?,?,saab
103.0,?,?,?,?,?,203.0,?,?,?,?,?,210.0,?,?,10.0,?,?,saab
?,41.0,?,?,?,?,?,?,21.0,138.0,?,?,151.0,?,?,?,197.0,?,bus
?,?,?,?,?,?,?,38.0,20.0,137.0,?,434.0,?,?,3.0,?,198.0,?,?
?,45.0,?,166.0,?,7.0,?,?,?,?,184.0,371.0,186.0,?,?,10.0,190.0,196.0,opel
?,?,?,212.0,?,10.0,209.0,32.0,?,162.0,?,?,?,73.0,?,23.0,?,?,?
90.0,36.0,78.0,179.0,64.0,?,157.0,?,?,?,?,?,?,?,?,20.0,?,?,?
?,48.0,94.0,?,?,9.0,181.0,?,?,155.0,?,?,?,?,?,?,?,203.0,opel
?,?,81.0,162.0,?,?,?,46.0,?,139.0,?,?,?,70.0,?,13.0,?,?,van
?,?,?,?,57.0,?,?,44.0,19.0,?,?,335.0,?,?,14.0,0.0,?,194.0,saab
107.0,?,98.0,?,?,7.0,?,?,26.0,?,?,866.0,?,?,?,?,?,184.0,?
92.0,?,?,167.0,60.0,7.0,158.0,42.0,20.0,131.0,181.0,373.0,144.0,68.0,?,21.0,190.0,?,saab
86.0,?,?,130.0,56.0,7.0,?,?,19.0,?,?,?,173.0,?,6.0,?,181.0,?,?
107.0,?,?,231.0,71.0,11.0,?,?,?,172.0,226.0,705.0,217.0,71.0,?,?,189.0,?,?
?,?,?,150.0,?,?,?,?,?,144.0,181.0,350.0,?,?,0.0,?,183.0,187.0,?
81.0,?,?,130.0,?,?,153.0,44.0,?,?,?,342.0,?,?,?,?,180.0,?,?
?,?,?,?,61.0,?,?,?,19.0,143.0,173.0,317.0,?,81.0,?,17.0,?,185.0,?
?,47.0,85.0,163.0,?,?,156.0,?,20.0,?,?,355.0,?,?,?,?,?,?,?
90.0,36.0,?,171.0,60.0,?,?,?,?,128.0,177.0,?,123.0,?,6.0,21.0,?,?,?
111.0,?,103.0,?,?,?,221.0,?,?,?,?,?,201.0,?,15.0,?,190.0,198.0,opel
?,?,100.0,194.0,62.0,?,?,?,?,?,?,666.0,?,73.0,?,14.0,?,?,?
?,?,?,?,58.0,7.0,?,?,?,140.0,?,225.0,?,?,7.0,?,?,?,?
?,47.0,?,?,?,9.0,?,?,?,?,171.0,?,?,72.0,?,?,188.0,?,van
92.0,?,?,?,?,8.0,162.0,?,20.0,?,?,?,178.0,?,2.0,10.0,?,?,?
85.0,?,64.0,?,?,?,?,?,19.0,146.0,?,323.0,?,?,1.0,?,?,?,?
86.0,?,?,?,?,8.0,?,45.0,?,?,?,331.0,?,77.0,6.0,?,?,?,?
101.0,56.0,100.0,?,?,?,?,31.0,?,175.0,219.0,?,?,?,2.0,3.0,?,?,?
?,?,?,?,62.0,?,172.0,38.0,21.0,?,?,?,?,?,?,23.0,201.0,?,opel
?,?,69.0,?,?,?,138.0,48.0,18.0,?,163.0,?,124.0,?,1.0,?,189.0,?,?
?,41.0,?,?,?,7.0,?,?,?,?,175.0,?,157.0,?,?,18.0,192.0,?,?
?,?,?,?,54.0,?,212.0,31.0,?,?,?,?,198.0,?,1.0,?,?,?,?
?,?,72.0,141.0,56.0,?,138.0,?,18.0,?,163.0,?,130.0,72.0,?,1.0,?,?,?
90.0,39.0,?,?,?,?,?,41.0,?,131.0,194.0,?,147.0,?,?,?,?,?,opel
84.0,44.0,?,?,59.0,5.0,152.0,44.0,19.0,143.0,175.0,344.0,177.0,77.0,?,2.0,?,?,?
?,57.0,103.0,216.0,69.0,?,?,?,?,176.0,228.0,?,219.0,73.0,?,?,?,196.0,opel
?,?,?,144.0,?,?,?,?,19.0,?,?,325.0,?,74.0,1.0,1.0,185.0,191.0,?
?,39.0,?,?,56.0,?,114.0,?,17.0,?,134.0,?,145.0,?,17.0,?,?,?,van
?,?,?,?,62.0,13.0,222.0,30.0,?,180.0,?,?,?,?,?,?,?,196.0,?
88.0,?,?,139.0,?,?,157.0,43.0,20.0,155.0,?,?,175.0,76.0,?,16.0,?,195.0,?
?,50.0,?,?,67.0,6.0,?,?,22.0,?,?,531.0,?,74.0,?,?,?,198.0,?
?,44.0,72.0,?,?,6.0,153.0,?,19.0,?,180.0,?,?,81.0,1.0,15.0,?,186.0,?
?,?,?,?,?,?,?,?,?,136.0,?,?,?,74.0,5.0,?,183.0,?,?
93.0,41.0,?,?,?,?,144.0,46.0,19.0,?,?,309.0,?,?,?,9.0,?,?,van
107.0,54.0,?,?,?,11.0,218.0,?,?,?,?,704.0,?,?,?,0.0,?,197.0,saab
?,?,66.0,?,62.0,?,?,50.0,18.0,?,?,?,?,66.0,8.0,7.0,?,?,van
?,?,106.0,?,?,?,208.0,32.0,24.0,166.0,217.0,640.0,?,?,?,23.0,?,?,?
86.0,?,64.0,?,61.0,?,150.0,?,19.0,138.0,?,?,?,80.0,5.0,?,?,?,saab
?,?,?,?,?,?,?,?,17.0,?,136.0,?,?,?,?,?,?,?,van
85.0,33.0,?,?,?,?,?,?,?,119.0,?,184.0,?,86.0,?,?,?,183.0,saab
?,?,?,?,?,?,151.0,?,19.0,147.0,?,333.0,178.0,86.0,4.0,5.0,?,183.0,?
100.0,?,?,189.0,59.0,?,?,32.0,?,?,?,?,?,70.0,?,?,?,?,saab
93.0,?,?,158.0,?,?,134.0,49.0,?,?,163.0,?,?,71.0,?,?,192.0,?,?
?,?,?,?,?,?,?,43.0,20.0,?,?,?,?,76.0,?,?,?,?,?
?,37.0,?,?,?,5.0,?,?,?,128.0,?,?,136.0,?,?,?,196.0,?,bus
?,?,65.0,?,?,8.0,151.0,?,?,?,?,332.0,?,81.0,1.0,?,?,184.0,?
?,?,?,?,?,?,222.0,30.0,?,177.0,?,?,?,?,7.0,17.0,?,?,?
79.0,?,?,?,?,7.0,?,43.0,19.0,?,175.0,349.0,?,77.0,?,?,?,?,bus
?,?,?,?,?,?,157.0,42.0,?,125.0,?,?,?,63.0,?,?,?,?,opel
?,45.0,?,164.0,59.0,?,?,?,20.0,146.0,?,379.0,?,?,?,?,?,?,?
85.0,?,?,132.0,?,?,?,?,?,?,?,320.0,172.0,83.0,?,4.0,?,182.0,?
?,55.0,108.0,?,69.0,?,215.0,31.0,24.0,168.0,229.0,?,?,71.0,?,16.0,188.0,199.0,?
85.0,?,?,?,53.0,9.0,157.0,44.0,?,?,?,?,176.0,?,?,?,?,191.0,van
?,41.0,?,124.0,?,?,140.0,?,18.0,141.0,164.0,?,149.0,?,5.0,15.0,?,185.0,?
?,?,?,?,?,?,156.0,?,19.0,?,?,?,?,?,?,19.0,199.0,204.0,?
?,?,83.0,?,?,?,169.0,39.0,20.0,?,190.0,426.0,?,67.0,0.0,?,?,199.0,?
