@relation dataset

@attribute mcg real
@attribute gvh real
@attribute lip real
@attribute aac real
@attribute alm1 real
@attribute alm2 real
@attribute class {0, 1, 2, 3, 4, 5, 6, 7}


@data
0.38,?,0.48,?,?,0.39,?
?,?,0.48,?,0.2,?,0
?,0.51,0.48,0.58,0.2,0.31,0
0.34,?,0.48,0.41,?,?,0
?,0.49,0.48,0.53,0.14,?,0
?,0.51,?,?,0.42,?,0
?,0.28,?,?,0.42,0.5,0
0.25,0.26,?,0.39,?,0.42,0
0.24,0.41,?,?,?,0.34,0
?,?,?,?,0.3,0.39,?
?,?,0.48,?,0.29,0.39,0
0.61,0.36,?,?,?,0.44,0
0.34,0.51,0.48,0.44,0.37,?,?
0.28,?,?,0.45,0.22,?,0
?,0.46,0.48,?,?,?,0
?,0.34,0.48,0.43,?,?,?
?,?,0.48,?,0.39,?,?
0.0,0.38,?,?,0.48,0.55,0
0.39,?,?,0.38,?,?,0
?,0.44,0.48,0.49,?,?,0
?,0.3,0.48,0.71,?,?,?
?,0.52,0.48,?,0.37,?,0
?,0.42,?,?,0.32,?,0
0.3,?,0.48,0.43,0.18,?,0
0.26,0.4,?,?,?,?,0
?,0.41,0.48,?,0.22,0.33,0
?,0.34,?,0.42,0.29,0.39,0
?,?,0.48,?,?,?,0
0.27,?,?,?,?,0.43,?
0.16,?,?,?,?,?,?
0.06,0.61,?,0.49,?,0.37,?
?,0.52,0.48,0.43,0.47,?,?
0.63,?,0.48,0.51,?,?,1
?,?,?,0.59,0.88,0.89,1
?,?,?,?,0.85,?,1
?,0.4,0.48,0.58,0.75,?,1
0.46,0.61,0.48,?,?,0.87,?
0.27,?,?,0.51,?,0.79,?
?,0.39,?,?,0.71,?,?
0.29,?,?,0.71,0.65,?,1
?,0.47,0.48,?,0.78,?,?
?,?,?,?,0.58,?,1
?,0.5,0.48,?,?,?,1
0.73,?,0.48,0.53,?,?,1
?,0.44,0.48,?,0.71,0.74,1
?,?,?,?,?,?,1
?,?,?,0.4,?,0.88,?
0.48,?,?,0.51,?,?,?
0.5,?,0.48,?,0.92,?,?
?,?,0.48,?,?,0.7,1
0.47,?,?,?,?,0.75,?
0.33,0.56,0.48,0.33,?,?,1
?,0.58,0.48,?,?,0.73,1
0.54,0.57,0.48,?,?,0.83,1
?,0.59,0.48,0.52,0.76,?,?
0.63,?,?,0.59,?,?,?
?,?,0.48,0.53,0.79,0.81,?
0.31,?,0.48,0.57,?,?,?
0.74,0.44,?,?,?,0.89,1
0.33,?,0.48,?,?,0.89,?
?,?,?,?,0.74,0.77,?
?,?,0.48,0.71,0.7,0.74,1
0.5,?,?,0.66,?,?,1
?,0.53,0.48,?,0.66,0.66,1
?,?,0.48,0.54,?,?,?
?,0.37,?,0.61,0.71,?,?
?,?,?,0.67,?,?,?
?,?,?,?,?,0.81,?
?,0.4,?,?,?,?,?
?,0.5,?,0.54,0.77,?,1
?,0.51,?,0.33,?,0.48,1
0.74,?,?,?,?,0.69,?
0.2,0.46,?,0.57,0.78,0.81,1
0.89,0.55,0.48,?,?,?,?
?,0.46,0.48,0.56,?,?,1
0.12,?,0.48,0.63,0.7,0.74,1
0.61,0.52,0.48,0.54,0.67,0.52,?
?,?,0.48,?,0.65,?,?
?,0.65,?,?,0.67,0.71,1
?,0.51,0.48,?,0.75,0.78,1
0.34,0.67,0.48,?,?,?,?
0.58,0.34,0.48,0.56,0.87,0.81,1
0.59,?,?,?,?,?,?
0.51,0.4,?,0.57,?,0.67,?
?,0.57,?,?,0.61,0.66,?
0.6,0.46,0.48,?,?,0.83,?
?,0.47,?,?,?,?,?
0.58,?,0.48,0.57,0.7,0.74,1
0.36,0.47,?,0.51,?,0.72,?
0.39,?,?,?,0.72,?,?
0.35,?,?,?,0.71,0.74,?
?,?,?,0.5,?,0.82,?
0.61,0.66,0.48,0.46,?,0.88,?
0.48,?,?,?,?,0.71,?
?,0.5,?,?,0.72,0.68,?
?,0.36,0.48,0.58,0.94,0.94,?
?,?,?,0.71,?,0.78,1
0.69,0.39,?,?,0.76,0.79,?
?,0.54,?,0.62,?,0.79,1
?,0.59,0.48,?,0.76,?,1
?,?,0.48,?,?,?,?
0.0,0.51,?,0.35,0.67,0.44,1
?,0.49,0.48,0.41,?,0.21,?
0.3,0.51,0.48,?,?,?,?
?,?,?,0.0,?,0.32,?
?,0.75,0.48,0.64,?,?,?
0.71,0.52,0.48,0.64,1.0,?,?
0.85,0.53,?,?,?,0.35,3
?,?,?,?,0.76,?,?
0.75,?,?,?,0.47,?,2
0.7,0.39,1.0,0.51,0.82,0.84,2
?,0.42,?,0.65,0.77,0.79,?
?,0.41,?,0.66,0.81,0.83,4
0.83,?,?,?,?,?,4
?,0.43,0.48,?,0.74,?,4
0.79,?,0.48,0.46,0.82,0.7,?
0.78,?,0.48,?,0.77,?,?
0.75,0.37,0.48,0.64,0.7,?,4
0.59,0.29,0.48,0.64,0.75,?,?
?,0.37,?,0.54,0.64,?,4
0.66,?,0.48,?,0.7,0.74,4
0.64,0.46,?,?,?,0.76,?
?,0.71,?,0.5,0.71,0.75,4
?,?,?,?,?,?,4
0.77,?,?,0.51,?,0.74,4
?,?,?,0.42,?,0.68,4
?,?,0.48,?,0.73,0.76,?
0.63,?,0.48,?,?,0.8,?
?,0.42,?,?,0.79,?,?
?,0.39,?,0.59,0.89,?,4
?,?,?,?,?,0.88,?
?,0.49,0.48,0.61,0.76,0.79,4
?,?,?,?,0.74,0.77,?
0.76,?,0.48,?,0.59,0.62,4
0.7,?,0.48,0.7,?,0.87,?
0.64,0.45,?,?,0.61,0.66,?
0.81,?,0.48,?,?,?,4
0.73,?,0.48,0.57,0.75,?,?
0.49,0.61,?,0.56,?,?,4
0.88,?,0.48,?,0.73,0.75,?
0.84,?,?,?,?,0.7,?
0.63,?,?,0.64,0.72,0.76,?
?,?,?,0.63,?,?,4
?,0.54,0.48,0.5,?,0.68,4
0.57,?,0.48,?,?,?,?
0.78,0.44,0.48,?,?,0.68,?
?,0.68,?,0.83,0.4,0.29,5
0.63,0.69,?,0.65,0.41,?,5
0.67,0.88,0.48,?,?,?,5
0.61,?,?,?,0.33,?,5
0.67,0.84,?,0.74,0.54,0.37,?
?,?,0.48,0.57,0.53,0.29,5
0.73,?,?,0.86,0.58,?,?
0.75,0.76,?,?,0.57,?,5
0.77,?,0.48,0.88,?,?,?
?,0.78,?,?,0.54,?,5
?,0.76,?,0.84,?,?,?
?,?,?,?,?,0.45,?
?,?,?,?,?,?,5
?,?,?,0.72,0.38,?,?
0.64,?,?,0.7,?,0.26,5
?,0.76,?,0.77,?,0.52,5
?,0.59,0.48,0.77,?,?,5
?,0.49,?,?,0.45,0.28,5
?,0.71,0.48,0.68,?,0.36,5
0.68,?,0.48,0.73,0.4,?,5
?,?,1.0,0.37,0.54,0.01,?
0.66,0.49,?,0.54,?,0.36,?
0.71,0.46,1.0,0.52,?,?,6
0.67,0.55,1.0,0.66,0.58,?,6
0.68,0.49,1.0,0.62,0.55,0.28,6
0.74,0.49,0.48,0.42,?,0.36,7
?,?,0.48,?,0.52,0.43,?
0.66,?,?,?,0.41,?,?
0.73,0.78,0.48,?,0.51,?,?
0.65,0.57,0.48,?,?,0.51,?
?,0.86,0.48,?,?,?,?
0.67,0.7,?,0.46,?,?,?
?,0.81,0.48,0.54,0.49,?,7
?,?,0.48,?,?,?,?
0.63,?,0.48,0.35,?,0.49,?
?,0.59,0.48,0.39,0.47,?,?
0.71,0.71,?,?,?,?,7
?,?,?,?,?,0.43,?
?,?,?,?,0.42,0.25,?
?,0.72,?,0.49,?,0.19,?
0.68,0.82,0.48,?,?,0.56,7
?,0.39,0.48,?,0.28,?,7
?,0.64,0.48,?,?,?,?
?,0.57,0.48,?,?,0.2,?
0.74,?,?,?,?,?,7
?,0.86,0.48,0.39,0.47,0.34,7
0.63,?,?,?,?,0.19,7
0.63,?,0.48,?,?,0.39,?
0.71,0.86,0.48,?,?,?,?
?,?,?,?,0.44,?,?
0.64,?,0.48,0.37,0.45,0.4,7
?,0.47,?,?,0.57,?,?
?,0.84,0.48,0.35,?,0.33,7
0.63,?,?,0.39,0.44,0.35,7
0.69,?,?,?,0.39,?,?
0.7,0.71,0.48,?,0.84,?,?
?,?,0.48,?,0.57,0.26,7
?,0.66,?,0.41,?,?,?
?,0.8,?,?,?,0.29,?
0.66,0.71,0.48,0.41,?,?,7
?,?,0.48,?,0.44,?,7
?,?,0.48,0.49,0.4,?,7
0.64,?,0.48,0.5,?,?,?
?,0.78,?,0.47,?,0.54,7
0.76,?,?,0.44,0.39,?,?
?,0.81,?,?,?,0.44,7
?,0.39,0.48,?,?,?,?
?,0.83,?,0.46,0.36,?,7
0.56,0.54,0.48,?,?,?,?
0.69,?,0.48,?,0.5,?,7
0.69,?,0.48,?,?,0.41,?
?,0.59,?,0.52,?,?,?
0.74,0.56,?,?,0.68,?,7
0.71,?,?,0.48,0.35,0.32,7
?,0.6,?,?,0.39,?,?
?,0.61,?,?,?,0.37,7
0.74,?,?,?,?,?,7
