@relation dataset

@attribute mcg real
@attribute gvh real
@attribute lip real
@attribute chg real
@attribute aac real
@attribute alm1 real
@attribute alm2 real
@attribute class {cp, im, imL, imS, imU, om, omL, pp}


@data
0.24,0.41,0.48,0.5,0.49,?,0.34,?
?,?,0.48,0.5,0.53,0.3,?,cp
0.04,0.31,0.48,0.5,?,?,0.39,cp
0.61,?,0.48,0.5,0.49,?,?,?
0.34,?,0.48,0.5,?,0.37,0.46,?
?,0.33,?,0.5,0.45,?,0.33,cp
0.4,0.46,0.48,0.5,0.42,0.35,?,cp
?,0.34,0.48,0.5,0.43,0.26,0.37,cp
?,0.44,0.48,0.5,0.42,0.39,0.47,cp
0.0,0.38,0.48,0.5,0.42,0.48,?,?
0.39,0.31,0.48,0.5,0.38,0.34,?,?
0.3,0.44,?,0.5,0.49,0.22,0.33,cp
?,0.3,?,0.5,0.71,0.28,?,cp
0.17,?,?,0.5,0.49,0.37,0.46,cp
0.36,0.42,?,?,0.53,0.32,?,cp
0.3,0.37,?,0.5,0.43,0.18,0.3,cp
0.26,0.4,0.48,?,0.36,0.26,0.37,?
0.4,?,?,0.5,?,0.22,0.33,cp
0.22,?,?,0.5,0.42,0.29,0.39,?
0.44,0.35,?,0.5,?,0.52,0.59,cp
0.27,0.42,0.48,0.5,?,0.38,?,?
0.16,0.43,0.48,0.5,0.54,?,0.37,cp
0.06,0.61,0.48,?,0.49,0.92,0.37,im
0.44,0.52,0.48,0.5,0.43,0.47,?,im
?,0.47,0.48,0.5,0.51,?,?,im
?,?,0.48,0.5,?,0.88,0.89,?
0.34,0.49,0.48,0.5,?,?,0.8,im
0.43,0.4,?,0.5,?,0.75,0.78,im
0.46,0.61,0.48,0.5,0.48,0.86,0.87,im
0.27,?,?,?,0.51,?,0.79,im
?,?,?,0.5,0.65,0.71,0.73,im
0.29,?,?,0.5,?,0.65,0.69,?
?,0.47,0.48,0.5,0.57,0.78,0.8,?
?,0.67,0.48,0.5,0.74,0.58,?,im
0.4,0.5,0.48,?,?,0.82,?,im
0.73,0.36,0.48,0.5,?,0.91,0.92,?
0.84,0.44,0.48,0.5,?,0.71,0.74,im
0.48,0.45,0.48,0.5,0.6,0.78,0.8,im
?,0.49,0.48,?,0.4,0.87,0.88,im
?,0.41,0.48,0.5,?,0.9,?,?
0.5,0.66,?,0.5,?,?,0.92,im
?,?,0.48,0.5,?,0.66,?,?
0.47,?,0.48,?,0.58,?,0.75,im
0.33,0.56,0.48,?,0.33,?,0.8,?
0.64,0.58,0.48,?,?,?,0.73,im
0.54,0.57,0.48,0.5,?,?,0.83,im
0.47,0.59,0.48,?,?,0.76,0.79,im
0.63,0.5,0.48,0.5,0.59,0.85,?,im
?,?,0.48,0.5,0.53,0.79,0.81,im
0.31,0.5,?,?,0.57,0.84,?,im
0.74,0.44,0.48,0.5,0.55,0.88,0.89,?
?,0.45,0.48,0.5,?,0.88,0.89,im
0.45,0.4,?,0.5,?,0.74,0.77,im
0.71,?,?,0.5,0.71,?,?,?
0.5,0.37,?,?,0.66,0.64,0.69,im
0.66,0.53,0.48,?,0.59,0.66,0.66,im
0.6,0.61,?,?,0.54,?,0.71,?
?,?,?,0.5,0.61,0.71,0.74,?
?,0.51,?,0.5,0.67,0.9,0.9,im
0.63,0.54,?,?,?,?,0.81,im
0.7,0.4,0.48,0.5,0.56,0.86,0.83,im
?,?,1.0,?,0.54,0.77,0.8,im
?,0.51,0.48,0.5,0.33,0.39,?,?
0.74,?,0.48,0.5,0.66,?,0.69,im
0.2,?,0.48,?,0.57,0.78,0.81,im
0.89,0.55,0.48,0.5,?,0.72,?,im
0.7,?,0.48,?,?,0.78,0.73,im
0.12,?,?,?,0.63,0.7,0.74,im
?,0.52,0.48,0.5,0.54,?,?,im
0.33,0.37,0.48,?,0.46,0.65,?,im
0.63,?,0.48,0.5,0.66,?,0.71,im
0.41,0.51,0.48,0.5,0.53,0.75,0.78,?
?,0.67,0.48,?,0.52,?,0.79,im
?,0.34,0.48,?,?,?,0.81,im
0.59,?,?,0.5,0.55,0.8,0.82,?
0.51,?,0.48,?,0.57,0.62,?,im
0.5,0.57,0.48,0.5,0.71,?,0.66,im
0.6,?,0.48,0.5,?,?,0.83,im
?,0.47,0.48,?,0.39,?,0.79,?
?,?,?,0.5,0.57,0.7,?,im
?,0.47,0.48,0.5,0.51,0.69,?,?
0.39,0.41,0.48,0.5,0.52,0.72,0.75,?
0.35,0.51,0.48,0.5,0.61,0.71,?,im
0.31,0.44,?,?,0.5,0.79,0.82,im
?,0.66,?,?,0.46,?,0.88,im
0.48,?,0.48,0.5,0.52,?,?,im
?,?,0.48,?,0.58,?,0.68,im
?,0.36,?,0.5,0.58,?,0.94,im
0.68,0.51,0.48,0.5,?,0.75,?,im
0.69,0.39,0.48,0.5,0.57,0.76,?,im
?,0.54,0.48,0.5,0.62,0.76,0.79,im
0.46,0.59,?,0.5,?,0.76,0.23,im
0.36,0.45,0.48,?,0.38,0.79,0.17,im
0.0,?,0.48,0.5,?,0.67,0.44,im
0.1,0.49,0.48,0.5,0.41,0.67,0.21,?
0.3,0.51,?,0.5,?,0.61,?,im
0.61,0.47,0.48,0.5,0.0,?,0.32,?
?,0.75,?,?,0.64,?,?,?
0.71,0.52,?,0.5,0.64,1.0,0.99,im
0.85,0.53,0.48,0.5,0.53,?,?,imS
0.63,0.49,0.48,?,0.54,0.76,0.79,imS
0.75,0.55,?,1.0,?,0.47,0.3,imL
0.7,0.39,1.0,0.5,0.51,0.82,0.84,imL
0.72,0.42,0.48,?,?,?,0.79,imU
?,0.41,0.48,0.5,0.66,0.81,0.83,imU
?,?,?,0.5,0.65,0.76,0.79,?
?,?,?,0.5,0.59,?,?,?
0.79,0.36,0.48,?,0.46,?,0.7,imU
?,?,0.48,?,?,0.77,0.79,imU
0.75,0.37,0.48,0.5,0.64,?,?,imU
0.59,0.29,?,?,?,0.75,?,?
?,?,0.48,0.5,0.54,0.64,0.68,?
0.66,0.48,0.48,0.5,0.54,?,0.74,imU
?,0.46,?,0.5,0.48,?,?,imU
?,0.71,0.48,0.5,0.5,0.71,?,imU
?,?,0.48,0.5,0.55,0.78,0.74,imU
0.77,0.55,?,0.5,0.51,0.78,0.74,imU
0.81,0.44,0.48,0.5,0.42,0.67,0.68,imU
0.58,0.6,0.48,?,?,0.73,0.76,imU
0.63,0.42,?,0.5,0.48,?,0.8,imU
0.62,?,0.48,?,0.58,0.79,0.81,imU
0.86,0.39,0.48,?,0.59,?,0.9,?
?,0.53,0.48,0.5,?,?,0.88,imU
0.87,0.49,0.48,?,0.61,0.76,0.79,imU
0.47,0.46,0.48,0.5,0.62,?,0.77,imU
0.76,0.41,0.48,0.5,0.5,0.59,0.62,?
?,0.53,0.48,0.5,0.7,0.86,?,imU
?,0.45,0.48,0.5,0.67,0.61,0.66,?
0.81,0.52,?,?,0.57,0.78,?,imU
0.73,0.26,0.48,?,0.57,?,0.78,imU
?,?,1.0,0.5,0.56,?,?,?
0.88,0.42,0.48,0.5,0.52,0.73,0.75,imU
0.84,?,?,0.5,?,0.92,0.7,imU
?,?,0.48,?,0.64,0.72,?,imU
0.86,?,0.48,0.5,?,0.81,0.83,imU
?,0.54,0.48,?,0.5,0.66,0.68,?
0.57,?,?,0.5,?,0.49,0.33,?
0.78,0.44,0.48,0.5,0.45,0.73,0.68,imU
?,0.68,?,?,?,0.4,0.29,?
?,?,0.48,?,0.65,0.41,0.28,om
0.67,0.88,?,0.5,?,?,0.25,om
?,0.75,?,?,0.51,0.33,0.33,?
0.67,0.84,0.48,0.5,0.74,0.54,0.37,?
?,0.9,?,0.5,0.57,0.53,0.29,om
?,?,?,?,0.86,0.58,0.29,?
0.75,0.76,0.48,0.5,0.83,?,0.3,om
0.77,0.57,?,0.5,0.88,?,0.2,om
0.74,0.78,?,0.5,0.75,0.54,?,om
0.68,0.76,0.48,0.5,0.84,0.45,0.27,om
0.56,?,0.48,?,0.77,?,0.45,om
0.65,0.51,0.48,0.5,0.66,0.54,0.33,?
?,0.81,0.48,0.5,0.72,0.38,0.38,om
?,0.57,0.48,0.5,0.7,0.33,0.26,?
0.6,0.76,1.0,0.5,0.77,0.59,?,om
0.69,?,0.48,0.5,0.77,0.39,?,om
?,0.49,0.48,0.5,0.79,0.45,0.28,om
0.71,0.71,?,0.5,?,0.43,0.36,om
0.68,?,0.48,?,0.73,?,0.3,om
?,0.57,1.0,?,0.37,0.54,?,omL
?,0.49,1.0,0.5,0.54,?,?,omL
0.71,?,1.0,0.5,?,0.59,?,omL
0.67,0.55,1.0,?,0.66,?,0.16,omL
0.68,0.49,1.0,0.5,?,0.55,0.28,omL
?,0.49,0.48,0.5,0.42,?,?,pp
?,?,0.48,0.5,?,0.52,0.43,pp
0.66,0.86,0.48,?,0.34,0.41,?,?
0.73,0.78,0.48,?,0.58,0.51,0.31,pp
?,0.57,0.48,?,0.47,0.47,0.51,?
0.72,0.86,0.48,0.5,0.17,0.55,0.21,?
0.67,?,0.48,0.5,0.46,0.45,0.33,?
0.67,?,0.48,0.5,0.54,0.49,0.23,pp
0.67,?,0.48,?,0.51,0.37,?,pp
0.63,?,0.48,?,0.35,?,0.49,pp
0.57,0.59,0.48,0.5,?,0.47,?,pp
0.71,?,0.48,?,0.4,0.54,?,pp
0.66,?,0.48,?,?,0.38,0.43,pp
?,0.81,?,0.5,0.25,0.42,0.25,pp
?,0.72,0.48,0.5,?,?,0.19,pp
0.68,0.82,?,0.5,0.38,0.65,0.56,pp
0.32,0.39,0.48,?,0.53,0.28,?,pp
0.7,0.64,?,0.5,?,0.51,0.47,?
0.63,?,0.48,0.5,0.49,0.7,0.2,pp
?,0.82,?,0.5,?,0.49,0.41,?
?,0.86,0.48,?,0.39,?,?,?
?,0.83,0.48,0.5,0.4,?,?,pp
?,0.71,0.48,?,0.6,0.4,?,?
0.71,?,0.48,0.5,0.4,0.54,0.32,pp
?,0.78,0.48,0.5,0.43,0.44,0.42,pp
0.64,0.84,0.48,0.5,?,0.45,0.4,pp
0.74,0.47,0.48,0.5,0.5,?,0.42,pp
0.75,0.84,0.48,0.5,0.35,?,0.33,pp
0.63,0.65,?,0.5,?,0.44,0.35,pp
0.69,?,0.48,0.5,0.3,0.39,0.24,?
0.7,?,0.48,?,0.42,?,0.85,?
0.69,0.8,?,0.5,0.46,?,0.26,?
0.64,0.66,0.48,0.5,0.41,0.39,0.2,?
0.63,?,0.48,?,0.46,0.31,?,?
0.66,?,0.48,0.5,0.41,0.5,0.35,pp
0.69,0.59,?,0.5,0.46,?,0.52,?
0.68,0.67,0.48,0.5,0.49,?,?,?
0.64,?,?,0.5,?,?,?,pp
0.62,0.78,0.48,0.5,0.47,?,0.54,pp
0.76,0.73,?,0.5,0.44,0.39,0.39,pp
0.64,?,?,0.5,0.37,?,0.44,?
0.29,0.39,0.48,0.5,0.52,0.4,0.48,?
0.62,?,?,0.5,0.46,?,?,pp
0.56,?,0.48,?,0.43,0.37,?,pp
?,0.66,0.48,0.5,?,0.5,0.25,?
0.69,?,0.48,?,0.63,?,0.41,pp
0.43,?,0.48,0.5,0.52,?,?,?
?,0.56,0.48,0.5,0.47,?,0.3,pp
0.71,0.57,0.48,0.5,0.48,0.35,0.32,?
?,0.6,0.48,0.5,0.44,0.39,0.38,pp
0.59,?,0.48,?,?,?,0.37,pp
0.74,0.74,?,0.5,?,0.53,0.52,pp
