@relation dataset

@attribute mcg real
@attribute gvh real
@attribute lip real
@attribute chg real
@attribute aac real
@attribute alm1 real
@attribute alm2 real
@attribute class {cp, im, imL, imS, imU, om, omL, pp}


@data
0.3,0.51,0.48,0.5,0.42,0.61,0.34,im
0.61,0.47,0.48,?,?,?,?,im
0.63,?,0.48,0.5,0.64,0.73,0.66,im
0.71,0.52,0.48,0.5,?,1.0,0.99,im
0.85,0.53,0.48,0.5,0.53,0.52,0.35,imS
?,0.49,?,0.5,0.54,0.76,0.79,imS
0.75,0.55,?,1.0,0.4,?,0.3,imL
0.7,0.39,?,0.5,0.51,?,?,imL
0.72,0.42,0.48,?,0.65,0.77,0.79,?
0.79,0.41,0.48,?,0.66,0.81,0.83,?
0.83,0.48,0.48,0.5,0.65,?,?,imU
0.69,0.43,0.48,0.5,0.59,0.74,0.77,?
0.79,0.36,?,0.5,0.46,0.82,0.7,imU
0.78,0.33,?,?,0.57,0.77,0.79,imU
?,?,0.48,?,?,0.7,?,imU
?,0.29,0.48,0.5,0.64,0.75,0.77,imU
0.67,?,0.48,?,?,?,0.68,imU
0.66,?,?,0.5,0.54,0.7,?,imU
?,?,?,?,0.48,0.73,0.76,imU
0.76,0.71,0.48,?,0.5,0.71,0.75,imU
0.84,0.49,?,0.5,?,0.78,?,?
0.77,0.55,0.48,0.5,0.51,0.78,0.74,imU
0.81,0.44,0.48,?,?,0.67,0.68,imU
0.58,0.6,0.48,0.5,0.59,0.73,?,imU
0.63,?,?,0.5,?,0.77,?,imU
0.62,0.42,?,0.5,0.58,?,?,imU
?,?,0.48,0.5,0.59,0.89,0.9,?
0.81,?,0.48,?,0.57,0.87,0.88,imU
0.87,0.49,0.48,0.5,0.61,0.76,0.79,imU
0.47,0.46,?,0.5,?,0.74,0.77,?
0.76,0.41,0.48,?,?,0.59,0.62,imU
0.7,0.53,0.48,?,0.7,0.86,?,imU
?,0.45,0.48,?,0.67,?,0.66,imU
0.81,0.52,0.48,0.5,0.57,?,0.8,?
0.73,0.26,0.48,?,0.57,0.75,?,imU
0.49,0.61,1.0,0.5,0.56,?,0.74,?
?,0.42,?,0.5,?,0.73,?,?
0.84,0.54,0.48,0.5,0.75,?,?,imU
?,0.51,?,0.5,?,0.72,0.76,imU
?,0.55,0.48,0.5,0.63,0.81,?,imU
0.79,0.54,?,0.5,0.5,0.66,0.68,imU
0.57,?,?,0.5,0.06,0.49,0.33,imU
0.78,0.44,0.48,?,?,0.73,0.68,imU
0.78,0.68,0.48,0.5,0.83,0.4,0.29,om
?,?,?,0.5,0.65,0.41,0.28,om
0.67,0.88,?,0.5,0.73,0.5,0.25,om
0.61,0.75,0.48,0.5,0.51,0.33,0.33,om
0.67,0.84,0.48,0.5,0.74,0.54,?,om
0.74,0.9,0.48,0.5,?,?,0.29,om
0.73,?,0.48,0.5,?,0.58,0.29,om
?,?,?,?,?,0.57,0.3,?
?,0.57,0.48,0.5,0.88,0.53,0.2,?
0.74,0.78,?,0.5,0.75,0.54,0.15,om
0.68,0.76,0.48,0.5,0.84,0.45,?,?
0.56,?,?,0.5,?,0.36,?,om
0.65,0.51,?,?,0.66,?,0.33,om
0.52,0.81,0.48,0.5,?,?,0.38,?
?,?,0.48,0.5,0.7,0.33,0.26,?
0.6,0.76,1.0,?,0.77,?,?,om
0.69,?,0.48,0.5,0.77,0.39,0.21,om
?,0.49,?,0.5,?,0.45,0.28,om
0.71,?,?,?,?,0.43,?,om
?,0.63,?,0.5,0.73,0.4,?,?
0.77,0.57,1.0,0.5,0.37,0.54,0.01,omL
0.66,0.49,1.0,0.5,0.54,?,0.36,omL
?,0.46,1.0,?,?,0.59,?,omL
0.67,0.55,1.0,0.5,0.66,0.58,0.16,omL
?,?,1.0,?,0.62,0.55,0.28,omL
?,?,?,?,0.42,?,?,pp
0.7,0.61,?,?,?,0.52,0.43,pp
0.66,?,0.48,0.5,0.34,0.41,?,pp
?,?,?,0.5,0.58,?,?,pp
0.65,0.57,0.48,0.5,0.47,0.47,0.51,?
0.72,0.86,0.48,?,?,0.55,0.21,pp
0.67,0.7,0.48,0.5,?,0.45,0.33,pp
0.67,0.81,0.48,0.5,0.54,?,?,pp
0.67,0.61,0.48,0.5,0.51,0.37,0.38,pp
0.63,1.0,0.48,0.5,0.35,0.51,0.49,pp
0.57,0.59,0.48,0.5,0.39,0.47,0.33,pp
0.71,0.71,0.48,0.5,?,0.54,?,pp
?,?,0.48,0.5,0.31,0.38,0.43,pp
0.67,?,0.48,?,?,0.42,0.25,pp
?,?,0.48,0.5,0.49,?,?,?
0.68,0.82,?,?,0.38,0.65,0.56,pp
0.32,0.39,0.48,?,0.53,?,0.38,pp
0.7,0.64,0.48,0.5,0.47,0.51,?,pp
0.63,0.57,?,0.5,0.49,0.7,0.2,?
0.74,0.82,?,?,?,?,?,pp
0.63,?,0.48,0.5,0.39,?,0.34,pp
0.63,0.83,0.48,0.5,0.4,0.39,0.19,pp
?,0.71,0.48,?,0.6,?,0.39,pp
0.71,0.86,?,0.5,0.4,0.54,?,pp
0.68,0.78,0.48,?,?,0.44,?,?
0.64,0.84,?,?,0.37,?,0.4,?
?,?,0.48,0.5,?,0.57,0.42,pp
?,?,0.48,0.5,0.35,0.52,0.33,pp
?,?,0.48,0.5,0.39,0.44,0.35,pp
0.69,?,?,0.5,0.3,?,0.24,?
0.7,0.71,?,?,0.42,0.84,0.85,pp
?,?,0.48,0.5,0.46,0.57,0.26,pp
0.64,0.66,0.48,0.5,0.41,0.39,0.2,?
?,0.8,?,?,0.46,?,0.29,pp
0.66,?,0.48,?,0.41,?,0.35,?
0.69,0.59,0.48,0.5,0.46,?,0.52,?
0.68,0.67,0.48,0.5,?,0.4,0.34,?
?,0.78,0.48,?,0.5,0.36,?,?
0.62,0.78,0.48,?,0.47,?,?,pp
?,0.73,?,0.5,?,?,0.39,pp
?,0.81,?,?,0.37,0.39,0.44,pp
0.29,0.39,0.48,0.5,?,0.4,0.48,pp
?,0.83,?,0.5,0.46,0.36,?,?
?,?,?,0.5,0.43,0.37,0.3,pp
?,0.66,0.48,0.5,0.41,0.5,0.25,pp
?,0.65,0.48,0.5,0.63,0.48,0.41,?
?,0.59,0.48,0.5,0.52,?,?,pp
0.74,?,0.48,0.5,0.47,0.68,0.3,pp
0.71,0.57,0.48,?,0.48,?,0.32,pp
0.61,?,0.48,0.5,0.44,0.39,0.38,pp
0.59,0.61,0.48,0.5,0.42,0.42,0.37,pp
0.74,?,0.48,?,?,?,0.52,pp
