@relation dataset

@attribute RI real
@attribute Na real
@attribute Mg real
@attribute Al real
@attribute Si real
@attribute K real
@attribute Ca real
@attribute Ba real
@attribute Fe real
@attribute Type {'build wind float', 'build wind non-float', 'vehic wind float', 'vehic wind non-float', containers, tableware, headlamps}


@data
1.51763,12.8,3.66,1.27,?,0.6,8.56,0.0,0.0,'build wind float'
1.51742,13.27,?,?,?,0.55,?,0.0,0.0,'build wind float'
1.52127,?,3.9,?,71.5,0.0,9.49,0.0,0.0,'vehic wind float'
1.51779,?,3.39,?,?,?,8.59,0.0,?,'build wind float'
1.52171,11.56,1.88,1.56,72.86,0.47,11.41,0.0,?,containers
?,?,?,1.54,71.81,0.54,?,0.0,0.15,'build wind non-float'
?,12.64,0.0,?,72.02,0.06,14.4,0.0,0.0,'build wind non-float'
1.5175,12.82,3.55,?,?,?,8.52,0.0,0.19,'build wind float'
1.51764,?,3.54,1.21,?,0.65,?,?,0.0,'build wind float'
1.52177,?,?,?,72.19,?,11.14,0.0,0.0,'build wind non-float'
1.51645,?,?,?,73.11,0.0,8.67,1.38,0.0,?
1.51786,?,3.43,1.19,72.95,0.62,?,0.0,0.3,'build wind float'
1.52152,13.12,3.58,0.9,72.2,?,9.82,0.0,?,'build wind float'
1.51937,?,2.41,?,?,?,?,0.0,0.0,tableware
1.51514,14.85,0.0,2.42,73.72,0.0,8.39,0.56,0.0,headlamps
1.52172,13.48,3.74,0.9,?,?,?,0.0,?,'build wind float'
1.51732,14.95,0.0,1.8,72.99,0.0,8.61,1.55,0.0,?
?,13.98,1.35,?,71.76,?,?,?,0.18,'build wind non-float'
?,12.9,?,1.45,73.06,0.44,8.27,0.0,?,'build wind non-float'
1.51847,13.1,3.97,1.19,72.44,0.6,8.43,?,?,'build wind non-float'
1.51761,?,?,1.36,72.73,0.48,7.83,?,0.0,?
?,13.3,3.64,1.53,72.53,0.65,8.03,0.0,0.29,'build wind non-float'
?,15.79,?,?,70.43,0.31,?,1.68,0.0,headlamps
?,?,?,1.99,73.06,?,8.4,1.59,0.0,headlamps
1.51658,?,0.0,?,73.11,0.0,8.28,?,?,headlamps
1.51316,13.02,0.0,3.04,70.48,?,6.96,?,?,?
1.51709,?,?,1.79,72.72,0.66,?,0.0,0.0,'build wind non-float'
1.51727,14.7,0.0,2.34,73.28,?,?,0.66,?,headlamps
1.51898,?,?,?,72.08,?,8.91,?,0.0,'build wind float'
?,?,0.0,1.65,73.75,0.38,11.53,0.0,0.0,containers
?,12.62,2.76,?,73.81,0.35,9.42,0.0,?,'build wind non-float'
?,14.95,?,2.27,73.3,0.0,8.71,?,0.0,?
1.51911,13.9,3.73,?,?,?,8.89,?,0.0,'build wind float'
1.51651,14.38,0.0,?,73.61,0.0,?,1.57,0.0,headlamps
?,12.86,?,1.31,72.61,?,?,0.0,?,'vehic wind float'
1.52315,13.44,?,1.23,?,0.6,?,0.0,0.0,headlamps
1.52068,13.55,2.09,1.67,72.18,?,9.57,?,0.17,'build wind non-float'
1.51838,?,3.26,?,71.25,1.46,?,1.63,0.0,?
1.51818,13.72,0.0,0.56,74.45,0.0,?,0.0,0.0,'build wind non-float'
1.51769,12.45,2.71,?,73.7,0.56,9.06,0.0,0.24,?
1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0.0,?,'build wind non-float'
1.51589,12.88,3.43,1.4,73.28,?,?,0.0,0.24,'build wind float'
?,?,2.9,?,?,?,10.79,0.0,0.0,'build wind non-float'
1.52725,?,3.15,0.66,70.57,0.08,11.64,?,0.0,'build wind non-float'
1.52119,?,?,1.51,73.39,?,?,0.0,0.28,containers
1.51748,12.86,?,1.27,?,0.54,8.38,?,0.17,'build wind float'
?,11.95,0.0,?,?,2.7,8.93,?,0.0,?
1.51623,14.14,?,?,72.61,0.08,9.18,?,0.0,?
1.52101,?,?,1.1,71.78,0.06,8.75,0.0,?,?
?,?,3.59,?,73.29,0.58,8.5,0.0,0.0,'build wind float'
?,13.02,3.56,1.54,73.11,?,?,?,0.0,'build wind non-float'
?,12.79,3.52,1.54,73.36,?,?,0.0,?,?
?,14.36,0.0,2.02,?,?,8.44,1.64,0.0,headlamps
1.51768,12.65,3.56,1.3,73.08,0.61,?,0.0,0.14,?
1.52369,?,0.0,?,72.22,0.32,12.24,0.0,0.0,containers
1.51756,?,3.61,1.05,?,0.57,8.24,0.0,0.0,'build wind float'
?,13.48,3.74,1.17,?,?,?,0.0,?,?
?,?,3.62,1.57,?,?,8.11,0.0,0.0,'build wind non-float'
?,13.73,?,?,?,0.17,?,?,0.0,'build wind float'
?,13.09,3.52,1.55,72.87,0.68,8.05,0.0,0.09,?
1.51784,?,3.67,1.16,73.11,0.61,8.7,0.0,0.0,?
?,13.89,?,1.32,71.81,0.51,8.78,0.11,0.0,?
1.51977,13.81,?,?,71.72,0.12,?,?,0.0,?
1.51666,12.86,0.0,1.83,73.88,0.97,10.17,0.0,0.0,containers
1.51631,?,3.57,1.57,?,?,?,0.0,?,'build wind non-float'
?,12.93,3.66,1.56,72.51,0.58,?,?,0.12,'build wind non-float'
?,13.72,?,?,72.06,?,?,0.0,0.0,'build wind non-float'
1.52081,13.78,2.28,?,?,0.49,9.85,0.0,0.17,'build wind non-float'
?,14.86,?,1.74,71.87,0.16,?,0.0,?,'build wind non-float'
1.51813,13.43,?,1.18,72.49,?,8.15,0.0,?,'build wind non-float'
1.51131,?,3.2,1.81,?,1.76,5.43,1.19,0.0,?
1.52227,?,3.81,0.78,71.35,?,9.69,0.0,0.0,?
1.52614,13.7,0.0,?,71.24,0.19,13.44,0.0,0.1,?
?,13.33,?,1.25,?,0.52,8.12,?,0.0,'build wind non-float'
?,?,3.39,?,72.64,0.52,?,0.0,0.0,'vehic wind float'
1.51751,12.81,?,?,73.02,0.62,8.59,0.0,0.0,?
1.51508,15.15,0.0,2.25,73.5,0.0,8.34,0.63,0.0,headlamps
1.51915,12.73,?,1.86,72.69,0.6,10.09,0.0,0.0,containers
?,14.77,?,?,72.02,0.03,9.0,?,0.0,'build wind float'
1.51844,13.25,3.76,1.32,?,?,?,0.0,0.0,'build wind non-float'
?,11.23,0.0,0.77,73.21,0.0,14.68,0.0,0.0,'build wind non-float'
1.52172,13.51,?,0.88,71.79,?,?,?,0.11,'build wind float'
1.51602,?,0.0,?,73.28,0.0,?,0.64,0.09,headlamps
?,13.0,0.0,3.02,70.7,6.21,?,0.0,0.0,containers
1.52739,11.02,0.0,?,73.08,?,14.96,0.0,0.0,?
?,?,3.82,0.47,71.77,?,9.57,0.0,0.0,'build wind float'
?,12.84,3.5,?,73.27,0.56,8.55,0.0,0.0,'build wind float'
?,12.85,3.67,?,?,0.62,8.68,0.0,0.35,?
?,13.41,3.55,1.25,72.81,0.68,8.1,0.0,0.0,?
1.51609,15.01,0.0,2.51,73.05,0.05,8.83,0.53,0.0,headlamps
1.51667,12.94,3.61,1.26,?,?,8.6,0.0,?,'build wind non-float'
1.51588,13.12,3.41,1.58,73.26,0.07,8.39,0.0,0.19,'build wind non-float'
?,?,3.7,0.71,?,?,9.82,?,0.1,?
1.51831,?,0.0,1.82,?,1.41,6.47,?,0.0,headlamps
1.51918,?,3.58,1.37,72.08,0.56,8.3,0.0,0.0,?
1.51613,?,1.78,1.79,73.1,?,8.67,0.76,?,headlamps
1.52196,14.36,?,?,?,0.15,?,?,0.0,'build wind float'
1.51824,?,3.48,1.29,72.95,0.6,8.43,0.0,?,?
1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0.0,?,containers
1.51969,14.56,0.0,0.56,73.48,0.0,11.22,0.0,?,tableware
1.51618,13.01,3.5,1.48,72.89,0.6,8.12,0.0,0.0,'build wind non-float'
1.51645,?,3.49,?,72.65,0.67,?,?,0.1,?
1.51796,?,3.36,?,71.94,?,8.81,?,?,'vehic wind float'
1.52222,?,0.0,1.0,72.67,0.1,?,0.0,?,'build wind non-float'
1.51783,?,?,1.34,72.95,0.57,8.75,?,?,'build wind float'
1.51711,14.23,?,?,73.36,0.0,?,1.67,0.0,?
1.51736,12.78,3.62,?,72.79,?,8.7,?,?,'build wind float'
1.51808,?,?,1.19,72.84,0.55,9.03,0.0,0.0,'build wind float'
?,13.24,3.57,1.38,72.7,0.56,8.44,0.0,?,'vehic wind float'
1.52043,13.38,0.0,1.4,72.25,0.33,?,0.0,0.0,?
1.519,?,3.48,?,71.95,0.55,?,0.0,?,?
?,13.21,?,1.29,72.98,0.51,?,0.0,0.09,?
1.51905,14.0,2.39,1.56,72.37,0.0,9.57,0.0,0.0,tableware
1.51531,?,0.0,2.66,73.1,0.04,?,?,?,headlamps
1.51916,?,?,2.09,72.74,0.0,?,0.0,0.0,tableware
1.51841,13.02,?,1.06,?,0.64,9.13,0.0,0.15,?
1.5159,13.02,?,1.51,?,0.69,?,0.0,0.0,'build wind non-float'
1.51593,13.25,3.45,?,?,?,?,0.0,0.0,'build wind non-float'
1.5164,12.55,3.48,1.87,?,0.63,?,0.0,?,?
1.51663,?,3.54,1.62,72.96,0.64,?,0.0,0.21,'build wind non-float'
?,13.33,3.54,?,72.54,0.68,?,?,?,'build wind non-float'
1.51869,13.19,3.37,1.18,72.72,?,8.83,0.0,0.16,'build wind float'
1.51776,13.53,?,1.52,?,0.58,8.79,0.0,?,'vehic wind float'
?,?,3.48,1.23,?,0.61,?,0.09,?,?
1.5186,13.36,?,1.43,72.26,0.51,?,0.0,?,'build wind non-float'
1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0.0,0.0,'build wind float'
?,14.2,?,?,73.46,?,?,?,0.09,?
1.51618,?,3.55,?,72.99,0.39,?,0.0,0.0,'build wind float'
1.51761,?,3.54,?,73.24,?,8.39,?,0.0,'build wind float'
1.5161,?,?,1.22,72.69,?,8.32,0.0,0.0,'vehic wind float'
1.51592,12.86,3.52,2.12,?,0.69,7.97,0.0,0.0,'build wind non-float'
1.51613,13.92,3.52,1.25,?,0.37,7.94,0.0,?,'build wind non-float'
1.51689,12.67,?,1.71,?,?,?,?,0.0,'build wind non-float'
1.51852,14.09,2.19,1.66,72.67,?,?,?,0.0,tableware
