@relation dataset

@attribute rural/urban {0, 1, 2}
@attribute totalnumberofgood real
@attribute totalnumberoflivable real
@attribute totalnumberofdilapidated real
@attribute totalnumberofresidencehouseholds real
@attribute totalnumberofresidencegood real
@attribute totalnumberofresidencelivable real
@attribute totalnumberofresidencedilapidated real
@attribute totalnumberofresidencecumother real
@attribute numberofresidencecumgood real
@attribute residence_cum_livable real
@attribute residence_cum_dilapidated real
@attribute material_roof_gtbw real
@attribute material_roof_pp real
@attribute material_roof_hmt real
@attribute material_roof_mmt real
@attribute material_roof_bb real
@attribute material_roof_ss real
@attribute material_roof_gmas real
@attribute material_roof_concrete real
@attribute material_roof_aom real
@attribute material_roof_gtb real
@attribute material_roof_pp1 real
@attribute material_roof_mub real
@attribute material_roof_wood real
@attribute material_wall_snpwm real
@attribute material_wall_spwm real
@attribute material_wall_gimas real
@attribute material_wall_bb real
@attribute material_wall_concrete real
@attribute material_wall_aom real
@attribute material_floor_mud real
@attribute material_floor_wb real
@attribute material_floor_bb real
@attribute material_floor_stone real
@attribute material_floor_cement real
@attribute material_floor_mf real
@attribute material_floor_aom real
@attribute dwelling_r_ner real
@attribute dwelling_r_or real
@attribute dwelling_r_tr real
@attribute dwelling_r_th_r real
@attribute dwelling_r_fr real
@attribute dwelling_r_fi_r real
@attribute dwelling_r_sra real
@attribute h_size_1 real
@attribute h_size_2 real
@attribute h_size_3 real
@attribute h_size_4 real
@attribute h_size_5 real
@attribute h_size_6_8 real
@attribute h_size_9 real
@attribute o_status_o real
@attribute o_status_r real
@attribute o_status_ao real
@attribute married_c_n real
@attribute married_c_1 real
@attribute married_c_2 real
@attribute married_c_3 real
@attribute married_c_4 real
@attribute married_c_5 real
@attribute dw_tfts real
@attribute dw_tfus real
@attribute dw_cw real
@attribute dw_uw real
@attribute dw_handpump real
@attribute dw_tb real
@attribute dw_spring real
@attribute dw_rc real
@attribute dw_tpl real
@attribute dw_os real
@attribute within_premises real
@attribute near_premises real
@attribute away real
@attribute msl_electricty real
@attribute msl_kerosene real
@attribute msl_se real
@attribute msl_oo real
@attribute msl_ao real
@attribute msl_nl real
@attribute latrine_premise real
@attribute latrine_pss real
@attribute latrine_st real
@attribute latrine_os real
@attribute pit_latrine_svi real
@attribute pit_latrine_sop real
@attribute disposed_drain real
@attribute service_latrine_nrh real
@attribute service_latrine_nsa real
@attribute h_latrine_premoses real
@attribute alternative_source real
@attribute alternative_source_open real
@attribute households_bathroom real
@attribute households_ewr real
@attribute households_no real
@attribute waste_water_cd real
@attribute waste_water_od real
@attribute waste_water_nd real
@attribute cooking_fw real
@attribute cooking_cr real
@attribute cooking_cc real
@attribute cooking_clc real
@attribute cooking_kerosene real
@attribute cooking_lpg_png real
@attribute cooking_electricity real
@attribute cooking_biogas real
@attribute cooking_ao real
@attribute cooking_nc real
@attribute cooking_ih real
@attribute has_kitchen real
@attribute dnhk real
@attribute cooking_oh real
@attribute has_kitchen1 real
@attribute dnh_kitchen real
@attribute no_cooking real
@attribute tnhab real
@attribute assets_rt real
@attribute assets_tel real
@attribute assets_cl_wi real
@attribute assets_clwi real
@attribute assets_tm_lo real
@attribute assets_tm_mo real
@attribute assets_tm_both real
@attribute assets_bicycle real
@attribute assets_smm real
@attribute assets_cjv real
@attribute household_tv_lp real
@attribute none_as real
@attribute permanents real
@attribute semi_permanent real
@attribute total_temporary real
@attribute serviceable real
@attribute non_serviceable real
@attribute unclassifiable real
@attribute contition_t_total real
@attribute contition_t_good real
@attribute contition_t_livable real
@attribute contition_t_dilapidated real
@attribute contition_r_total real
@attribute residence_good real
@attribute residence_livable real
@attribute residence_dilapidated real
@attribute residence_cum_other real
@attribute residence_cum_good real


@data
?,23.2,?,3.5,96.4,22.7,70.5,?,3.6,0.5,2.7,0.4,?,0.0,?,0.0,0.1,?,?,?,0.1,0.1,?,42.1,0.1,?,?,0.0,0.1,?,0.0,95.7,?,?,0.0,1.6,0.1,0.0,?,?,30.8,23.0,14.2,6.7,8.9,2.9,?,?,?,12.6,39.2,29.0,97.5,1.8,0.7,?,57.8,22.8,7.4,1.8,0.5,?,?,0.5,0.0,14.2,?,?,?,1.1,4.0,?,?,39.5,84.6,3.3,11.7,0.1,0.1,0.2,96.8,1.3,?,52.9,1.0,9.9,0.2,29.7,0.2,3.2,0.5,?,?,?,38.2,?,?,71.4,75.8,0.9,?,0.0,0.3,9.7,0.0,?,2.4,0.1,97.6,89.0,8.6,?,0.6,?,?,75.5,58.6,?,0.9,?,5.5,37.0,?,2.6,3.7,8.8,?,22.1,2.5,55.3,42.1,?,0.1,?,100.0,?,?,3.5,96.4,?,?,3.1,?,?
?,24.3,72.6,3.2,?,?,70.1,2.8,3.3,?,?,?,92.6,0.0,?,0.0,0.1,0.3,?,?,0.1,?,0.0,?,0.1,?,?,0.0,0.2,0.1,0.0,93.7,?,?,0.0,3.6,?,0.0,?,?,?,?,13.6,?,9.8,3.8,4.6,5.4,9.1,?,?,?,?,7.8,?,?,56.9,21.1,6.9,1.7,0.5,10.6,48.5,0.5,0.0,18.0,?,1.8,14.5,?,5.0,?,50.6,38.6,86.9,?,?,0.1,?,?,96.9,?,6.0,?,?,?,?,25.5,0.3,3.1,?,2.6,63.5,1.8,?,13.8,19.3,?,?,0.8,?,0.0,0.8,18.0,0.0,?,2.1,0.1,?,87.5,10.0,2.5,?,1.6,0.1,77.3,59.8,?,1.3,?,4.9,42.5,10.6,2.7,?,?,1.4,?,?,?,?,?,0.2,0.2,100.0,?,72.6,3.2,?,23.8,?,2.8,?,?
2,?,68.8,?,98.7,29.8,67.8,1.2,1.3,0.2,1.0,0.0,67.2,?,?,?,?,1.3,?,1.0,0.4,0.4,?,39.6,0.0,?,11.6,0.0,?,0.4,0.2,?,2.6,0.0,?,14.5,0.0,0.0,?,36.3,16.1,11.8,10.3,?,14.7,?,?,11.0,?,?,28.1,14.1,57.6,?,1.4,31.8,51.7,11.6,?,0.9,0.2,22.7,?,?,0.0,38.9,?,?,1.5,1.0,?,30.1,36.0,?,?,0.4,0.0,0.1,0.0,0.0,?,?,?,52.1,0.2,?,0.0,1.8,?,?,0.1,2.4,83.8,0.8,?,?,17.4,41.7,31.2,?,0.1,0.0,3.7,?,0.0,?,?,?,?,79.1,17.8,3.0,2.5,?,0.2,87.6,66.7,?,?,7.3,1.8,?,?,?,3.1,17.6,?,?,17.3,57.2,25.0,?,?,0.5,100.0,30.0,68.8,1.2,98.7,?,67.8,1.2,?,0.2
?,38.0,59.5,?,?,?,48.4,2.1,?,3.3,?,?,?,?,?,0.3,?,?,9.8,14.3,0.2,?,0.0,2.7,0.2,?,23.6,0.0,5.7,0.9,0.1,81.8,?,?,0.1,17.8,0.2,0.0,1.1,24.1,42.7,?,8.2,1.7,1.2,1.6,8.4,?,17.3,?,36.3,4.6,?,0.6,0.4,8.1,80.1,10.4,?,0.1,0.0,?,34.7,4.8,?,4.4,?,?,1.6,0.3,?,?,39.4,?,68.4,23.5,?,0.3,2.1,5.5,13.7,1.1,9.6,1.3,?,?,0.3,0.1,?,?,?,84.1,13.5,3.9,?,2.0,?,90.9,?,5.8,?,0.1,0.2,?,0.0,?,0.0,?,?,?,37.5,?,7.4,?,?,67.0,41.1,?,0.3,?,1.8,?,2.0,?,1.7,1.4,0.1,39.5,24.7,?,?,2.6,0.1,0.3,100.0,38.0,?,2.4,85.2,34.7,48.4,2.1,?,?
?,40.8,56.9,2.3,?,?,46.7,2.0,?,?,?,0.3,69.8,0.1,0.1,0.3,0.1,0.6,9.6,?,?,0.1,?,3.0,0.2,?,22.4,0.0,11.0,0.9,0.2,76.8,0.0,0.1,0.1,22.4,0.5,0.1,?,23.1,42.0,?,?,?,?,?,?,?,?,?,35.4,?,98.7,0.9,?,?,?,?,1.3,0.1,?,16.1,33.0,?,19.9,4.3,?,?,1.5,?,6.0,19.2,?,43.5,70.8,?,0.3,?,?,5.2,18.7,?,12.9,?,?,0.1,?,0.1,0.6,?,2.1,?,18.4,?,77.7,?,11.7,85.2,77.9,5.4,0.7,0.1,?,?,?,?,?,0.1,88.4,?,35.1,11.5,?,?,0.1,69.0,42.1,18.0,0.4,3.4,2.1,35.7,3.0,?,2.7,1.9,0.3,?,?,?,2.7,2.6,0.1,0.3,100.0,?,?,?,86.3,37.7,?,?,?,3.1
?,71.8,27.3,0.8,?,?,27.1,0.7,?,0.4,0.3,0.1,17.2,?,0.2,?,0.2,?,7.9,73.3,?,0.2,?,?,0.2,?,?,?,70.7,0.3,?,20.3,?,?,?,?,3.9,0.3,0.9,11.7,?,?,14.0,5.1,?,3.4,8.4,13.2,?,?,25.3,2.8,95.5,?,0.9,11.2,77.5,9.7,?,0.0,0.0,65.5,14.4,1.4,?,3.0,0.6,?,?,0.6,1.1,72.0,13.5,14.5,97.7,0.6,0.0,?,0.0,1.5,?,?,?,1.7,?,0.0,?,0.2,?,24.7,?,24.3,74.2,3.3,22.5,?,63.8,20.0,18.4,?,0.2,0.0,2.5,?,0.0,0.7,?,0.2,95.1,?,6.8,?,2.4,2.2,0.2,91.1,?,71.1,1.7,4.2,5.8,50.4,14.1,?,14.2,?,2.3,?,?,17.6,?,?,0.2,0.8,100.0,?,27.3,?,99.3,71.4,?,?,?,0.4
0,44.4,?,2.7,?,41.5,47.0,2.3,?,3.0,?,0.3,?,?,0.1,0.1,?,0.5,2.3,26.7,0.1,?,?,2.0,0.4,?,?,0.0,18.6,1.6,?,?,?,?,0.2,26.9,?,0.0,3.1,33.3,?,?,?,1.9,?,1.6,10.6,14.7,20.6,?,?,2.6,98.7,0.7,0.6,8.9,84.2,?,0.5,0.0,?,?,?,8.8,15.3,5.2,0.2,31.5,?,?,?,11.5,?,?,76.2,18.4,0.3,0.3,?,3.8,?,0.9,7.5,?,?,?,0.1,0.1,?,89.8,?,88.5,?,3.6,?,?,6.5,91.8,80.5,?,?,0.1,0.1,15.3,0.0,0.6,0.0,0.1,?,42.5,?,29.9,18.8,?,0.1,63.4,38.6,?,0.3,4.1,1.9,?,1.9,1.3,4.6,?,0.4,?,?,67.9,?,?,0.3,?,100.0,?,52.9,?,?,41.5,?,2.3,?,?
?,46.4,51.0,2.6,?,43.5,?,2.3,8.7,?,?,0.3,66.2,?,?,0.1,?,0.5,?,?,0.1,0.4,?,?,?,?,24.1,0.0,22.4,?,0.2,?,0.0,0.3,?,30.1,0.8,0.0,3.0,?,35.8,17.4,8.1,?,1.3,1.7,?,?,?,?,28.8,2.7,97.9,?,0.7,9.0,83.7,?,0.6,0.0,0.0,16.5,15.5,8.4,?,?,0.2,29.9,?,?,?,15.2,33.1,?,?,?,0.3,?,1.0,3.6,14.3,2.0,9.8,1.0,?,0.1,0.7,0.0,0.2,?,?,?,?,3.6,?,2.6,?,87.4,76.5,?,?,0.0,?,19.3,0.0,0.6,0.0,?,71.5,45.2,26.3,?,?,?,?,65.0,38.7,27.6,?,?,2.1,48.4,?,?,5.9,?,?,30.5,33.0,?,?,1.9,0.3,0.3,100.0,46.4,?,?,91.3,43.5,?,2.3,?,2.8
?,79.7,18.6,?,98.6,?,17.9,?,1.4,0.6,?,?,5.6,0.6,0.0,?,?,?,1.1,?,0.1,0.5,0.1,?,0.1,3.0,?,?,87.2,?,?,7.0,0.0,?,1.7,83.9,?,0.2,2.4,?,31.8,24.8,14.1,4.8,5.7,?,?,?,25.2,24.0,?,4.6,?,12.8,2.4,11.9,?,?,2.4,0.2,0.1,78.1,8.8,?,?,?,0.1,?,2.7,?,0.6,?,10.4,11.5,?,1.4,0.2,?,0.0,?,?,20.3,49.8,4.2,?,0.1,?,?,0.5,?,?,?,84.0,4.7,11.3,16.7,?,12.9,?,?,0.1,0.0,2.4,?,0.1,0.1,?,?,97.5,?,?,2.4,1.1,?,?,91.8,?,80.5,?,?,?,?,?,?,27.5,15.8,7.0,4.3,93.1,5.5,?,0.6,?,?,?,79.7,18.6,1.7,98.6,79.0,17.9,1.7,?,0.6
?,59.8,36.7,?,97.6,?,?,3.3,2.4,0.8,1.5,0.1,?,?,0.3,?,0.4,1.3,?,49.7,0.2,1.0,?,?,0.1,14.7,9.2,0.0,54.3,?,?,61.2,0.1,?,1.4,34.7,?,?,?,30.5,?,19.4,10.3,?,2.6,?,6.5,10.8,21.7,23.2,?,6.8,?,0.9,0.5,?,74.1,?,3.0,0.6,?,37.1,12.3,0.6,8.6,22.5,?,?,0.9,?,?,?,34.5,28.6,91.8,7.2,?,0.1,?,?,?,1.3,10.5,0.5,1.5,0.1,?,0.0,?,?,1.6,84.2,17.1,16.0,?,?,27.2,70.0,77.6,1.0,0.2,0.0,0.4,?,?,0.1,?,0.2,?,?,13.9,22.2,?,6.0,0.2,75.6,?,51.7,0.7,3.2,2.4,66.4,?,12.7,15.7,?,?,?,?,27.1,14.6,13.7,?,?,?,59.8,36.7,3.5,97.6,59.0,35.3,?,2.4,?
?,?,35.3,?,97.9,?,?,3.3,?,0.7,1.3,0.1,31.0,0.2,?,?,0.3,1.1,?,55.2,0.2,?,?,17.9,0.1,12.6,?,?,?,0.5,0.2,?,0.1,0.2,?,39.9,3.0,0.2,?,29.4,29.7,?,?,4.3,3.0,2.1,?,10.9,22.6,?,?,?,?,1.8,0.6,8.6,74.0,13.5,?,0.6,0.1,?,11.2,?,7.3,23.4,2.9,?,?,?,?,44.1,?,?,92.9,6.3,?,0.1,?,0.7,?,2.2,16.0,1.4,?,?,0.6,0.0,0.2,77.9,1.4,?,24.2,?,59.8,?,32.2,?,?,1.0,0.2,?,0.8,27.8,?,0.1,0.0,?,80.0,?,14.1,19.8,14.3,5.5,0.2,77.3,?,?,1.2,4.0,2.6,?,?,?,?,?,2.3,?,62.7,23.9,13.0,?,?,?,100.0,?,35.3,3.4,97.9,?,34.0,3.3,?,0.7
2,69.9,?,?,99.1,?,26.7,3.1,0.9,?,?,0.0,?,0.4,0.2,?,?,0.3,3.7,87.0,0.2,?,?,5.2,0.0,0.5,0.5,?,92.3,0.9,0.1,17.5,?,0.2,?,69.4,7.5,0.2,?,?,28.3,22.6,?,5.9,5.1,1.9,?,11.5,27.7,24.6,23.3,5.7,91.4,7.5,?,9.1,73.5,13.3,3.4,0.7,0.1,?,5.1,?,0.2,28.5,3.3,?,0.0,?,0.3,85.6,?,3.2,?,?,0.0,0.2,?,0.0,67.1,7.3,?,6.4,2.2,?,3.5,0.0,0.1,32.9,?,32.5,?,?,?,18.8,60.4,20.8,24.5,?,?,0.1,3.1,?,0.5,0.3,0.0,0.3,94.1,79.0,15.1,?,2.9,2.7,?,87.1,?,?,4.1,8.2,?,66.0,15.3,28.7,41.4,11.8,?,?,90.2,?,4.2,?,0.5,0.3,?,69.9,27.0,3.1,?,?,26.7,?,0.9,0.6
0,48.6,?,5.3,96.9,?,44.1,5.0,?,0.8,2.0,0.3,4.1,0.2,1.0,0.0,0.1,?,86.0,2.7,4.5,?,?,16.0,?,10.5,4.6,?,60.3,1.8,2.3,52.8,2.9,0.4,2.3,?,0.1,0.1,?,?,24.5,27.1,?,?,9.2,?,4.1,?,12.2,?,41.9,16.6,99.0,0.4,0.6,8.3,72.2,15.8,3.1,0.5,0.1,?,44.7,2.4,2.0,?,?,1.7,11.9,?,2.0,47.8,30.8,21.4,?,3.4,?,0.1,1.3,?,?,?,?,?,4.2,5.4,1.6,?,?,?,3.6,22.1,77.3,3.4,?,10.5,?,46.3,73.1,5.5,5.8,0.0,1.0,12.7,0.2,0.8,?,0.1,?,90.3,?,5.6,3.3,2.3,0.1,?,59.6,?,1.7,3.8,?,64.8,2.5,7.7,4.2,5.2,?,15.5,74.3,17.1,?,2.3,0.2,?,100.0,?,?,?,96.9,?,?,?,3.1,0.8
