@relation dataset

@attribute attribute_0 real
@attribute attribute_1 real
@attribute attribute_2 real
@attribute attribute_3 real
@attribute attribute_4 real
@attribute attribute_5 real
@attribute attribute_6 real
@attribute attribute_7 real
@attribute attribute_8 real
@attribute attribute_9 real
@attribute attribute_10 real
@attribute attribute_11 real
@attribute attribute_12 {1, 2}


@data
?,?,0.26,7.4,0.069,28.0,?,0.9954,3.13,0.46,?,?,2
?,?,?,1.4,0.057,33.0,152.0,0.9934,3.22,0.56,9.5,6.0,?
?,0.23,0.26,1.4,0.06,33.0,154.0,0.9934,3.24,0.56,9.5,6.0,2
?,?,0.31,1.4,0.058,38.0,?,0.9931,3.16,0.53,?,?,?
6.2,?,?,?,0.063,63.0,206.0,?,3.27,0.52,9.8,?,2
6.2,0.46,0.25,4.4,?,62.0,?,?,3.25,?,9.8,?,2
?,0.31,0.26,?,?,28.0,160.0,?,3.13,0.46,9.8,6.0,2
?,?,?,?,?,?,?,0.995,?,0.48,9.8,5.0,2
7.2,0.19,0.31,?,0.062,?,173.0,0.9917,3.35,?,?,6.0,?
6.6,0.25,0.29,1.1,0.068,39.0,124.0,0.9914,?,0.58,11.0,7.0,2
6.2,0.16,0.33,1.1,0.057,21.0,?,0.991,?,0.46,?,7.0,?
?,0.18,0.35,1.0,0.045,?,?,?,?,?,10.9,6.0,?
6.8,0.2,0.59,?,?,?,?,0.993,3.05,0.38,9.1,?,2
6.9,0.25,0.35,1.3,?,29.0,?,?,3.13,0.52,?,?,2
7.2,0.21,0.34,?,0.043,?,213.0,?,?,0.5,9.6,6.0,2
6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,?,0.36,8.9,6.0,2
6.6,?,?,?,0.044,?,78.0,0.9931,3.11,0.38,?,?,2
?,?,0.36,1.2,0.038,44.0,?,0.9926,3.36,?,9.9,?,?
?,0.22,0.24,?,0.092,?,?,0.9951,3.03,0.46,8.6,6.0,2
?,?,?,12.4,?,50.0,?,?,3.3,?,8.9,6.0,2
7.0,?,0.07,1.1,?,?,151.0,0.991,3.02,?,10.5,?,?
?,0.38,?,4.6,0.044,25.0,78.0,0.9931,3.11,?,10.2,6.0,?
7.2,0.24,0.27,1.4,?,31.0,122.0,0.9927,3.15,0.46,?,6.0,?
?,?,?,1.2,0.064,?,120.0,0.9934,3.22,0.54,?,5.0,2
?,?,0.24,?,?,27.0,124.0,0.9903,3.22,0.49,12.6,?,2
?,?,0.13,?,0.041,?,174.0,?,?,?,9.8,5.0,2
?,?,0.31,2.1,?,30.0,?,?,3.33,?,?,?,?
7.4,0.24,?,?,?,?,105.0,?,?,0.35,9.5,5.0,2
6.2,0.27,0.43,7.8,?,?,244.0,0.9956,3.1,0.51,9.0,6.0,2
6.8,0.3,0.23,4.6,0.061,50.5,?,?,3.32,0.6,9.5,?,2
6.0,?,?,4.8,0.063,31.0,201.0,0.9964,3.69,0.71,?,5.0,2
8.6,0.23,?,?,0.054,?,?,?,2.95,0.49,?,?,?
6.7,0.23,0.31,2.1,0.046,30.0,?,0.9926,?,?,10.7,8.0,?
7.4,0.24,0.29,10.1,?,21.0,?,0.9962,3.13,0.35,9.5,5.0,2
?,0.18,?,1.4,0.043,31.0,87.0,0.9898,3.26,?,?,?,2
?,0.32,0.34,1.3,?,?,?,0.9912,3.31,?,12.0,7.0,?
7.4,0.18,?,8.8,0.064,?,103.0,0.9961,?,0.56,9.3,5.0,?
6.7,?,0.28,?,?,21.0,105.0,0.9949,3.27,?,?,?,2
?,0.22,0.31,1.4,0.053,34.0,?,0.9929,3.39,0.77,10.6,?,?
7.1,?,?,16.0,?,?,166.0,0.9985,?,?,?,?,?
?,0.34,0.2,6.1,0.063,?,164.0,?,?,?,?,?,2
7.3,?,0.3,8.2,0.047,42.0,207.0,?,3.33,0.46,?,6.0,2
?,?,0.61,11.8,?,54.0,?,0.9974,3.11,?,?,5.0,?
7.1,?,?,11.8,?,?,?,?,3.12,0.46,?,6.0,?
?,0.39,0.63,?,0.044,55.0,156.0,0.9974,3.09,0.44,8.7,?,?
6.8,?,0.31,?,0.05,69.0,?,0.9972,3.22,?,9.7,6.0,2
?,0.43,0.61,11.8,0.045,?,155.0,?,3.11,0.45,8.7,?,?
7.1,0.44,?,11.8,0.044,52.0,152.0,?,3.12,?,?,6.0,2
?,0.39,0.63,?,?,55.0,156.0,?,?,?,?,?,2
?,0.27,0.43,7.5,0.049,65.0,243.0,0.9957,3.12,?,9.0,5.0,?
?,?,0.33,1.7,0.035,?,136.0,?,3.26,?,12.6,7.0,?
6.9,0.21,0.33,?,0.034,?,?,0.9899,3.25,0.41,?,7.0,?
7.5,?,0.32,1.7,0.04,51.0,148.0,0.9916,3.21,0.44,11.5,?,?
7.1,0.26,?,?,?,?,240.0,0.9969,3.04,0.42,9.2,?,2
6.0,0.34,0.66,15.9,0.046,?,?,0.9979,?,?,?,?,?
8.6,0.265,0.36,1.2,?,?,?,0.9913,2.95,?,11.4,7.0,2
9.8,0.36,?,10.5,0.038,?,?,?,2.89,?,?,4.0,2
6.0,?,?,15.9,?,26.0,164.0,?,?,?,?,?,2
7.4,?,0.37,13.5,0.06,?,192.0,0.9975,3.0,0.44,?,5.0,?
7.1,?,0.32,9.6,?,64.0,162.0,0.9962,3.4,0.41,?,5.0,2
?,0.21,0.24,?,0.05,?,?,0.997,3.34,?,?,5.0,2
7.5,?,?,?,0.059,44.0,170.0,1.0,2.99,0.46,9.0,5.0,?
?,0.25,0.37,13.5,0.06,52.0,?,?,3.0,?,?,?,2
7.3,0.13,?,14.4,0.051,34.0,?,?,?,0.35,9.2,?,?
7.1,0.12,?,9.6,?,64.0,?,0.9962,3.4,0.41,9.4,?,2
7.1,0.23,0.35,16.5,?,60.0,?,0.999,?,?,?,6.0,2
?,0.23,0.35,?,?,?,171.0,?,?,0.59,?,?,2
6.9,?,0.28,?,0.051,37.0,187.0,0.9927,3.27,0.6,10.3,5.0,?
6.5,?,?,8.5,0.082,64.0,?,0.9959,2.89,?,8.8,6.0,?
?,?,0.46,18.75,0.052,?,?,?,?,?,8.9,5.0,2
7.2,0.31,0.5,?,0.056,68.0,?,0.9982,3.01,0.47,?,5.0,2
6.7,0.41,0.34,?,0.049,29.0,?,?,3.22,0.51,9.1,5.0,2
6.7,?,0.34,9.2,0.049,29.0,150.0,?,?,0.51,9.1,?,?
5.5,?,0.001,1.5,?,?,103.0,0.994,?,0.4,9.7,?,2
?,0.31,0.24,3.3,0.041,25.0,143.0,0.9914,3.31,0.44,?,6.0,2
7.0,?,?,?,0.035,?,?,?,3.19,0.42,11.8,6.0,?
7.2,0.31,?,13.3,?,68.0,?,?,3.01,0.47,9.2,5.0,2
?,0.32,0.48,13.3,0.06,57.0,?,0.9982,3.04,0.5,9.2,?,?
5.9,?,?,?,?,?,87.0,0.9934,?,?,?,?,2
7.8,?,0.32,12.2,?,42.0,138.0,0.9984,3.01,?,8.8,5.0,2
?,?,0.31,6.85,?,?,?,?,3.29,?,9.7,5.0,?
6.9,?,0.28,?,?,?,146.0,0.9952,?,?,9.1,?,2
6.4,0.13,?,?,?,40.0,?,?,3.21,0.36,9.8,6.0,2
6.7,0.19,0.36,1.1,0.026,?,?,0.9912,3.27,?,11.0,?,2
?,?,?,?,0.033,29.0,?,0.994,3.14,0.42,?,?,?
6.5,0.24,?,7.6,0.038,48.0,203.0,0.9958,3.45,?,?,7.0,?
6.1,0.3,?,2.8,0.044,47.0,179.0,0.9924,?,?,10.9,7.0,?
6.1,0.3,?,?,0.046,46.0,184.0,?,?,0.57,10.9,?,2
5.7,?,0.25,10.4,?,7.0,57.0,0.994,3.39,0.37,10.6,?,?
?,?,?,7.6,0.038,?,?,?,3.45,?,9.7,7.0,2
6.5,?,0.4,?,0.038,59.0,?,0.9979,?,0.57,9.0,?,?
?,0.24,?,?,0.035,46.0,188.0,0.9982,?,?,?,5.0,2
6.8,?,?,8.1,?,55.0,203.0,?,3.19,?,8.9,?,2
6.7,0.27,0.31,15.7,0.036,?,?,?,3.26,0.56,9.6,5.0,2
?,0.23,0.4,1.2,0.027,36.0,?,0.992,?,0.38,10.7,6.0,?
?,?,0.67,?,0.045,?,155.0,0.9975,?,?,8.7,?,2
6.8,?,0.36,1.9,0.035,?,?,0.9917,3.15,0.54,?,?,2
?,?,0.39,?,0.029,?,79.0,?,?,?,11.8,?,2
?,0.31,?,?,?,?,77.0,?,3.3,0.43,?,?,?
?,?,0.67,10.5,?,49.0,155.0,0.9975,3.16,?,8.7,?,?
7.9,?,0.4,1.2,0.039,?,?,?,?,0.54,?,6.0,2
8.5,0.21,0.41,?,?,24.0,?,0.9947,3.18,?,?,?,2
?,0.2,0.4,?,0.037,19.0,87.0,?,3.12,0.54,11.2,?,2
?,?,?,1.1,?,?,114.0,0.9905,?,?,?,?,2
5.6,?,0.27,1.4,0.044,?,?,?,?,0.37,10.1,6.0,2
6.4,0.595,0.14,5.2,?,?,97.0,0.9951,3.38,0.36,9.0,?,?
6.3,0.34,?,?,0.034,19.0,?,?,?,0.58,12.0,?,2
6.9,?,0.3,4.1,?,23.0,116.0,0.994,?,0.38,?,?,2
7.9,?,?,8.0,0.043,46.0,152.0,?,3.12,?,?,7.0,?
7.6,0.18,?,10.2,?,58.0,135.0,0.9968,?,0.43,9.9,?,2
6.9,0.25,?,4.1,0.054,23.0,?,?,?,0.38,9.4,?,2
?,?,0.41,1.2,?,41.0,97.0,?,3.14,?,10.4,5.0,2
8.2,0.23,0.4,?,0.049,12.0,?,0.9966,3.06,0.84,?,6.0,2
?,0.24,0.42,14.0,0.066,48.0,198.0,0.9979,?,0.42,?,6.0,2
?,0.24,0.42,14.0,?,48.0,198.0,0.9979,?,0.42,8.9,?,2
6.1,0.32,0.24,1.5,?,38.0,?,?,?,0.42,?,?,2
5.2,0.44,?,?,?,43.0,?,?,?,0.33,?,8.0,?
?,?,0.04,?,0.036,43.0,?,0.9894,?,?,?,8.0,2
6.1,?,?,?,?,?,124.0,0.9898,?,?,12.4,7.0,2
6.4,0.22,?,14.5,0.055,27.0,159.0,0.998,2.98,0.4,9.1,?,?
?,0.36,?,?,?,14.0,?,?,3.28,?,?,5.0,2
7.4,0.24,?,14.0,0.066,?,198.0,0.9979,2.89,?,8.9,6.0,?
6.7,0.24,0.35,13.1,0.05,64.0,?,0.997,3.15,?,9.5,5.0,2
?,?,?,13.0,?,72.0,177.0,?,?,0.49,9.8,5.0,?
8.4,0.27,0.46,?,?,39.0,197.0,0.9974,3.14,0.59,9.6,6.0,?
?,?,0.18,?,0.034,25.0,98.0,0.9896,?,?,?,?,?
?,0.29,0.31,8.95,0.055,?,?,0.9968,3.08,?,9.3,?,?
9.8,0.42,?,9.85,0.034,?,110.0,?,2.87,0.29,?,5.0,2
7.1,0.3,?,1.5,?,29.0,?,0.9906,3.12,0.54,?,6.0,2
7.9,?,0.45,?,?,?,96.0,0.9917,?,0.39,11.0,?,2
7.6,0.48,0.37,0.8,0.037,?,100.0,0.9902,?,?,11.4,4.0,?
?,0.22,?,?,?,?,130.0,0.9918,3.35,?,?,7.0,2
7.5,0.27,0.31,?,0.051,33.0,173.0,0.999,3.09,?,10.2,5.0,2
6.9,0.23,0.4,7.5,0.04,50.0,?,0.9927,3.11,?,11.4,6.0,2
?,?,0.47,5.1,0.044,19.0,65.0,0.991,?,0.41,12.6,?,?
?,?,0.3,12.9,?,57.0,170.0,?,3.28,0.39,?,?,2
6.0,?,0.07,1.2,?,?,?,0.9931,3.11,0.35,?,?,?
?,0.25,?,?,?,41.0,176.0,?,?,?,?,6.0,?
?,?,0.31,5.5,?,42.0,173.0,0.9951,?,?,9.3,?,?
7.1,0.34,0.15,1.2,?,61.0,183.0,0.9936,3.09,?,?,5.0,2
?,?,0.4,22.0,0.048,48.0,?,1.001,2.93,0.5,8.7,5.0,2
?,0.27,0.4,?,0.05,?,227.0,0.9979,3.18,0.58,9.6,?,?
6.8,0.26,?,11.9,0.043,?,?,?,?,?,?,5.0,?
6.8,0.29,0.56,11.9,0.043,66.0,?,?,3.02,0.63,?,5.0,?
6.7,0.24,?,?,?,49.0,166.0,0.9954,3.12,?,9.9,6.0,2
5.9,0.3,0.23,?,0.038,42.0,119.0,0.9924,3.15,?,11.0,5.0,2
?,0.53,?,3.8,?,?,109.0,0.9906,?,0.57,12.7,8.0,2
6.5,0.28,0.28,8.5,0.047,?,?,0.9962,?,0.54,8.9,?,2
?,0.28,0.28,8.5,?,55.0,211.0,0.9962,3.09,?,8.9,6.0,2
6.8,0.28,0.4,?,0.048,?,167.0,?,?,?,8.7,?,?
6.8,0.28,0.36,8.0,0.045,28.0,?,?,?,0.37,11.4,?,2
6.6,0.15,?,5.1,0.055,?,125.0,0.9942,3.36,0.42,9.6,5.0,?
?,?,?,3.6,0.2,?,?,0.9942,?,?,9.1,5.0,2
6.4,0.3,0.45,3.5,0.197,76.0,180.0,0.9942,?,?,?,6.0,2
6.4,?,0.44,3.6,0.197,?,183.0,0.9942,?,?,9.1,5.0,2
6.8,0.26,0.24,7.8,0.052,?,214.0,?,3.13,0.47,8.9,5.0,?
7.1,0.32,?,?,0.05,52.0,204.0,0.998,3.1,0.49,8.8,?,?
?,?,0.24,7.8,?,54.0,?,0.9961,?,?,8.9,5.0,2
6.8,?,0.26,16.1,?,55.0,?,0.9984,3.15,?,?,?,2
?,?,?,?,?,52.0,204.0,?,3.1,0.49,8.8,5.0,2
?,?,?,?,0.05,?,?,0.9973,?,?,9.6,5.0,2
?,0.26,0.34,?,?,39.0,?,?,3.33,0.53,12.0,?,2
5.8,?,?,2.3,?,36.0,114.0,0.9924,3.28,?,10.2,4.0,?
6.4,?,0.5,11.6,0.042,45.0,?,0.9972,3.15,0.43,?,5.0,?
7.0,?,0.32,8.3,0.045,?,?,0.9958,?,0.34,9.2,?,2
?,?,?,6.2,0.049,20.0,124.0,0.9968,?,0.51,9.9,4.0,2
?,0.57,0.29,?,?,?,?,0.9938,3.32,0.74,10.2,5.0,2
6.1,0.4,?,0.9,0.048,?,?,0.993,?,0.77,9.5,?,2
?,0.245,0.25,?,0.032,12.0,68.0,?,?,?,10.5,5.0,?
?,0.18,?,1.4,?,35.0,111.0,0.9918,3.32,?,11.2,7.0,?
?,0.16,0.32,8.3,0.045,?,126.0,0.9958,?,0.34,?,5.0,2
?,0.13,0.29,?,?,31.0,?,0.9944,3.44,0.37,9.7,?,?
6.2,0.25,0.25,?,0.03,?,?,?,?,?,11.1,?,?
5.8,0.26,?,9.2,0.044,55.0,?,0.9961,?,?,?,5.0,2
?,0.27,?,7.0,?,?,164.0,0.9939,?,?,?,5.0,2
?,0.26,0.24,9.2,0.044,?,152.0,?,?,0.38,9.4,?,2
5.7,0.28,0.24,?,0.044,60.0,?,?,3.31,?,9.4,?,?
?,?,?,7.0,0.036,?,161.0,?,?,?,11.0,?,?
?,?,0.36,?,0.036,45.0,?,0.9939,3.03,0.33,11.0,5.0,?
7.2,0.685,?,?,?,?,172.0,0.9971,?,0.55,?,6.0,2
6.2,0.25,?,1.4,0.03,35.0,105.0,?,?,0.44,11.1,7.0,?
6.5,?,0.3,?,0.043,?,144.0,?,3.42,0.39,?,6.0,?
6.3,0.495,0.22,1.8,0.046,?,140.0,?,3.39,?,10.4,6.0,2
7.1,0.24,0.41,17.8,0.046,39.0,145.0,?,3.32,0.39,?,?,?
6.4,?,0.32,2.4,?,41.0,200.0,0.9938,3.5,0.5,9.7,6.0,2
7.1,0.25,0.32,10.3,0.041,66.0,272.0,?,3.17,?,?,6.0,?
6.4,0.17,0.32,?,0.048,41.0,200.0,?,3.5,?,9.7,6.0,?
7.1,?,0.41,17.8,?,?,?,0.9998,3.32,?,8.7,?,?
6.8,?,0.08,9.7,0.062,26.0,?,?,3.37,0.46,8.9,4.0,2
8.3,?,0.4,7.8,0.041,38.0,?,0.9976,?,0.51,9.6,?,2
8.2,?,0.39,7.8,0.039,49.0,?,?,3.31,?,?,?,?
?,0.23,0.38,14.3,?,?,?,?,3.09,?,9.0,6.0,2
7.2,?,?,14.3,?,55.0,194.0,?,3.09,0.44,?,?,?
7.2,0.23,0.38,14.3,0.058,?,?,?,3.09,?,9.0,6.0,2
7.2,0.23,0.38,14.3,0.058,?,?,?,3.09,0.44,9.0,6.0,2
6.8,0.52,?,?,?,?,221.0,?,3.27,0.5,?,6.0,?
7.0,0.26,0.59,1.4,?,40.0,120.0,0.9918,3.34,0.41,11.1,?,?
?,?,0.21,?,?,?,159.0,0.9982,3.48,0.64,?,6.0,2
?,0.32,?,13.7,0.05,49.0,197.0,0.9985,3.2,0.46,?,?,2
7.7,0.31,0.26,?,?,23.0,90.0,0.9944,3.13,0.5,?,5.0,?
?,0.21,?,?,?,?,?,0.9903,?,0.38,11.4,?,?
6.8,?,0.34,?,?,?,?,0.9934,?,0.58,9.7,6.0,2
6.9,?,0.56,?,0.043,40.0,?,0.9975,3.14,?,8.7,?,?
?,?,?,2.0,0.038,?,249.5,?,?,0.79,11.3,6.0,2
6.8,0.21,0.27,?,?,?,139.0,?,?,0.61,?,?,2
5.8,?,0.27,1.4,0.031,12.0,?,0.9905,?,?,10.9,7.0,?
5.6,?,0.26,1.4,0.03,?,76.0,0.9905,?,0.37,?,7.0,2
?,0.41,0.14,?,0.037,18.0,119.0,0.996,3.38,0.45,10.0,?,2
?,?,?,4.6,?,?,199.0,0.9964,3.72,?,10.0,4.0,2
?,0.26,?,16.2,?,41.0,197.0,0.998,3.02,0.5,9.8,3.0,2
6.9,0.4,0.56,11.2,0.043,?,?,0.9975,?,0.46,8.7,5.0,2
5.8,0.24,?,?,?,5.0,?,0.9913,?,?,?,3.0,?
5.8,?,0.39,1.5,0.054,37.0,?,?,?,0.52,?,6.0,2
?,0.26,?,1.1,?,45.0,147.0,0.9935,3.32,0.58,9.6,8.0,2
?,0.35,?,5.7,?,?,97.0,0.9927,?,0.41,11.0,7.0,2
6.3,?,0.3,?,0.035,?,?,?,3.27,0.41,11.0,?,?
?,0.23,0.39,1.8,0.032,23.0,118.0,?,?,0.5,?,?,?
5.8,0.36,?,0.9,0.037,3.0,75.0,0.9904,3.28,0.34,?,?,2
6.9,0.115,?,5.4,0.048,36.0,108.0,0.9939,3.32,0.42,?,?,2
6.9,0.29,?,?,0.043,?,156.0,?,2.93,0.47,8.9,?,2
6.9,0.28,0.4,8.2,?,15.0,95.0,0.9944,?,?,?,?,2
7.2,0.29,0.4,13.6,?,?,231.0,0.9977,3.08,?,9.6,?,2
?,0.24,0.35,1.2,?,22.0,?,0.9912,3.1,0.48,?,6.0,2
6.9,0.29,0.4,19.45,0.043,?,156.0,0.9996,?,0.47,?,5.0,2
6.9,0.32,0.26,8.3,?,32.0,180.0,0.9965,3.25,0.51,?,?,?
?,?,?,6.9,?,?,?,0.9944,3.34,0.57,?,?,2
5.3,0.585,0.07,?,0.044,?,?,0.9945,?,?,9.7,?,2
5.4,0.59,0.07,?,0.045,?,147.0,0.9944,?,0.57,?,6.0,2
?,0.32,0.26,8.3,0.053,32.0,?,0.9965,3.25,?,?,?,?
5.2,?,?,?,0.044,33.0,147.0,0.9944,3.33,?,9.7,?,?
?,0.25,0.26,13.1,0.051,44.0,?,?,3.29,?,9.3,?,?
?,?,?,5.1,0.057,?,123.0,0.9949,3.24,0.38,?,5.0,2
7.0,0.29,0.54,?,0.046,?,234.0,?,3.05,?,9.5,?,?
6.6,0.19,0.41,8.9,0.046,51.0,169.0,0.9954,3.14,0.57,9.8,?,?
6.7,0.2,0.41,?,0.044,?,?,?,3.14,0.58,9.8,6.0,2
7.7,0.26,0.4,1.1,?,9.0,?,?,2.89,?,10.6,5.0,?
?,0.32,0.34,?,?,14.0,67.0,0.9919,?,?,10.6,4.0,2
7.0,?,0.49,4.7,?,?,?,0.9916,?,0.68,?,7.0,2
7.0,0.24,0.36,2.8,?,?,112.0,0.99,3.19,0.38,12.6,8.0,?
6.1,?,0.58,?,?,36.0,?,0.9909,3.3,?,12.3,8.0,?
?,?,?,5.1,0.047,?,?,0.9938,3.08,?,10.5,4.0,?
6.7,?,?,?,0.054,51.0,?,0.9982,?,?,?,5.0,2
7.1,0.35,0.24,?,?,?,?,0.9988,?,0.49,8.8,5.0,2
?,?,0.25,7.2,?,47.0,180.0,0.9961,?,0.47,?,?,2
6.5,0.28,0.33,15.7,0.053,?,190.0,?,3.22,?,?,?,2
7.2,0.23,0.39,14.2,0.058,49.0,?,?,?,0.48,9.0,7.0,2
7.2,?,0.39,14.2,?,49.0,192.0,?,2.98,0.48,9.0,7.0,2
?,0.23,0.39,14.2,?,?,?,0.9979,2.98,0.48,?,7.0,?
7.2,?,0.39,14.2,?,?,192.0,0.9979,2.98,0.48,9.0,?,?
?,?,0.31,?,?,?,155.0,0.9945,3.52,0.46,10.5,6.0,?
7.4,?,?,19.8,0.066,53.0,?,1.0,?,0.44,9.1,?,?
?,0.28,0.22,7.3,?,26.0,?,0.9957,3.44,?,9.8,?,2
9.1,?,?,1.6,0.066,?,?,?,?,0.38,8.5,?,?
6.3,0.33,?,1.2,0.046,34.0,?,?,?,0.54,?,6.0,2
?,?,?,10.6,?,?,?,0.9976,?,?,9.4,5.0,2
7.2,0.19,0.46,3.8,0.041,?,187.0,?,?,0.6,11.2,?,?
?,0.17,0.44,11.3,?,65.0,146.0,0.997,?,?,?,?,2
6.7,0.17,?,?,?,?,122.0,?,3.15,0.45,10.3,6.0,2
?,0.41,0.001,1.6,?,36.0,?,0.9914,?,?,10.8,?,2
8.3,0.2,?,?,0.05,?,?,?,3.13,0.38,?,6.0,?
?,?,?,1.6,?,?,87.0,?,3.27,0.67,?,?,?
?,0.29,?,1.3,?,?,168.0,?,3.32,0.43,11.1,6.0,2
?,0.41,0.24,?,?,?,163.0,0.9949,3.2,0.41,9.9,?,2
7.3,?,?,6.8,?,41.0,163.0,0.9949,3.2,0.41,?,6.0,2
7.2,0.43,?,6.7,?,?,?,0.995,?,0.41,?,5.0,2
7.3,?,?,6.7,0.058,41.0,?,0.995,3.2,0.41,?,6.0,2
?,0.33,?,4.9,?,30.0,134.0,0.9927,3.2,0.42,?,?,2
6.2,0.31,0.26,?,?,?,148.0,?,3.21,?,10.4,6.0,2
6.1,?,0.27,2.1,0.035,16.0,100.0,0.9917,3.4,?,?,7.0,?
5.0,0.55,0.14,8.3,0.032,35.0,164.0,0.9918,?,?,12.5,?,2
7.8,0.25,0.41,3.7,0.042,37.0,149.0,0.9954,?,0.45,10.0,?,2
5.7,0.36,0.21,?,0.038,?,?,?,3.29,0.63,10.0,?,2
?,0.34,?,6.6,?,50.0,?,?,?,?,?,?,?
6.8,?,?,?,0.132,42.0,127.0,?,3.09,?,?,6.0,?
?,0.25,?,?,?,34.0,134.0,0.9927,?,?,10.6,6.0,2
?,?,?,7.7,0.031,36.0,135.0,0.9938,?,0.37,10.5,?,2
5.9,?,0.47,7.85,0.03,?,133.0,?,3.52,0.43,?,7.0,?
?,0.125,0.25,?,0.04,?,?,0.9934,3.54,0.59,?,6.0,2
?,0.1,?,?,0.041,15.0,?,0.9927,?,?,10.3,?,?
6.6,0.24,?,?,0.031,36.0,?,?,3.19,0.37,?,5.0,2
6.8,0.25,?,4.7,?,?,134.0,?,3.21,0.38,10.6,6.0,2
6.8,?,0.44,?,0.031,?,137.0,0.9946,?,0.36,10.4,6.0,?
?,?,0.51,2.0,0.046,11.0,?,?,?,?,?,5.0,2
?,0.27,?,5.8,0.057,131.0,?,?,3.18,?,10.5,5.0,?
7.9,0.26,0.41,15.15,0.04,38.0,?,0.9976,2.96,?,?,6.0,2
6.4,0.34,0.23,?,0.039,?,143.0,?,3.19,0.65,?,?,2
6.5,0.28,?,?,?,?,195.0,0.9978,?,?,9.6,6.0,?
?,0.21,?,1.3,?,33.0,85.0,0.992,3.17,0.51,?,5.0,2
?,?,0.35,4.8,?,34.0,101.0,0.9912,3.36,0.6,?,?,?
6.8,?,?,4.6,0.032,?,?,?,3.2,?,10.6,5.0,2
