@relation dataset

@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real


@data
-61.8,-62.99,-94.15,-82.45,-133.24,-107.15,-165.33,-126.55,-204.6,?
?,-62.78,-94.46,-82.39,-131.54,-105.6,?,-123.08,-195.49,?
-62.34,-61.87,-95.09,-81.53,-128.23,-102.05,-156.31,?,-187.95,-140.79
-44.1,-35.02,?,-50.43,-90.29,-68.0,-101.74,?,-117.67,?
-44.67,-35.39,?,?,-84.41,?,?,-73.35,-111.06,-83.98
-44.5,?,?,?,-80.79,?,-93.34,-70.67,-106.18,?
-44.34,?,-66.58,-50.93,?,?,-89.95,-68.18,?,-77.06
?,-35.17,-66.2,-50.42,-76.8,?,?,-65.55,-98.14,?
?,?,?,-57.7,?,?,-149.62,-114.96,-197.35,?
-54.15,?,-77.43,-59.33,?,-86.16,?,-119.56,-205.77,?
?,?,?,-60.05,-113.36,?,-157.68,-121.95,?,-161.6
?,?,-78.67,-60.59,-114.31,?,-158.35,-122.77,?,-161.37
?,-41.87,-79.15,-60.58,-115.72,-89.26,?,?,?,-157.18
-9.4,-7.95,?,-17.46,-34.39,?,?,-39.91,-63.62,?
?,?,-26.46,?,-41.48,?,-56.74,-48.68,-73.45,?
-18.61,-16.29,-32.84,?,?,?,-65.87,?,?,-73.99
-21.88,-19.81,-38.18,-33.77,?,-48.93,-74.09,-65.99,-92.61,?
-24.84,?,-42.61,-37.94,-60.47,-53.86,-80.67,-72.62,?,-91.33
-48.45,?,?,?,-144.2,?,-203.85,-167.42,-263.8,?
?,-59.26,-98.57,-89.2,-149.15,?,?,?,?,-220.77
?,-60.88,-100.87,?,-153.09,-127.88,-210.05,-170.99,?,-222.0
?,-61.76,-106.92,-91.52,-157.94,-128.49,?,-171.39,?,?
-62.88,-62.89,-108.56,-93.26,?,-129.42,?,?,?,?
-62.12,-65.95,-111.79,-109.16,?,-155.86,?,?,-288.01,-269.96
-74.65,-68.38,-116.27,?,-173.44,-157.52,?,-212.0,-292.81,-272.04
-80.61,?,-119.26,?,-175.38,?,-231.08,?,-296.68,-271.47
-81.01,?,?,?,?,?,-230.44,-213.17,?,-269.0
?,-71.04,-129.71,-112.33,?,-160.74,-229.94,-211.24,-294.2,-266.83
?,?,?,-86.28,-148.3,-117.76,?,-137.76,?,-164.51
-62.54,?,-104.33,-85.74,-147.54,-114.04,?,?,?,-159.49
?,-57.25,-104.69,-85.93,?,-109.68,?,-129.79,-211.37,?
?,?,-109.66,-86.03,?,?,?,?,-213.69,-153.26
-69.99,-58.49,?,?,-153.44,-104.72,?,-126.16,?,-150.14
-54.35,-56.09,-88.23,-90.54,?,?,?,?,-231.3,?
?,?,-90.74,?,-132.16,-135.36,?,?,?,-246.53
-57.71,?,-92.83,?,-134.83,?,?,-187.16,-243.12,-250.3
?,?,-94.31,-95.13,-136.44,-138.96,-184.7,-189.32,?,-252.8
-59.0,?,-94.97,?,?,-139.36,-186.98,-191.19,-248.98,-255.23
