@relation dataset

@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real


@data
-15.73,-13.87,-34.54,?,-57.44,-46.26,?,?,-102.94,-80.25
?,?,-83.58,-57.33,-110.24,-76.8,-133.77,?,?,-124.15
-59.68,-40.01,?,?,?,-77.28,?,-94.69,?,-118.7
-60.12,-40.73,?,-59.47,?,-76.43,?,?,?,-114.76
?,-41.2,-84.73,-59.31,-106.46,-75.39,?,-90.88,?,-112.58
-60.87,-39.88,-84.22,-57.58,-105.32,-73.36,-122.59,-88.28,-146.99,-109.52
?,?,?,-81.02,-131.05,-105.51,?,-126.3,-207.16,-153.44
-61.16,-62.92,?,?,?,-107.27,?,-128.94,-210.85,-157.01
-61.8,-62.99,?,?,-133.24,?,?,-126.55,?,?
?,?,-94.46,-82.39,-131.54,?,-160.74,?,-195.49,?
?,?,-95.09,-81.53,-128.23,?,-156.31,?,-187.95,-140.79
-44.1,?,-66.13,?,?,?,-101.74,?,-117.67,?
?,-35.39,-66.62,-50.84,?,?,-97.11,-73.35,-111.06,?
-44.5,-35.27,?,-50.98,-80.79,-61.24,?,?,-106.18,-80.45
?,-34.97,-66.58,-50.93,-78.07,-59.27,-89.95,-68.18,?,?
-44.8,-35.17,?,-50.42,?,-58.26,?,-65.55,-98.14,?
-52.22,?,?,-57.7,-109.1,?,-149.62,-114.96,-197.35,-151.92
?,?,?,-59.33,?,-86.16,?,-119.56,-205.77,?
?,-43.04,?,?,-113.36,?,?,-121.95,-207.96,-161.6
-54.54,-42.61,?,-60.59,-114.31,-88.44,?,-122.77,?,?
-54.47,?,?,-60.58,?,?,-159.23,-122.95,?,?
?,?,-21.44,-17.46,-34.39,?,-48.61,-39.91,-63.62,-53.14
-13.18,?,-26.46,-22.75,-41.48,-34.6,-56.74,-48.68,-73.45,-63.17
-18.61,?,-32.84,-28.72,-49.32,?,-65.87,?,?,-73.99
?,-19.81,-38.18,?,-56.27,?,-74.09,?,?,-83.37
?,-22.36,-42.61,-37.94,?,-53.86,-80.67,-72.62,-101.14,-91.33
?,?,-94.77,-87.56,-144.2,-125.19,-203.85,?,?,-218.03
?,?,-98.57,?,?,-126.75,-206.98,-169.59,?,?
?,-60.88,-100.87,?,?,?,?,-170.99,?,-222.0
?,?,-106.92,?,-157.94,-128.49,-210.78,-171.39,-274.14,-221.0
-62.88,?,-108.56,-93.26,?,?,?,-171.58,-277.29,-219.58
?,?,-111.79,?,-171.12,?,?,-209.93,?,?
?,-68.38,?,-109.51,-173.44,-157.52,-228.82,-212.0,-292.81,?
-80.61,?,-119.26,-110.41,-175.38,?,-231.08,-213.05,?,-271.47
-81.01,?,?,?,-183.94,-159.84,?,-213.17,-294.04,-269.0
?,-71.04,-129.71,-112.33,-182.08,?,-229.94,?,-294.2,?
?,-56.38,?,-86.28,?,-117.76,-180.36,-137.76,-219.73,?
-62.54,-56.68,-104.33,?,?,-114.04,?,-133.1,?,-159.49
-66.37,?,-104.69,?,-150.89,-109.68,-178.98,?,-211.37,-155.89
-69.99,-57.49,-109.66,-86.03,-149.9,-106.5,-186.32,?,-213.69,-153.26
-69.99,-58.49,?,-86.69,-153.44,-104.72,-183.04,-126.16,?,?
-54.35,?,-88.23,-90.54,?,?,?,?,?,?
-56.14,?,?,-92.6,-132.16,-135.36,-178.79,?,-239.06,?
-57.71,?,-92.83,-93.91,?,?,-182.33,?,?,-250.3
-58.36,-58.92,-94.31,-95.13,?,-138.96,?,?,?,?
-59.0,-59.26,-94.97,-95.51,-137.28,?,-186.98,?,-248.98,-255.23
