@relation dataset

@attribute fixedacidity real
@attribute volatileacidity real
@attribute citricacid real
@attribute residualsugar real
@attribute chlorides real
@attribute freesulfurdioxide real
@attribute totalsulfurdioxide real
@attribute density real
@attribute ph real
@attribute sulphates real
@attribute alcohol real
@attribute quality real


@data
?,?,?,?,?,?,168.0,?,3.05,0.51,9.3,5.0
6.6,0.27,?,?,?,?,?,0.9951,?,?,?,6.0
7.0,?,0.32,?,0.046,?,245.0,?,3.25,0.5,10.4,6.0
?,?,?,1.0,0.052,35.0,146.0,?,3.45,0.44,?,?
7.0,0.28,0.39,?,0.051,?,?,?,?,0.53,?,6.0
?,0.27,0.48,?,?,?,?,0.9914,3.19,0.49,?,?
7.2,?,?,?,?,37.0,?,?,?,0.71,12.3,?
8.5,0.24,?,?,?,20.0,142.0,?,3.2,0.53,?,?
?,0.14,0.34,1.1,?,7.0,47.0,0.9934,?,0.4,?,?
7.4,?,0.36,2.05,?,?,100.0,0.992,3.19,?,?,?
6.2,0.12,0.34,1.5,0.045,43.0,?,?,3.42,0.51,?,6.0
?,?,?,14.95,0.044,22.0,179.0,?,3.37,?,?,?
?,?,?,1.7,0.08,21.0,?,?,3.19,?,?,5.0
6.5,?,?,5.4,0.051,25.0,?,0.9934,?,0.35,?,5.0
7.0,?,?,?,0.053,?,?,?,3.13,?,?,?
?,?,?,17.95,?,?,149.0,0.9999,3.21,?,8.6,?
7.3,0.24,?,17.95,0.057,?,149.0,?,?,0.36,8.6,5.0
6.7,?,0.39,?,?,?,?,0.9937,3.11,0.36,9.4,?
?,?,?,2.9,0.173,?,157.0,?,3.1,?,9.4,6.0
7.0,0.31,0.26,7.4,0.069,28.0,160.0,?,?,?,?,?
?,?,?,1.4,?,33.0,?,0.9934,3.22,0.56,?,6.0
6.7,?,?,?,0.06,33.0,?,0.9934,3.24,0.56,?,6.0
7.4,0.18,0.31,1.4,0.058,?,167.0,?,?,?,10.0,7.0
6.2,?,?,?,?,?,206.0,?,3.27,?,9.8,4.0
?,?,0.25,?,?,?,207.0,?,?,?,?,5.0
?,0.31,?,?,?,28.0,160.0,0.9954,3.13,?,9.8,?
6.9,0.19,?,5.0,0.067,32.0,?,0.995,?,?,?,?
?,0.19,0.31,?,0.062,31.0,173.0,0.9917,?,0.44,11.7,?
?,0.25,0.29,?,?,?,?,?,?,0.58,?,7.0
?,0.16,0.33,1.1,0.057,?,82.0,?,?,0.46,10.9,7.0
?,0.18,?,1.0,?,?,108.0,?,3.31,0.35,10.9,?
6.8,?,0.59,?,?,?,?,0.993,3.05,?,9.1,6.0
6.9,0.25,?,1.3,?,?,?,0.9908,?,?,11.0,6.0
?,?,?,11.9,?,37.0,213.0,?,?,?,9.6,6.0
6.0,0.19,?,12.4,0.048,?,147.0,?,3.3,?,8.9,?
6.6,0.38,0.15,4.6,0.044,?,?,0.9931,3.11,0.38,?,6.0
?,0.2,?,?,0.038,44.0,111.0,?,?,0.34,?,?
6.8,0.22,?,4.9,0.092,30.0,?,0.9951,3.03,0.46,8.6,6.0
6.0,0.19,0.26,12.4,0.048,50.0,147.0,?,3.3,?,?,?
?,0.47,?,?,?,?,?,?,?,0.34,10.5,5.0
6.6,?,0.15,?,?,?,?,0.9931,3.11,0.38,?,6.0
?,0.24,0.27,?,0.038,31.0,?,0.9927,?,?,?,6.0
?,0.35,0.03,1.2,0.064,?,?,?,?,0.54,?,5.0
6.4,0.26,0.24,?,?,?,124.0,0.9903,3.22,0.49,12.6,?
6.7,0.25,?,?,?,81.0,?,?,3.14,?,9.8,5.0
6.7,?,0.31,2.1,?,?,96.0,0.9926,3.33,?,?,8.0
?,?,0.29,10.1,?,21.0,105.0,0.9962,?,0.35,?,?
6.2,0.27,0.43,?,0.056,?,244.0,0.9956,?,?,9.0,?
6.8,0.3,0.23,4.6,0.061,?,?,0.9958,?,?,9.5,5.0
6.0,0.27,?,4.8,0.063,?,201.0,0.9964,?,0.71,10.0,?
8.6,0.23,0.46,?,?,?,72.0,0.9941,?,?,?,?
6.7,?,?,?,?,30.0,96.0,?,?,?,10.7,?
?,?,0.29,?,0.05,?,?,0.9962,?,?,9.5,5.0
?,0.18,?,1.4,?,31.0,87.0,?,?,?,12.7,7.0
?,?,0.34,1.3,0.042,?,69.0,0.9912,?,0.65,?,?
7.4,?,?,8.8,?,?,103.0,0.9961,?,?,?,?
?,0.54,0.28,?,?,21.0,105.0,?,3.27,0.37,?,5.0
?,?,0.31,1.4,?,?,?,0.9929,?,?,10.6,6.0
?,0.2,?,?,?,51.0,?,?,3.21,0.6,9.2,6.0
7.1,?,?,6.1,?,47.0,?,0.9946,?,?,10.0,?
?,?,0.3,?,?,42.0,?,0.9966,3.33,?,9.5,6.0
7.1,?,?,?,?,?,155.0,?,?,?,8.7,?
?,?,?,11.8,?,52.0,152.0,0.9975,?,?,8.7,6.0
7.2,?,?,11.0,?,?,?,?,?,?,?,6.0
?,0.25,0.31,13.3,0.05,?,202.0,0.9972,?,?,?,6.0
7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,?,8.7,?
7.1,0.44,0.62,?,0.044,52.0,152.0,0.9975,3.12,0.46,?,?
?,?,?,11.0,?,?,?,0.9974,3.09,?,?,?
6.1,0.27,0.43,?,?,65.0,243.0,?,?,0.47,9.0,5.0
6.9,?,?,?,0.035,47.0,?,0.99,?,?,?,?
?,0.21,?,?,?,48.0,136.0,0.9899,3.25,0.41,12.6,?
7.5,?,0.32,1.7,0.04,?,?,?,3.21,?,11.5,?
7.1,?,0.29,?,?,62.0,?,?,?,0.42,9.2,?
?,?,?,?,?,26.0,164.0,0.9979,?,0.5,?,?
8.6,0.265,?,1.2,0.034,15.0,80.0,?,?,?,?,?
?,?,?,10.5,0.038,4.0,?,0.9956,?,?,10.1,4.0
6.0,?,0.66,15.9,?,26.0,?,?,?,0.5,8.8,?
?,?,?,13.5,?,?,192.0,0.9975,?,?,?,?
7.1,?,?,9.6,0.054,?,?,?,3.4,0.41,9.4,?
6.0,?,0.24,12.1,0.05,?,164.0,?,3.34,?,9.4,5.0
7.5,?,?,18.9,?,44.0,?,?,?,?,?,5.0
?,0.25,0.37,?,?,52.0,192.0,?,3.0,0.44,?,5.0
?,0.13,?,?,0.051,?,109.0,0.9974,3.2,0.35,?,6.0
?,?,0.32,9.6,?,64.0,?,?,3.4,?,?,5.0
7.1,0.23,0.35,16.5,0.04,?,171.0,0.999,?,0.59,9.1,?
7.1,?,0.35,16.5,?,60.0,171.0,0.999,3.16,0.59,9.1,?
6.9,?,?,?,0.051,37.0,187.0,0.9927,?,?,?,?
?,0.17,?,?,?,64.0,?,0.9959,?,?,?,6.0
7.2,?,0.46,18.75,0.052,45.0,255.0,?,3.04,0.52,?,?
?,?,?,13.3,0.056,?,?,?,3.01,?,?,5.0
6.7,?,?,?,0.049,?,150.0,0.9968,3.22,?,?,?
6.7,?,0.34,?,0.049,29.0,150.0,0.9968,?,0.51,?,?
5.5,0.485,0.0,1.5,0.065,8.0,?,0.994,3.63,?,?,?
?,?,?,3.3,?,25.0,?,?,?,0.44,11.3,6.0
7.0,?,?,1.7,?,?,?,?,?,?,11.8,6.0
?,0.31,?,?,0.056,68.0,?,?,?,0.47,?,?
?,0.32,0.48,13.3,?,57.0,196.0,?,3.04,?,?,5.0
5.9,?,?,5.7,0.046,?,?,0.9934,?,0.51,?,5.0
?,0.24,0.32,?,?,42.0,?,0.9984,3.01,?,8.8,5.0
7.4,?,?,?,?,?,?,0.9952,?,?,?,5.0
6.9,0.19,?,5.0,?,?,?,?,3.29,?,9.1,6.0
6.4,?,?,?,0.092,40.0,158.0,?,?,0.36,?,6.0
6.7,?,?,1.1,0.026,?,?,0.9912,3.27,0.48,?,6.0
?,?,0.23,7.0,0.033,29.0,?,?,?,0.42,?,5.0
6.5,?,0.32,?,?,48.0,?,?,?,?,?,7.0
6.1,0.3,0.56,2.8,0.044,47.0,?,?,?,0.57,10.9,7.0
6.1,?,?,?,0.046,46.0,184.0,0.9924,?,0.57,?,?
5.7,?,?,?,?,7.0,?,?,3.39,?,?,?
?,0.24,?,7.6,?,48.0,?,0.9958,3.45,0.54,9.7,7.0
6.5,?,?,13.1,?,59.0,?,0.9979,?,?,9.0,?
?,0.24,0.27,?,?,46.0,188.0,?,?,?,?,?
?,?,?,8.1,?,55.0,?,0.9961,3.19,?,8.9,?
6.7,0.27,0.31,?,0.036,?,?,0.9979,3.26,0.56,?,?
8.2,?,?,1.2,0.027,?,121.0,?,?,?,?,6.0
?,0.37,0.67,10.5,0.045,?,?,?,?,?,?,5.0
6.8,?,?,?,?,30.0,?,?,?,?,10.8,7.0
?,?,?,1.9,0.029,18.0,?,?,?,?,?,?
6.3,?,0.34,2.2,0.045,?,?,0.9927,?,?,?,?
?,0.37,?,10.5,0.045,49.0,?,?,3.16,0.44,8.7,5.0
?,?,0.4,?,?,?,?,0.992,?,0.54,10.8,?
?,0.21,0.41,4.3,0.036,24.0,99.0,0.9947,?,?,?,?
8.1,?,?,2.0,?,?,?,?,?,0.54,?,?
6.3,?,?,1.1,0.04,37.0,?,0.9905,3.0,?,?,6.0
5.6,0.16,?,1.4,?,?,?,0.9918,?,?,10.1,?
?,?,?,?,0.058,?,97.0,?,?,0.36,?,?
?,?,0.33,4.6,?,19.0,?,0.9917,?,?,12.0,?
?,0.25,?,4.1,?,?,?,?,?,0.38,?,6.0
?,0.22,0.38,8.0,?,46.0,?,0.9934,3.12,?,?,7.0
7.6,?,0.46,?,0.055,?,?,?,?,0.43,?,?
?,?,0.3,?,0.054,23.0,?,?,2.99,?,9.4,6.0
7.2,?,?,1.2,?,41.0,97.0,0.9919,3.14,0.45,10.4,?
?,0.23,?,7.5,0.049,?,76.0,?,3.06,0.84,?,?
?,0.24,0.42,?,?,48.0,198.0,?,?,?,?,6.0
?,?,?,?,?,48.0,198.0,0.9979,2.89,?,8.9,?
6.1,0.32,?,1.5,?,38.0,?,0.9898,?,?,?,7.0
5.2,0.44,?,?,0.036,?,?,?,3.36,?,12.1,?
?,?,0.04,?,?,?,119.0,?,3.36,0.33,12.1,?
?,0.32,?,1.5,0.036,38.0,?,0.9898,?,0.42,12.4,?
?,0.22,0.56,14.5,?,?,159.0,0.998,?,?,?,?
6.3,0.36,?,4.8,0.049,?,?,?,3.28,0.39,10.6,5.0
7.4,0.24,0.42,14.0,?,48.0,?,0.9979,2.89,?,?,6.0
?,?,0.35,?,?,?,?,0.997,?,0.5,?,5.0
?,?,0.36,?,?,?,177.0,?,?,0.49,?,?
?,?,0.46,8.7,0.048,39.0,?,?,?,?,?,6.0
?,0.46,?,?,?,25.0,?,?,?,0.44,12.6,7.0
?,0.29,?,?,?,20.0,?,0.9968,?,?,?,5.0
9.8,?,0.48,?,0.034,?,?,0.9958,?,?,?,?
?,?,0.46,1.5,?,29.0,?,?,?,0.54,12.7,?
?,0.19,0.45,1.5,?,17.0,?,0.9917,3.13,0.39,11.0,?
?,?,0.37,0.8,0.037,?,100.0,0.9902,3.03,?,?,?
?,0.22,?,?,0.038,?,?,0.9918,?,?,11.5,7.0
7.5,0.27,?,?,0.051,33.0,173.0,?,3.09,0.64,10.2,?
6.9,0.23,?,?,?,?,151.0,0.9927,?,?,11.4,6.0
7.2,0.32,?,5.1,0.044,?,?,0.991,?,0.41,12.6,4.0
5.9,0.23,0.3,12.9,0.054,?,170.0,?,?,0.39,?,?
?,?,0.07,1.2,0.06,9.0,?,0.9931,?,?,?,?
6.4,?,0.32,5.5,?,41.0,?,?,?,0.68,?,?
?,0.33,?,?,0.048,?,173.0,0.9951,?,0.66,9.3,?
?,0.34,0.15,1.2,?,?,?,?,?,0.43,?,?
?,?,?,22.0,?,48.0,?,?,2.93,0.5,?,?
?,0.27,?,?,0.05,64.0,?,0.9979,?,0.58,9.6,?
6.8,0.26,?,11.9,0.043,64.0,?,0.997,3.02,0.63,?,?
?,?,?,?,?,66.0,?,0.9972,?,?,9.3,5.0
6.7,0.24,0.41,9.4,0.04,49.0,166.0,0.9954,?,0.61,9.9,?
5.9,0.3,?,?,?,?,?,?,3.15,?,?,?
?,?,0.35,3.8,?,26.0,?,?,3.26,?,?,?
6.5,?,?,?,?,54.0,210.0,0.9962,3.09,?,?,?
6.6,?,0.28,8.5,0.052,?,?,?,3.09,?,8.9,6.0
6.8,?,0.4,22.0,0.048,?,?,?,2.93,0.5,?,5.0
6.8,0.28,?,8.0,?,?,?,0.9928,?,?,11.4,6.0
?,0.15,0.34,?,0.055,34.0,?,0.9942,3.36,0.42,9.6,?
6.4,0.29,?,3.6,0.2,75.0,181.0,0.9942,3.02,0.41,?,5.0
6.4,?,?,?,0.197,?,180.0,0.9942,3.02,?,9.1,?
?,0.29,0.44,?,0.197,?,?,?,3.01,0.38,?,?
6.8,?,?,7.8,0.052,?,?,0.9961,?,?,?,5.0
?,?,?,?,0.05,52.0,?,?,?,0.49,?,5.0
6.8,0.26,0.24,?,?,54.0,214.0,0.9961,?,?,?,5.0
6.8,?,?,16.1,0.049,?,196.0,?,3.15,?,?,5.0
?,?,0.24,?,?,?,?,0.998,3.1,?,8.8,5.0
?,?,?,?,?,?,?,0.9973,3.2,0.5,9.6,5.0
6.8,?,?,?,0.034,39.0,134.0,?,?,0.53,?,6.0
5.8,?,0.35,2.3,?,36.0,?,0.9924,3.28,0.5,10.2,?
6.4,?,0.5,11.6,?,?,153.0,?,3.15,?,8.8,5.0
7.0,?,?,?,?,?,?,?,3.21,0.34,9.2,?
?,?,?,6.2,0.049,?,124.0,0.9968,2.99,0.51,9.9,?
6.8,0.57,0.29,?,?,15.0,77.0,0.9938,?,?,10.2,5.0
6.1,?,?,0.9,?,23.0,170.0,?,?,?,?,?
5.6,0.245,?,9.7,0.032,12.0,?,?,3.31,?,10.5,?
6.8,0.18,0.38,1.4,0.038,35.0,?,?,3.32,0.59,11.2,7.0
?,?,0.32,?,?,?,?,?,?,0.34,9.2,5.0
?,0.13,?,?,0.051,31.0,122.0,?,3.44,0.37,?,?
?,?,?,1.4,?,35.0,?,?,?,0.44,11.1,7.0
5.8,0.26,0.24,?,0.044,55.0,152.0,?,?,?,?,?
?,?,?,7.0,?,45.0,164.0,?,?,0.33,?,5.0
5.8,0.26,0.24,9.2,0.044,?,152.0,0.9961,?,0.38,?,5.0
?,?,?,?,?,60.0,?,0.9989,?,0.44,?,5.0
?,?,?,?,0.036,43.0,161.0,0.9938,3.04,0.32,11.0,5.0
7.5,0.27,0.36,?,?,?,164.0,?,?,?,?,?
?,0.685,0.21,9.5,?,?,?,0.9971,?,?,9.1,6.0
6.2,0.25,0.25,?,?,35.0,?,?,?,0.44,?,?
6.5,?,?,0.8,?,33.0,?,0.9936,?,0.39,?,6.0
?,0.495,?,1.8,?,?,140.0,0.9929,3.39,0.54,10.4,6.0
7.1,?,?,?,0.046,39.0,?,0.9998,?,?,8.7,5.0
6.4,?,?,2.4,?,41.0,200.0,0.9938,3.5,?,9.7,?
7.1,0.25,0.32,?,0.041,66.0,?,0.9969,?,?,9.1,?
6.4,?,0.32,?,?,?,200.0,0.9938,3.5,0.5,?,6.0
7.1,?,?,17.8,0.046,?,145.0,0.9998,?,0.39,8.7,5.0
?,?,?,?,0.062,26.0,?,0.9972,?,0.46,?,?
8.3,0.28,0.4,7.8,0.041,38.0,?,0.9976,3.34,?,9.6,?
8.2,?,0.39,?,?,?,?,?,?,?,9.5,6.0
?,0.23,?,14.3,?,?,194.0,?,?,?,9.0,6.0
?,?,0.38,?,?,?,194.0,?,3.09,?,?,6.0
?,?,?,14.3,0.058,55.0,?,0.9979,?,?,?,?
?,0.23,0.38,?,?,?,?,?,3.09,?,?,?
6.8,?,?,13.2,?,54.0,221.0,?,3.27,0.5,9.6,6.0
?,?,0.59,?,?,40.0,120.0,?,3.34,?,?,7.0
6.2,0.25,0.21,15.55,0.039,28.0,159.0,0.9982,?,0.64,?,?
?,0.32,0.23,13.7,?,?,197.0,?,?,?,8.7,?
7.7,?,0.26,7.8,?,23.0,90.0,?,?,0.5,10.4,5.0
7.1,?,?,?,?,?,100.0,?,?,?,?,7.0
6.8,?,?,?,0.047,?,?,0.9934,?,?,9.7,?
?,?,?,?,0.043,?,142.0,?,3.14,0.46,?,?
?,?,?,2.0,?,?,249.5,?,?,?,?,6.0
?,?,?,2.1,?,26.0,139.0,?,?,0.61,?,?
5.8,?,?,?,?,12.0,?,?,3.25,?,10.9,?
?,0.19,0.26,?,0.03,?,?,?,3.25,0.37,10.9,?
?,0.41,?,?,0.037,?,119.0,0.996,3.38,?,?,5.0
5.9,?,?,?,0.053,?,199.0,?,3.72,0.7,10.0,?
8.5,0.26,?,?,?,?,197.0,?,3.02,?,?,3.0
?,?,?,11.2,0.043,40.0,142.0,0.9975,3.14,0.46,8.7,5.0
5.8,?,?,?,0.029,5.0,109.0,?,?,0.43,11.7,?
5.8,0.24,0.39,1.5,0.054,?,158.0,0.9932,3.21,?,?,?
?,0.26,0.39,?,0.04,45.0,147.0,0.9935,?,?,?,?
6.3,0.35,0.3,?,0.035,?,97.0,?,3.27,0.41,11.0,7.0
?,?,?,5.7,?,?,97.0,?,3.27,?,11.0,?
?,0.23,0.39,?,0.032,23.0,118.0,0.9912,?,?,11.8,?
5.8,0.36,0.38,?,?,?,75.0,0.9904,?,0.34,11.4,?
?,0.115,?,5.4,?,36.0,108.0,0.9939,?,?,10.2,?
6.9,?,0.4,19.45,?,?,?,?,?,0.47,?,5.0
6.9,?,0.4,8.2,?,?,?,0.9944,?,?,?,?
?,0.29,?,?,?,66.0,?,?,?,0.59,9.6,?
?,?,?,1.2,0.038,?,167.0,0.9912,?,0.48,10.6,?
?,?,0.4,19.45,0.043,36.0,156.0,?,?,?,8.9,5.0
6.9,?,0.26,?,0.053,?,?,0.9965,3.25,?,?,?
?,0.58,0.07,?,0.043,34.0,?,?,3.34,0.57,?,5.0
5.3,0.585,?,?,?,34.0,145.0,?,3.34,?,9.7,?
5.4,?,?,7.0,?,36.0,?,?,3.34,?,?,?
?,0.32,?,8.3,0.053,32.0,180.0,0.9965,?,?,?,6.0
5.2,?,?,?,?,33.0,147.0,0.9944,3.33,0.58,9.7,?
5.8,0.25,0.26,?,0.051,?,?,0.9972,?,0.38,?,5.0
6.6,?,0.3,?,0.057,30.0,123.0,?,3.24,0.38,9.0,?
?,0.29,?,?,?,?,234.0,0.9966,3.05,0.61,9.5,?
6.6,0.19,?,8.9,?,?,169.0,0.9954,3.14,0.57,?,6.0
6.7,0.2,0.41,9.1,0.044,50.0,166.0,?,3.14,?,?,6.0
?,?,0.4,1.1,?,?,60.0,0.9915,?,?,10.6,?
6.8,?,?,1.2,0.044,?,67.0,?,3.05,?,10.6,?
?,0.3,?,4.7,?,17.0,?,?,3.26,?,12.4,?
?,0.24,0.36,?,?,?,112.0,0.99,3.19,?,12.6,?
?,?,?,5.0,0.039,36.0,?,0.9909,?,?,12.3,8.0
?,?,?,?,0.047,46.0,201.0,0.9938,?,?,10.5,?
6.7,0.34,?,?,?,?,?,?,3.19,?,?,?
?,?,?,15.4,0.055,46.0,?,?,3.12,0.49,8.8,?
?,0.32,?,?,0.056,47.0,?,0.9961,?,0.47,?,5.0
?,0.28,0.33,?,0.053,51.0,?,0.9978,?,0.51,9.7,6.0
7.2,0.23,?,14.2,0.058,?,192.0,?,?,?,?,7.0
?,0.23,?,14.2,?,49.0,?,0.9979,2.98,?,9.0,?
?,?,?,?,?,49.0,192.0,0.9979,2.98,?,9.0,?
7.2,0.23,0.39,?,?,49.0,?,?,?,0.48,?,?
5.9,?,?,?,0.041,?,155.0,0.9945,?,0.46,10.5,6.0
?,?,0.42,19.8,0.066,53.0,195.0,?,?,?,?,?
?,0.28,0.22,7.3,?,?,?,?,3.44,?,?,?
?,?,0.38,1.6,0.066,34.0,182.0,0.9968,?,?,?,3.0
6.3,?,?,1.2,0.046,?,?,0.9934,?,?,?,6.0
?,0.39,0.7,10.6,0.045,?,?,?,?,0.57,9.4,?
7.2,0.19,0.46,?,?,82.0,?,0.9932,?,?,?,7.0
?,0.17,?,11.3,?,65.0,146.0,?,3.17,0.45,10.0,6.0
?,0.17,0.5,2.1,0.043,27.0,?,?,?,?,?,6.0
?,?,0.0,?,?,?,87.0,0.9914,?,0.67,10.8,?
8.3,0.2,?,?,?,?,74.0,0.992,3.13,0.38,10.5,6.0
6.1,0.41,0.0,1.6,0.063,?,87.0,0.9914,3.27,?,?,?
6.0,0.29,?,?,?,?,?,?,?,0.43,?,?
7.3,?,0.24,6.8,0.057,?,163.0,0.9949,?,0.41,?,?
7.3,0.41,?,6.8,0.057,?,163.0,?,3.2,0.41,9.9,6.0
7.2,0.43,0.24,6.7,0.058,?,163.0,0.995,?,?,9.9,?
?,?,0.24,?,0.058,41.0,?,?,3.2,0.41,9.9,6.0
6.2,?,?,4.9,0.036,30.0,?,0.9927,?,?,10.4,?
?,0.31,0.26,4.8,?,36.0,?,?,3.21,0.41,?,?
?,0.36,0.27,2.1,0.035,?,?,0.9917,3.4,0.71,?,7.0
5.0,?,0.14,8.3,?,35.0,?,0.9918,3.53,?,?,?
?,?,0.41,?,?,37.0,?,0.9954,?,?,?,6.0
?,0.36,0.21,?,0.038,51.0,?,?,?,0.63,?,?
?,?,?,?,?,50.0,167.0,?,?,?,10.0,?
6.8,?,?,1.1,?,?,?,0.9934,3.09,?,?,6.0
6.8,?,?,4.7,?,?,?,0.9927,?,0.38,?,?
6.6,0.24,0.35,7.7,0.031,?,135.0,0.9938,?,0.37,?,?
5.9,0.3,?,?,0.03,19.0,133.0,?,3.52,0.43,11.5,7.0
?,0.125,0.25,?,?,10.0,?,?,?,?,10.1,?
?,?,0.24,?,0.041,15.0,65.0,?,3.61,0.61,?,?
6.6,0.24,0.35,7.7,?,?,135.0,0.9938,3.19,?,?,?
?,0.25,0.34,4.7,?,34.0,?,?,3.21,?,10.6,?
6.8,0.28,?,?,0.031,?,137.0,?,?,?,10.4,?
?,?,?,?,?,?,?,?,3.02,?,?,5.0
?,?,0.31,?,?,131.0,313.0,0.9946,?,0.59,?,5.0
?,?,?,15.15,?,?,?,?,2.96,0.6,?,6.0
?,0.34,?,6.3,0.039,37.0,?,?,3.19,0.65,10.0,?
6.5,0.28,0.35,15.4,?,55.0,?,0.9978,?,?,?,?
7.2,?,0.41,?,?,?,?,?,3.17,?,?,?
?,?,?,4.8,?,34.0,101.0,0.9912,3.36,0.6,12.5,8.0
?,0.24,0.34,4.6,?,37.0,135.0,?,3.2,?,?,?
?,0.23,0.3,1.8,0.033,16.0,91.0,0.9906,?,?,?,6.0
6.5,?,0.34,9.9,0.038,?,?,0.9954,3.11,?,?,5.0
?,?,0.26,5.7,?,?,80.0,0.9923,?,0.38,?,5.0
6.3,?,0.3,1.8,?,16.0,?,?,3.28,0.4,?,6.0
?,0.23,?,?,0.036,15.0,105.0,?,3.32,0.42,11.2,?
5.8,?,0.27,?,?,55.0,?,?,3.28,0.42,9.3,6.0
5.9,?,0.4,1.3,0.047,12.0,139.0,0.9945,?,?,?,5.0
6.6,0.18,?,1.5,?,49.0,141.0,?,?,0.85,?,?
7.4,0.2,?,?,0.045,27.0,153.0,0.9964,3.19,?,9.0,?
?,0.24,0.36,?,0.047,?,?,?,3.2,0.54,10.0,6.0
?,0.26,?,?,?,30.0,?,?,3.18,0.47,9.1,6.0
?,0.31,0.47,3.0,0.053,?,?,0.9931,?,?,10.0,?
?,?,0.47,3.0,0.052,?,145.0,?,?,?,10.0,6.0
7.1,0.145,0.33,4.6,0.05,33.0,131.0,?,?,0.4,?,?
5.6,0.34,?,?,?,?,?,0.9906,3.36,?,11.2,?
?,?,0.41,?,?,?,?,0.9995,?,?,8.8,6.0
7.8,0.18,?,?,0.052,38.0,?,?,?,0.5,10.0,6.0
?,0.17,0.45,?,?,56.0,?,?,3.15,?,10.0,?
6.3,?,0.36,?,0.044,?,146.0,?,3.27,?,?,?
7.3,0.33,?,?,?,32.0,?,?,?,0.3,11.9,?
5.5,0.335,0.3,2.5,0.071,27.0,?,?,3.14,?,9.6,?
7.3,0.33,?,6.85,0.038,32.0,138.0,?,?,?,?,?
5.8,?,?,?,?,38.5,?,0.9937,3.25,0.57,?,6.0
7.3,0.22,?,14.3,?,?,191.0,0.9978,2.89,?,9.0,6.0
?,?,0.37,14.3,?,48.0,191.0,?,2.89,?,9.0,?
6.1,?,?,1.1,?,24.0,169.0,?,?,?,?,?
10.0,0.2,?,?,0.05,?,?,0.994,?,0.42,10.4,?
6.9,0.24,?,?,?,43.0,161.0,?,?,?,?,6.0
?,0.24,?,14.9,?,?,?,?,3.28,?,?,?
7.1,?,0.14,?,?,24.0,84.0,?,3.15,0.43,?,5.0
6.8,?,0.3,5.3,0.05,?,127.0,0.9942,?,0.39,?,6.0
7.3,0.22,?,14.3,0.063,?,?,?,2.89,0.38,?,?
?,0.16,?,?,?,?,?,?,?,?,11.4,7.0
?,0.26,?,3.5,0.028,?,113.0,?,3.4,?,?,?
?,0.18,?,?,0.089,40.0,?,?,3.49,?,?,?
?,0.33,0.21,1.0,0.053,39.0,?,?,?,?,9.4,6.0
?,0.29,?,?,?,?,?,0.9931,?,0.64,10.6,?
7.1,0.39,?,?,0.044,26.0,?,?,3.17,0.29,?,5.0
6.9,0.33,0.21,?,0.053,39.0,?,?,3.12,0.45,9.4,?
?,0.29,?,2.3,?,?,178.0,0.9931,3.17,?,10.6,6.0
?,0.905,?,0.8,?,17.0,?,0.9934,?,0.56,10.0,5.0
7.2,0.27,?,?,?,30.0,?,0.9936,3.1,?,?,6.0
?,0.33,?,1.6,?,18.0,?,?,?,0.38,?,7.0
?,0.33,?,?,0.027,?,?,0.9893,3.51,?,12.5,?
?,0.31,0.28,?,0.037,12.0,119.0,0.9919,?,?,10.4,?
