@relation dataset

@attribute mcg real
@attribute gvh real
@attribute lip real
@attribute chg real
@attribute aac real
@attribute alm1 real
@attribute alm2 real
@attribute class {cp, im, imL, imS, imU, om, omL, pp}


@data
?,0.76,?,?,?,0.59,0.52,?
?,?,0.48,?,?,?,?,?
0.63,?,?,0.5,0.79,?,0.28,?
?,?,0.48,0.5,?,?,0.36,om
0.68,0.63,0.48,?,0.73,0.4,?,om
?,0.57,1.0,0.5,0.37,0.54,0.01,omL
?,?,?,?,0.54,0.56,?,?
?,?,?,?,?,?,?,omL
?,?,?,0.5,?,0.58,?,omL
0.68,?,1.0,?,0.62,?,0.28,omL
?,0.49,0.48,?,?,0.54,?,?
0.7,0.61,?,0.5,?,0.52,?,pp
0.66,?,0.48,0.5,0.34,?,0.36,?
0.73,0.78,?,0.5,0.58,?,?,?
0.65,?,0.48,0.5,0.47,0.47,0.51,pp
?,0.86,0.48,0.5,0.17,?,0.21,pp
?,?,0.48,?,?,0.45,?,pp
?,?,0.48,?,0.54,?,0.23,?
0.67,?,?,?,?,0.37,?,?
?,?,?,?,?,?,0.49,?
?,?,0.48,0.5,0.39,?,?,?
?,?,?,0.5,?,0.54,?,pp
?,?,?,?,0.31,?,0.43,?
0.67,0.81,?,0.5,?,?,0.25,?
?,0.72,0.48,?,?,0.42,?,?
0.68,0.82,?,?,?,0.65,0.56,pp
0.32,0.39,?,?,0.53,?,?,?
?,?,0.48,?,?,?,0.47,?
?,?,0.48,0.5,?,?,?,?
?,?,0.48,?,0.49,0.49,0.41,pp
?,?,?,?,0.39,?,?,pp
0.63,0.83,0.48,0.5,?,?,?,pp
?,?,0.48,?,0.6,?,?,pp
?,?,?,?,?,?,0.32,pp
0.68,?,?,0.5,0.43,?,0.42,?
0.64,?,?,?,0.37,?,?,?
0.74,?,?,?,0.5,?,0.42,?
?,?,?,?,?,?,?,pp
0.63,?,?,0.5,?,?,?,pp
0.69,0.67,?,?,?,?,0.24,?
0.7,?,?,0.5,0.42,0.84,0.85,pp
?,?,?,?,?,0.57,0.26,?
?,0.66,0.48,0.5,?,0.39,0.2,?
0.63,?,?,0.5,0.46,?,?,?
?,0.71,0.48,0.5,0.41,0.5,?,pp
0.69,?,0.48,0.5,?,?,0.52,pp
0.68,?,0.48,?,0.49,?,0.34,pp
?,0.78,?,?,?,0.36,0.38,?
?,0.78,0.48,0.5,0.47,0.49,?,?
?,?,?,0.5,0.44,0.39,0.39,?
?,?,?,?,?,?,0.44,pp
0.29,?,0.48,?,?,0.4,?,pp
0.62,?,?,?,?,?,?,pp
0.56,?,?,?,0.43,?,?,pp
0.69,?,?,?,0.41,0.5,0.25,pp
0.69,?,?,?,?,?,?,?
?,0.59,?,?,0.52,0.49,?,?
?,?,?,?,0.47,?,?,pp
?,?,0.48,?,0.48,?,?,?
?,?,?,0.5,?,0.39,?,?
0.59,?,0.48,0.5,?,?,?,pp
?,0.74,?,0.5,?,0.53,0.52,?
