@relation dataset

@attribute mcg real
@attribute gvh real
@attribute lip real
@attribute chg real
@attribute aac real
@attribute alm1 real
@attribute alm2 real
@attribute class {cp, im, imL, imS, imU, om, omL, pp}


@data
?,0.35,?,0.5,?,?,?,im
?,?,?,?,?,?,?,?
0.29,?,0.48,0.5,0.71,0.65,?,im
?,0.47,?,?,?,0.78,?,im
?,?,?,?,?,?,?,im
0.4,?,?,?,?,?,0.84,im
?,0.36,0.48,?,?,0.91,?,?
0.84,?,0.48,?,?,?,0.74,im
?,0.45,?,0.5,0.6,0.78,?,im
0.54,?,?,?,?,?,0.88,im
?,0.41,0.48,?,?,?,?,?
?,?,?,?,?,0.92,0.92,im
0.72,?,0.48,?,0.51,?,0.7,?
0.47,?,?,?,?,0.71,?,im
0.33,0.56,0.48,0.5,?,0.78,?,?
?,0.58,?,0.5,?,?,?,im
?,0.57,?,?,?,0.81,?,?
0.47,0.59,?,?,?,0.76,0.79,im
0.63,?,0.48,?,?,?,0.86,?
?,0.42,0.48,?,0.53,0.79,0.81,?
?,0.5,0.48,?,0.57,?,?,?
?,?,?,?,0.55,0.88,0.89,?
?,?,?,?,?,0.88,0.89,?
0.45,?,?,?,?,?,0.77,im
?,?,?,0.5,0.71,0.7,0.74,im
?,0.37,?,?,0.66,?,?,im
?,?,0.48,?,0.59,?,?,im
?,0.61,?,?,0.54,?,?,?
?,?,0.48,?,0.61,?,0.74,im
?,?,?,?,?,0.9,?,?
?,?,?,?,?,?,?,?
?,0.4,?,?,0.56,?,?,?
0.6,?,?,?,?,0.77,0.8,?
?,?,?,?,?,?,0.48,im
?,?,?,?,?,?,0.69,?
?,?,?,0.5,0.57,0.78,0.81,im
?,?,?,?,?,?,0.76,?
0.7,0.46,0.48,0.5,?,?,?,?
0.12,0.43,0.48,0.5,0.63,?,0.74,?
0.61,0.52,0.48,0.5,0.54,0.67,0.52,?
0.33,?,?,?,?,?,?,?
?,0.65,0.48,0.5,?,0.67,0.71,?
0.41,0.51,?,?,0.53,0.75,0.78,im
?,?,0.48,?,?,?,?,im
0.58,0.34,0.48,?,?,0.87,0.81,im
?,0.56,?,0.5,?,?,0.82,?
0.51,0.4,?,0.5,?,0.62,?,?
?,0.57,0.48,0.5,?,?,0.66,im
?,?,?,0.5,0.45,?,?,im
?,?,?,0.5,?,?,?,?
?,0.55,?,?,0.57,0.7,0.74,?
?,0.47,0.48,?,?,?,?,im
?,0.41,?,?,?,?,?,?
?,?,?,?,?,0.71,?,?
0.31,?,?,0.5,?,0.79,?,?
0.61,0.66,?,?,0.46,0.87,0.88,im
0.48,0.49,0.48,?,?,0.77,0.71,?
?,0.5,?,?,0.58,?,?,?
?,0.36,0.48,?,0.58,0.94,0.94,im
0.68,0.51,?,?,?,0.75,?,?
?,?,0.48,?,?,?,?,?
?,?,?,?,?,0.76,0.79,im
?,?,?,?,0.36,0.76,0.23,im
0.36,?,?,?,0.38,0.79,?,?
?,?,0.48,0.5,0.35,0.67,?,im
0.1,0.49,0.48,?,0.41,?,?,?
?,?,?,?,0.42,0.61,?,?
?,0.47,?,0.5,?,?,?,?
?,?,?,?,?,?,?,im
0.71,0.52,0.48,?,?,?,0.99,im
?,?,0.48,0.5,0.53,?,?,?
?,?,0.48,?,?,0.76,?,imS
0.75,?,1.0,?,0.4,?,?,imL
?,0.39,1.0,0.5,0.51,0.82,0.84,imL
?,?,0.48,0.5,0.65,?,?,imU
0.79,?,?,?,0.66,0.81,0.83,imU
?,?,?,?,?,0.76,?,imU
0.69,?,?,0.5,?,0.74,0.77,?
0.79,0.36,?,0.5,?,0.82,?,imU
?,?,0.48,?,?,?,0.79,?
0.75,?,?,0.5,0.64,?,?,imU
?,?,?,0.5,0.64,?,0.77,?
?,?,?,0.5,?,0.64,?,?
0.66,?,?,0.5,?,?,0.74,imU
0.64,0.46,0.48,?,?,?,?,?
?,0.71,?,0.5,0.5,?,0.75,?
0.84,0.49,?,?,?,?,0.74,?
?,0.55,?,?,0.51,0.78,?,imU
?,0.44,?,?,?,0.67,?,?
?,0.6,?,0.5,?,?,0.76,?
?,0.42,0.48,?,0.48,?,?,?
0.62,0.42,?,0.5,?,?,0.81,?
0.86,0.39,0.48,?,?,?,?,?
0.81,?,?,?,?,?,0.88,?
?,?,0.48,?,?,0.76,?,?
?,?,?,0.5,?,?,0.77,?
0.76,?,?,0.5,?,?,0.62,imU
0.7,?,?,0.5,?,?,0.87,imU
0.64,0.45,0.48,?,?,?,0.66,imU
?,0.52,?,0.5,?,0.78,?,?
0.73,?,?,?,?,0.75,0.78,imU
?,?,1.0,0.5,0.56,?,0.74,?
?,0.42,0.48,0.5,?,0.73,0.75,imU
?,?,?,?,?,0.92,?,?
?,0.51,?,0.5,0.64,0.72,0.76,imU
?,?,?,0.5,0.63,?,?,?
?,?,0.48,?,0.5,0.66,0.68,?
?,?,0.48,?,?,?,0.33,?
0.78,?,?,?,0.45,?,?,?
0.78,0.68,?,0.5,0.83,0.4,?,?
0.63,?,?,?,0.65,0.41,?,?
?,0.88,0.48,0.5,0.73,?,?,?
0.61,?,?,?,0.51,0.33,0.33,om
?,?,0.48,0.5,?,0.54,0.37,om
?,?,?,0.5,?,?,0.29,om
?,0.84,?,?,0.86,0.58,0.29,om
0.75,?,?,0.5,0.83,0.57,?,?
?,0.57,?,0.5,?,0.53,0.2,?
?,0.78,0.48,?,?,0.54,?,om
?,?,0.48,?,?,?,?,?
?,?,?,?,0.77,?,?,?
0.65,?,?,?,?,0.54,?,?
?,0.81,?,?,?,?,?,?
?,?,?,0.5,?,?,0.26,?
?,?,?,0.5,?,0.59,?,?
?,?,0.48,?,0.77,0.39,0.21,?
?,0.49,?,?,?,0.45,?,om
0.71,?,0.48,?,?,?,0.36,om
?,0.63,0.48,0.5,?,?,0.3,om
0.77,0.57,?,0.5,?,?,0.01,?
0.66,?,?,0.5,?,?,?,omL
0.71,?,1.0,?,0.52,0.59,0.3,omL
0.67,0.55,1.0,?,?,?,?,omL
?,0.49,1.0,?,0.62,?,?,omL
?,0.49,0.48,0.5,?,0.54,?,pp
?,?,?,0.5,?,?,0.43,pp
0.66,?,?,?,?,0.41,0.36,?
0.73,0.78,?,0.5,?,?,0.31,pp
?,?,?,?,?,0.47,?,pp
?,?,?,?,0.17,?,?,pp
0.67,0.7,?,?,0.46,0.45,0.33,?
0.67,0.81,0.48,?,?,0.49,?,pp
?,0.61,?,0.5,?,?,?,?
?,?,0.48,?,?,?,0.49,?
?,?,0.48,?,?,?,?,pp
?,?,?,?,?,0.54,?,pp
?,0.74,?,?,?,?,?,?
?,?,0.48,?,0.25,0.42,?,?
?,?,?,?,0.49,?,0.19,pp
0.68,0.82,?,?,?,?,0.56,?
?,?,?,0.5,0.53,?,?,pp
?,0.64,?,?,?,?,?,pp
?,?,?,0.5,?,0.7,?,?
?,?,?,?,?,?,?,?
?,0.86,0.48,0.5,0.39,0.47,0.34,?
?,?,0.48,0.5,?,?,?,pp
?,?,?,?,?,?,?,?
?,?,0.48,0.5,?,0.54,?,pp
?,?,?,?,?,0.44,?,?
0.64,?,0.48,?,0.37,0.45,0.4,?
0.74,?,?,?,0.5,?,0.42,pp
?,?,?,0.5,0.35,?,0.33,?
?,?,?,?,?,0.44,?,?
?,?,?,?,?,0.39,0.24,pp
0.7,0.71,0.48,?,?,0.84,?,pp
?,?,?,0.5,?,0.57,?,pp
?,0.66,?,?,?,0.39,?,?
?,?,?,?,0.46,?,?,pp
0.66,0.71,0.48,0.5,0.41,0.5,?,?
?,?,0.48,?,0.46,0.44,?,?
0.68,?,?,?,0.49,0.4,0.34,pp
0.64,?,?,?,?,0.36,?,?
?,?,?,0.5,0.47,?,?,?
?,0.73,?,0.5,?,0.39,?,?
0.64,?,?,?,?,0.39,?,pp
0.29,?,0.48,?,?,?,?,?
0.62,?,?,0.5,0.46,0.36,0.4,?
0.56,?,?,?,0.43,?,0.3,pp
?,0.66,?,?,?,0.5,?,?
?,?,0.48,?,?,0.48,0.41,?
?,?,0.48,0.5,0.52,?,?,?
0.74,?,?,?,?,?,0.3,pp
?,?,0.48,0.5,?,0.35,?,pp
?,?,0.48,0.5,?,?,0.38,?
0.59,?,?,?,?,0.42,?,?
0.74,?,?,?,?,0.53,0.52,?
