@relation dataset

@attribute mcg real
@attribute gvh real
@attribute lip real
@attribute aac real
@attribute alm1 real
@attribute alm2 real
@attribute class {0, 1, 2, 3, 4, 5, 6, 7}


@data
0.77,0.57,?,?,?,?,?
0.74,0.78,?,0.75,?,?,?
?,0.76,?,0.84,0.45,?,5
?,?,?,?,?,0.45,?
0.65,0.51,0.48,0.66,0.54,?,?
0.52,0.81,0.48,?,?,?,5
?,0.57,?,0.7,?,?,?
0.6,?,1.0,0.77,0.59,?,?
0.69,0.59,?,0.77,?,?,5
0.63,0.49,?,?,?,?,5
0.71,0.71,?,?,?,0.36,5
0.68,0.63,?,?,?,?,?
0.77,0.57,1.0,0.37,?,?,6
0.66,?,1.0,?,0.56,?,6
?,?,1.0,?,0.59,0.3,6
?,?,1.0,?,0.58,0.16,?
?,?,1.0,?,0.55,0.28,6
0.74,?,?,?,0.54,0.36,?
0.7,0.61,?,?,?,0.43,?
0.66,0.86,?,0.34,?,?,7
?,?,0.48,?,0.51,?,7
?,0.57,0.48,0.47,?,?,?
?,?,?,0.17,?,?,7
?,?,?,?,?,?,?
0.67,?,?,0.54,?,?,?
?,0.61,0.48,?,0.37,0.38,7
?,1.0,0.48,?,?,0.49,?
0.57,?,?,0.39,?,?,?
?,?,?,0.4,?,?,7
0.66,?,0.48,?,0.38,0.43,?
?,?,?,?,?,?,?
0.64,?,?,?,0.42,?,7
0.68,0.82,0.48,?,0.65,0.56,?
?,?,0.48,?,?,?,7
?,?,0.48,?,?,?,7
0.63,0.57,?,0.49,0.7,0.2,7
?,?,?,?,0.49,?,?
0.63,0.86,?,?,0.47,0.34,7
0.63,?,?,0.4,?,?,7
?,?,?,?,?,?,7
0.71,0.86,0.48,0.4,0.54,?,?
?,0.78,0.48,?,?,0.42,7
?,0.84,0.48,0.37,?,?,?
?,?,?,?,?,0.42,?
0.75,0.84,?,0.35,0.52,0.33,?
?,?,?,?,0.44,0.35,?
0.69,?,?,0.3,?,?,?
0.7,?,?,0.42,?,?,?
0.69,0.8,?,?,?,?,?
0.64,0.66,?,0.41,?,?,7
?,0.8,0.48,?,?,0.29,?
?,0.71,0.48,?,?,0.35,?
?,0.59,0.48,?,?,?,?
?,0.67,?,0.49,0.4,?,?
0.64,0.78,0.48,?,0.36,0.38,7
0.62,?,0.48,?,?,?,7
0.76,?,0.48,?,?,?,7
0.64,?,?,?,0.39,?,?
?,?,0.48,0.52,?,?,?
?,0.83,?,?,0.36,?,7
0.56,?,0.48,0.43,0.37,?,7
0.69,0.66,?,?,?,?,?
0.69,0.65,?,?,0.48,?,7
?,0.59,0.48,?,?,?,7
0.74,0.56,0.48,?,0.68,?,?
?,?,?,0.48,?,?,7
?,?,?,?,0.39,?,?
0.59,?,?,0.42,0.42,?,?
?,?,0.48,?,0.53,?,7
