@relation dataset

@attribute alcohol real
@attribute malic_acid real
@attribute ash real
@attribute alcalinity_of_ash real
@attribute magnesium real
@attribute total_phenols real
@attribute flavanoids real
@attribute nonflavanoid_phenols real
@attribute proanthocyanins real
@attribute color_intensity real
@attribute hue real
@attribute od280_od315_of_diluted_wines real
@attribute proline real


@data
13.11,?,1.7,15.0,78.0,2.98,3.18,?,2.28,5.3,1.12,3.18,502.0
?,1.17,1.92,?,78.0,2.11,2.0,0.27,1.04,4.68,?,3.48,510.0
13.34,0.94,2.36,17.0,110.0,2.53,?,0.55,0.42,?,?,1.93,750.0
?,?,1.75,16.8,?,1.85,1.28,0.14,?,2.85,1.28,3.07,718.0
?,1.61,2.21,?,103.0,1.1,1.02,?,?,?,0.906,1.82,870.0
13.86,?,2.67,?,86.0,?,2.86,0.21,1.87,3.38,1.36,?,410.0
13.49,1.66,2.24,?,87.0,?,?,?,?,3.74,0.98,2.78,472.0
12.99,1.67,?,30.0,139.0,3.3,?,0.21,1.96,3.35,?,3.5,?
11.96,1.09,2.3,21.0,101.0,3.38,2.14,0.13,1.65,3.21,0.99,?,?
11.66,1.88,1.92,?,?,1.61,1.57,0.34,?,3.8,1.23,2.14,?
?,0.9,?,?,86.0,?,?,?,?,4.6,1.19,?,392.0
11.84,2.89,2.23,18.0,112.0,1.72,?,?,0.95,2.65,0.96,2.52,500.0
12.33,?,?,14.8,?,1.9,1.85,0.35,2.76,?,1.06,?,750.0
12.7,3.87,2.4,23.0,101.0,2.83,?,0.43,1.95,2.57,1.19,?,463.0
12.0,0.92,?,19.0,?,2.42,2.26,0.3,1.43,2.5,1.38,3.12,278.0
?,1.81,2.2,18.8,86.0,2.2,2.53,0.26,?,3.9,1.16,3.14,714.0
?,?,2.51,24.0,?,2.0,1.58,0.4,?,?,1.31,2.72,630.0
13.05,3.86,?,22.5,85.0,1.65,1.59,0.61,1.62,4.8,0.84,2.01,515.0
11.84,0.89,?,?,94.0,?,?,0.22,?,3.05,0.79,?,520.0
?,?,2.24,18.0,?,2.2,1.94,0.3,?,?,1.23,?,450.0
12.16,?,?,22.8,90.0,?,1.69,0.43,1.56,2.45,?,2.26,?
11.65,?,2.62,26.0,88.0,1.92,?,?,?,2.6,1.36,3.21,562.0
11.64,?,2.46,?,84.0,?,1.69,0.48,1.35,2.8,1.0,2.75,680.0
?,?,?,?,70.0,2.2,?,0.42,1.38,?,1.07,3.21,625.0
?,1.83,?,?,81.0,1.6,1.5,0.52,?,2.4,1.08,2.27,480.0
12.0,?,2.42,22.0,86.0,?,1.25,0.5,1.63,3.6,?,2.65,450.0
12.69,1.53,2.26,20.7,80.0,1.38,1.46,0.58,?,3.05,?,2.06,495.0
12.29,2.83,?,?,88.0,?,2.25,0.25,1.99,?,?,3.3,?
11.62,1.99,?,18.0,98.0,3.02,2.26,0.17,1.35,3.25,1.16,2.96,345.0
12.47,1.52,2.2,19.0,162.0,2.5,2.27,?,?,2.6,1.16,?,?
?,2.12,2.74,21.5,?,?,?,0.14,1.56,2.5,0.95,?,?
12.29,1.41,1.98,16.0,85.0,2.55,?,?,?,?,1.23,2.74,?
12.37,1.07,?,18.5,88.0,?,3.75,0.24,?,4.5,1.04,2.77,660.0
?,3.17,2.21,?,?,2.85,2.99,0.45,?,?,1.42,2.83,406.0
12.08,?,1.7,17.5,?,2.23,2.17,?,?,3.3,?,?,710.0
12.6,1.34,1.9,18.5,88.0,?,?,0.29,1.35,?,?,2.77,562.0
12.34,2.45,?,21.0,?,2.56,2.11,0.34,1.31,2.8,?,3.38,438.0
11.82,?,?,19.5,86.0,2.5,?,0.37,1.42,?,?,2.44,415.0
12.51,1.73,1.98,?,85.0,?,1.92,0.32,1.48,2.94,1.04,3.57,672.0
?,2.55,2.27,?,90.0,1.68,1.84,0.66,?,?,?,?,?
12.25,1.73,?,19.0,?,1.65,2.03,0.37,1.63,3.4,?,3.17,?
12.72,1.75,?,?,84.0,?,1.76,?,1.63,?,0.88,?,488.0
12.22,1.29,1.94,19.0,?,2.36,?,0.39,2.08,?,0.86,?,312.0
11.61,1.35,?,20.0,94.0,?,?,0.29,2.49,2.65,0.96,3.26,?
11.46,?,1.82,?,107.0,3.18,2.58,?,3.58,2.9,0.75,2.81,562.0
?,2.43,?,21.0,88.0,2.55,2.27,0.26,?,2.0,0.9,2.78,325.0
11.76,2.68,2.92,20.0,103.0,?,2.03,0.6,1.05,3.8,1.23,2.5,607.0
?,0.74,2.5,21.0,88.0,2.48,2.01,?,1.44,3.08,?,2.31,?
?,?,2.5,22.5,84.0,2.56,2.29,0.43,1.04,2.9,0.93,3.19,385.0
?,?,2.2,21.5,85.0,2.46,2.17,0.52,2.01,1.9,1.71,2.87,407.0
11.82,1.47,1.99,20.8,86.0,1.98,?,0.3,1.53,1.95,0.95,3.33,495.0
?,?,2.19,22.5,?,2.0,2.09,0.34,1.61,2.06,1.06,2.96,345.0
12.77,?,1.98,?,80.0,1.63,1.25,0.43,0.83,3.4,0.7,?,372.0
?,3.43,2.0,19.0,87.0,2.0,1.64,0.37,1.87,1.28,0.93,3.05,?
?,2.4,2.42,?,?,2.9,2.79,?,1.83,3.25,?,3.39,625.0
11.56,2.05,3.23,28.5,?,?,5.08,0.47,1.87,6.0,0.93,?,?
12.42,?,?,26.5,?,2.2,2.13,0.43,1.71,2.08,0.92,3.12,365.0
13.05,5.8,2.13,21.5,86.0,2.62,2.65,0.3,2.01,?,0.73,?,380.0
?,?,?,21.0,?,2.86,3.03,0.21,2.91,2.8,0.75,3.64,380.0
12.07,2.16,?,?,85.0,?,?,0.37,?,2.76,?,3.28,?
12.43,1.53,2.29,21.5,86.0,2.74,?,0.39,1.77,3.94,0.69,2.84,352.0
?,?,2.78,28.5,92.0,?,2.24,?,1.76,3.0,0.97,2.44,466.0
12.37,1.63,2.3,24.5,88.0,2.22,2.45,?,1.9,2.12,0.89,2.78,?
?,4.3,2.38,?,?,2.1,1.75,0.42,?,2.6,0.79,2.57,?
12.86,1.35,2.32,?,122.0,1.51,1.25,0.21,0.94,?,0.76,1.29,630.0
12.88,2.99,2.4,20.0,?,1.3,1.22,0.24,0.83,5.4,0.74,1.42,?
?,?,?,?,98.0,?,1.09,0.27,?,5.7,?,1.36,560.0
?,3.55,2.36,21.5,106.0,1.7,?,0.17,0.84,5.0,?,1.29,?
?,1.24,2.25,?,?,2.0,0.58,0.6,1.25,5.45,0.75,1.51,650.0
12.6,2.46,2.2,18.5,94.0,?,0.66,0.63,0.94,7.1,0.73,?,695.0
12.25,4.72,2.54,21.0,89.0,1.38,0.47,0.53,?,?,0.75,1.27,720.0
12.53,5.51,2.64,?,96.0,1.79,0.6,?,1.1,?,0.82,?,515.0
?,3.59,2.19,19.5,?,1.62,0.48,0.58,0.88,?,0.81,?,?
12.84,2.96,2.61,?,101.0,2.32,0.6,?,0.81,4.92,0.89,2.15,?
?,?,?,21.0,96.0,?,?,?,?,4.6,?,2.31,600.0
?,?,2.35,?,89.0,1.4,0.5,?,0.64,5.6,?,2.47,780.0
13.52,3.17,2.72,23.5,97.0,1.55,?,?,0.55,?,?,2.06,520.0
13.62,4.95,2.35,?,?,?,?,0.47,?,4.4,?,2.05,?
12.25,3.88,2.2,18.5,?,1.38,0.78,0.29,1.14,8.21,?,2.0,855.0
?,3.57,?,21.0,?,?,?,0.43,?,?,0.6,?,830.0
13.88,5.04,?,20.0,80.0,0.98,0.34,?,0.68,?,?,1.33,?
?,4.61,2.48,21.5,?,1.7,?,0.47,0.86,7.65,0.54,1.86,625.0
13.32,?,2.38,21.5,92.0,1.93,0.76,?,1.25,8.42,0.55,?,650.0
13.08,?,?,?,113.0,1.41,?,?,1.14,9.4,0.57,1.33,550.0
13.5,3.12,?,24.0,123.0,1.4,1.57,0.22,1.25,8.6,?,1.3,500.0
?,2.67,?,22.0,?,?,?,0.24,1.26,10.8,?,1.47,480.0
13.11,1.9,?,25.5,116.0,2.2,1.28,0.26,1.56,7.1,0.61,1.33,425.0
13.23,3.3,?,18.5,?,1.8,0.83,0.61,1.87,10.52,0.56,1.51,675.0
12.58,1.29,2.1,20.0,103.0,?,?,?,1.4,?,0.58,1.55,640.0
13.17,?,2.32,?,93.0,1.74,0.63,0.61,1.55,7.9,?,1.48,?
13.84,?,2.38,19.5,89.0,1.8,?,0.48,1.56,?,?,1.64,?
12.45,?,?,27.0,?,1.9,0.58,0.63,1.14,7.5,0.67,?,880.0
14.34,1.68,2.7,?,98.0,?,?,0.53,2.7,?,0.57,1.96,660.0
13.48,1.67,?,22.5,89.0,2.6,1.1,0.52,2.29,11.75,0.57,?,?
12.36,3.83,?,21.0,88.0,2.3,0.92,?,1.04,7.65,0.56,1.58,520.0
?,3.26,2.54,20.0,107.0,?,0.56,0.5,0.8,5.88,?,1.82,680.0
12.85,3.27,2.58,22.0,106.0,1.65,0.6,0.6,0.96,5.58,?,?,570.0
12.96,3.45,2.35,18.5,?,?,?,?,?,5.28,0.68,1.75,675.0
13.78,?,?,22.0,90.0,1.35,?,?,1.03,9.58,?,1.68,615.0
?,4.36,?,22.5,88.0,1.28,0.47,?,1.15,6.62,0.78,1.75,?
?,?,2.6,23.0,?,1.7,?,0.43,1.46,10.68,0.85,?,695.0
?,3.37,2.3,19.5,?,1.48,0.66,0.4,?,?,?,1.75,?
?,2.58,?,24.5,?,1.55,?,0.39,?,8.66,0.74,1.8,750.0
?,4.6,2.86,25.0,112.0,1.98,0.96,0.27,1.11,8.5,0.67,1.92,630.0
12.2,3.03,?,?,?,1.25,0.49,0.4,0.73,5.5,0.66,?,510.0
12.77,2.39,?,19.5,86.0,?,0.51,0.48,0.64,?,0.57,?,470.0
14.16,2.51,?,20.0,91.0,1.68,0.7,0.44,?,9.7,0.62,1.71,?
?,5.65,?,20.5,?,1.68,0.61,?,?,7.7,?,1.74,740.0
?,?,2.48,23.0,102.0,1.8,0.75,0.43,?,7.3,0.7,1.56,750.0
13.27,?,?,20.0,?,1.59,?,0.43,1.35,?,0.59,?,835.0
13.17,2.59,2.37,20.0,120.0,?,0.68,?,1.46,?,0.6,1.62,?
14.13,4.1,?,24.5,96.0,2.05,0.76,0.56,1.35,9.2,0.61,1.6,560.0
