@relation dataset

@attribute alcohol real
@attribute malic_acid real
@attribute ash real
@attribute alcalinity_of_ash real
@attribute magnesium real
@attribute total_phenols real
@attribute flavanoids real
@attribute nonflavanoid_phenols real
@attribute proanthocyanins real
@attribute color_intensity real
@attribute hue real
@attribute od280_od315_of_diluted_wines real
@attribute proline real


@data
13.24,?,2.29,17.5,103.0,?,2.63,?,1.66,4.36,0.82,?,?
13.05,?,2.1,?,107.0,?,3.0,0.28,?,?,?,3.35,885.0
14.21,4.04,?,18.9,?,2.85,?,0.3,1.25,5.24,0.87,3.33,1080.0
?,3.59,2.28,16.0,102.0,3.25,?,0.27,2.19,4.9,1.04,?,1065.0
13.9,1.68,2.12,?,101.0,3.1,3.39,0.21,?,?,0.91,3.33,985.0
?,2.02,2.4,18.8,?,?,2.92,0.32,2.38,6.2,1.07,2.75,1060.0
?,1.73,2.27,17.4,?,2.88,3.54,?,2.08,8.9,1.12,3.1,?
?,1.73,?,12.4,?,2.72,3.27,0.17,?,7.2,?,2.91,1150.0
?,1.65,?,17.2,94.0,2.45,?,0.22,2.29,?,?,3.37,?
13.82,1.75,2.42,?,111.0,3.88,3.74,?,?,?,1.01,3.26,1190.0
13.77,1.9,?,17.1,115.0,?,2.79,0.39,1.68,?,1.13,?,?
13.74,1.67,2.25,16.4,118.0,2.6,?,?,1.62,5.85,0.92,?,1060.0
?,1.73,2.46,20.5,?,2.96,?,0.2,2.45,6.25,0.98,3.03,1120.0
14.22,1.7,2.3,16.3,?,3.2,3.0,0.26,?,6.38,?,?,970.0
13.29,1.97,2.68,?,102.0,3.0,?,0.31,1.66,6.0,1.07,?,1270.0
13.72,?,2.5,16.7,108.0,3.4,3.67,0.19,?,6.8,0.89,?,?
12.37,?,1.36,10.6,88.0,1.98,?,0.28,?,?,?,?,520.0
12.33,?,2.28,16.0,101.0,?,1.09,0.63,?,3.27,1.25,1.67,?
12.64,?,2.02,16.8,100.0,2.02,1.41,0.53,0.62,5.75,?,1.59,450.0
13.67,1.25,1.92,?,94.0,2.1,1.79,?,?,?,1.23,2.46,630.0
?,1.13,2.16,19.0,87.0,3.5,3.1,0.19,1.87,4.45,?,?,420.0
?,1.45,2.53,19.0,?,1.89,?,?,?,2.95,1.45,2.23,?
?,?,2.56,18.1,98.0,?,2.65,0.37,2.08,4.6,1.19,2.3,678.0
13.11,1.01,1.7,15.0,?,?,?,0.26,?,?,1.12,?,502.0
12.37,1.17,1.92,19.6,78.0,2.11,2.0,0.27,1.04,4.68,?,3.48,510.0
13.34,?,2.36,17.0,110.0,?,1.3,0.55,0.42,3.17,1.02,1.93,750.0
12.21,?,?,16.8,?,1.85,1.28,?,2.5,2.85,1.28,?,718.0
12.29,1.61,2.21,20.4,?,1.1,1.02,?,1.46,3.05,?,1.82,870.0
13.86,?,2.67,?,86.0,2.95,?,0.21,1.87,3.38,1.36,3.16,410.0
13.49,1.66,?,24.0,87.0,1.88,?,0.27,?,3.74,?,2.78,472.0
?,1.67,2.6,30.0,139.0,3.3,2.89,0.21,1.96,3.35,1.31,?,985.0
11.96,1.09,?,?,?,3.38,?,0.13,?,?,0.99,3.13,?
11.66,1.88,1.92,?,97.0,1.61,?,0.34,1.15,3.8,1.23,2.14,?
13.03,0.9,1.71,16.0,86.0,?,?,0.24,1.46,?,?,2.48,?
11.84,?,?,18.0,?,1.72,1.32,0.43,?,2.65,?,2.52,500.0
12.33,0.99,1.95,14.8,?,?,1.85,0.35,?,?,?,2.31,750.0
?,?,2.4,23.0,101.0,?,?,?,1.95,2.57,1.19,?,463.0
12.0,0.92,2.0,19.0,86.0,2.42,2.26,0.3,1.43,2.5,?,3.12,278.0
12.72,1.81,2.2,18.8,86.0,2.2,2.53,?,1.77,?,1.16,3.14,714.0
12.08,1.13,2.51,?,78.0,2.0,?,?,1.4,?,?,2.72,630.0
13.05,3.86,2.32,22.5,85.0,?,1.59,0.61,1.62,?,0.84,2.01,?
11.84,0.89,2.58,18.0,94.0,2.2,2.21,0.22,?,?,0.79,?,?
12.67,0.98,2.24,18.0,99.0,?,?,0.3,1.46,2.62,1.23,3.16,450.0
12.16,?,2.31,?,90.0,?,1.69,0.43,1.56,?,1.33,?,?
11.65,1.67,?,?,88.0,1.92,?,0.4,?,2.6,1.36,3.21,562.0
?,?,2.46,21.6,84.0,1.95,1.69,0.48,1.35,2.8,1.0,2.75,?
12.08,1.33,?,23.6,70.0,?,1.59,0.42,1.38,1.74,?,3.21,625.0
12.08,1.83,2.32,?,81.0,1.6,1.5,0.52,?,?,1.08,?,480.0
12.0,1.51,2.42,?,86.0,1.45,1.25,?,1.63,3.6,?,2.65,450.0
12.69,1.53,?,20.7,?,?,?,0.58,1.62,?,0.96,?,495.0
?,2.83,2.22,18.0,?,?,2.25,0.25,1.99,?,1.15,3.3,290.0
?,1.99,2.28,18.0,98.0,3.02,2.26,?,?,3.25,1.16,2.96,345.0
12.47,1.52,?,19.0,162.0,2.5,2.27,?,3.28,2.6,1.16,?,937.0
11.81,2.12,2.74,?,134.0,?,0.99,?,1.56,?,0.95,?,?
?,1.41,1.98,16.0,85.0,2.55,2.5,0.29,1.77,2.9,1.23,?,428.0
12.37,1.07,2.1,?,88.0,3.52,3.75,0.24,1.95,?,?,2.77,660.0
12.29,?,?,18.0,88.0,?,2.99,0.45,?,?,1.42,2.83,?
12.08,2.08,1.7,17.5,97.0,?,2.17,?,1.4,3.3,?,2.96,710.0
?,1.34,?,18.5,88.0,?,1.36,0.29,1.35,2.45,1.04,2.77,562.0
12.34,2.45,2.46,21.0,?,?,2.11,0.34,1.31,2.8,0.8,3.38,438.0
11.82,?,?,?,86.0,2.5,1.64,0.37,1.42,2.06,?,?,415.0
12.51,1.73,?,20.5,85.0,?,1.92,0.32,1.48,2.94,?,3.57,?
12.42,2.55,?,22.0,?,1.68,1.84,?,1.42,?,?,3.3,315.0
12.25,1.73,2.12,19.0,80.0,1.65,2.03,0.37,1.63,?,?,?,?
12.72,1.75,?,22.5,84.0,1.38,1.76,0.48,?,?,0.88,?,488.0
?,1.29,1.94,19.0,?,2.36,?,?,?,2.7,0.86,3.02,312.0
11.61,1.35,?,20.0,94.0,2.74,2.92,0.29,2.49,2.65,?,?,680.0
11.46,3.74,?,19.5,107.0,3.18,2.58,0.24,3.58,2.9,?,2.81,562.0
12.52,2.43,2.17,?,88.0,2.55,2.27,?,?,2.0,0.9,2.78,325.0
11.76,?,?,20.0,103.0,1.75,2.03,0.6,?,3.8,?,2.5,607.0
11.41,0.74,2.5,?,?,?,2.01,?,?,3.08,?,2.31,?
?,1.39,2.5,22.5,?,2.56,2.29,0.43,?,2.9,0.93,3.19,385.0
11.03,1.51,2.2,21.5,?,?,2.17,0.52,2.01,?,1.71,?,407.0
?,1.47,1.99,20.8,86.0,1.98,?,0.3,1.53,1.95,0.95,?,495.0
12.42,1.61,2.19,22.5,?,2.0,2.09,?,1.61,?,?,2.96,?
12.77,3.43,1.98,16.0,?,1.63,1.25,?,0.83,3.4,?,2.12,372.0
?,3.43,?,19.0,87.0,2.0,1.64,0.37,1.87,1.28,?,?,564.0
11.45,?,2.42,?,?,?,2.79,?,1.83,3.25,0.8,3.39,?
?,2.05,3.23,28.5,119.0,3.18,?,0.47,?,6.0,?,3.69,465.0
12.42,4.43,2.73,?,102.0,2.2,2.13,?,1.71,2.08,0.92,3.12,365.0
13.05,5.8,2.13,?,86.0,?,2.65,0.3,?,?,0.73,3.1,?
11.87,4.31,?,21.0,82.0,2.86,?,0.21,2.91,2.8,?,3.64,380.0
?,2.16,2.17,?,85.0,2.6,2.65,0.37,?,2.76,0.86,3.28,378.0
12.43,1.53,?,?,86.0,?,?,0.39,1.77,?,?,2.84,?
?,2.13,?,?,92.0,?,2.24,?,1.76,3.0,0.97,2.44,466.0
12.37,1.63,?,24.5,88.0,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342.0
12.04,4.3,2.38,22.0,?,?,?,0.42,1.35,2.6,0.79,?,580.0
12.86,?,?,18.0,122.0,1.51,1.25,0.21,0.94,4.1,0.76,?,?
?,2.99,2.4,20.0,?,?,1.22,0.24,0.83,?,0.74,1.42,?
12.81,2.31,2.4,24.0,98.0,1.15,1.09,0.27,0.83,5.7,0.66,1.36,560.0
12.7,3.55,?,21.5,106.0,1.7,1.2,0.17,0.84,5.0,0.78,1.29,600.0
?,?,2.25,17.5,?,2.0,0.58,0.6,1.25,5.45,0.75,?,650.0
12.6,?,2.2,18.5,?,?,0.66,0.63,0.94,?,0.73,1.58,695.0
12.25,4.72,2.54,21.0,?,1.38,0.47,0.53,?,?,?,1.27,720.0
12.53,5.51,2.64,25.0,?,1.79,?,?,1.1,5.0,0.82,1.69,515.0
13.49,3.59,2.19,19.5,88.0,1.62,0.48,0.58,0.88,5.7,0.81,?,580.0
?,2.96,2.61,24.0,101.0,2.32,?,?,0.81,4.92,0.89,2.15,?
12.93,2.81,2.7,21.0,96.0,1.54,0.5,0.53,0.75,4.6,0.77,2.31,600.0
13.36,2.56,2.35,20.0,89.0,1.4,0.5,0.37,0.64,?,?,2.47,?
?,?,2.72,?,?,1.55,?,0.5,0.55,4.35,0.89,2.06,520.0
?,4.95,?,20.0,92.0,?,0.8,?,1.02,?,0.91,2.05,550.0
12.25,?,2.2,18.5,?,1.38,0.78,0.29,1.14,?,?,2.0,?
13.16,3.57,2.15,21.0,102.0,1.5,0.55,0.43,1.3,?,0.6,?,?
13.88,?,?,20.0,?,0.98,?,0.4,0.68,?,0.58,1.33,415.0
?,4.61,2.48,?,?,?,0.65,0.47,?,7.65,0.54,1.86,625.0
?,?,2.38,?,92.0,1.93,?,?,1.25,8.42,0.55,1.62,650.0
?,?,?,?,113.0,1.41,1.39,?,1.14,?,0.57,1.33,550.0
?,3.12,2.62,24.0,?,1.4,1.57,?,1.25,8.6,0.59,1.3,?
?,2.67,2.48,?,?,1.48,1.36,0.24,1.26,?,0.48,1.47,?
13.11,?,?,25.5,116.0,2.2,1.28,0.26,?,7.1,0.61,1.33,?
13.23,3.3,2.28,18.5,98.0,?,0.83,?,1.87,10.52,0.56,1.51,?
?,?,2.1,20.0,103.0,1.48,0.58,?,?,?,?,1.55,640.0
13.17,?,?,22.0,?,1.74,0.63,0.61,1.55,?,0.6,1.48,?
?,4.12,2.38,19.5,?,1.8,0.83,0.48,1.56,?,0.57,?,?
12.45,3.03,2.64,27.0,97.0,1.9,0.58,?,1.14,7.5,0.67,1.73,?
14.34,1.68,2.7,25.0,98.0,2.8,1.31,0.53,2.7,13.0,?,?,660.0
?,?,?,22.5,89.0,2.6,?,0.52,2.29,11.75,0.57,?,620.0
12.36,?,?,?,88.0,2.3,?,0.5,1.04,7.65,?,1.58,520.0
13.69,3.26,2.54,?,107.0,1.83,0.56,0.5,?,5.88,0.96,?,?
12.85,3.27,2.58,22.0,106.0,1.65,?,0.6,0.96,5.58,0.87,2.11,570.0
12.96,?,2.35,?,106.0,?,?,0.4,0.94,?,?,1.75,675.0
?,2.76,2.3,22.0,?,1.35,0.68,0.41,1.03,9.58,0.7,1.68,615.0
13.73,4.36,2.26,22.5,?,1.28,0.47,?,?,6.62,0.78,1.75,520.0
13.45,?,2.6,23.0,111.0,1.7,0.92,0.43,1.46,10.68,0.85,?,695.0
?,3.37,?,19.5,88.0,1.48,0.66,0.4,?,?,0.72,1.75,685.0
?,2.58,2.69,?,105.0,?,0.84,0.39,1.54,8.66,?,?,?
?,4.6,?,25.0,112.0,1.98,0.96,0.27,1.11,8.5,0.67,1.92,630.0
12.2,3.03,2.32,?,96.0,1.25,0.49,?,0.73,5.5,?,1.83,510.0
12.77,?,2.28,19.5,86.0,1.39,0.51,?,0.64,?,0.57,1.63,470.0
14.16,2.51,2.48,20.0,91.0,1.68,0.7,0.44,1.24,9.7,0.62,1.71,660.0
13.71,5.65,2.45,20.5,?,1.68,?,0.52,?,7.7,0.64,?,?
13.4,3.91,2.48,23.0,102.0,1.8,0.75,?,1.41,7.3,?,1.56,?
?,4.28,?,20.0,?,?,?,0.43,1.35,?,0.59,?,835.0
?,2.59,2.37,20.0,?,?,0.68,0.53,1.46,9.3,0.6,1.62,?
14.13,?,?,24.5,96.0,2.05,0.76,0.56,1.35,9.2,0.61,1.6,?
