@relation dataset

@attribute class {B, C, D, E, F, H}
@attribute largest_spot_size {A, H, K, R, S, X}
@attribute spot_distribution {C, I, O, X}
@attribute Activity {1, 2}
@attribute Evolution {1, 2, 3}
@attribute Previous_24_hour_flare_activity_code {1, 2, 3}
@attribute Historically-complex {1, 2}
@attribute Did_region_become_historically_complex {1, 2}
@attribute Area {1, 2}
@attribute Area_of_the_largest_spot {1, 2}
@attribute C-class_flares_production_by_this_region {0, 1, 2, 3, 4, 5, 6, 8}
@attribute M-class_flares_production_by_this_region {0, 1, 2, 3, 4, 5}
@attribute X-class_flares_production_by_this_region {0, 1, 2}


@data
B,X,?,?,?,1,?,2,?,2,?,?,0
?,?,O,1,?,?,2,2,1,?,?,0,?
F,A,?,2,?,?,2,?,1,2,?,?,0
E,?,C,1,?,1,2,?,1,2,?,1,0
?,?,O,?,3,1,1,?,?,?,?,0,0
D,?,?,?,3,1,2,?,?,2,?,?,0
?,?,O,?,2,?,?,?,?,2,?,?,?
?,?,?,1,?,?,?,?,?,?,?,?,0
?,?,O,?,3,?,1,2,1,1,?,?,0
H,R,X,?,3,?,1,2,1,2,0,?,0
E,?,?,1,3,?,?,2,?,?,0,0,0
?,?,O,1,2,1,?,?,1,1,0,0,?
H,?,X,2,?,1,?,?,?,?,?,0,?
E,?,I,?,?,3,2,2,?,?,0,?,?
E,K,?,?,2,?,?,2,1,?,1,?,0
H,S,X,?,3,?,1,2,?,2,0,?,?
D,K,C,?,3,?,2,2,2,?,0,?,0
?,?,I,1,2,1,?,?,1,1,?,0,0
?,X,O,?,?,1,1,?,1,1,0,?,?
E,?,?,?,?,?,2,2,1,2,0,?,?
?,?,O,1,3,1,?,?,?,?,?,0,0
H,K,X,?,?,?,2,2,?,?,0,?,0
?,?,I,1,3,?,?,2,2,2,0,?,?
E,?,?,2,2,3,?,?,?,2,?,1,0
?,?,?,?,?,1,?,?,?,?,0,0,?
?,K,?,?,?,?,2,?,2,?,?,?,?
?,A,?,?,?,1,?,2,?,2,0,0,0
?,?,?,1,?,?,?,2,?,?,?,0,0
H,S,X,1,?,1,2,2,1,2,0,0,0
F,S,?,?,?,1,2,2,1,2,?,0,0
?,?,I,?,?,?,2,?,1,2,?,0,0
H,S,?,1,2,?,1,2,1,2,0,?,0
D,K,C,2,2,?,?,2,?,2,?,?,?
H,S,?,?,1,?,2,2,?,?,?,?,?
E,S,I,?,?,1,1,2,?,?,?,?,0
?,S,?,?,2,?,2,?,?,2,0,?,?
?,S,?,1,?,1,?,2,?,?,0,?,?
?,S,?,2,?,?,2,?,?,?,0,?,0
?,S,?,?,?,1,1,?,1,?,0,?,?
D,?,C,2,2,?,2,2,2,?,?,?,?
?,S,X,?,2,?,?,?,?,?,?,0,0
C,S,?,1,2,1,2,2,1,?,0,0,?
B,?,O,?,?,?,1,?,1,?,?,?,0
?,X,?,1,3,1,?,?,1,1,0,0,?
?,?,X,?,3,?,1,?,?,2,0,0,?
H,?,X,?,2,1,?,2,1,2,?,0,0
E,A,?,?,?,1,2,2,?,2,?,?,?
?,S,X,?,?,1,1,?,?,?,0,0,?
D,K,?,2,?,3,2,2,2,?,1,?,?
H,?,X,?,?,?,2,?,1,2,0,?,0
C,A,?,?,2,?,?,?,?,?,?,0,0
D,A,O,?,?,1,1,2,?,2,0,0,?
?,S,?,?,?,?,1,?,?,?,0,0,0
C,S,?,1,1,3,2,?,?,?,0,0,?
?,?,?,1,?,?,1,2,?,?,0,?,0
?,K,?,2,?,?,?,?,?,?,?,0,?
?,?,?,?,?,1,?,2,1,2,?,?,?
?,R,O,1,?,?,?,?,?,2,0,0,?
E,A,?,1,?,?,1,2,?,?,0,?,?
?,?,O,1,?,?,1,2,1,?,?,0,?
E,K,?,1,3,?,?,2,?,2,?,2,0
?,A,?,1,3,?,1,?,1,1,0,?,0
D,?,O,?,?,1,?,2,?,1,?,0,?
?,S,?,?,3,1,?,2,1,1,0,0,?
H,R,X,?,2,1,?,1,?,1,?,0,?
H,?,X,1,1,?,?,2,1,?,?,0,0
?,A,O,?,2,1,1,2,?,1,0,?,?
?,?,O,1,3,1,?,2,?,?,0,0,?
?,?,O,?,?,1,?,2,1,1,0,0,0
?,?,?,1,?,1,1,?,1,1,1,?,?
B,?,O,1,3,1,?,2,1,?,0,0,0
C,A,?,?,?,?,1,2,?,1,?,?,?
?,X,?,?,?,?,?,2,?,1,0,?,0
B,?,?,?,?,1,?,2,1,?,?,0,0
C,?,O,?,?,1,1,2,1,?,0,?,0
?,?,O,?,3,?,1,2,1,?,0,0,0
?,?,O,1,2,?,1,?,?,1,?,?,0
?,?,I,?,3,1,?,?,?,1,?,?,?
?,?,?,?,3,?,?,2,1,1,?,?,?
B,X,O,1,?,1,?,2,?,?,?,?,?
B,X,O,1,2,?,?,?,?,?,0,0,?
?,S,X,?,2,1,1,?,?,?,0,?,0
B,?,O,1,3,?,1,?,1,1,?,0,0
B,?,O,2,2,?,2,2,?,1,0,0,?
C,?,O,1,?,?,?,?,1,?,?,?,?
B,?,?,?,2,1,2,?,?,?,?,0,0
B,X,?,1,3,?,1,?,1,?,0,0,0
?,?,I,2,?,1,1,?,1,1,?,?,0
B,?,?,?,?,1,1,?,1,1,0,?,0
D,?,?,?,3,1,?,2,1,?,?,?,0
?,X,?,1,?,?,1,2,?,1,0,?,0
B,?,O,1,?,?,?,2,?,?,?,0,?
?,X,O,1,1,?,1,2,?,?,0,?,0
?,?,I,?,1,1,2,2,1,?,0,0,?
?,?,?,1,3,1,?,2,1,?,0,?,0
?,R,?,?,3,?,?,?,?,1,?,0,0
?,?,O,1,2,?,1,?,?,?,?,0,0
C,R,O,1,?,1,?,?,1,1,0,0,0
E,A,?,?,?,?,1,2,?,?,?,?,0
?,A,X,1,?,?,?,?,?,1,1,0,?
B,X,O,1,2,?,?,?,?,1,1,0,0
B,X,O,?,3,?,1,2,1,1,0,0,?
?,?,?,1,?,1,1,2,?,?,?,0,?
D,?,?,?,3,?,?,?,?,1,?,0,0
E,A,I,?,2,?,1,2,1,1,?,0,0
?,A,?,1,3,1,?,?,?,?,?,0,?
B,?,?,?,3,?,?,?,?,?,0,?,0
?,R,?,1,?,1,1,2,?,1,0,0,?
C,R,O,1,?,1,?,2,?,1,0,0,0
D,A,O,?,3,3,2,2,?,?,?,0,?
E,?,O,2,?,1,2,2,?,?,5,?,0
C,?,O,1,3,?,?,2,?,?,0,0,?
E,S,I,2,3,1,2,2,?,?,0,?,?
?,R,?,?,3,1,?,?,?,?,?,0,0
?,?,I,2,3,1,2,2,?,?,0,0,?
E,?,I,2,?,1,?,?,?,?,?,?,0
H,S,X,1,3,?,1,1,1,?,?,0,?
?,A,O,?,3,1,?,?,1,1,?,?,0
?,?,O,1,3,?,1,2,1,?,1,?,?
D,?,O,1,3,1,?,2,?,?,?,?,?
?,X,?,?,2,?,1,2,1,1,?,0,0
?,?,I,?,2,1,?,?,?,?,?,0,?
E,A,I,2,3,?,2,?,1,1,6,?,?
H,?,?,1,1,?,?,?,?,1,?,0,0
?,S,?,2,3,?,?,2,1,1,?,?,?
?,S,O,2,3,?,?,2,1,?,1,0,?
D,R,?,?,?,?,1,?,1,1,?,?,0
D,?,?,1,3,?,2,2,1,1,?,0,?
D,S,?,1,3,?,1,?,?,?,?,0,0
D,?,?,1,?,1,2,2,?,1,0,0,?
E,K,C,2,?,?,2,?,2,?,6,0,?
H,?,X,1,3,?,1,?,1,?,?,0,?
D,A,?,1,2,?,2,?,?,?,?,?,0
?,?,I,?,?,?,?,2,?,?,?,?,?
?,?,?,?,2,1,1,2,?,1,0,?,0
B,X,O,?,?,1,?,2,?,?,1,0,?
B,X,?,1,3,1,1,?,1,1,?,?,?
D,?,O,1,?,?,?,2,?,1,?,?,0
D,A,?,1,3,1,1,?,1,?,0,0,?
D,?,?,?,?,?,?,?,?,?,?,0,0
?,?,?,2,3,1,?,2,?,?,0,?,?
D,?,?,?,3,1,?,2,?,1,0,?,0
?,R,O,1,?,1,1,?,1,?,?,0,?
?,?,?,1,3,1,?,?,?,1,?,0,?
B,X,O,?,3,?,?,?,?,1,1,?,0
?,S,?,1,?,1,?,2,1,?,0,?,0
H,A,?,1,?,1,2,?,1,1,0,0,?
D,?,O,?,?,?,?,2,1,?,?,?,?
?,?,C,2,2,?,?,?,?,?,?,0,?
?,S,?,?,2,1,?,2,1,1,?,?,0
?,X,O,1,2,1,?,2,1,?,0,0,0
C,R,?,1,3,1,?,?,?,?,0,0,?
?,X,O,?,3,1,1,2,1,1,1,?,0
B,X,O,?,?,?,1,2,1,?,0,0,?
?,S,?,?,?,1,?,2,1,1,?,0,0
H,R,X,?,?,?,?,2,1,?,0,?,0
H,?,?,1,?,?,2,2,1,?,?,0,0
C,S,?,1,2,1,2,?,?,1,0,?,0
?,A,I,1,?,?,2,?,2,?,1,0,0
D,S,O,?,2,?,2,?,?,?,1,0,?
?,R,O,1,?,?,?,2,1,1,?,0,?
?,?,C,2,?,1,1,?,1,1,?,?,?
?,?,?,?,?,?,?,2,?,?,?,?,?
?,?,I,2,3,?,?,2,1,?,2,?,0
?,A,?,?,2,?,?,?,1,?,0,0,0
C,S,?,1,?,1,?,2,1,1,?,0,0
F,?,C,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,2,2,?,?,0,?,?
?,A,I,?,3,1,2,2,?,1,?,?,0
?,X,?,?,3,?,?,?,?,?,?,0,0
E,?,?,2,3,?,?,?,?,1,0,0,?
?,?,?,?,?,1,?,2,1,1,?,?,0
F,A,I,2,?,?,2,?,1,?,?,?,0
?,?,X,1,?,1,?,2,1,1,1,0,0
?,?,I,2,?,?,?,2,?,?,0,?,?
B,?,?,?,?,1,?,?,1,1,0,?,?
?,?,I,2,2,1,2,?,1,?,0,?,?
?,S,X,1,?,1,?,1,1,?,0,?,0
F,?,?,2,?,?,2,2,?,1,?,0,?
H,?,?,1,?,1,?,2,?,1,?,0,?
?,?,O,1,?,1,?,2,1,?,?,?,0
?,?,?,?,2,1,?,2,1,1,?,?,0
?,?,?,?,?,?,?,?,1,1,?,0,?
C,?,?,1,3,?,?,2,?,?,?,?,?
?,S,?,?,?,?,?,?,?,1,?,0,0
F,?,?,2,2,1,2,?,1,1,?,?,?
E,A,?,?,?,1,2,2,?,?,0,0,?
?,?,I,?,?,?,2,?,1,1,0,?,?
E,?,?,?,?,?,?,2,1,1,2,0,?
?,?,?,?,2,?,?,1,1,1,?,0,0
?,?,?,1,?,1,?,?,?,1,?,0,0
?,S,?,?,?,1,?,2,1,1,?,?,?
C,?,O,?,2,1,1,2,1,?,?,0,?
E,S,?,?,?,?,?,?,?,?,?,?,0
E,?,?,1,2,1,?,?,1,?,?,?,0
?,S,X,1,2,?,?,2,?,1,?,?,0
?,?,O,1,3,1,?,?,1,?,0,?,?
H,H,X,?,?,1,1,?,1,?,0,?,0
B,X,O,1,3,1,?,2,?,?,?,?,?
C,?,O,1,?,1,?,2,?,1,0,?,0
?,?,?,1,2,?,2,?,?,1,?,?,?
?,?,O,2,?,?,1,?,1,?,?,0,?
?,?,O,1,?,?,1,2,?,?,0,?,0
H,?,?,1,?,?,1,?,?,1,0,?,?
B,?,?,?,?,1,1,?,1,?,?,0,0
?,S,?,?,2,?,?,?,?,1,1,0,0
B,X,?,?,3,1,?,2,?,?,0,?,?
C,R,O,?,2,1,1,2,1,?,?,?,?
?,?,O,?,2,1,?,?,?,1,0,0,0
?,S,O,?,2,1,2,2,1,1,0,?,?
C,S,?,?,2,1,?,2,1,1,0,?,?
E,S,O,?,3,1,1,2,1,1,?,?,0
C,H,O,?,?,1,?,?,1,?,0,?,?
B,X,O,1,?,1,1,2,1,?,0,?,?
H,?,?,?,?,?,?,?,1,1,?,0,?
?,X,?,1,3,1,1,2,1,?,0,0,?
?,?,C,2,3,1,1,2,1,1,0,0,0
D,?,?,?,3,?,1,?,1,?,0,0,?
?,S,?,?,?,1,?,?,?,1,?,0,0
C,?,?,?,2,?,1,2,?,?,0,0,0
?,?,O,?,?,?,1,2,?,?,?,0,0
?,K,O,1,2,?,?,?,1,1,2,?,?
H,S,X,2,?,1,1,?,1,?,?,0,0
?,?,O,?,2,1,?,?,?,1,?,?,?
E,?,C,1,3,1,2,?,1,1,?,1,?
?,A,?,?,?,1,2,2,1,?,?,0,?
?,?,O,?,?,1,1,?,1,?,0,0,0
?,R,?,?,?,1,?,2,1,?,0,0,0
?,S,X,?,?,?,1,2,?,?,0,0,?
?,S,O,1,2,?,1,?,1,1,0,?,0
?,?,O,?,3,?,1,?,1,?,0,?,0
?,S,X,1,?,1,?,1,1,1,0,?,0
?,K,C,?,?,1,?,?,2,?,?,1,?
E,R,O,?,?,1,2,?,?,1,?,?,0
?,S,?,?,3,1,1,1,?,1,0,?,0
H,S,?,1,1,1,?,2,1,?,0,?,?
?,?,O,2,2,1,?,2,?,1,?,0,0
?,S,O,?,?,?,?,?,1,?,0,0,?
H,S,?,?,1,1,?,1,?,1,?,0,0
B,X,?,1,3,?,1,?,?,1,?,?,0
E,?,?,2,1,3,?,?,1,1,?,?,0
E,?,O,1,?,1,?,?,1,1,?,?,?
?,R,?,?,?,?,1,2,1,1,?,0,?
H,S,?,1,2,?,?,?,1,1,0,?,0
H,S,X,1,?,?,1,?,?,?,?,?,?
H,S,?,1,?,?,?,2,1,1,?,?,?
?,S,X,1,?,?,1,?,1,1,?,?,?
?,H,X,?,3,1,?,?,1,1,0,?,?
?,?,X,?,3,?,1,?,?,?,?,0,0
F,K,C,?,?,?,2,?,2,1,?,?,0
?,?,O,?,2,1,?,?,1,1,?,0,?
