@relation dataset

@attribute area real
@attribute perimeter real
@attribute compactness real
@attribute kernel_length real
@attribute kernel_width real
@attribute asymmetry real
@attribute kernel_groove real
@attribute class {0, 1, 2}


@data
20.88,?,0.9031,6.45,4.032,?,6.321,1
20.1,?,0.8746,?,?,?,?,1
?,?,0.8984,?,3.796,?,6.053,?
?,16.29,?,?,3.693,3.237,?,?
18.59,16.05,?,6.037,?,?,5.877,?
18.36,?,?,?,3.485,4.933,6.448,?
?,?,?,6.139,3.463,3.696,5.967,?
?,16.59,?,6.341,3.81,?,?,1
?,16.57,0.8687,?,3.552,?,6.453,?
?,?,0.8637,6.271,3.512,?,6.273,?
18.72,?,0.881,?,3.684,?,?,1
16.41,?,?,5.718,?,4.217,?,?
?,?,?,5.89,3.694,2.068,5.837,1
?,?,0.8985,6.113,?,?,6.009,?
19.18,16.63,?,?,?,?,?,?
18.95,16.42,?,6.248,?,3.368,?,1
?,16.29,0.8917,6.037,?,?,5.879,?
18.85,16.17,0.9056,6.152,3.806,?,6.2,?
?,15.86,?,6.033,3.573,?,?,?
19.94,16.92,?,?,?,3.252,?,1
18.55,16.22,?,6.153,3.674,?,?,?
18.45,?,0.8921,6.107,?,2.235,5.794,?
?,16.72,0.8716,?,3.791,3.678,?,1
19.13,?,0.9035,?,3.902,2.109,?,?
?,16.61,0.8722,?,?,?,?,1
?,17.25,?,?,3.991,?,6.316,1
19.06,16.45,0.8854,?,?,2.248,6.163,1
18.96,16.2,?,6.051,?,4.334,5.75,?
19.15,?,?,6.245,?,3.084,?,1
?,?,?,6.227,?,?,?,1
?,?,?,6.493,3.857,?,?,?
?,?,?,6.315,?,5.901,?,1
?,16.12,0.8772,?,3.563,?,?,?
16.17,15.38,0.8588,?,?,4.286,?,?
18.43,?,?,5.98,?,?,5.905,1
?,14.89,0.9064,?,?,?,5.144,1
18.75,?,0.8999,6.111,?,4.188,5.992,?
18.65,?,0.8698,6.285,?,?,?,1
?,?,?,5.979,3.687,2.257,5.919,1
20.16,?,?,6.513,3.773,1.91,6.185,1
17.55,15.66,?,?,?,?,5.661,1
18.3,15.89,?,?,3.755,2.837,?,?
?,16.32,?,?,3.825,2.908,5.949,?
?,14.9,0.8706,?,?,?,5.795,?
?,15.33,?,?,?,?,5.795,1
?,14.89,?,?,?,?,5.847,?
15.38,?,0.899,?,?,?,5.439,?
?,?,?,6.145,3.574,?,?,1
15.57,?,0.8527,?,3.231,2.64,?,1
?,15.11,0.858,?,?,2.725,5.752,1
16.23,?,0.885,?,?,3.769,5.922,?
13.07,?,?,?,2.994,?,5.395,2
?,?,0.8613,?,?,?,?,2
13.34,?,?,5.389,?,?,5.307,2
12.22,?,?,5.224,2.967,5.469,5.221,2
?,?,0.8274,?,2.777,?,?,2
?,13.13,0.8167,5.279,?,6.169,?,2
11.43,13.13,0.8335,?,?,?,?,2
?,?,0.8658,?,2.967,?,?,?
?,?,0.8491,5.386,2.911,3.26,5.316,2
10.79,12.93,?,5.317,2.648,5.462,?,2
?,?,?,?,?,5.195,?,2
12.01,?,0.8249,5.405,2.776,?,?,?
12.26,?,?,5.408,?,?,5.36,2
?,13.04,0.8266,?,?,3.332,?,?
11.36,?,?,5.175,?,4.048,5.263,2
11.19,13.05,?,5.25,2.675,5.813,?,?
11.34,?,?,5.053,2.849,3.347,?,2
12.13,?,?,5.394,2.745,4.825,?,2
11.75,13.52,?,?,?,4.378,?,2
11.49,?,?,?,2.695,?,?,2
?,13.67,?,?,2.879,3.082,5.491,?
12.02,13.33,?,5.35,?,4.271,5.308,2
?,?,?,5.267,?,4.988,5.046,?
?,13.57,0.8558,5.333,2.968,4.419,?,2
11.14,12.79,0.8558,?,2.794,6.388,?,?
12.1,13.15,?,5.105,2.941,2.201,5.056,2
12.44,13.59,0.8462,5.319,?,?,5.27,2
?,?,?,5.417,2.837,?,?,?
?,?,?,5.176,2.668,?,?,2
?,?,0.8359,5.09,2.715,?,5.088,2
?,?,0.8189,?,?,?,?,?
?,?,0.8455,?,2.845,6.715,4.956,2
?,12.97,?,?,?,?,5.0,2
?,?,0.8375,?,?,?,?,?
?,12.96,?,5.278,2.641,5.182,5.185,?
10.8,?,0.859,?,2.821,4.773,?,?
?,13.01,?,?,?,?,?,2
?,?,0.8329,?,?,?,4.963,?
?,?,?,5.18,?,5.876,?,?
12.21,13.47,?,5.357,2.893,?,?,2
11.41,12.95,?,5.09,2.775,?,4.825,2
12.46,?,0.8706,5.236,?,?,5.147,?
?,?,?,5.24,?,4.857,5.158,?
11.65,13.07,0.8575,5.108,?,5.209,5.135,2
12.89,13.77,0.8541,5.495,3.026,6.185,?,?
?,13.31,0.8198,5.363,?,4.062,5.182,2
?,13.45,0.8198,5.413,2.716,?,?,?
10.91,?,0.8372,5.088,2.675,?,4.956,?
11.23,12.82,?,5.089,2.821,?,4.957,2
?,12.41,?,?,2.787,?,4.794,?
?,?,0.839,5.046,?,5.398,?,2
?,?,0.8563,?,2.804,3.985,5.001,2
11.87,?,?,5.132,2.953,3.597,5.132,?
?,12.83,0.8256,?,?,4.853,5.089,?
12.11,?,?,?,2.975,?,?,2
?,13.47,?,5.16,?,?,4.914,?
12.79,?,?,?,3.054,5.483,?,2
?,?,0.8849,?,?,4.67,?,?
?,?,?,?,?,?,?,?
?,?,0.8964,?,?,2.828,?,2
?,?,?,?,2.989,?,5.045,?
12.67,?,?,4.984,3.135,2.3,?,?
11.18,?,0.868,?,2.81,4.051,?,2
?,?,?,5.183,3.091,8.456,?,2
?,13.47,?,5.204,2.96,3.919,?,?
?,?,0.8783,?,2.981,?,?,2
?,12.88,0.8511,5.14,2.795,?,?,2
13.2,?,0.8883,?,?,8.315,?,?
11.84,13.21,0.8521,5.175,?,?,?,?
?,?,?,?,2.974,5.637,?,?
