@relation dataset

@attribute alcohol real
@attribute malic_acid real
@attribute ash real
@attribute alcalinity_of_ash real
@attribute magnesium real
@attribute total_phenols real
@attribute flavanoids real
@attribute nonflavanoid_phenols real
@attribute proanthocyanins real
@attribute color_intensity real
@attribute hue real
@attribute od280_od315_of_diluted_wines real
@attribute proline real


@data
11.96,?,2.3,21.0,101.0,3.38,2.14,0.13,?,3.21,0.99,?,?
11.66,1.88,1.92,?,?,?,1.57,0.34,?,3.8,1.23,2.14,?
?,?,?,?,?,?,?,?,?,4.6,?,?,392.0
11.84,2.89,2.23,18.0,112.0,1.72,?,?,0.95,2.65,0.96,2.52,500.0
?,?,?,?,?,1.9,1.85,0.35,2.76,?,1.06,?,?
12.7,?,?,23.0,?,2.83,?,?,1.95,2.57,?,?,463.0
?,0.92,?,?,?,2.42,2.26,0.3,1.43,2.5,1.38,?,278.0
?,1.81,2.2,?,86.0,?,?,0.26,?,3.9,1.16,3.14,?
?,?,2.51,24.0,?,2.0,?,?,?,?,1.31,2.72,?
13.05,?,?,22.5,85.0,?,1.59,0.61,?,?,0.84,2.01,515.0
11.84,0.89,?,?,94.0,?,?,0.22,?,?,0.79,?,520.0
?,?,?,18.0,?,?,1.94,?,?,?,1.23,?,?
12.16,?,?,?,90.0,?,1.69,0.43,1.56,2.45,?,2.26,?
11.65,?,?,26.0,88.0,1.92,?,?,?,2.6,1.36,3.21,562.0
11.64,?,?,?,84.0,?,1.69,?,?,2.8,1.0,2.75,?
?,?,?,?,?,?,?,?,1.38,?,?,3.21,625.0
?,1.83,?,?,81.0,1.6,1.5,0.52,?,?,?,?,?
12.0,?,2.42,22.0,86.0,?,1.25,0.5,?,3.6,?,2.65,450.0
12.69,?,?,20.7,?,1.38,1.46,?,?,3.05,?,2.06,495.0
12.29,2.83,?,?,88.0,?,?,0.25,1.99,?,?,3.3,?
11.62,?,?,18.0,?,3.02,?,?,?,3.25,?,2.96,345.0
?,?,2.2,19.0,162.0,2.5,?,?,?,2.6,1.16,?,?
?,2.12,2.74,21.5,?,?,?,0.14,1.56,2.5,0.95,?,?
?,?,?,16.0,?,2.55,?,?,?,?,?,2.74,?
12.37,1.07,?,18.5,88.0,?,?,0.24,?,?,1.04,2.77,?
?,3.17,2.21,?,?,2.85,2.99,?,?,?,1.42,2.83,?
?,?,1.7,?,?,2.23,?,?,?,3.3,?,?,?
12.6,1.34,?,18.5,88.0,?,?,?,1.35,?,?,?,562.0
?,2.45,?,21.0,?,2.56,2.11,?,1.31,2.8,?,3.38,438.0
11.82,?,?,?,86.0,2.5,?,0.37,?,?,?,2.44,415.0
12.51,?,1.98,?,85.0,?,1.92,?,?,?,?,3.57,672.0
?,2.55,?,?,90.0,1.68,1.84,0.66,?,?,?,?,?
12.25,1.73,?,19.0,?,?,2.03,0.37,?,3.4,?,?,?
?,1.75,?,?,?,?,1.76,?,1.63,?,?,?,488.0
12.22,1.29,1.94,?,?,2.36,?,0.39,?,?,0.86,?,312.0
?,1.35,?,20.0,94.0,?,?,?,2.49,2.65,0.96,?,?
?,?,1.82,?,107.0,3.18,2.58,?,?,2.9,0.75,2.81,562.0
?,2.43,?,21.0,88.0,2.55,?,0.26,?,?,0.9,2.78,325.0
?,2.68,?,20.0,103.0,?,2.03,0.6,1.05,?,1.23,2.5,607.0
?,?,2.5,?,88.0,?,?,?,?,3.08,?,?,?
?,?,2.5,?,84.0,?,?,0.43,1.04,2.9,?,3.19,385.0
?,?,2.2,21.5,85.0,2.46,?,0.52,2.01,1.9,1.71,?,?
?,?,1.99,20.8,86.0,1.98,?,?,?,1.95,0.95,3.33,495.0
?,?,2.19,22.5,?,2.0,2.09,0.34,?,2.06,1.06,?,345.0
12.77,?,?,?,80.0,1.63,1.25,?,0.83,3.4,0.7,?,372.0
?,3.43,2.0,?,?,?,?,?,1.87,1.28,0.93,3.05,?
?,2.4,2.42,?,?,2.9,2.79,?,1.83,3.25,?,3.39,?
?,2.05,3.23,28.5,?,?,5.08,0.47,?,6.0,?,?,?
12.42,?,?,26.5,?,2.2,?,0.43,1.71,2.08,0.92,?,?
13.05,5.8,?,21.5,86.0,2.62,2.65,0.3,?,?,0.73,?,380.0
?,?,?,21.0,?,?,3.03,0.21,2.91,2.8,0.75,3.64,?
12.07,2.16,?,?,85.0,?,?,0.37,?,2.76,?,3.28,?
12.43,?,?,21.5,?,2.74,?,?,?,3.94,0.69,?,352.0
?,?,2.78,28.5,92.0,?,?,?,1.76,3.0,0.97,2.44,466.0
12.37,?,2.3,24.5,88.0,2.22,2.45,?,1.9,?,?,2.78,?
?,4.3,2.38,?,?,?,1.75,0.42,?,2.6,0.79,?,?
12.86,1.35,2.32,?,?,?,1.25,?,0.94,?,?,1.29,630.0
?,?,?,?,?,1.3,1.22,0.24,0.83,5.4,0.74,1.42,?
?,?,?,?,?,?,1.09,0.27,?,?,?,1.36,?
?,3.55,?,21.5,106.0,1.7,?,?,0.84,?,?,1.29,?
?,1.24,2.25,?,?,2.0,0.58,0.6,1.25,?,?,?,?
12.6,?,2.2,18.5,94.0,?,0.66,0.63,?,7.1,0.73,?,?
12.25,4.72,2.54,21.0,89.0,1.38,?,0.53,?,?,?,1.27,720.0
?,?,2.64,?,96.0,?,0.6,?,1.1,?,?,?,515.0
?,?,2.19,19.5,?,1.62,0.48,0.58,0.88,?,0.81,?,?
12.84,2.96,2.61,?,101.0,?,?,?,?,4.92,0.89,2.15,?
?,?,?,21.0,96.0,?,?,?,?,?,?,2.31,?
?,?,2.35,?,?,?,?,?,0.64,5.6,?,2.47,?
13.52,?,2.72,23.5,97.0,1.55,?,?,0.55,?,?,?,520.0
?,4.95,?,?,?,?,?,0.47,?,4.4,?,?,?
12.25,3.88,2.2,18.5,?,1.38,0.78,?,1.14,8.21,?,2.0,855.0
?,3.57,?,?,?,?,?,?,?,?,?,?,830.0
13.88,?,?,20.0,80.0,0.98,?,?,?,?,?,1.33,?
?,?,2.48,21.5,?,1.7,?,0.47,0.86,7.65,0.54,1.86,625.0
13.32,?,2.38,21.5,92.0,1.93,?,?,1.25,?,0.55,?,650.0
13.08,?,?,?,113.0,1.41,?,?,1.14,9.4,?,?,550.0
13.5,3.12,?,?,?,1.4,1.57,?,?,8.6,?,1.3,?
?,2.67,?,22.0,?,?,?,0.24,1.26,?,?,1.47,?
13.11,1.9,?,25.5,116.0,2.2,1.28,0.26,?,7.1,0.61,1.33,425.0
13.23,3.3,?,18.5,?,?,?,0.61,1.87,10.52,0.56,1.51,?
?,1.29,?,20.0,?,?,?,?,1.4,?,0.58,1.55,640.0
?,?,2.32,?,93.0,1.74,0.63,0.61,1.55,?,?,?,?
?,?,2.38,19.5,89.0,1.8,?,0.48,1.56,?,?,1.64,?
12.45,?,?,?,?,1.9,0.58,0.63,1.14,?,0.67,?,?
14.34,1.68,2.7,?,98.0,?,?,0.53,2.7,?,0.57,?,?
13.48,1.67,?,?,89.0,?,1.1,?,2.29,11.75,0.57,?,?
12.36,3.83,?,21.0,88.0,2.3,0.92,?,1.04,7.65,0.56,?,520.0
?,3.26,?,20.0,107.0,?,?,0.5,?,5.88,?,1.82,680.0
12.85,3.27,2.58,?,106.0,?,?,0.6,0.96,5.58,?,?,570.0
12.96,3.45,?,18.5,?,?,?,?,?,5.28,?,?,?
13.78,?,?,22.0,90.0,?,?,?,1.03,9.58,?,1.68,615.0
?,4.36,?,?,?,1.28,?,?,?,6.62,0.78,1.75,?
?,?,2.6,?,?,1.7,?,0.43,1.46,?,?,?,695.0
?,3.37,?,?,?,1.48,?,0.4,?,?,?,1.75,?
?,2.58,?,?,?,?,?,0.39,?,8.66,?,1.8,750.0
?,4.6,2.86,25.0,?,?,0.96,0.27,?,8.5,0.67,?,630.0
?,3.03,?,?,?,1.25,0.49,?,?,5.5,?,?,510.0
?,?,?,19.5,?,?,0.51,0.48,0.64,?,0.57,?,470.0
14.16,2.51,?,20.0,91.0,1.68,?,0.44,?,9.7,?,?,?
?,5.65,?,20.5,?,1.68,0.61,?,?,7.7,?,1.74,740.0
?,?,2.48,?,102.0,?,?,?,?,?,?,1.56,?
?,?,?,20.0,?,1.59,?,0.43,?,?,?,?,?
13.17,2.59,?,20.0,120.0,?,0.68,?,1.46,?,0.6,?,?
14.13,4.1,?,?,96.0,?,0.76,0.56,1.35,9.2,0.61,1.6,?
