@relation dataset

@attribute alcohol real
@attribute malic_acid real
@attribute ash real
@attribute alcalinity_of_ash real
@attribute magnesium real
@attribute total_phenols real
@attribute flavanoids real
@attribute nonflavanoid_phenols real
@attribute proanthocyanins real
@attribute color_intensity real
@attribute hue real
@attribute od280_od315_of_diluted_wines real
@attribute proline real


@data
12.07,?,2.17,?,85.0,?,?,?,1.35,?,?,3.28,378.0
?,1.53,?,21.5,?,?,?,0.39,1.77,3.94,?,?,?
?,2.13,?,28.5,92.0,?,?,0.58,1.76,?,0.97,?,466.0
?,?,?,24.5,?,2.22,2.45,?,1.9,?,0.89,?,?
?,4.3,?,?,?,?,?,?,1.35,2.6,?,?,?
?,?,?,18.0,?,?,1.25,0.21,?,?,?,1.29,630.0
12.88,?,2.4,20.0,?,1.3,1.22,?,?,5.4,0.74,1.42,?
12.81,?,2.4,?,?,?,?,?,?,?,0.66,1.36,560.0
12.7,3.55,?,21.5,?,?,1.2,?,0.84,?,?,?,?
?,?,?,?,85.0,?,?,?,?,?,0.75,1.51,?
?,2.46,2.2,18.5,94.0,1.62,?,?,?,?,?,?,695.0
?,?,?,?,89.0,1.38,?,0.53,0.8,3.85,0.75,?,?
12.53,5.51,2.64,25.0,96.0,1.79,0.6,?,?,5.0,0.82,1.69,515.0
?,3.59,?,?,88.0,1.62,?,0.58,?,?,?,1.82,580.0
?,2.96,2.61,?,?,?,0.6,0.53,0.81,4.92,?,2.15,?
?,2.81,?,21.0,96.0,1.54,0.5,0.53,0.75,?,?,2.31,?
13.36,2.56,2.35,?,89.0,1.4,?,?,0.64,?,?,2.47,?
?,3.17,2.72,23.5,97.0,?,0.52,0.5,?,?,0.89,?,?
?,4.95,2.35,20.0,92.0,?,0.8,0.47,1.02,4.4,0.91,2.05,550.0
12.25,?,2.2,?,?,?,?,?,1.14,8.21,?,?,855.0
13.16,?,?,?,102.0,?,?,0.43,?,?,0.6,1.68,?
13.88,5.04,2.23,?,80.0,0.98,0.34,?,0.68,?,0.58,1.33,?
?,?,?,21.5,?,?,0.65,0.47,?,7.65,0.54,1.86,625.0
13.32,3.24,?,?,?,1.93,?,0.45,?,8.42,?,?,?
?,?,2.36,21.5,113.0,?,1.39,0.34,?,?,?,?,?
13.5,3.12,2.62,24.0,?,1.4,?,0.22,1.25,?,0.59,?,?
?,?,2.48,?,?,1.48,1.36,0.24,1.26,10.8,0.48,?,?
?,1.9,?,25.5,116.0,2.2,1.28,0.26,?,?,0.61,?,?
13.23,?,?,?,?,1.8,0.83,0.61,?,?,0.56,1.51,?
12.58,1.29,2.1,20.0,?,1.48,?,0.53,?,?,?,1.55,?
13.17,5.19,2.32,?,?,1.74,?,0.61,?,?,0.6,?,725.0
?,?,?,?,?,?,0.83,0.48,?,9.01,?,1.64,480.0
12.45,?,2.64,?,?,?,?,?,1.14,7.5,?,1.73,?
?,1.68,?,?,?,2.8,1.31,?,2.7,?,?,?,?
?,?,2.64,22.5,?,?,?,?,2.29,?,0.57,?,?
12.36,?,?,21.0,?,?,?,?,1.04,?,0.56,?,520.0
13.69,3.26,2.54,20.0,107.0,1.83,0.56,?,?,5.88,0.96,1.82,680.0
12.85,3.27,2.58,22.0,?,?,0.6,?,?,5.58,?,2.11,570.0
12.96,3.45,2.35,18.5,106.0,?,?,?,?,5.28,0.68,?,675.0
?,?,2.3,?,90.0,?,0.68,?,?,?,?,?,615.0
?,4.36,?,?,88.0,?,0.47,0.52,1.15,?,0.78,?,520.0
13.45,?,?,23.0,?,1.7,0.92,?,?,10.68,?,?,?
?,?,2.3,19.5,88.0,1.48,0.66,?,?,?,0.72,1.75,?
13.58,2.58,?,24.5,105.0,?,?,0.39,?,?,0.74,1.8,?
13.4,4.6,?,25.0,?,1.98,?,0.27,?,8.5,?,?,630.0
?,?,2.32,?,?,1.25,0.49,?,?,5.5,?,?,?
?,?,?,?,86.0,1.39,?,0.48,?,?,?,1.63,470.0
?,2.51,?,20.0,?,?,?,?,?,9.7,0.62,?,?
13.71,5.65,2.45,20.5,95.0,?,?,0.52,1.06,7.7,0.64,?,740.0
?,3.91,2.48,?,102.0,?,?,0.43,1.41,?,0.7,?,750.0
?,?,?,?,?,?,0.69,?,?,?,0.59,?,?
?,?,?,20.0,120.0,?,?,?,1.46,?,?,?,?
14.13,?,?,?,96.0,2.05,0.76,0.56,?,?,?,?,560.0
