@relation dataset

@attribute alcohol real
@attribute malic_acid real
@attribute ash real
@attribute alcalinity_of_ash real
@attribute magnesium real
@attribute total_phenols real
@attribute flavanoids real
@attribute nonflavanoid_phenols real
@attribute proanthocyanins real
@attribute color_intensity real
@attribute hue real
@attribute od280_od315_of_diluted_wines real
@attribute proline real


@data
12.47,1.52,?,?,162.0,?,2.27,?,3.28,2.6,1.16,?,937.0
?,2.12,?,?,?,?,0.99,?,1.56,?,0.95,?,?
?,?,1.98,16.0,85.0,2.55,?,0.29,1.77,2.9,1.23,?,?
12.37,1.07,?,?,88.0,3.52,3.75,?,?,?,?,?,660.0
?,?,?,18.0,?,?,2.99,0.45,?,?,?,?,?
12.08,2.08,?,17.5,?,?,?,?,1.4,3.3,?,2.96,710.0
?,?,?,18.5,?,?,1.36,?,1.35,2.45,1.04,2.77,?
12.34,2.45,2.46,?,?,?,2.11,0.34,1.31,2.8,?,?,?
?,?,?,?,86.0,?,1.64,0.37,1.42,2.06,?,?,415.0
12.51,?,?,20.5,85.0,?,1.92,?,?,2.94,?,3.57,?
12.42,2.55,?,22.0,?,1.68,1.84,?,1.42,?,?,3.3,315.0
12.25,1.73,2.12,19.0,80.0,1.65,?,0.37,1.63,?,?,?,?
?,1.75,?,22.5,84.0,1.38,1.76,0.48,?,?,?,?,488.0
?,1.29,?,19.0,?,?,?,?,?,?,?,3.02,312.0
11.61,1.35,?,?,94.0,2.74,2.92,0.29,2.49,2.65,?,?,680.0
11.46,3.74,?,?,?,3.18,?,0.24,3.58,2.9,?,2.81,?
12.52,?,2.17,?,88.0,2.55,2.27,?,?,?,?,2.78,325.0
?,?,?,20.0,103.0,1.75,2.03,0.6,?,?,?,2.5,?
?,0.74,?,?,?,?,2.01,?,?,?,?,2.31,?
?,1.39,?,22.5,?,2.56,2.29,0.43,?,?,0.93,3.19,385.0
11.03,1.51,2.2,21.5,?,?,2.17,?,?,?,1.71,?,?
?,1.47,1.99,20.8,86.0,1.98,?,?,1.53,1.95,?,?,495.0
12.42,1.61,?,22.5,?,2.0,2.09,?,1.61,?,?,2.96,?
12.77,3.43,1.98,16.0,?,1.63,1.25,?,0.83,3.4,?,?,372.0
?,3.43,?,?,87.0,2.0,1.64,0.37,?,1.28,?,?,564.0
11.45,?,2.42,?,?,?,?,?,1.83,?,0.8,3.39,?
?,2.05,3.23,28.5,119.0,3.18,?,?,?,6.0,?,3.69,465.0
?,?,?,?,?,2.2,?,?,1.71,?,?,?,365.0
13.05,5.8,2.13,?,86.0,?,2.65,?,?,?,0.73,3.1,?
11.87,4.31,?,21.0,82.0,2.86,?,0.21,2.91,?,?,?,380.0
?,?,?,?,?,2.6,?,0.37,?,2.76,0.86,?,?
?,1.53,?,?,86.0,?,?,0.39,1.77,?,?,2.84,?
?,2.13,?,?,?,?,?,?,1.76,3.0,0.97,2.44,466.0
12.37,1.63,?,24.5,88.0,2.22,2.45,0.4,1.9,2.12,0.89,?,?
?,4.3,2.38,?,?,?,?,0.42,1.35,?,?,?,?
12.86,?,?,18.0,122.0,1.51,?,0.21,0.94,?,?,?,?
?,2.99,2.4,?,?,?,1.22,0.24,0.83,?,?,1.42,?
12.81,?,2.4,?,?,?,1.09,0.27,0.83,5.7,0.66,1.36,?
12.7,3.55,?,21.5,106.0,1.7,1.2,?,0.84,5.0,?,1.29,600.0
?,?,2.25,17.5,?,2.0,0.58,0.6,1.25,5.45,0.75,?,650.0
12.6,?,?,18.5,?,?,0.66,0.63,?,?,0.73,?,695.0
12.25,4.72,2.54,21.0,?,?,0.47,0.53,?,?,?,1.27,?
?,?,?,?,?,1.79,?,?,1.1,5.0,0.82,1.69,515.0
13.49,3.59,?,19.5,88.0,?,0.48,?,0.88,5.7,0.81,?,580.0
?,?,?,?,101.0,?,?,?,0.81,?,0.89,2.15,?
12.93,2.81,?,21.0,96.0,?,?,?,?,?,?,2.31,600.0
13.36,?,2.35,?,89.0,?,?,0.37,0.64,?,?,2.47,?
?,?,2.72,?,?,1.55,?,0.5,0.55,?,0.89,2.06,520.0
?,4.95,?,20.0,92.0,?,0.8,?,1.02,?,0.91,?,550.0
?,?,?,18.5,?,1.38,0.78,0.29,?,?,?,2.0,?
13.16,?,?,21.0,102.0,?,?,?,1.3,?,0.6,?,?
?,?,?,?,?,?,?,?,?,?,0.58,?,415.0
?,?,2.48,?,?,?,0.65,0.47,?,?,0.54,1.86,?
?,?,2.38,?,92.0,?,?,?,?,?,?,?,?
?,?,?,?,?,1.41,?,?,?,?,0.57,?,550.0
?,3.12,2.62,24.0,?,1.4,?,?,1.25,?,?,1.3,?
?,2.67,2.48,?,?,1.48,1.36,0.24,1.26,?,0.48,?,?
13.11,?,?,?,116.0,2.2,1.28,0.26,?,?,0.61,1.33,?
?,3.3,2.28,18.5,98.0,?,0.83,?,1.87,?,?,?,?
?,?,2.1,20.0,103.0,?,0.58,?,?,?,?,1.55,640.0
13.17,?,?,22.0,?,1.74,0.63,0.61,1.55,?,0.6,1.48,?
?,4.12,?,19.5,?,1.8,0.83,0.48,1.56,?,?,?,?
?,?,2.64,27.0,97.0,?,?,?,1.14,7.5,0.67,1.73,?
?,1.68,2.7,25.0,98.0,2.8,?,0.53,?,13.0,?,?,?
?,?,?,?,89.0,?,?,?,2.29,11.75,?,?,620.0
12.36,?,?,?,88.0,2.3,?,0.5,1.04,7.65,?,1.58,520.0
13.69,3.26,2.54,?,107.0,?,0.56,0.5,?,5.88,0.96,?,?
?,3.27,?,22.0,106.0,?,?,0.6,0.96,5.58,?,2.11,570.0
12.96,?,2.35,?,106.0,?,?,0.4,0.94,?,?,1.75,?
?,2.76,?,?,?,?,?,0.41,?,9.58,?,1.68,?
13.73,4.36,2.26,?,?,?,0.47,?,?,?,?,?,520.0
13.45,?,2.6,23.0,111.0,?,0.92,0.43,?,10.68,0.85,?,695.0
?,3.37,?,19.5,88.0,1.48,0.66,0.4,?,?,?,1.75,?
?,2.58,2.69,?,105.0,?,0.84,0.39,?,?,?,?,?
?,4.6,?,25.0,112.0,1.98,?,?,?,?,0.67,?,?
?,3.03,2.32,?,?,1.25,0.49,?,?,5.5,?,1.83,510.0
12.77,?,2.28,19.5,?,1.39,0.51,?,0.64,?,0.57,?,470.0
14.16,2.51,2.48,20.0,91.0,1.68,?,0.44,?,?,0.62,1.71,660.0
13.71,5.65,2.45,20.5,?,1.68,?,0.52,?,?,?,?,?
13.4,3.91,2.48,?,?,1.8,0.75,?,?,?,?,1.56,?
?,4.28,?,20.0,?,?,?,0.43,1.35,?,0.59,?,835.0
?,2.59,2.37,20.0,?,?,?,?,1.46,9.3,?,1.62,?
14.13,?,?,?,96.0,?,?,0.56,1.35,?,?,?,?
