@relation dataset

@attribute mcg real
@attribute gvh real
@attribute alm real
@attribute mit real
@attribute erl real
@attribute pox real
@attribute vac real
@attribute nuc real
@attribute class {CYT, ERL, EXC, ME1, ME2, ME3, MIT, NUC, POX, VAC}


@data
0.47,?,?,?,0.5,?,0.53,?,?
?,?,0.29,?,0.5,?,?,0.22,?
?,0.53,0.55,0.46,0.5,?,0.52,?,?
?,?,0.54,?,?,0.0,?,?,MIT
0.59,0.6,0.49,0.43,0.5,0.0,0.53,?,MIT
0.54,0.55,0.34,0.31,?,?,?,?,ME3
?,?,0.54,?,?,?,0.48,?,MIT
?,?,0.53,?,?,?,0.52,?,?
?,?,0.48,?,0.5,?,0.53,0.22,?
0.53,0.51,?,0.05,0.5,?,0.45,?,NUC
?,?,?,?,0.5,0.0,?,?,?
0.5,?,?,?,?,0.0,0.47,?,?
0.4,?,?,?,0.5,?,0.49,0.31,?
0.6,?,0.57,0.25,0.5,?,0.41,0.26,CYT
?,0.51,?,?,0.5,?,0.54,?,?
0.35,?,0.54,0.16,0.5,?,?,?,?
0.34,?,0.5,0.21,?,?,0.54,?,CYT
?,?,?,?,0.5,0.0,?,0.59,?
0.48,?,?,?,0.5,0.0,0.53,?,?
0.29,0.32,0.58,?,0.5,0.0,0.5,?,?
?,0.32,?,0.3,?,0.0,?,0.22,?
0.39,0.47,0.56,0.16,0.5,?,?,?,?
?,0.48,0.51,0.47,0.5,0.0,0.55,?,NUC
?,?,?,0.19,0.5,?,0.43,?,?
0.37,0.46,?,?,0.5,?,0.45,0.22,NUC
0.43,?,0.53,0.16,?,?,?,?,CYT
?,?,0.61,?,0.5,0.0,?,0.55,NUC
?,0.48,?,?,?,0.0,?,?,?
?,0.55,?,0.31,?,0.0,0.54,?,CYT
?,0.36,0.47,0.34,0.5,0.0,?,?,?
0.51,0.34,?,?,0.5,?,0.5,?,NUC
0.58,?,?,?,0.5,?,?,0.25,NUC
0.44,0.39,?,0.14,0.5,?,0.54,?,?
0.41,0.39,0.44,0.34,0.5,0.0,0.48,0.4,NUC
?,0.43,0.51,0.24,?,?,?,0.33,?
0.36,0.68,?,?,?,?,0.53,?,NUC
0.42,0.31,?,0.15,?,0.0,?,?,NUC
?,0.43,?,0.1,?,0.0,0.49,?,?
?,0.71,0.52,?,?,0.0,0.53,?,NUC
?,0.47,0.53,?,0.5,?,?,0.27,NUC
?,0.59,0.48,0.43,?,?,0.59,0.22,?
?,0.42,0.71,0.21,0.5,0.0,?,?,CYT
?,?,0.71,?,0.5,?,?,0.32,CYT
?,?,?,?,?,?,?,0.22,CYT
0.42,0.51,0.5,0.12,?,?,?,0.46,?
0.57,0.51,0.53,0.18,0.5,0.0,0.56,?,NUC
0.35,0.45,0.43,?,?,?,?,?,?
?,0.42,?,?,?,?,?,?,?
?,0.5,0.33,0.28,0.5,?,?,?,?
0.39,0.42,0.38,?,?,?,0.49,?,?
0.26,?,?,?,?,?,0.51,?,?
?,0.44,0.53,?,?,?,?,?,?
?,0.61,0.44,?,0.5,?,?,0.22,?
?,0.45,?,0.23,?,?,?,0.22,?
?,0.41,?,?,0.5,0.0,0.5,0.27,CYT
0.38,?,?,?,?,?,0.53,0.22,MIT
?,0.38,?,?,0.5,?,?,0.22,POX
0.31,?,?,0.33,?,?,0.52,0.33,NUC
?,0.31,?,0.35,0.5,0.0,?,0.29,NUC
?,0.37,0.56,0.21,?,?,0.49,?,?
?,?,?,?,?,?,?,0.22,?
?,?,?,?,0.5,0.0,0.52,0.22,CYT
0.49,?,?,?,?,?,0.47,?,?
?,?,0.52,?,0.5,?,?,0.22,CYT
0.43,0.57,0.53,?,0.5,?,?,0.25,?
?,?,?,?,0.5,0.0,?,?,?
0.31,0.55,?,0.17,?,0.0,0.52,0.22,CYT
?,?,0.5,0.15,?,?,?,0.22,CYT
?,?,0.52,?,?,?,0.6,?,CYT
0.59,0.5,0.52,?,?,?,0.55,?,CYT
?,0.42,?,0.11,0.5,?,0.57,0.22,?
0.75,0.7,0.38,0.27,?,0.0,0.49,?,?
?,0.72,?,0.33,0.5,0.0,?,?,MIT
?,0.42,?,0.21,0.5,0.0,?,0.22,?
?,?,?,0.54,?,?,?,?,?
?,0.56,?,0.58,0.5,0.0,0.51,?,MIT
0.52,0.56,?,?,?,?,?,0.22,?
0.58,0.58,?,?,0.5,0.0,0.49,?,MIT
?,?,0.34,?,?,?,0.56,?,MIT
?,0.61,?,0.3,0.5,?,?,?,MIT
0.46,?,?,?,0.5,?,?,?,?
?,0.57,0.44,0.37,0.5,0.0,0.52,0.25,?
0.42,?,?,0.12,0.5,?,0.4,?,MIT
?,0.46,0.45,0.45,?,0.0,?,0.22,MIT
0.42,?,0.41,?,?,?,?,0.26,MIT
?,?,0.34,?,?,0.0,0.51,0.22,?
?,0.77,?,?,0.5,0.0,0.51,?,?
0.5,0.52,0.6,?,?,?,0.48,0.22,MIT
?,0.6,0.43,0.56,?,0.0,0.36,0.22,?
?,0.41,?,0.5,0.5,?,?,0.22,MIT
?,0.4,0.56,0.7,?,0.0,0.5,0.22,MIT
0.37,?,?,?,0.5,0.0,0.44,?,?
?,?,0.45,0.54,?,?,?,?,MIT
?,?,?,?,?,?,?,?,?
0.53,0.51,?,0.28,0.5,0.0,0.48,?,?
?,?,?,?,?,0.0,0.54,0.25,?
0.52,0.4,0.6,0.12,?,?,?,0.22,?
?,0.79,?,0.23,0.5,0.0,0.48,?,EXC
0.47,?,?,0.49,?,0.0,?,?,MIT
0.73,?,0.43,?,?,?,?,?,ME1
0.78,?,?,?,?,0.0,0.53,?,ERL
0.7,0.65,0.54,?,0.5,?,0.6,?,VAC
?,?,0.37,?,?,0.0,?,0.22,?
0.56,?,?,?,0.5,?,?,0.22,NUC
0.57,?,?,?,0.5,?,?,?,?
0.56,?,0.58,?,?,?,0.42,0.22,?
0.58,0.56,?,?,?,0.0,?,0.22,?
0.53,?,0.66,?,0.5,0.0,0.43,0.22,?
?,0.36,?,?,0.5,0.0,?,0.21,?
?,?,0.38,0.27,0.5,?,?,0.22,ME2
0.37,0.53,?,?,0.5,?,0.42,0.22,?
?,0.45,0.53,0.17,0.5,0.0,0.51,0.25,?
0.31,?,?,?,?,?,?,?,NUC
?,0.37,0.33,0.14,0.5,0.0,0.57,?,?
?,0.78,?,?,0.5,?,0.46,?,EXC
?,?,0.54,?,?,?,?,?,?
0.41,?,0.58,0.15,0.5,?,0.45,0.27,?
0.38,?,0.75,?,0.5,0.0,0.55,?,?
?,?,?,?,0.5,0.0,?,?,?
?,?,0.51,?,?,0.0,0.52,0.22,MIT
?,?,0.71,?,?,?,0.59,?,?
?,?,0.48,?,?,?,0.47,?,?
?,?,?,0.13,0.5,0.0,0.49,0.22,?
0.42,?,?,?,0.5,?,?,0.22,MIT
?,?,0.57,0.36,?,0.0,?,0.18,?
0.2,0.26,0.52,0.14,0.5,0.0,0.53,?,CYT
?,0.53,0.55,0.14,0.5,?,0.51,?,?
?,0.68,?,0.51,0.5,0.0,?,0.41,?
?,?,?,?,?,0.0,?,0.22,MIT
?,0.42,?,0.3,0.5,?,0.52,?,ME3
0.34,?,0.3,0.23,?,?,0.53,0.22,?
?,?,0.52,?,?,?,?,?,POX
?,0.58,?,?,0.5,0.0,0.54,?,?
0.39,0.28,?,0.12,0.5,0.0,0.41,0.22,?
?,0.43,0.54,?,0.5,?,?,?,?
?,?,?,0.08,?,?,0.53,0.25,?
0.27,0.36,?,?,0.5,0.0,?,0.31,NUC
?,?,0.59,0.22,?,?,?,0.37,?
?,?,?,0.21,0.5,0.0,?,0.22,NUC
?,0.2,?,?,0.5,?,?,?,?
0.55,0.54,?,?,?,0.0,0.5,?,?
0.36,0.24,0.49,?,0.5,0.0,0.51,?,NUC
0.38,0.48,?,?,0.5,?,0.46,?,?
?,0.46,?,?,0.5,0.0,0.53,0.22,CYT
0.6,?,0.47,0.2,0.5,?,?,0.38,NUC
0.41,0.24,?,?,0.5,?,?,?,?
0.47,0.65,?,0.62,?,?,?,?,?
0.43,?,0.54,0.14,0.5,?,?,0.22,NUC
0.5,?,?,0.09,?,?,0.48,0.25,?
0.53,?,0.52,0.21,0.5,?,?,?,?
?,?,0.41,?,?,?,0.52,0.22,ME2
?,?,0.53,0.16,?,0.0,0.51,?,CYT
?,0.43,0.49,0.79,0.5,?,?,0.63,NUC
?,?,?,?,0.5,0.0,?,?,ME3
?,?,0.55,?,?,0.0,?,0.22,CYT
0.61,0.3,?,0.12,0.5,0.0,0.49,0.27,NUC
0.37,?,0.46,0.23,0.5,0.0,?,0.22,?
0.83,?,0.33,?,0.5,?,0.53,?,ME2
?,0.45,0.53,0.18,?,0.0,?,?,?
0.52,?,0.5,0.21,0.5,0.0,0.48,?,CYT
?,?,?,0.11,0.5,?,?,0.22,?
0.36,0.49,?,?,0.5,?,?,?,?
?,?,0.32,?,0.5,0.0,?,?,ME1
0.55,?,0.53,?,?,?,0.52,0.48,?
0.45,?,0.54,?,?,0.0,0.57,0.22,CYT
0.45,0.56,0.53,?,0.5,?,?,?,?
0.29,0.43,0.4,0.15,0.5,?,?,0.22,ME3
0.52,0.75,?,0.14,?,0.0,?,?,ME3
?,?,0.39,?,0.5,?,0.52,?,ME2
0.58,0.6,0.43,?,0.5,?,0.55,0.22,?
0.54,?,0.49,0.34,0.5,?,0.52,0.22,?
0.57,0.59,?,?,?,0.0,?,0.22,?
?,0.58,0.46,0.19,0.5,?,?,0.27,CYT
?,0.61,0.4,?,?,?,0.54,?,?
0.55,?,?,?,?,0.0,0.54,0.22,CYT
0.63,?,0.41,0.22,?,0.0,0.51,0.22,ME3
?,0.53,?,?,0.5,?,0.52,0.22,?
?,?,0.43,?,0.5,0.0,?,?,?
0.32,?,0.55,0.12,?,?,0.52,0.22,?
0.34,?,0.45,0.19,0.5,?,0.51,0.22,ME2
0.62,?,0.46,0.13,?,?,?,0.22,?
?,?,?,?,0.5,0.0,?,?,ME3
?,?,0.41,?,0.5,0.0,?,0.22,?
?,?,?,0.31,?,?,?,?,NUC
0.35,0.6,?,0.13,?,0.0,?,0.43,?
0.77,?,0.51,0.4,1.0,?,0.54,?,?
0.77,0.87,0.47,0.37,0.5,0.0,0.48,?,EXC
?,?,?,0.15,1.0,?,0.55,0.35,?
?,?,?,0.14,?,?,?,?,?
?,0.61,0.45,0.26,0.5,?,?,0.22,CYT
0.63,?,?,0.12,?,?,?,0.25,CYT
?,0.4,0.51,0.18,?,0.0,0.5,0.27,?
?,0.62,0.53,?,?,0.0,?,0.22,?
0.58,0.6,?,?,?,?,?,?,CYT
0.71,?,0.53,0.15,?,0.0,?,0.33,CYT
0.46,0.35,0.33,?,0.5,?,?,0.22,?
?,?,?,?,?,?,?,?,?
0.39,?,?,?,0.5,0.0,?,?,ME3
0.33,?,?,?,0.5,?,0.48,0.49,?
?,0.82,0.41,0.36,?,?,0.39,0.22,EXC
?,?,?,?,?,?,0.52,?,?
?,0.48,0.44,0.21,0.5,0.0,?,?,?
0.35,0.36,?,?,0.5,?,0.52,0.22,?
?,0.72,0.47,0.25,?,0.0,0.57,0.22,?
?,0.57,0.52,?,?,0.0,?,0.67,NUC
?,0.52,?,0.17,0.5,0.0,0.5,0.26,?
?,?,0.34,0.47,0.5,0.0,?,?,ME1
?,0.9,0.39,0.41,0.5,0.0,?,0.22,?
0.45,0.4,?,?,0.5,?,?,?,?
0.47,?,0.58,?,0.5,0.0,0.49,0.28,CYT
0.41,0.39,?,0.52,0.5,?,?,0.22,?
?,?,?,0.22,0.5,?,?,0.22,?
0.69,0.6,?,0.31,0.5,0.0,0.55,?,?
0.35,0.56,?,?,0.5,0.0,?,?,ME3
0.84,?,0.36,?,0.5,?,0.49,0.5,ME1
0.51,?,?,0.29,0.5,?,?,0.22,CYT
0.37,0.43,0.62,0.27,?,0.0,?,?,NUC
0.55,0.66,0.57,?,0.5,?,0.57,0.34,?
0.48,?,0.42,?,0.5,0.0,?,0.22,?
0.62,0.58,0.52,?,?,?,?,?,CYT
0.56,?,?,?,?,0.0,0.24,0.42,?
?,?,?,0.15,0.5,?,0.51,?,?
0.44,0.44,0.49,?,?,0.0,0.46,0.27,NUC
?,0.5,?,0.17,?,0.0,0.47,?,?
0.6,0.6,?,0.3,?,?,0.53,0.22,?
0.49,0.46,0.34,?,?,0.0,?,0.22,?
0.35,0.68,?,0.4,?,0.0,?,0.36,NUC
0.7,?,0.43,?,?,?,?,?,ME1
?,?,0.58,?,0.5,?,0.48,0.27,?
0.45,?,?,0.2,0.5,?,?,0.25,CYT
?,0.35,?,?,0.5,0.0,0.51,?,CYT
0.42,?,0.47,0.13,?,?,0.5,0.27,CYT
0.32,0.38,?,0.2,?,0.0,0.52,?,CYT
0.59,?,0.52,0.3,?,0.0,?,?,CYT
?,0.52,?,?,0.5,0.0,?,?,?
?,0.33,0.5,?,0.5,0.0,0.51,0.54,?
?,?,?,0.17,?,0.0,0.52,0.22,?
?,0.54,?,?,0.5,0.0,?,?,?
?,?,?,?,0.5,?,0.52,0.29,NUC
0.27,?,0.47,?,0.5,?,?,?,?
?,?,0.57,0.18,?,?,?,?,?
?,0.38,?,0.09,?,0.0,?,?,?
0.43,?,?,?,?,0.0,0.45,0.26,?
?,?,?,0.18,?,?,0.48,0.22,?
0.91,0.69,0.57,?,0.5,0.0,?,?,?
0.38,0.47,?,?,?,?,?,?,?
?,?,0.52,?,0.5,0.0,0.55,0.27,?
0.64,?,?,?,?,0.0,?,?,?
0.49,0.31,?,0.13,?,0.0,?,0.22,ME3
?,?,0.51,0.12,0.5,0.0,0.51,?,?
?,0.43,0.48,0.15,0.5,0.0,0.55,0.25,?
?,?,?,0.16,0.5,?,0.53,0.28,?
?,?,?,?,0.5,?,?,?,?
0.44,?,?,0.18,?,?,0.52,?,CYT
0.43,0.54,?,?,?,?,?,?,?
?,?,?,?,0.5,?,0.5,?,CYT
?,?,?,0.16,0.5,0.0,0.47,?,NUC
0.2,?,0.33,?,?,0.0,0.48,?,?
?,0.53,?,?,0.5,0.0,0.55,0.31,CYT
?,0.48,?,0.15,0.5,0.0,?,?,ME2
?,0.5,?,0.11,0.5,?,?,?,CYT
?,?,?,?,0.5,0.0,?,?,?
?,?,0.5,0.17,?,?,0.49,0.22,?
?,0.41,0.56,0.21,0.5,?,?,?,?
?,0.34,?,0.17,0.5,0.0,?,?,?
0.4,?,0.5,?,?,?,?,?,?
?,?,0.56,0.1,?,0.0,?,?,NUC
0.58,0.48,0.56,?,?,?,0.46,?,?
?,?,?,0.24,0.5,?,0.52,?,?
?,0.41,?,0.26,?,?,0.51,0.37,CYT
?,0.6,?,0.29,?,0.0,0.47,0.43,NUC
?,?,?,?,0.5,?,0.49,?,MIT
0.38,0.49,0.61,0.13,?,0.0,?,?,?
0.6,?,0.44,0.52,?,?,0.54,0.63,NUC
?,?,?,0.17,?,?,?,0.26,?
?,?,0.55,?,?,0.0,0.46,0.22,?
?,0.57,?,?,1.0,?,0.59,0.4,?
0.21,?,0.49,0.16,0.5,0.0,0.51,?,CYT
0.46,0.57,0.57,?,0.5,0.0,0.52,0.26,?
?,0.42,?,0.22,?,0.0,0.57,?,?
0.57,0.59,?,?,0.5,?,?,0.22,?
?,?,0.47,0.14,?,?,0.47,?,?
0.35,?,0.53,?,?,?,0.42,0.38,CYT
?,0.45,0.53,0.62,0.5,?,0.46,0.22,?
?,?,?,0.15,0.5,?,0.58,0.22,?
0.46,?,0.56,?,?,?,0.56,0.22,CYT
?,0.42,?,0.14,?,?,0.55,?,NUC
?,?,0.58,?,?,?,?,?,NUC
0.37,0.34,0.58,0.24,?,0.0,?,?,NUC
?,0.39,?,?,?,?,?,?,?
?,?,?,?,?,0.0,0.37,?,?
0.48,0.46,?,?,0.5,?,?,?,?
?,?,?,?,?,?,?,?,?
?,0.57,0.45,0.21,?,0.0,0.5,?,NUC
0.56,?,?,0.19,?,0.0,0.54,?,CYT
?,?,?,?,0.5,?,0.53,?,ME3
?,?,0.34,0.42,0.5,?,?,0.27,ME3
?,0.22,0.64,?,0.5,0.0,0.47,0.22,?
0.51,0.48,0.58,?,?,?,?,0.28,NUC
?,0.37,0.59,0.17,0.5,0.0,0.51,0.22,?
0.51,0.48,0.58,?,0.5,?,?,?,NUC
?,0.53,?,?,0.5,0.0,0.49,?,?
?,0.68,0.47,0.26,0.5,?,?,?,?
0.5,?,?,?,?,?,?,?,?
0.33,?,0.31,?,?,0.0,?,0.22,?
0.85,0.85,0.3,?,0.5,0.0,?,?,ME1
0.43,?,0.51,0.28,?,?,0.4,?,NUC
0.61,0.54,?,?,0.5,?,0.54,?,CYT
?,?,0.61,0.19,?,?,?,?,?
?,?,0.56,?,0.5,0.0,?,?,?
?,?,?,0.17,0.5,?,0.49,0.22,CYT
0.44,0.41,0.58,0.2,0.5,0.0,0.57,?,CYT
?,0.62,?,?,0.5,?,?,?,?
0.45,?,?,?,?,0.0,0.54,0.22,?
0.38,0.46,?,0.75,?,0.0,?,?,?
0.61,0.54,?,0.19,0.5,0.0,?,0.47,?
0.44,?,0.52,0.37,0.5,?,?,0.22,NUC
0.44,?,?,0.37,0.5,0.0,0.5,?,?
0.32,0.34,0.61,?,0.5,?,0.52,?,NUC
0.34,?,?,0.18,?,0.0,?,0.32,NUC
?,0.68,?,0.59,0.5,0.0,0.54,?,?
?,0.3,0.49,0.28,?,0.0,0.54,0.22,CYT
?,0.43,?,0.28,0.5,0.0,?,0.22,CYT
?,?,0.34,0.26,?,0.0,?,?,?
?,?,0.34,0.26,?,0.0,?,0.22,?
?,?,?,?,?,0.0,?,0.22,ME3
?,?,0.3,0.18,0.5,?,0.51,0.22,ME3
?,?,?,0.12,?,0.0,?,?,?
?,0.57,0.3,0.17,?,0.0,0.51,?,?
?,?,?,?,?,0.0,?,0.22,ME3
?,?,0.33,?,?,0.0,0.54,0.27,?
?,?,0.53,0.1,?,0.0,?,0.22,POX
?,0.56,0.49,?,?,?,0.52,?,?
0.45,0.54,?,0.62,0.5,0.0,?,0.22,MIT
0.51,?,0.63,0.18,0.5,?,0.52,?,CYT
?,?,0.48,?,?,0.0,0.51,0.22,MIT
?,?,?,0.46,0.5,?,0.52,?,?
0.5,?,0.52,0.16,0.5,0.0,?,0.26,CYT
?,?,0.45,?,0.5,0.0,0.49,?,MIT
?,0.59,?,0.74,0.5,?,?,?,MIT
0.57,0.61,?,0.67,0.5,0.0,0.48,0.22,?
?,?,0.62,?,0.5,?,0.52,?,?
0.67,0.51,?,?,0.5,0.0,?,?,?
0.35,?,?,?,0.5,?,0.5,0.28,MIT
?,?,0.66,0.45,?,0.0,0.37,0.11,MIT
?,?,?,?,?,?,0.48,0.25,?
0.56,0.45,0.59,?,0.5,0.0,?,0.26,NUC
0.45,?,?,?,?,0.0,0.44,?,?
0.43,?,0.6,?,?,0.0,0.55,0.22,?
0.47,?,0.43,?,0.5,?,?,?,ME3
0.4,?,0.42,0.17,0.5,?,0.54,?,ME3
0.89,?,?,?,0.5,0.0,?,?,ME1
0.58,0.55,0.52,0.22,0.5,0.0,?,?,?
0.59,?,0.46,0.14,0.5,?,0.52,?,?
0.49,?,0.32,?,0.5,0.0,0.5,?,ME3
0.35,?,0.35,0.33,?,0.0,?,0.32,ME3
?,?,?,0.13,?,?,0.14,0.27,?
?,0.46,?,?,?,?,0.56,0.55,ME3
0.68,?,0.43,0.27,?,?,0.61,0.22,ME2
0.5,?,?,0.3,0.5,?,0.47,0.4,NUC
?,0.41,?,0.44,?,?,0.53,?,?
0.32,?,0.34,0.19,0.5,?,?,?,?
0.4,0.51,0.42,?,?,0.0,0.45,?,ME3
?,?,?,?,0.5,?,0.48,0.31,ME1
?,?,?,0.37,?,?,?,?,?
?,?,0.39,0.3,?,?,?,0.28,?
0.47,0.43,0.35,0.32,0.5,?,0.54,?,?
0.42,0.25,0.6,0.14,0.5,0.0,?,?,?
0.23,0.34,0.41,0.28,?,0.0,0.5,?,?
?,0.56,?,0.38,1.0,?,?,?,ERL
?,0.31,0.6,?,0.5,?,0.5,?,?
0.59,?,?,?,0.5,?,?,?,?
?,?,0.34,?,0.5,0.0,?,0.33,?
?,?,?,?,0.5,?,0.54,0.22,ME1
?,0.51,?,0.52,?,0.0,0.47,0.25,MIT
0.53,0.5,0.54,?,0.5,?,?,0.41,MIT
0.84,?,?,0.23,0.5,0.0,?,?,EXC
0.89,?,0.36,0.34,?,?,?,0.22,EXC
0.48,0.43,?,?,?,?,?,?,ME3
0.36,0.35,0.47,?,?,0.0,0.44,?,ME3
0.57,0.49,?,0.16,?,?,0.51,0.22,NUC
0.43,0.52,?,0.52,1.0,?,?,?,?
0.38,0.49,?,?,0.5,?,0.5,?,?
0.43,0.32,0.56,?,0.5,?,0.47,0.27,?
?,?,?,?,0.5,?,?,?,ME1
?,?,0.56,?,0.5,?,0.52,0.22,CYT
?,?,?,?,0.5,0.0,?,0.22,?
?,?,0.5,0.37,?,?,?,?,ERL
?,0.55,0.29,0.32,0.5,?,0.51,?,?
?,?,?,0.36,?,?,?,?,?
?,?,?,0.14,0.5,?,0.5,?,CYT
