@relation dataset

@attribute class {0, 1}
@attribute a1 {0, 1, 2}
@attribute a2 {0, 1, 2}
@attribute a3 {0, 1}
@attribute a4 {0, 1, 2}
@attribute a5 {0, 1, 2, 3}
@attribute a6 {0, 1}


@data
1,1,0,1,2,1,0
1,1,0,1,2,1,1
1,1,0,1,2,2,0
1,1,0,1,2,2,1
0,1,0,1,2,3,0
0,1,0,1,2,3,1
1,1,1,0,0,0,0
1,1,1,0,0,0,1
1,1,1,0,0,1,0
1,1,1,0,0,1,1
1,1,1,0,0,2,0
1,1,1,0,0,2,1
0,1,1,0,0,3,0
0,1,1,0,0,3,1
1,1,1,0,1,0,0
1,1,1,0,1,0,1
1,1,1,0,1,1,0
1,1,1,0,1,1,1
1,1,1,0,1,2,0
1,1,1,0,1,2,1
0,1,1,0,1,3,0
0,1,1,0,1,3,1
1,1,1,0,2,0,0
1,1,1,0,2,0,1
1,1,1,0,2,1,0
1,1,1,0,2,1,1
1,1,1,0,2,2,0
1,1,1,0,2,2,1
0,1,1,0,2,3,0
0,1,1,0,2,3,1
1,1,1,1,0,0,0
1,1,1,1,0,0,1
1,1,1,1,0,1,0
1,1,1,1,0,1,1
1,1,1,1,0,2,0
1,1,1,1,0,2,1
0,1,1,1,0,3,0
0,1,1,1,0,3,1
1,1,1,1,1,0,0
1,1,1,1,1,0,1
1,1,1,1,1,1,0
1,1,1,1,1,1,1
1,1,1,1,1,2,0
1,1,1,1,1,2,1
0,1,1,1,1,3,0
0,1,1,1,1,3,1
1,1,1,1,2,0,0
1,1,1,1,2,0,1
1,1,1,1,2,1,0
1,1,1,1,2,1,1
1,1,1,1,2,2,0
1,1,1,1,2,2,1
0,1,1,1,2,3,0
0,1,1,1,2,3,1
0,1,2,0,0,0,0
0,1,2,0,0,0,1
0,1,2,0,0,1,0
0,1,2,0,0,1,1
1,1,2,0,0,2,0
1,1,2,0,0,2,1
0,1,2,0,0,3,0
0,1,2,0,0,3,1
0,1,2,0,1,0,0
0,1,2,0,1,0,1
0,1,2,0,1,1,0
0,1,2,0,1,1,1
0,1,2,0,1,2,0
0,1,2,0,1,2,1
0,1,2,0,1,3,0
0,1,2,0,1,3,1
0,1,2,0,2,0,0
0,1,2,0,2,0,1
0,1,2,0,2,1,0
0,1,2,0,2,1,1
0,1,2,0,2,2,0
0,1,2,0,2,2,1
0,1,2,0,2,3,0
0,1,2,0,2,3,1
0,1,2,1,0,0,0
0,1,2,1,0,0,1
0,1,2,1,0,1,0
0,1,2,1,0,1,1
1,1,2,1,0,2,0
1,1,2,1,0,2,1
0,1,2,1,0,3,0
0,1,2,1,0,3,1
0,1,2,1,1,0,0
0,1,2,1,1,0,1
0,1,2,1,1,1,0
0,1,2,1,1,1,1
0,1,2,1,1,2,0
0,1,2,1,1,2,1
0,1,2,1,1,3,0
0,1,2,1,1,3,1
0,1,2,1,2,0,0
0,1,2,1,2,0,1
0,1,2,1,2,1,0
0,1,2,1,2,1,1
0,1,2,1,2,2,0
0,1,2,1,2,2,1
0,1,2,1,2,3,0
0,1,2,1,2,3,1
1,2,0,0,0,0,0
1,2,0,0,0,0,1
1,2,0,0,0,1,0
1,2,0,0,0,1,1
1,2,0,0,0,2,0
1,2,0,0,0,2,1
0,2,0,0,0,3,0
0,2,0,0,0,3,1
1,2,0,0,1,0,0
1,2,0,0,1,0,1
1,2,0,0,1,1,0
1,2,0,0,1,1,1
1,2,0,0,1,2,0
1,2,0,0,1,2,1
0,2,0,0,1,3,0
0,2,0,0,1,3,1
1,2,0,0,2,0,0
1,2,0,0,2,0,1
1,2,0,0,2,1,0
1,2,0,0,2,1,1
1,2,0,0,2,2,0
1,2,0,0,2,2,1
0,2,0,0,2,3,0
0,2,0,0,2,3,1
1,2,0,1,0,0,0
1,2,0,1,0,0,1
1,2,0,1,0,1,0
1,2,0,1,0,1,1
1,2,0,1,0,2,0
1,2,0,1,0,2,1
0,2,0,1,0,3,0
0,2,0,1,0,3,1
1,2,0,1,1,0,0
1,2,0,1,1,0,1
1,2,0,1,1,1,0
1,2,0,1,1,1,1
1,2,0,1,1,2,0
1,2,0,1,1,2,1
0,2,0,1,1,3,0
0,2,0,1,1,3,1
1,2,0,1,2,0,0
1,2,0,1,2,0,1
1,2,0,1,2,1,0
1,2,0,1,2,1,1
1,2,0,1,2,2,0
1,2,0,1,2,2,1
0,2,0,1,2,3,0
0,2,0,1,2,3,1
1,2,1,0,0,0,0
1,2,1,0,0,0,1
1,2,1,0,0,1,0
1,2,1,0,0,1,1
1,2,1,0,0,2,0
1,2,1,0,0,2,1
0,2,1,0,0,3,0
0,2,1,0,0,3,1
1,2,1,0,1,0,0
1,2,1,0,1,0,1
1,2,1,0,1,1,0
1,2,1,0,1,1,1
1,2,1,0,1,2,0
1,2,1,0,1,2,1
0,2,1,0,1,3,0
0,2,1,0,1,3,1
1,2,1,0,2,0,0
1,2,1,0,2,0,1
1,2,1,0,2,1,0
1,2,1,0,2,1,1
1,2,1,0,2,2,0
1,2,1,0,2,2,1
0,2,1,0,2,3,0
0,2,1,0,2,3,1
1,2,1,1,0,0,0
1,2,1,1,0,0,1
1,2,1,1,0,1,0
1,2,1,1,0,1,1
1,2,1,1,0,2,0
1,2,1,1,0,2,1
0,2,1,1,0,3,0
0,2,1,1,0,3,1
1,2,1,1,1,0,0
1,2,1,1,1,0,1
1,2,1,1,1,1,0
1,2,1,1,1,1,1
1,2,1,1,1,2,0
1,2,1,1,1,2,1
0,2,1,1,1,3,0
0,2,1,1,1,3,1
1,2,1,1,2,0,0
1,2,1,1,2,0,1
1,2,1,1,2,1,0
1,2,1,1,2,1,1
1,2,1,1,2,2,0
1,2,1,1,2,2,1
0,2,1,1,2,3,0
0,2,1,1,2,3,1
0,2,2,0,0,0,0
0,2,2,0,0,0,1
0,2,2,0,0,1,0
0,2,2,0,0,1,1
1,2,2,0,0,2,0
1,2,2,0,0,2,1
0,2,2,0,0,3,0
0,2,2,0,0,3,1
0,2,2,0,1,0,0
0,2,2,0,1,0,1
0,2,2,0,1,1,0
0,2,2,0,1,1,1
0,2,2,0,1,2,0
0,2,2,0,1,2,1
0,2,2,0,1,3,0
0,2,2,0,1,3,1
0,2,2,0,2,0,0
0,2,2,0,2,0,1
0,2,2,0,2,1,0
0,2,2,0,2,1,1
0,2,2,0,2,2,0
0,2,2,0,2,2,1
0,2,2,0,2,3,0
0,2,2,0,2,3,1
0,2,2,1,0,0,0
0,2,2,1,0,0,1
0,2,2,1,0,1,0
0,2,2,1,0,1,1
1,2,2,1,0,2,0
1,2,2,1,0,2,1
0,2,2,1,0,3,0
0,2,2,1,0,3,1
0,2,2,1,1,0,0
0,2,2,1,1,0,1
0,2,2,1,1,1,0
0,2,2,1,1,1,1
0,2,2,1,1,2,0
0,2,2,1,1,2,1
0,2,2,1,1,3,0
0,2,2,1,1,3,1
0,2,2,1,2,0,0
0,2,2,1,2,0,1
0,2,2,1,2,1,0
0,2,2,1,2,1,1
0,2,2,1,2,2,0
0,2,2,1,2,2,1
0,2,2,1,2,3,0
0,2,2,1,2,3,1
